GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20USSDCOO,G20USSRWIT,G20USSLFRO,G20USSITUR,G20HALDROC,G20HALRMUR,G20HALLROG,G20HALIPUR,G20GOVDCAR,G20GOVRMUR,G20GOVLMAC,G20GOVIDEM,G20LTGDHAL,G20LTGRHAL,G20INSDNAV,G20INSRPIL
10001001-28,10,001,001-28,606.6,275.64,2.81,11.25,587.85,250.33,12.19,21.56,582.23,252.2,13.13,18.75,593.48,255.02,8.44,23.44,584.1,271.89,592.54,256.89
10001001-29,10,001,001-29,3030.15,3438.87,72.36,28.5,3035.7,3203.87,72.12,111.42,2987.47,3262.81,49.04,78.85,3068.37,3263.64,44.1,72.66,3095.55,3256.12,3051.64,3267.35
10001001-30,10,001,001-30,1218.42,1812.92,42.1,10.58,1225.12,1710.56,31.81,54.22,1195.55,1735.09,33.87,43.26,1241.91,1734.25,17.01,45.62,1208.17,1782.39,1169.54,1811.13
10001001-31,10,001,001-31,64.61,88.15,2.81,0.38,63.39,84.77,1.59,3.19,63.86,85.52,1.03,2.44,65.17,85.62,1.03,1.88,63.3,88.24,58.89,92.27
10001001-32,10,001,001-32,1584.75,663.36,23.1,17.76,1471.87,634.28,28.7,49.59,1477.5,629.91,25.95,48.93,1511.79,626.56,26.79,42.39,1406.48,746.53,1426.38,718.71
10001001-33,10,001,001-33,228,235,4,2,230,223,5,4,221,226,4,11,229,228,3,5,228,231,219,238
10001001-34,10,001,001-34,252.39,184.25,7.39,5.51,254.98,177.41,4.29,8.9,246.65,182.81,4.73,5.25,247.86,188.62,4.68,5.78,237.49,205.29,237.46,202.24
10001002-28,10,001,002-28,1036.31,784.04,31.55,7.2,1006.32,747.85,22.46,36.73,1000.11,743.09,21.21,30.94,1019.76,749.44,20.87,26.07,1029.38,752.25,1020.3,756.57
10001002-29,10,001,002-29,3092.27,1973.85,55.52,19.35,3022.5,1841.95,60.44,90.56,2969.43,1904.99,42.9,69.27,3059.82,1879.21,33.07,60.35,2977.52,1989.15,2993.42,1957
10001002-30,10,001,002-30,163.11,194.12,2.1,1.26,163.37,180.99,2.1,5.6,154.7,193.17,1.68,4.48,165.45,183.09,3.37,5.04,155.67,195.56,146.45,204.77
10001002-31,10,001,002-31,1129.73,563.4,19.26,13.01,1108.05,526.37,14.14,25.69,1103.43,538.38,11,25.14,1106.15,557.93,9.31,23.18,1045.12,618.99,1042.59,624.15
10001002-32,10,001,002-32,926.32,531.13,22.25,10.85,880.78,497.93,23.3,38.48,875.73,523.6,10.09,30.59,894.58,523.17,10.44,26.68,841.95,598.84,839.94,591.63
10001002-33,10,001,002-33,1322.42,1214.41,32.57,15.47,1304.21,1157.22,36.14,41.79,1278.86,1188.26,24.27,39.24,1324.35,1183.14,19.52,26.2,1257.7,1256.79,1209.97,1293.91
10001002-34,10,001,002-34,100.96,247.39,6.76,1.59,97.56,241.96,6.68,3.96,94.53,240.11,4.7,4.74,105.29,238.99,3.69,1.38,107.24,235.93,98.08,243.1
10001003-28,10,001,003-28,302.29,260.22,7.9,3.19,303.49,243.15,5.38,9.71,295.91,244.64,6.56,8.68,304.04,245.99,4.6,7.36,306.7,249.03,300.3,248.55
10001003-29,10,001,003-29,422.21,551.65,15.02,4.68,422.22,525.59,10.28,17.49,418.52,531.43,6.85,15.08,434.27,527.63,6.35,12,422.3,543.61,399.2,564.07
10001003-30,10,001,003-30,469.79,1410.38,27.49,7.87,484.54,1347.33,24.56,32.56,468.41,1363.46,17.56,26.62,498.48,1361.27,17.43,19.75,514.16,1361.02,485.97,1382.21
10001003-31,10,001,003-31,1602,868,22,13,1602,796,31,37,1556,848,27,26,1605,828,22,29,1528,917,1493,958
10001003-32,10,001,003-32,685.26,400.73,15.13,6.91,662.98,396.48,15.45,19.21,657.34,393.51,11.15,15.73,661.91,401.25,12.73,19.93,626.43,455.55,628.02,443.84
10001003-33,10,001,003-33,694.21,849.68,17.6,6.84,689.32,802.74,16.62,21.51,654.12,828.16,19.56,22.49,692.26,815.45,11.73,13.69,661.94,846.74,615.01,884.87
10001003-34,10,001,003-34,1425.53,1612.5,35.62,17.12,1420.58,1519.14,33.25,49.87,1363.28,1588.51,22.67,41.7,1441.5,1526.66,21.43,47.67,1369.39,1616.42,1329.35,1650.41
10001004-28,10,001,004-28,37.58,46.23,0.3,0.3,37.58,41.46,1.19,2.09,37.28,43.84,0.3,0.89,40.26,42.35,0.3,0.6,41.16,40.56,39.07,43.54
10001004-29,10,001,004-29,356.42,486.26,15.52,2.07,349.69,467.63,8.79,17.59,352.28,471.77,5.69,13.45,359.52,472.29,5.69,10.35,349.17,486.77,324.86,509.02
10001004-30,10,001,004-30,231.72,591.88,4.39,3.85,247.97,551.87,4.46,14.44,233.81,568.69,8.21,7.41,241.72,567.1,2.03,8.57,254.06,560.65,234.21,575.2
10001004-31,10,001,004-31,842.1,375.16,18.34,7.34,829.76,349.48,16.34,17.01,802.76,370.48,11.01,16.35,828.76,365.83,7.34,9.34,766.41,419.18,758.42,424.18
10001004-32,10,001,004-32,259.1,98.13,2.92,3.01,257.55,87.1,2.19,5.11,245.69,98.77,3.83,5.2,254.54,96.77,0.73,1.46,227.91,125.59,240.04,107.53
10001004-33,10,001,004-33,956.61,1284,24.29,8.81,969.67,1204.73,19.6,42.62,930.73,1248.32,14.07,32.4,975.76,1234.13,12.92,25.58,946.08,1267.66,890.28,1310.68
10001004-34,10,001,004-34,1909.13,1450.74,52.9,17.72,1854.99,1363.87,43.05,66.04,1829.81,1397.26,36.94,51.07,1874.62,1406.86,31.7,45.75,1786.03,1516.16,1764.67,1513.36
10001005-28,10,001,005-28,2228.56,1356.02,46.62,16.01,2189.53,1262.55,35.65,61.72,2170.02,1289.77,26.78,48.88,2197.76,1285.74,26.07,56.16,2176.17,1334.66,2202.36,1298.33
10001005-29,10,001,005-29,232.41,615.82,7.07,4.72,241.35,580.15,7.02,14.28,235.39,585.14,6.15,10.77,245.09,584.33,5.04,9.85,255.99,578.43,234.77,598.04
10001005-30,10,001,005-30,815.28,1148.12,16.61,9.15,801.03,1065.13,17.54,41.56,787.19,1092.31,15.79,26.59,810.28,1085.9,9.97,27.43,796.94,1108.35,776.79,1126.8
10001005-31,10,001,005-31,874,395,19,6,850,369,19,20,837,385,13,21,861,384,11,17,834,416,800,437
10001005-32,10,001,005-32,390.14,298.71,10.17,4.32,367.35,281.66,8.16,13.79,367.96,284.7,5.15,14.88,377.2,284.83,6.37,9.82,366.07,310.01,361.08,310.61
10001005-33,10,001,005-33,440.95,796.59,12.01,5.71,445.59,757.31,9.42,23.71,430.67,759.9,14.42,20.45,451.35,761.6,8.83,17.21,437.72,783.31,418.21,799.22
10001005-34,10,001,005-34,395.3,455.71,14.12,2.18,404.09,435.63,8.21,13.33,386.72,453.38,9.1,9.17,408.66,439.54,9.04,3.57,384.4,466.51,362.42,484.47
10001006-28,10,001,006-28,431.82,459.56,3.84,3.8,438.03,419.13,7.62,14.49,426.48,432.94,4.6,15.23,434.95,426.8,6.09,14.44,444.07,424.53,427.52,441.82
10001006-29,10,001,006-29,316.35,817.72,10.03,4.57,335.37,757.85,9.65,19.75,320.06,775.37,10.45,14.2,340.03,766.53,8.13,10.31,338.04,773.6,320.29,790.95
10001006-30,10,001,006-30,544.86,1127.38,14.79,7.92,533.02,1091.62,17.76,21.79,524.09,1100.53,13.82,18.79,527.13,1122.2,9.87,15.87,530.09,1118.28,509.28,1139.06
10001006-31,10,001,006-31,1106.28,324.14,14.65,6.13,1050.04,305.93,18.89,35.21,1050.17,316.74,8.32,30.21,1078.01,302.55,7.76,30.65,998.35,397.84,1019.58,368.6
10001006-32,10,001,006-32,148.97,23.91,3.79,1.31,135.11,24.37,2.18,5.62,135.19,25.41,1.33,5.01,137.63,27.56,1.17,5.84,124.95,42.84,133.97,29.99
10001006-33,10,001,006-33,1058.86,1409.29,20.72,7.08,1058.45,1326.74,18.3,41.19,1026.03,1359.5,15.88,38.5,1061.56,1361.14,9.99,26.76,1058.18,1362.3,998.96,1423.18
10001006-34,10,001,006-34,1154.22,889.49,25.3,6.65,1156.94,819.36,21.87,43.04,1103.53,882.98,16.33,33.93,1152.12,848.77,12.87,30.37,1093.13,920.45,1083.73,923.21
10001007-28,10,001,007-28,85.17,56.15,1.3,0.57,85.1,50.55,1.18,2.59,83.76,52.65,0.54,2.52,85.14,53.02,0.76,2.4,83.65,55.16,81.31,57.08
10001007-29,10,001,007-29,568.99,837.98,12.82,6.33,587.25,775.12,13.41,25.53,551.92,809.77,12.46,21.66,585.69,791.17,12.47,15.59,576.24,810.18,541.25,845.85
10001007-30,10,001,007-30,456,1209,25,7,468,1138,18,33,451,1168,23,9,472,1170,12,12,467,1177,430,1209
10001007-31,10,001,007-31,941.76,330.51,14.71,7.05,912.43,299.06,16.21,25.59,909.59,313.36,8.8,22.22,925.97,317.88,6.2,18.26,874.15,373.22,878.31,363.65
10001007-32,10,001,007-32,31.67,38.68,0.3,0.3,30.45,36.85,0,1.22,28.63,38.68,0.61,1.52,32.89,35.33,0.61,1.52,28.63,39.29,28.63,39.29
10001007-33,10,001,007-33,691.64,603.34,24.8,6.37,668.72,582.84,17.71,27.56,658.02,592.94,16.83,24.38,679.88,594.61,9.64,20.89,667.45,620.2,654.99,628.14
10001007-34,10,001,007-34,1083.78,776.29,27.63,7.36,1065.19,737.14,19.64,28.85,1027.93,777.34,15.95,25.7,1059.93,766.43,11.86,13.53,996.58,835.37,976.55,846.59
10001008-28,10,001,008-28,336.86,422.63,7.35,2.7,332.97,396.7,7.93,12.94,317.81,415.11,4.3,11.14,338.53,404.69,3.81,9.89,332.08,410.87,315.84,425.08
10001008-32,10,001,008-32,22.53,20.68,0.34,0.2,21.33,19.75,0.12,0.85,20.44,20.7,0.37,0.96,22.58,19.24,0.35,0.97,19.99,21.77,20.26,21.28
10001008-33,10,001,008-33,164.08,155.52,5.32,1.37,159.63,148.51,3.97,6.62,156.25,151.99,3.63,5.59,161.04,152.36,2.62,4.7,158.66,157.05,154.46,160.33
10001008-34,10,001,008-34,863.59,729.42,20.72,5.77,852.64,692.42,20.28,24.13,833.56,715.67,14.99,17.08,876.54,695.31,12.19,13.95,825.75,748.17,796.59,772.52
10001009-08,10,001,009-08,424.86,464.69,11.8,2.71,425.29,435.06,10.91,16.4,421.73,437.4,8.62,12.21,431.2,441.11,7.83,9,437.92,435.93,434.81,432.62
10001009-28,10,001,009-28,155.96,129.09,1.46,0.88,153.63,116.83,1.75,6.43,146.33,124.71,1.75,3.8,157.42,118.29,2.04,3.8,146.33,128.8,143.11,129.97
10001009-32,10,001,009-32,783.19,505.81,17.32,11.27,768.42,477.84,15.13,24.2,732.13,508.91,12.75,26.03,768.81,491.11,8.98,22.19,714.93,560.68,713.73,563.05
10001009-34,10,001,009-34,166.5,141.95,4.66,0.82,164.72,134.82,4.53,5.07,161.7,139.62,2.88,2.88,168.42,135.23,2.33,2.88,158.13,147.3,157.17,147.57
