GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20USSDCOO,G20USSRWIT,G20USSLFRO,G20USSITUR,G20HALDROC,G20HALRMUR,G20HALLROG,G20HALIPUR,G20GOVDCAR,G20GOVRMUR,G20GOVLMAC,G20GOVIDEM,G20LTGDHAL,G20LTGRHAL,G20INSDNAV,G20INSRPIL
10003002-21,10,003,002-21,646,482,14,6,665,435,11,14,627,484,6,9,671,439,9,16,655,453,701,408
10003002-22,10,003,002-22,689,421,15,8,719,371,9,25,642,439,10,16,700,399,5,12,651,437,679,415
10003002-23,10,003,002-23,837.47,376.44,23.24,4.65,821.67,351.35,25.1,24.17,771.48,405.26,10.22,19.52,812.38,370.87,13.01,19.52,802.15,386.67,803.08,392.25
10003002-24,10,003,002-24,915.34,402.9,16.19,5.71,901.06,364.8,21.91,18.1,865.81,401,15.24,12.38,890.58,378.14,15.24,24.76,858.19,415.29,900.1,375.28
10003002-25,10,003,002-25,735.88,386.37,16.04,6.02,727.82,378.35,8.04,18.06,702.82,401.37,6.03,17.03,726.83,385.35,3.02,20.05,729.81,386.41,721.78,386.43
10003002-26,10,003,002-26,696,205,9,6,661,183,13,18,670,187,2,15,674,185,6,14,657,200,666,196
10003002-27,10,003,002-27,655,307,21,6,619,304,14,27,604,322,15,13,622,308,9,19,640,300,655,297
10003003-01,10,003,003-01,780,33,0,2,713,30,11,13,731,26,5,11,732,34,3,14,670,75,718,35
10003003-02,10,003,003-02,202,27,3,1,201,25,2,3,194,26,3,5,194,28,4,1,182,43,187,37
10003003-03,10,003,003-03,463,37,7,1,416,40,9,8,425,39,5,4,422,46,4,11,385,69,408,47
10003003-04,10,003,003-04,1029,356,14,5,1103,286,11,8,1000,377,8,8,1075,311,7,10,1018,350,975,389
10003003-05,10,003,003-05,693,135,0,2,661,126,11,3,650,123,10,11,659,122,5,9,641,143,657,124
10003003-06,10,003,003-06,229,95,5,1,236,77,4,4,208,110,2,2,232,82,3,6,214,104,209,111
10003003-07,10,003,003-07,806,403,17,3,805,377,16,16,758,421,12,16,808,382,11,12,786,410,785,402
10003003-08,10,003,003-08,768.55,347.63,14.86,1.98,753.7,335.75,10.89,11.88,729.93,346.64,9.9,12.88,744.78,338.72,8.91,12.88,739.83,356.55,758.65,333.77
10003003-09,10,003,003-09,933.18,733.37,13.01,7.11,944.85,672.21,19.1,20.97,915.89,703.44,14.46,15.07,956.97,680.39,9.21,10.22,956.21,678.67,989.78,647.4
10003003-10,10,003,003-10,693,409,11,4,701,373,16,13,639,429,15,9,684,397,9,8,668,417,694,392
10003003-11,10,003,003-11,395,978,13,7,411,915,10,29,386,920,8,28,412,918,8,17,475,871,456,880
10003003-12,10,003,003-12,670,330,9,8,676,300,14,17,633,344,6,21,661,330,4,15,636,360,635,353
10003003-13,10,003,003-13,272.98,72.74,4.52,1.3,251.08,53.64,0.64,9.6,249.11,55.54,1.49,4.79,259.64,53.61,1.34,3.75,249.3,60.72,266.94,47.68
10003003-15,10,003,003-15,1225,520,14,8,1237,456,11,28,1209,485,12,20,1234,468,9,17,1185,518,1242,460
10003003-16,10,003,003-16,1055.03,50.93,4.74,2.7,968.01,44.31,8.65,10.9,982.6,39.77,6.81,12.5,972.51,50.39,4.65,17.68,923.1,89.24,957.53,57.92
10003003-17,10,003,003-17,1074,267,12,5,1014,239,15,16,1007,251,10,18,1029,252,6,10,980,291,1029,242
10003003-18,10,003,003-18,483,167,8,2,458,154,10,9,457,156,3,13,468,151,2,15,450,174,459,162
10003003-19,10,003,003-19,635.39,482.26,13.13,4.07,667.39,415.76,12.11,14.16,624.14,470.97,6.1,6.15,665.39,430.88,7.06,9.14,636.07,443.1,675.53,418.69
10003003-21,10,003,003-21,746.26,544.54,17.89,7.95,763.16,496.85,15.9,22.85,699.56,567.4,14.91,17.89,752.23,514.73,14.91,17.89,744.28,534.61,795.95,488.9
10003003-22,10,003,003-22,769,479,11,5,796,419,16,18,715,519,12,5,779,457,7,13,748,495,743,498
10003003-23,10,003,003-23,704,317,10,11,696,304,13,13,654,336,13,18,695,308,11,15,669,332,676,323
10003003-24,10,003,003-24,548.43,335.71,7.76,7.35,541.57,306.8,5.72,14.89,524.46,320.36,6.74,14.87,544.64,303.41,7.49,12.51,531.96,325.14,542.61,311.47
10003003-25,10,003,003-25,721,229,22,12,696,218,20,17,674,241,17,15,710,220,11,14,690,246,672,263
10003003-26,10,003,003-26,591.01,257.06,8.2,1.27,576.42,234.47,15.27,10.49,563.31,253.23,11.2,6.64,579.37,237.54,9.2,10.47,558.2,258.94,576.22,248.94
10003003-27,10,003,003-27,534.57,179.41,5.13,3.66,527.98,167.69,5.13,7.32,514.8,177.94,5.13,7.32,522.12,169.89,6.59,6.59,518.46,183.07,536.03,164.76
10003004-01,10,003,004-01,1082,63,6,7,976,52,19,17,997,50,8,17,997,54,5,24,932,100,958,67
10003004-02,10,003,004-02,57.82,15.98,2.28,0,58.58,16.74,0.76,0,55.53,18.26,0.76,0.76,57.82,17.5,0.76,0,54.01,21.3,53.25,20.54
10003004-03,10,003,004-03,754,52,2,6,632,38,13,19,660,34,2,17,655,39,2,24,611,68,630,50
10003004-04,10,003,004-04,471,80,7,1,459,72,7,4,447,78,4,6,448,81,6,5,429,94,450,78
10003004-05,10,003,004-05,876,124,7,2,824,115,14,12,821,121,7,14,836,120,3,14,804,145,818,132
10003004-06,10,003,004-06,733,276,13,5,712,258,14,17,687,292,4,12,708,274,4,16,696,286,684,305
10003004-07,10,003,004-07,1430,484,18,11,1396,439,20,29,1351,480,19,24,1404,436,20,24,1346,493,1381,464
10003004-08,10,003,004-08,849.24,209.61,9.84,3.94,806.93,199.76,11.81,11.81,802.99,204.68,6.89,13.78,809.88,199.76,6.89,11.81,800.04,221.41,816.77,198.78
10003004-09,10,003,004-09,606.15,540.2,15.76,1.06,605.84,514.1,9.06,12.96,584.34,536.74,9.91,5.98,599.89,526.08,9.86,7.98,610.53,526.31,618.88,510.17
10003004-10,10,003,004-10,961,342,7,4,933,311,10,17,909,327,9,17,950,305,10,10,919,332,930,319
10003004-11,10,003,004-11,334.81,531.69,8.99,4,346.8,485.72,5,12.99,327.81,500.71,10.99,7,347.8,491.71,10.99,8,389.77,459.73,373.78,464.73
10003004-12,10,003,004-12,622,402,11,1,635,375,8,12,561,451,7,5,635,386,7,4,580,429,554,457
10003004-13,10,003,004-13,789.98,480.1,14,5.07,775.27,437.46,18.11,24.11,735.66,474.74,10.04,26.25,770.05,456.74,7.11,31.07,764.95,464.81,828.95,418.71
10003004-15,10,003,004-15,628.71,292.86,8,4,621.71,266.88,7,11.99,604.72,281.87,5,9,619.71,277.87,3,8,616.71,273.87,634.7,253.88
10003004-16,10,003,004-16,413.33,146.97,7.18,3.52,387.65,123.61,6.2,10.83,376.78,122.04,7.99,11.75,386.77,127.23,5.38,16.02,379.39,129.28,406.9,119.4
10003004-17,10,003,004-17,717.15,317.54,10.75,3.91,719.11,290.18,12.7,11.72,693.7,311.68,14.66,7.82,723.02,283.34,17.59,10.75,711.29,303.86,730.83,287.25
10003004-18,10,003,004-18,1160.68,348.2,8.24,5.5,1112.97,321.99,12.24,26.98,1100.48,341.46,4.5,18.73,1123.23,324.24,5.5,23.96,1090.25,353.94,1131.25,310.45
10003004-19,10,003,004-19,767,455,17,9,744,425,14,18,719,438,13,16,733,446,12,20,722,438,770,410
10003004-21,10,003,004-21,882,339,18,2,864,304,21,29,817,362,12,19,849,329,12,29,834,364,858,335
10003004-22,10,003,004-22,621.62,438.38,17.54,2.63,642.66,402.43,9.64,20.17,555.86,491.86,10.52,8.77,636.52,419.96,3.51,10.52,598.82,459.42,604.96,450.65
10003004-23,10,003,004-23,1099,403,19,11,1075,385,19,29,1043,429,10,24,1084,400,14,22,1060,430,1055,431
10003004-24,10,003,004-24,537.66,161.1,9.81,2.29,515.94,141.2,10.09,8.9,497.19,153,10.76,11.62,515.42,139.86,4.76,12.24,490.81,157.71,513.9,141.72
10003004-25,10,003,004-25,505.36,295.19,14.44,0.8,495.73,277.55,11.23,8.02,478.89,287.17,9.63,14.44,498.94,280.76,7.22,8.82,500.55,282.36,516.59,264.71
10003004-26,10,003,004-26,884,355,13,4,892,302,12,19,849,336,16,16,892,302,8,17,849,345,870,323
10003004-27,10,003,004-27,1163.43,554.59,25.87,8.34,1153.02,522.31,19.87,22.68,1120.2,545.06,15.87,22.68,1154.88,528.11,9.41,23.41,1163.54,528.93,1175.97,503.24
10003005-01,10,003,005-01,1070.82,156.72,16.63,3,1029.58,137.82,23.11,16.95,994.39,177.48,12.19,15.18,1037.22,158.03,12.19,12.94,962.27,208.12,984.89,177.1
10003005-02,10,003,005-02,545.9,65.67,2.94,3.92,506.7,52.92,6.86,7.84,514.54,52.92,2.94,7.84,518.46,57.82,3.92,8.82,475.34,85.27,502.78,61.75
10003005-03,10,003,005-03,86,3,0,1,80,3,0,1,75,5,0,2,79,3,0,1,76,5,78,4
10003005-04,10,003,005-04,160,24,0,2,150,20,1,8,157,20,1,3,157,19,1,7,152,26,156,24
10003005-05,10,003,005-05,880,123,4,2,836,103,9,15,845,111,1,11,849,109,3,9,828,127,846,111
10003005-06,10,003,005-06,1014.05,252.78,6.83,1.95,965.25,224.48,11.71,20.5,937.92,248.88,7.81,23.42,969.15,232.28,2.93,23.42,939.87,259.61,954.51,249.85
10003005-07,10,003,005-07,559,126,5,1,561,114,4,7,546,122,4,8,557,115,5,7,548,125,561,114
10003005-08,10,003,005-08,1434.47,536.97,23.84,10.49,1403.95,499.78,17.17,39.1,1369.62,529.34,13.35,31.47,1407.77,514.08,9.54,26.71,1382.02,544.6,1393.46,530.3
10003005-09,10,003,005-09,922.89,582.84,15.23,4.84,913.55,533.05,17.84,20.08,896.99,556.21,12.64,9.97,909.37,549.91,9.93,11.81,910.5,558.4,940.6,525.79
10003005-10,10,003,005-10,818,442,14,3,845,402,10,16,776,472,5,5,844,415,6,7,785,459,784,457
10003005-12,10,003,005-12,925,565,13,6,948,512,12,26,848,611,8,16,934,543,7,13,891,579,871,594
10003005-13,10,003,005-13,774.76,374.32,18.01,10.01,743.74,324.27,20.01,34.01,738.72,334.29,14.01,29.02,733.75,333.27,19.01,36.02,750.75,342.28,782.76,324.28
10003005-15,10,003,005-15,1732.63,560.92,17.71,6.99,1701.98,511.74,19.93,26.1,1664.42,547.02,13.79,28.81,1701.52,523.78,11.75,25.84,1626.8,605.21,1681.3,529.62
10003005-16,10,003,005-16,1123.19,89.13,4.02,4.01,1054.84,76.11,8.03,14.04,1050.9,72.09,5.02,20.05,1056.86,76.14,6.01,18.06,1023.65,99.3,1041.79,78.17
10003005-17,10,003,005-17,614,329,8,4,604,289,6,14,584,306,8,12,609,293,4,13,606,284,644,261
10003005-18,10,003,005-18,659,376,8,6,644,332,13,21,619,343,10,27,649,329,10,23,624,362,661,326
10003005-19,10,003,005-19,669,458,9,4,677,383,7,21,625,436,7,16,660,417,3,19,647,416,700,369
10003005-21,10,003,005-21,883,624,27,8,948,552,13,24,859,632,8,19,929,574,8,23,896,599,944,568
10003005-22,10,003,005-22,1019,793,17,4,1050,732,19,15,931,850,6,20,1022,771,10,14,987,799,994,786
10003005-23,10,003,005-23,779,223,20,5,744,199,15,21,721,212,14,29,750,199,13,22,739,220,759,200
10003005-24,10,003,005-24,878.69,410.71,18.76,8.89,846.11,374.18,15.8,25.67,825.37,385.04,11.85,21.72,850.06,361.35,13.82,35.54,832.29,398.87,870.79,361.35
10003005-25,10,003,005-25,1108.57,583.22,25.69,7.43,1103.22,541.14,19.51,26.05,1046.91,597.68,15.31,21.01,1095.67,562.56,13.34,20.19,1097.28,568.67,1095.88,567.18
10003005-26,10,003,005-26,1045,270,15,8,1006,245,23,20,983,272,10,17,993,272,8,20,963,307,1017,258
10003005-27,10,003,005-27,913,484,9,8,914,450,11,15,873,482,8,20,896,468,7,22,882,478,913,446
10003006-01,10,003,006-01,410,13,3,2,357,15,9,5,374,12,4,6,362,22,4,6,340,34,358,17
10003006-02,10,003,006-02,595,50,4,3,560,46,6,9,553,51,4,8,568,45,1,5,535,69,547,58
10003006-03,10,003,006-03,532,43,2,1,464,29,10,13,472,27,3,19,485,33,3,15,458,45,487,38
10003006-04,10,003,006-04,842,214,18,5,803,197,20,8,775,234,12,17,813,208,11,10,773,239,775,233
10003006-05,10,003,006-05,885,150,5,2,838,141,10,14,841,147,4,12,837,150,5,15,821,168,837,152
10003006-06,10,003,006-06,468.72,107.08,4.01,3.01,439.37,93.06,9.03,12.07,437.44,97.05,5.01,11.07,452.41,91.04,4.02,14.11,443.23,106.21,458.32,92.1
10003006-07,10,003,006-07,584,253,6,5,584,237,5,13,558,264,6,6,591,242,2,7,565,259,575,249
10003006-08,10,003,006-08,918.53,682.03,39.16,6.51,928.05,636.22,31.83,26.9,884.38,686.66,18.65,20.53,930.23,651.92,20.46,17.29,976.98,634.4,973.54,622.7
10003006-09,10,003,006-09,944.56,888.91,27.08,6.92,946.86,828.98,19.54,35.77,911.78,869.44,10.23,23.23,952.94,851.67,11.46,16.54,985.32,822.21,971.63,825.44
10003006-10,10,003,006-10,772,542,20,5,790,507,12,12,723,560,8,18,793,505,9,16,754,543,770,532
10003006-12,10,003,006-12,358.36,271.09,8.1,2.01,385.76,229.72,11.03,5.08,338.07,285.34,5.01,5.08,366.58,261.87,3.03,3.07,342.18,276.19,329.22,291.21
10003006-13,10,003,006-13,887.83,503.9,15,4,865.83,453.91,14,36.99,843.84,474.91,13,33.99,867.83,466.91,9,26.99,860.83,479.91,879.83,470.91
10003006-15,10,003,006-15,936.11,250.03,20,4,927.1,227.03,21,14,919.1,224.03,15,18,926.1,237.03,10,15,892.1,275.04,932.1,229.03
10003006-16,10,003,006-16,768.73,76.46,3.16,3.1,678.85,67.09,15.14,16.31,699.66,68,8.23,12.32,703.61,65.07,9.17,21.53,666.54,95.34,687.06,77.91
10003006-17,10,003,006-17,91.7,99.61,1.08,1.05,89.56,88.24,2.06,6.21,80.38,98.3,2.05,5.16,93.57,91.24,0.05,2.23,95.53,86.23,96.77,84.05
10003006-18,10,003,006-18,914,272,7,6,867,239,14,19,861,241,12,16,876,240,11,17,842,276,882,235
10003006-19,10,003,006-19,187,60,4,0,166,60,8,5,162,65,2,10,170,61,4,6,165,66,172,63
10003006-21,10,003,006-21,952,461,14,11,964,418,18,24,910,469,11,19,956,442,11,11,925,472,948,455
10003006-22,10,003,006-22,359,253,9,2,362,232,7,7,343,257,3,4,360,239,3,6,344,257,362,239
10003006-23,10,003,006-23,884.31,514.44,14.95,5.98,886.31,461.6,13.96,24.92,812.53,541.36,9.97,17.95,873.35,497.49,10.97,16.95,867.36,506.46,867.36,503.47
10003006-24,10,003,006-24,820.8,453.19,21.56,12.58,823.1,403.4,21.31,27.15,777.23,437.02,20.18,25.18,832.05,416.43,15.12,14.44,807.33,439.78,837.16,413.76
10003006-25,10,003,006-25,817.42,365.46,22.36,6.8,802.84,326.58,20.41,21.38,774.65,354.76,12.64,20.41,801.86,335.33,18.47,22.36,790.2,349.9,810.61,337.27
10003006-26,10,003,006-26,849,372,19,3,850,346,13,17,809,381,10,14,851,351,5,16,838,375,885,322
10003006-27,10,003,006-27,751,193,15,1,724,177,13,15,713,187,4,15,714,188,6,18,706,207,719,196
10003007-01,10,003,007-01,456,31,3,6,414,29,9,4,413,29,3,6,422,30,2,9,398,45,406,38
10003007-02,10,003,007-02,493.42,75.72,3.98,0.11,462.1,61.81,1.24,8.03,453.44,67.81,2.1,9.05,462.44,64.87,3.08,5.12,451.34,74.62,457.65,68.22
10003007-03,10,003,007-03,920,122,4,3,822,92,14,16,830,88,9,17,842,86,6,24,808,118,836,96
10003007-04,10,003,007-04,848,234,19,9,855,196,15,19,812,246,15,16,863,203,9,17,821,241,807,248
10003007-05,10,003,007-05,718.29,181.14,7,5,691.29,166.12,5,12.01,675.28,172.13,5,15,697.29,159.13,3,11,680.29,176.13,693.3,166.12
10003007-06,10,003,007-06,655,342,17,4,671,313,14,15,622,361,8,18,663,332,6,9,620,371,625,367
10003007-07,10,003,007-07,829,375,12,7,814,346,14,18,790,368,11,19,820,344,9,17,796,375,810,365
10003007-08,10,003,007-08,715,821,25,6,752,743,19,20,673,822,15,15,766,745,16,9,786,734,784,722
10003007-09,10,003,007-09,167.54,150.3,4.85,3.23,176.7,141.14,3.23,4.85,158.38,159.46,0,3.77,165.93,153,1.62,3.23,179.39,141.68,176.16,145.45
10003007-10,10,003,007-10,1037,528,23,4,1082,452,15,21,1002,534,9,18,1083,465,9,14,1024,517,1035,502
10003007-12,10,003,007-12,663,409,15,5,670,374,11,18,632,413,4,15,661,388,10,15,638,414,656,397
10003007-13,10,003,007-13,317.18,136.42,7.75,0.24,309.62,128.17,2.29,7.42,297.32,138.8,2.12,8.13,305.85,133.62,4.1,6.15,304.51,135.08,310.68,130.29
10003007-15,10,003,007-15,784.64,423.5,4.65,3.72,792.08,373.24,12.1,11.17,769.75,389.06,5.58,13.96,795.81,372.31,6.52,13.96,783.71,385.34,791.15,378.82
10003007-16,10,003,007-16,738.38,130.89,4,2,705.4,124.89,4,8.99,708.4,123.9,3,4,713.4,126.89,2,5,690.42,137.88,711.4,123.9
