GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,cd_1990,cd_2000,ndv,nrv
15003002002,HI,003,2002,3088,154,364,19,2,1677,328,3,541,2509,95,337,18,2,1453,220,2,382,NA,NA,NA,NA,NA,NA,NA,1,1,480.7903514844216,452.5386411107016
15003002003,HI,003,2003,2019,121,206,41,3,930,316,2,400,1581,84,191,38,3,779,228,2,256,NA,NA,NA,NA,NA,NA,NA,1,1,302.9611581095538,285.15886472539626
15003002004,HI,003,2004,4594,225,514,53,4,2670,393,12,723,3783,151,464,46,3,2335,289,7,488,NA,NA,NA,NA,NA,NA,NA,1,1,724.9222398029362,682.3251013638039
15003002005,HI,003,2005,4822,234,474,33,4,3023,332,6,716,3964,154,438,31,4,2603,245,5,484,NA,NA,NA,NA,NA,NA,NA,1,1,759.6065975624739,714.9713724044723
15003002101,HI,003,2101,5035,163,1209,52,7,2778,199,24,603,4277,129,1157,44,7,2365,158,16,401,NA,NA,NA,NA,NA,NA,NA,1,1,819.585625069299,771.4259737068436
15003002102,HI,003,2102,4795,215,1875,109,15,1997,246,7,331,4382,185,1814,104,13,1792,202,7,265,NA,NA,NA,NA,NA,NA,NA,1,1,839.7063850955501,790.3644182331982
15003002103,HI,003,2103,3946,134,1800,101,6,1358,174,12,361,3556,126,1715,94,6,1186,144,7,278,NA,NA,NA,NA,NA,NA,NA,1,1,681.4230728890408,641.3819879592088
15003002104,HI,003,2104,641,32,225,20,1,298,10,2,53,611,31,222,18,1,285,10,2,42,NA,NA,NA,NA,NA,NA,NA,1,1,117.08366072418558,110.20371052954908
15003002105,HI,003,2105,5607,183,2556,98,12,2114,235,5,404,5122,144,2479,94,11,1919,185,4,286,NA,NA,NA,NA,NA,NA,NA,1,1,981.50983670913,923.8353606094114
15003002201,HI,003,2201,128,7,5,0,0,91,14,0,11,96,5,5,0,0,66,11,0,9,NA,NA,NA,NA,NA,NA,NA,1,1,18.396123452572528,17.31514928123848
15003002202,HI,003,2202,2503,111,422,21,5,1481,108,0,355,2188,79,397,21,5,1323,99,0,264,NA,NA,NA,NA,NA,NA,NA,1,1,419.2783136898822,394.6411107015604
15003002203,HI,003,2203,3276,138,339,29,2,2000,264,5,499,2817,107,327,29,2,1789,216,5,342,NA,NA,NA,NA,NA,NA,NA,1,1,539.8112475614251,508.09141172134173
15003002204,HI,003,2204,4310,199,457,32,2,2862,230,5,523,3723,137,436,29,2,2571,170,5,373,NA,NA,NA,NA,NA,NA,NA,1,1,713.4246626450783,671.5031330630298
15003002205,HI,003,2205,8147,236,1467,86,8,5368,281,11,690,7350,175,1425,84,8,4878,240,10,530,NA,NA,NA,NA,NA,NA,NA,1,1,1408.4532018375842,1325.6911168448212
15003002301,HI,003,2301,72,4,14,0,0,39,2,0,13,64,4,11,0,0,37,2,0,10,NA,NA,NA,NA,NA,NA,NA,1,1,12.26408230171502,11.543432854158988
15003002302,HI,003,2302,5825,249,1236,58,13,3148,261,10,850,5220,216,1126,52,12,2883,213,8,710,NA,NA,NA,NA,NA,NA,NA,1,1,1000.2892127336311,941.5112421673423
15003002303,HI,003,2303,2860,159,533,31,5,1491,161,7,473,2438,111,508,30,5,1305,131,2,346,NA,NA,NA,NA,NA,NA,NA,1,1,467.1848851809565,439.73264528811893
15003002304,HI,003,2304,2603,109,744,25,6,1279,112,8,320,2144,71,639,20,5,1117,84,6,202,NA,NA,NA,NA,NA,NA,NA,1,1,410.84675710745313,386.7050006143261
15003002305,HI,003,2305,2295,55,550,8,1,1352,42,5,282,1903,37,485,7,1,1187,32,4,150,NA,NA,NA,NA,NA,NA,NA,1,1,364.6648221900575,343.23676127288365
15003002306,HI,003,2306,3390,51,434,4,3,2438,91,6,363,2873,30,386,3,2,2173,68,3,208,NA,NA,NA,NA,NA,NA,NA,1,1,550.5423195754258,518.1919154687308
15003002307,HI,003,2307,3650,61,659,7,5,2432,62,5,419,3063,45,583,7,5,2121,46,1,255,NA,NA,NA,NA,NA,NA,NA,1,1,586.9513139086422,552.4614817545153
15003002401,HI,003,2401,1426,33,542,1,3,644,37,3,163,1188,22,487,1,3,549,27,3,96,NA,NA,NA,NA,NA,NA,NA,1,1,227.65202772558504,214.2749723553262
15003002402,HI,003,2402,2652,148,781,34,1,1178,155,4,351,2352,110,749,31,1,1055,119,3,284,NA,NA,NA,NA,NA,NA,NA,1,1,450.70502458802696,424.2211573903428
15003002403,HI,003,2403,5622,345,738,62,6,3060,462,14,935,4589,225,700,61,5,2626,325,10,637,NA,NA,NA,NA,NA,NA,NA,1,1,879.3730262901596,827.7002088708687
15003002404,HI,003,2404,2144,112,430,30,2,1151,111,5,303,1792,86,401,26,2,961,90,4,222,NA,NA,NA,NA,NA,NA,NA,1,1,343.39430444802053,323.21611991645165
15003002405,HI,003,2405,5889,224,1211,69,13,3309,304,11,748,5081,163,1154,65,9,2938,223,10,519,NA,NA,NA,NA,NA,NA,NA,1,1,973.6531589845939,916.440348937216
15003002406,HI,003,2406,1850,56,574,2,1,826,107,5,279,1519,39,509,2,1,727,70,3,168,NA,NA,NA,NA,NA,NA,NA,1,1,291.08032837976737,273.9761641479297
15003002501,HI,003,2501,3846,190,424,59,8,2321,266,2,576,3267,145,395,51,7,2052,197,2,418,NA,NA,NA,NA,NA,NA,NA,1,1,626.0430762453589,589.256173977147
15003002502,HI,003,2502,3042,107,514,15,7,1946,130,5,318,2568,72,491,12,6,1671,100,4,212,NA,NA,NA,NA,NA,NA,NA,1,1,492.09630235631516,463.1802432731294
15003002503,HI,003,2503,9631,364,2490,149,11,5150,520,25,922,8444,273,2357,137,10,4539,388,22,718,NA,NA,NA,NA,NA,NA,NA,1,1,1618.0923586825252,1523.0116721956015
15003002504,HI,003,2504,6560,194,1115,60,7,4272,276,11,625,5751,139,1073,57,6,3756,210,9,501,NA,NA,NA,NA,NA,NA,NA,1,1,1102.042770580673,1037.2856616291929
15003002505,HI,003,2505,2512,163,441,31,4,1186,273,4,410,2127,121,415,29,4,1043,190,3,322,NA,NA,NA,NA,NA,NA,NA,1,1,407.58911024606005,383.6387762624401
15003002506,HI,003,2506,1258,57,283,19,0,667,83,0,149,1110,40,271,19,0,602,65,0,113,NA,NA,NA,NA,NA,NA,NA,1,1,212.70517742036984,200.20641356431994
15003002601,HI,003,2601,3051,99,813,22,5,1600,130,1,381,2661,79,790,22,5,1386,110,1,268,NA,NA,NA,NA,NA,NA,NA,1,1,509.9175469509948,479.95429413932914
15003002602,HI,003,2602,1047,76,262,11,1,406,104,0,187,885,58,246,11,1,370,72,0,127,NA,NA,NA,NA,NA,NA,NA,1,1,169.58926307840298,159.62403243641725
15003002603,HI,003,2603,3594,210,576,29,2,1731,362,14,670,2863,135,529,27,2,1479,259,10,422,NA,NA,NA,NA,NA,NA,NA,1,1,548.6260567157829,516.3882540852685
15003002604,HI,003,2604,3813,182,842,23,5,2060,176,5,520,3259,123,782,20,5,1817,135,5,372,NA,NA,NA,NA,NA,NA,NA,1,1,624.5100659576445,587.8132448703773
15003002605,HI,003,2605,3391,106,607,9,3,2075,125,2,464,2807,66,520,7,3,1824,101,1,285,NA,NA,NA,NA,NA,NA,NA,1,1,537.8949847017822,506.28775033787934
15003002606,HI,003,2606,3386,82,312,11,2,2234,200,7,538,2796,46,276,8,2,1940,154,5,365,NA,NA,NA,NA,NA,NA,NA,1,1,535.7870955561749,504.3037228160708
15003002607,HI,003,2607,1787,82,64,8,0,183,932,0,518,1313,41,59,8,0,161,667,0,377,NA,NA,NA,NA,NA,NA,NA,1,1,251.60531347112217,236.8207396486055
15003002701,HI,003,2701,2039,88,226,9,0,1445,79,0,192,1792,65,211,9,0,1297,64,0,146,NA,NA,NA,NA,NA,NA,NA,1,1,343.39430444802053,323.21611991645165
15003002702,HI,003,2702,3403,142,216,14,2,2280,257,1,491,2816,98,198,12,2,1964,204,1,337,NA,NA,NA,NA,NA,NA,NA,1,1,539.6196212754609,507.9110455829955
15003002703,HI,003,2703,3814,124,232,4,2,2610,317,4,521,3061,89,206,4,2,2224,214,4,318,NA,NA,NA,NA,NA,NA,NA,1,1,586.5680613367136,552.1007494778228
15003002704,HI,003,2704,2813,139,200,7,2,1646,322,0,497,2141,82,173,6,2,1358,197,0,323,NA,NA,NA,NA,NA,NA,NA,1,1,410.2718782495602,386.16390219928735
15003002705,HI,003,2705,4392,147,439,3,5,2915,256,2,625,3692,99,402,3,4,2577,205,0,402,NA,NA,NA,NA,NA,NA,NA,1,1,707.4842477801852,665.9117827742966
15003002706,HI,003,2706,1865,61,180,1,2,1297,78,0,246,1508,38,155,0,2,1089,58,0,166,NA,NA,NA,NA,NA,NA,NA,1,1,288.9724392341601,271.9921366261211
15003002707,HI,003,2707,532,12,83,3,0,343,42,0,49,462,9,78,2,0,309,38,0,26,NA,NA,NA,NA,NA,NA,NA,1,1,88.53134411550529,83.32915591596019
15003002801,HI,003,2801,3006,117,138,9,0,1965,330,1,446,2391,76,129,7,0,1659,223,1,296,NA,NA,NA,NA,NA,NA,NA,1,1,458.1784497406345,431.2554367858459
15003002802,HI,003,2802,4375,370,264,17,7,2810,295,5,607,3321,240,241,14,6,2207,214,1,398,NA,NA,NA,NA,NA,NA,NA,1,1,636.3908956874309,598.9959454478437
15003002803,HI,003,2803,4673,150,161,14,0,3511,284,4,549,3650,109,141,14,0,2819,208,3,356,NA,NA,NA,NA,NA,NA,NA,1,1,699.4359437696846,658.3364049637548
15003002804,HI,003,2804,6521,323,332,23,2,3525,1379,21,916,4559,194,292,18,2,2804,690,15,544,NA,NA,NA,NA,NA,NA,NA,1,1,873.6242377112308,822.2892247204817
