GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT,school,cd_1990,cd_2000,ndv,nrv
48007000001,TX,007,0001,3372,730,2506,42,18,44,3,1,28,2459,437,1924,27,17,31,2,0,21,NA,62804,93295,NA,08550,6,14,221.73932020802377,367.66251857355127
48007000002,TX,007,0002,4859,1534,2977,94,20,159,1,10,64,3431,988,2226,71,15,96,1,4,30,NA,62804,93295,NA,08550,6,14,309.3890230312035,512.9931277860327
48007000003,TX,007,0003,5337,911,4076,67,18,205,0,4,56,4268,535,3518,44,16,123,0,2,30,NA,62804,93295,NA,08550,6,14,384.8651560178306,638.1389301634472
48007000004,TX,007,0004,4510,456,3735,43,26,183,1,1,65,3652,296,3147,26,16,123,0,1,43,NA,62804,91420,NA,08550,6,14,329.3176077265973,546.0364041604755
4800700001A,TX,007,001A,2984,784,2067,52,12,9,2,6,52,2156,509,1550,43,10,7,2,3,32,NA,03600,93295,NA,08580,6,14,194.4164190193165,322.3588410104012
4800700004A,TX,007,004A,1435,156,1235,5,10,14,0,1,14,1185,103,1054,4,7,9,0,0,8,NA,NA,91420,NA,08550,6,14,106.85689078751857,177.1777488855869
48009000001,TX,009,0001,1857,61,1758,0,15,4,0,2,17,1278,38,1212,0,11,4,0,2,11,NA,34532,91815,NA,23400,5,1,264.9267065114816,375.88235294117646
48009000002,TX,009,0002,1154,35,1084,2,8,1,0,1,23,826,27,776,2,6,1,0,0,14,NA,34532,91815,NA,23400,5,1,171.22805913809373,242.9411764705882
48009000003,TX,009,0003,530,48,478,0,0,0,2,0,2,355,26,326,0,0,0,2,0,1,NA,66284,90130,NA,08610,5,1,73.59075180874488,104.41176470588235
48009000004,TX,009,0004,904,176,715,0,1,1,1,0,10,593,98,487,0,1,1,1,0,5,NA,79696,90130,NA,46080,5,1,122.92765020446681,174.41176470588235
48009000005,TX,009,0005,620,21,595,0,1,0,0,0,3,462,13,446,0,1,0,0,0,2,NA,03696,90130,NA,08610,5,1,95.77162629757785,135.88235294117646
48009000006,TX,009,0006,1428,33,1375,0,8,0,0,0,12,1061,18,1030,0,8,0,0,0,5,NA,03696,90130,NA,08610,5,1,219.94306385655867,312.05882352941177
48009000007,TX,009,0007,342,15,314,2,2,3,0,0,6,257,12,237,1,2,2,0,0,3,NA,47460,91815,NA,30090,5,1,53.275558351682925,75.58823529411765
48009000008,TX,009,0008,274,18,247,0,1,0,0,0,8,190,9,175,0,1,0,0,0,5,NA,NA,91815,NA,08610,5,1,39.38659955960994,55.88235294117647
48009000009,TX,009,0009,182,4,170,0,8,0,0,0,0,148,4,139,0,5,0,0,0,0,NA,NA,91815,NA,23400,5,1,30.680088078011952,43.52941176470588
48009000010,TX,009,0010,969,16,941,3,3,1,0,0,5,718,8,701,2,3,1,0,0,3,NA,40756,91815,NA,23400,5,1,148.83988675684176,211.17647058823528
48009000011,TX,009,0011,125,1,124,0,0,0,0,0,0,90,1,89,0,0,0,0,0,0,NA,NA,90130,NA,33630,5,1,18.656810317709972,26.47058823529412
48009000012,TX,009,0012,169,2,164,0,0,1,0,0,2,134,2,129,0,0,1,0,0,2,NA,NA,91815,NA,08610,5,1,27.777917584145957,39.411764705882355
48009000013,TX,009,0013,300,1,298,0,0,0,0,0,1,246,1,244,0,0,0,0,0,1,NA,03696,91815,NA,23400,5,1,50.99528153507392,72.35294117647058
48011000101,TX,011,0101,513,17,491,1,1,0,0,1,2,373,4,365,0,1,0,0,1,2,NA,15196,90740,NA,14250,5,1,64.78791692888609,146.94650723725613
48011000201,TX,011,0201,330,39,288,2,1,0,0,0,0,252,23,227,2,0,0,0,0,0,NA,15196,90745,NA,14250,5,1,43.77092511013216,99.27753303964758
48011000202,TX,011,0202,193,14,177,1,0,0,0,0,1,137,6,129,1,0,0,0,0,1,NA,NA,90745,NA,14250,5,1,23.7960981749528,53.972309628697296
48011000301,TX,011,0301,397,13,382,0,1,0,0,0,1,289,6,281,0,1,0,0,0,1,NA,15196,90745,NA,14250,5,1,50.19760855884204,113.85399622404027
48011000302,TX,011,0302,32,2,30,0,0,0,0,0,0,26,1,25,0,0,0,0,0,0,NA,NA,90745,NA,14250,5,1,4.516047828823159,10.242920075519194
48011000303,TX,011,0303,141,6,132,0,0,0,0,0,3,103,3,98,0,0,0,0,0,2,NA,NA,90745,NA,14250,5,1,17.89049716803021,40.57772183763373
48011000401,TX,011,0401,210,4,204,0,1,0,0,0,1,165,2,161,0,1,0,0,0,1,NA,15196,90745,NA,14250,5,1,28.659534298300816,65.00314663310257
48011000402,TX,011,0402,245,20,219,0,2,0,0,0,4,181,12,165,0,2,0,0,0,2,NA,NA,90740,NA,14250,5,1,31.438640654499682,71.30648206419131
48011000403,TX,011,0403,46,1,45,0,0,0,0,0,0,35,1,34,0,0,0,0,0,0,NA,NA,90740,NA,14250,5,1,6.079295154185022,13.788546255506608
48011000404,TX,011,0404,41,0,40,0,1,0,0,0,0,28,0,27,0,1,0,0,0,0,NA,NA,90745,NA,14250,5,1,4.863436123348018,11.030837004405287
48013000001,TX,013,0001,2258,1361,834,24,13,7,1,0,18,1528,864,621,20,8,5,0,0,10,NA,58280,93070,NA,35190,14,29,203.76809615895044,244.7302923444432
48013000002,TX,013,0002,2605,1747,817,3,20,2,0,1,15,1674,1080,569,3,13,2,0,0,7,NA,NA,93120,NA,40740,14,29,223.23808440450458,268.11420771243314
48013000003,TX,013,0003,2661,1365,1233,11,3,23,5,1,20,1831,855,928,8,3,18,2,1,16,NA,58280,93070,NA,35190,14,29,244.174989572669,293.2599249232169
48013000004,TX,013,0004,318,186,129,0,0,0,0,3,0,232,132,97,0,0,0,0,3,0,NA,NA,90595,NA,35190,14,29,30.93861145868881,37.15800250255944
48013000005,TX,013,0005,699,359,330,4,1,3,0,0,2,484,224,256,2,1,1,0,0,0,NA,NA,93120,NA,35520,14,29,64.5443445948508,77.51928108292572
48013000006,TX,013,0006,438,278,160,0,0,0,0,0,0,315,182,133,0,0,0,0,0,0,NA,14404,90695,NA,13710,14,29,42.00716642020248,50.45159822545785
48013000007,TX,013,0007,2917,1931,948,2,6,3,1,1,25,1913,1194,691,2,5,3,1,1,16,NA,NA,93070,NA,35190,14,29,255.110188450309,306.393356842225
48013000008,TX,013,0008,782,451,325,1,4,0,0,0,1,580,327,249,1,2,0,0,0,1,NA,59084,93120,NA,35520,14,29,77.34652864672202,92.89500625639859
48013000009,TX,013,0009,75,7,67,1,0,0,0,0,0,64,3,60,1,0,0,0,0,0,NA,NA,93070,NA,35190,14,29,8.534789367914156,10.250483448981914
48013000010,TX,013,0010,1435,793,598,1,14,7,0,3,19,1007,520,454,1,10,3,0,3,16,NA,08164,93120,NA,35520,14,29,134.28957646077427,161.28495051757477
48013000011,TX,013,0011,92,23,69,0,0,0,0,0,0,78,16,62,0,0,0,0,0,0,NA,NA,90595,NA,25140,14,29,10.401774542145377,12.492776703446708
48013000012,TX,013,0012,2024,1235,734,7,16,6,1,5,20,1394,794,566,6,9,4,1,3,11,NA,45288,93120,NA,28650,14,29,185.89838091988017,223.2683426231373
48013000013,TX,013,0013,3254,1665,1535,3,15,10,0,8,18,2206,1072,1097,2,13,7,0,6,9,NA,38116,91955,NA,24960,14,29,294.183521025291,353.3213513820953
48013000014,TX,013,0014,667,374,279,8,0,1,0,0,5,455,224,221,4,0,1,0,0,5,NA,14860,91955,NA,24960,14,29,60.6770181625147,72.87453077010579
48013000015,TX,013,0015,1958,1255,651,19,7,6,3,0,17,1395,851,504,15,6,4,3,0,12,NA,58280,93070,NA,35190,14,29,186.03173700375385,223.42850642702766
48013000016,TX,013,0016,1672,1481,180,3,2,0,0,0,6,1118,958,151,1,2,0,0,0,6,NA,59084,93120,NA,35520,14,29,149.0921017707504,179.0631327494028
48013000017,TX,013,0017,2227,1746,465,5,0,6,0,0,5,1482,1115,354,4,0,5,0,0,4,NA,59084,93120,NA,35520,14,29,197.63371630076216,237.36275736548743
48013000018,TX,013,0018,1848,1409,423,3,6,0,0,0,7,1236,903,321,3,4,0,0,0,5,NA,14404,90695,NA,13710,14,29,164.8281196678421,197.9624616084632
48013000019,TX,013,0019,1162,498,606,37,4,2,1,0,14,818,342,430,32,3,1,0,0,10,NA,38116,91955,NA,24960,14,29,109.08527660865279,131.01399158230006
48013000020,TX,013,0020,4009,1166,2774,27,11,13,0,2,16,2876,694,2134,19,8,10,0,2,9,NA,58280,93070,NA,35190,14,29,383.5320972206423,460.6310999886247
48013000021,TX,013,0021,301,99,200,1,0,0,0,0,1,228,66,160,1,0,0,0,0,1,NA,NA,90595,NA,35190,14,29,30.405187123194175,36.51734728699807
48013000022,TX,013,0022,818,312,481,10,2,0,4,4,5,558,190,350,5,2,0,2,4,5,NA,NA,93070,NA,35190,14,29,74.41269480150154,89.37140257081106
48013000023,TX,013,0023,2992,2153,782,4,12,11,0,0,30,1950,1310,601,2,11,10,0,0,16,NA,NA,93120,NA,35520,14,29,260.04436355363435,312.3194175861677
48013000024,TX,013,0024,1416,726,664,5,9,3,0,3,6,951,438,496,4,5,3,0,2,3,NA,45288,93120,NA,28650,14,29,126.8216357638494,152.31577749971564
48015000101,TX,015,0101,3732,530,2761,366,10,14,0,4,47,2732,336,2108,247,7,11,0,2,21,NA,07432,90250,NA,09810,21,32,345.3286087714203,632.0973569561429
48015000102,TX,015,0102,771,111,458,185,0,7,0,1,9,569,71,359,128,0,5,0,1,5,NA,NA,90250,NA,09810,21,32,71.92239326169039,131.64838803369156
48015000103,TX,015,0103,775,28,732,5,2,0,0,0,8,550,20,520,4,2,0,0,0,4,NA,NA,90250,NA,09810,21,32,69.52076677316293,127.25239616613418
48015000104,TX,015,0104,606,29,568,6,1,0,0,0,2,484,20,456,6,1,0,0,0,1,NA,NA,93490,NA,39630,21,32,61.17827476038339,111.98210862619808
48015000205,TX,015,0205,1971,148,1546,260,7,0,0,1,9,1456,79,1186,182,2,0,0,1,6,NA,07432,90250,NA,09810,21,32,184.04042985768226,336.8717978507116
48015000206,TX,015,0206,688,24,609,41,2,5,0,0,7,511,16,453,34,2,3,0,0,3,NA,NA,90250,NA,09810,21,32,64.59111240197502,118.22904443799013
48015000207,TX,015,0207,479,41,430,3,1,1,0,0,3,370,27,336,3,1,1,0,0,2,NA,NA,94165,NA,09810,21,32,46.7685158292187,85.6061574208539
48015000208,TX,015,0208,790,39,716,21,2,5,0,6,1,615,26,567,17,1,4,0,0,0,NA,35984,94165,NA,09810,21,32,77.73685739180947,142.29131571304094
48015000209,TX,015,0209,666,43,547,65,0,0,0,10,1,530,29,447,48,0,0,0,5,1,NA,NA,94165,NA,14700,21,32,66.99273889050247,122.6250363055475
48015000210,TX,015,0210,979,91,778,96,0,1,0,8,5,747,54,618,65,0,1,0,5,4,NA,35984,94165,NA,09810,21,32,94.42184141736858,172.83189079291316
48015000211,TX,015,0211,351,21,323,3,0,0,0,0,4,280,14,260,3,0,0,0,0,3,NA,NA,94165,NA,09810,21,32,35.39239035724659,64.78303804821377
48015000312,TX,015,0312,338,10,320,7,0,0,0,0,1,272,10,256,5,0,0,0,0,1,NA,NA,93490,NA,39630,21,32,34.3811792041824,62.9320941039791
48015000314,TX,015,0314,5291,1301,3223,690,16,17,0,4,40,3672,745,2421,463,9,12,0,1,21,NA,66464,93490,NA,39630,21,32,464.1459192564624,849.5832704037176
48015000413,TX,015,0413,877,412,422,32,0,0,0,0,11,603,251,323,22,0,0,0,0,7,NA,66464,93490,NA,39630,21,32,76.2200406622132,139.51489979668895
48015000415,TX,015,0415,1963,479,1177,279,2,0,1,0,25,1388,285,886,196,2,0,1,0,18,NA,76240,94070,NA,44470,6,32,175.44513505663664,321.1387743247168
48015000416,TX,015,0416,1105,228,798,59,3,11,0,0,6,798,143,602,43,1,6,0,0,3,NA,66464,93490,NA,39630,6,32,100.86831251815278,184.63165843740924
48015000417,TX,015,0417,994,127,607,249,1,0,0,0,10,737,71,481,179,1,0,0,0,5,NA,65372,93490,NA,39630,6,32,93.15782747603834,170.5182108626198
48015000418,TX,015,0418,1214,143,949,108,0,7,0,0,7,901,87,740,66,0,5,0,0,3,NA,66464,93490,NA,39630,6,32,113.88765611385419,208.4625617194307
48017000001,TX,017,0001,1655,616,1010,16,5,1,0,1,6,1192,357,815,10,5,1,0,1,3,NA,49968,92685,NA,31890,26,20,190.3258646943659,342.79399608440286
48017000002,TX,017,0002,1652,433,1180,11,4,7,0,1,16,1213,263,920,7,3,6,0,1,13,NA,49968,92685,NA,31890,26,20,193.6789210354579,348.8331520556885
48017000003,TX,017,0003,261,108,148,1,1,0,0,0,3,180,63,112,1,1,0,0,0,3,NA,NA,93670,NA,42730,26,20,28.740482923645857,51.76419403959104
48017000004,TX,017,0004,1409,803,576,7,2,0,0,0,21,962,487,459,2,2,0,0,0,12,NA,49968,92685,NA,31890,26,20,153.60191429192952,276.65085925603654
48017000005,TX,017,0005,158,73,81,3,1,0,0,0,0,113,43,67,2,1,0,0,0,0,NA,NA,93670,NA,42730,26,20,18.042636502066564,32.496410702632154
48017000006,TX,017,0006,115,25,89,0,0,0,0,0,1,89,19,69,0,0,0,0,0,1,NA,NA,93670,NA,41760,26,20,14.210572112247117,25.594518164020013
48017000007,TX,017,0007,1344,1061,233,38,3,0,0,0,9,848,634,181,27,2,0,0,0,4,NA,49968,92685,NA,31890,26,20,135.39960844028715,243.86686969762889
48019000001,TX,019,0001,1075,84,955,1,8,4,0,0,23,795,53,714,1,7,4,0,0,16,NA,05528,90195,NA,09360,28,22,60.40851640084261,162.92356304544086
48019000002,TX,019,0002,2891,435,2398,2,28,8,0,2,18,2120,276,1802,2,20,8,0,2,10,NA,40576,90195,NA,09360,28,22,161.08937706891365,434.4628347878423
48019000003,TX,019,0003,2323,328,1950,13,4,6,0,5,17,1755,210,1513,8,3,6,0,2,13,NA,40576,90195,NA,09360,28,22,133.35464941318085,359.66145049653926
48019000004,TX,019,0004,2404,306,2028,5,14,7,2,3,39,1817,202,1559,5,13,4,1,3,30,NA,40576,90195,NA,09360,28,22,138.06575383689437,372.3674390610894
48019000005,TX,019,0005,2899,441,2388,4,14,8,3,0,41,2214,293,1872,4,10,6,2,0,27,NA,05528,90195,NA,09360,28,22,168.23201925970508,453.7267529340957
48019000006,TX,019,0006,944,80,828,18,3,2,0,0,13,650,38,600,1,3,0,0,0,8,NA,NA,92500,NA,30030,28,22,49.39061089377069,133.2079446283479
48019000007,TX,019,0007,2401,394,1961,1,22,1,0,3,19,1856,273,1549,1,13,1,0,3,16,NA,05528,90195,NA,09360,28,22,141.02919049052062,380.3599157387903
48019000008,TX,019,0008,518,34,474,0,2,0,0,0,8,418,23,387,0,2,0,0,0,6,NA,NA,92500,NA,30030,28,22,31.761962082455614,85.6629551609991
48019000009,TX,019,0009,559,54,492,1,4,1,0,0,7,428,38,382,1,3,0,0,0,4,NA,NA,92500,NA,30030,28,22,32.52181763466747,87.71230815528138
48019000010,TX,019,0010,499,31,460,0,2,2,0,0,4,391,18,367,0,2,2,0,0,2,NA,74576,92500,NA,43680,28,22,29.7103520914836,80.12970207643696
48019000011,TX,019,0011,1132,197,899,5,15,8,1,0,7,848,136,687,4,11,4,1,0,5,NA,40576,90195,NA,09360,28,22,64.43575082756544,173.7851339151369
48021000001,TX,021,0001,4644,469,3479,536,27,75,3,2,53,3500,351,2653,394,21,52,1,1,27,NA,05864,90210,NA,09570,6,14,490.0454447089374,437.2790882204429
48021000002,TX,021,0002,3346,915,2150,230,12,6,0,0,33,2409,561,1666,150,7,6,0,0,19,NA,23044,91200,NA,18360,6,32,337.2912789439515,300.9729495780134
48021000003,TX,021,0003,4128,699,2841,526,14,6,4,1,37,3018,399,2201,377,10,6,3,1,21,NA,68456,93600,NA,40550,6,14,422.5591863233066,377.05951092837046
