GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,cd_1990,cd_2000,ndv,nrv
21029020900,21,029,0209,2800,2741,0,26,12,3,0,0,18,2093,2053,0,17,11,2,0,0,10,NA,09964,93160,00750,2,6,NA,NA
21029021100,21,029,0211,6809,6673,10,40,21,14,2,1,48,4931,4837,9,26,11,10,2,0,36,NA,70086,93168,00750,2,6,NA,NA
21029021200,21,029,0212,4880,4776,16,27,10,11,0,0,40,3597,3533,12,15,10,5,0,0,22,NA,44362,92008,00750,2,6,NA,NA
21031990100,21,031,9901,3350,3281,26,17,3,1,0,0,22,2477,2437,3,14,2,1,0,0,20,NA,53490,93648,00810,1,5,NA,NA
21031990200,21,031,9902,1717,1687,4,9,3,0,0,0,14,1240,1222,2,5,3,0,0,0,8,NA,NA,91888,00810,1,5,NA,NA
21031990300,21,031,9903,4721,4567,33,91,7,10,0,0,13,3574,3451,27,73,7,9,0,0,7,NA,53490,92392,00810,1,5,NA,NA
21031990400,21,031,9904,1758,1730,4,8,10,2,0,0,4,1308,1288,2,5,8,2,0,0,3,NA,NA,93392,00810,1,5,NA,NA
21031990500,21,031,9905,1464,1419,0,10,4,9,0,0,22,1123,1095,0,7,3,3,0,0,15,NA,65982,92936,00810,1,5,NA,NA
21033980100,21,033,9801,2234,2196,15,9,2,2,0,0,10,1716,1690,11,5,2,2,0,0,6,NA,29080,91336,00840,1,5,NA,NA
21033980200,21,033,9802,5230,4613,513,42,8,10,0,7,37,4016,3585,381,22,7,8,0,1,12,NA,63138,92848,00840,1,5,NA,NA
21033980300,21,033,9803,5596,5422,95,29,7,9,1,5,28,4401,4285,68,21,5,4,1,0,17,NA,63138,92848,00840,1,5,NA,NA
21035010100,21,035,0101,4124,4031,12,34,13,4,0,0,30,3132,3068,8,24,9,4,0,0,19,NA,NA,93176,00870,1,5,NA,NA
21035010200,21,035,0102,4275,4092,60,89,10,6,0,3,15,3293,3160,55,57,4,3,0,1,13,NA,NA,91936,00870,1,5,NA,NA
