GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
40013000005,OK,013,5,2002,84,1509,19,250,11,1,2,126,1455,56,1140,12,157,7,1,2,80,NA,NA,NA,NA,NA,NA,NA,NA,3,2,313.4807776321538,189.58224115334207
40013000006,OK,013,6,949,33,730,22,116,6,3,0,39,722,27,573,15,76,6,3,0,22,NA,NA,NA,NA,NA,NA,NA,NA,3,2,155.5554099315567,94.0744866754041
40013000009,OK,013,9,2347,49,1931,13,231,43,0,0,80,1876,37,1593,9,152,33,0,0,52,NA,NA,NA,NA,NA,NA,NA,NA,3,2,404.1855249745158,244.4373088685015
40013000010,OK,013,10,904,5,664,4,180,2,0,0,49,618,2,485,4,104,1,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,3,2,133.1485364788117,80.52359108781127
40013000011,OK,013,11,453,28,387,0,32,0,0,0,6,353,22,304,0,22,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,3,2,76.05409931556721,45.99486675404107
40013000012,OK,013,12,617,8,487,1,84,3,0,0,34,431,6,351,1,52,2,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,3,2,92.85925440512597,56.158038444735695
40013000013,OK,013,13,1337,22,956,4,316,1,0,0,38,980,16,730,4,207,1,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,3,2,211.14169215086648,127.69113149847095
40013000014,OK,013,14,694,4,586,0,72,0,0,0,32,528,2,459,0,46,0,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,3,2,113.75797291393621,68.79685452162516
40013000015,OK,013,15,1274,18,1001,2,179,2,0,0,72,958,7,774,2,116,1,0,0,58,NA,NA,NA,NA,NA,NA,NA,NA,3,2,206.40177661278577,124.82459589340323
40013000016,OK,013,16,511,7,419,0,72,0,0,2,11,366,3,308,0,47,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,3,2,78.85495849716034,47.688728702490174
40013000017,OK,013,17,1681,36,1298,10,236,3,0,0,98,1229,16,999,8,137,3,0,0,66,NA,NA,NA,NA,NA,NA,NA,NA,3,2,264.78891801368866,160.13510266491917
40013000018,OK,013,18,2360,63,1942,15,235,5,0,0,100,1714,35,1463,11,140,5,0,0,60,NA,NA,NA,NA,NA,NA,NA,NA,3,2,369.2825105577399,223.32918304936655
40013000019,OK,013,19,739,20,582,0,102,1,0,0,34,561,9,468,0,56,1,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,3,2,120.86784622105722,73.09665792922674
40013000020,OK,013,20,2188,69,1838,20,114,0,2,0,145,1632,35,1432,12,73,0,2,0,78,NA,NA,NA,NA,NA,NA,NA,NA,3,2,351.61555264307555,212.6448230668414
40013000021,OK,013,21,672,10,560,0,86,1,0,0,15,496,8,425,0,51,1,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,3,2,106.8635503130916,64.62734818698121
40013000022,OK,013,22,1984,70,1466,192,157,1,0,1,97,1502,36,1169,135,101,1,0,1,59,NA,NA,NA,NA,NA,NA,NA,NA,3,2,323.6069608271443,195.70620358235038
40013000023,OK,013,23,768,10,597,34,95,4,0,0,28,573,7,460,27,61,3,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,3,2,123.45325469637396,74.66022280471822
40013000025,OK,013,25,2296,33,1918,1,222,3,0,1,118,1800,18,1553,1,156,2,0,1,69,NA,NA,NA,NA,NA,NA,NA,NA,3,2,387.81127129750985,234.53473132372216
40013000026,OK,013,26,694,8,531,1,115,0,0,0,39,517,4,413,1,71,0,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,3,2,111.38801514489589,67.36358671909132
40013000027,OK,013,27,2407,53,1929,26,259,19,1,0,120,1836,34,1522,15,168,12,1,0,84,NA,NA,NA,NA,NA,NA,NA,NA,3,2,395.56749672346,239.22542595019658
40013000028,OK,013,28,1001,22,811,2,113,2,0,0,51,747,16,620,2,74,2,0,0,33,NA,NA,NA,NA,NA,NA,NA,NA,3,2,160.94167758846658,97.3319134993447
40013000029,OK,013,29,563,14,443,0,78,1,2,0,25,407,5,331,0,50,1,1,0,19,NA,NA,NA,NA,NA,NA,NA,NA,3,2,87.6884374544925,53.03090869375273
40013000030,OK,013,30,398,12,334,0,42,0,0,0,10,305,7,263,0,28,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,3,2,65.71246541430028,39.740607252075144
40013000031,OK,013,31,105,2,89,0,12,0,0,0,2,83,0,71,0,10,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,17.88240862094073,10.814657055482742
40013000033,OK,013,33,1402,23,1236,2,83,9,0,0,49,1024,10,928,2,53,5,0,0,26,NA,NA,NA,NA,NA,NA,NA,NA,3,2,220.6215232270278,133.42420270860637
40015000012,OK,015,12,1834,146,688,212,680,3,0,0,105,1166,61,507,150,398,3,0,0,47,NA,NA,NA,NA,NA,NA,NA,NA,6,3,273.9913279132791,195.79837398373985
40015000022,OK,015,22,2295,159,660,71,1289,6,0,0,110,1364,94,546,57,616,3,0,0,48,NA,NA,NA,NA,NA,NA,NA,NA,6,3,320.5181571815718,229.0471544715447
40015000031,OK,015,31,1085,85,592,21,306,4,0,0,77,766,50,465,17,192,3,0,0,39,NA,NA,NA,NA,NA,NA,NA,NA,6,3,179.9977334318798,128.6291204730229
40015000041,OK,015,41,2558,281,1148,119,863,5,0,2,140,1731,153,905,85,518,5,0,2,63,NA,NA,NA,NA,NA,NA,NA,NA,6,3,406.7572801182557,290.6749445676275
40015000051,OK,015,51,1118,30,621,13,398,3,1,0,52,815,19,491,10,268,3,1,0,23,NA,NA,NA,NA,NA,NA,NA,NA,6,3,191.5119487558512,136.85735402808575
40015000052,OK,015,52,570,26,363,11,139,4,0,0,27,431,17,304,9,83,4,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,6,3,101.27809805370781,72.37487065779749
40015000102,OK,015,102,2192,220,1355,23,563,3,0,0,28,1598,135,1078,18,347,3,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,6,3,375.5044099531905,268.34116777531415
40015000509,OK,015,509,1287,15,1128,22,95,2,0,0,25,944,14,849,15,47,1,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,6,3,221.8248829761025,158.51943828529195
40015000510,OK,015,510,1981,63,1620,2,247,5,0,0,44,1441,38,1221,2,153,4,0,0,23,NA,NA,NA,NA,NA,NA,NA,NA,6,3,338.6119241192412,241.97723577235774
40015000511,OK,015,511,2889,100,1812,12,882,4,1,1,77,2005,52,1366,11,528,3,1,0,44,NA,NA,NA,NA,NA,NA,NA,NA,6,3,471.1428923380143,336.6858832224686
40015000712,OK,015,712,1610,77,968,14,503,1,0,0,47,1137,44,752,12,306,1,0,0,22,NA,NA,NA,NA,NA,NA,NA,NA,6,3,267.1767923133777,190.92860310421287
40015000713,OK,015,713,422,17,174,2,215,0,0,0,14,307,11,141,2,147,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,6,3,72.14008376447401,51.55240206947524
40015000810,OK,015,810,469,4,400,0,50,0,0,0,15,367,4,313,0,41,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,6,3,86.23912293668391,61.627790096082784
40015000811,OK,015,811,939,82,673,5,156,1,0,0,22,692,46,520,5,107,1,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,6,3,162.60891845282092,116.2028085735403
40015000812,OK,015,812,1129,56,911,8,102,2,0,0,50,878,29,738,6,67,2,0,0,36,NA,NA,NA,NA,NA,NA,NA,NA,6,3,206.3159398866716,147.43651145602365
40015000913,OK,015,913,331,19,293,1,10,0,0,0,8,249,12,227,1,6,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,6,3,58.511012564671105,41.812860310421286
40015001009,OK,015,1009,468,8,427,0,20,0,0,0,13,361,5,336,0,11,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,6,3,84.82921901946291,60.62025129342202
40015001010,OK,015,1010,1502,66,1122,39,196,2,0,0,77,1120,46,875,33,124,2,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,6,3,263.18206454791823,188.07390983000738
40015001011,OK,015,1011,824,98,656,3,48,0,0,0,19,622,55,520,3,33,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,6,3,146.16003941857602,104.44818920916482
40015001013,OK,015,1013,597,55,509,0,24,0,0,1,8,441,29,391,0,14,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,6,3,116.45757335448056,131.14591593973037
40015001111,OK,015,1111,2911,223,2182,290,111,4,0,0,101,2301,150,1696,285,91,4,0,0,75,NA,NA,NA,NA,NA,NA,NA,NA,6,3,540.6981522542497,386.3911308203991
40015001213,OK,015,1213,1139,64,1012,4,39,2,0,1,17,820,40,747,1,21,1,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,6,3,216.54242664551944,243.85408406026963
40017000100,OK,017,100,2869,285,1632,395,469,17,0,0,71,2025,174,1245,291,272,11,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,6,3,252.98863960452516,425.76528187090025
40017000102,OK,017,102,753,21,609,2,100,0,0,0,21,560,14,468,2,63,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,6,3,69.96229045853535,117.74249770256996
40017000106,OK,017,106,1242,22,1069,12,112,2,0,0,25,926,17,819,11,66,1,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,6,3,115.68764457964951,194.69563012960674
40017000107,OK,017,107,2199,394,1125,579,77,16,0,1,7,2060,394,1015,576,51,16,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,6,3,257.36128275818356,433.12418797731084
40017000112,OK,017,112,2554,209,1921,93,246,7,0,2,76,1817,120,1458,55,147,5,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,6,3,227.00264600564057,382.03235415280284
