GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,cd_1990,cd_2000,ndv,nrv
2400302-009,MD,003,02-009,3682,103,2202,986,20,265,1,14,91,2573,65,1614,632,12,198,1,5,46,NA,73550,90284,00060,2,8,433.18938582591113,423.72041964919947
2400302-010,MD,003,02-010,2725,38,2348,248,7,46,0,1,37,2104,23,1835,188,5,34,0,0,19,NA,32650,90376,00060,2,8,354.22870881372603,346.485722091689
2400302-011,MD,003,02-011,2250,66,1945,150,2,55,0,0,32,1716,48,1511,101,2,35,0,0,19,NA,32650,90192,00060,2,8,288.90516365225943,282.59006611660567
2400302-012,MD,003,02-012,2723,64,2469,95,10,41,1,0,43,2041,43,1875,62,6,29,1,0,25,NA,32650,90192,00060,2,8,343.6220507076116,336.11091197202336
2400302-013,MD,003,02-013,1728,45,1479,128,8,45,0,2,21,1263,30,1096,86,6,35,0,1,9,NA,73550,90192,00060,2,8,212.63824107972243,207.99024097043878
2400302-014,MD,003,02-014,5173,186,2985,1542,13,290,10,8,139,4069,121,2504,1100,10,234,10,3,87,NA,73550,90192,00060,2,8,685.0554259330091,670.08099010983
2400302-015,MD,003,02-015,3167,102,2122,752,9,137,0,4,41,2220,60,1547,487,9,101,0,0,16,NA,73550,90192,00060,2,8,373.75842850117476,365.5885470739304
2400302-016,MD,003,02-016,1917,47,1718,82,1,38,0,0,31,1492,24,1353,69,1,29,0,0,16,NA,32650,90376,00060,2,8,251.19260149718593,245.70185235779465
2400302-017,MD,003,02-017,4687,218,3036,991,10,304,3,12,113,3536,153,2379,694,8,238,3,3,58,NA,73550,90192,00060,2,8,595.3197311622315,582.306802906945
2400302-018,MD,003,02-018,2770,85,2110,360,7,140,3,8,57,2056,58,1603,248,6,110,3,1,27,NA,73550,90192,00060,2,8,346.1474454947817,338.58110485765803
2400302-019,MD,003,02-019,3750,177,2372,898,24,157,5,9,108,2995,132,2002,649,21,128,3,6,54,NA,32650,90192,00060,2,7,504.23715917163,493.2151794983881
2400302-020,MD,003,02-020,1111,3,1041,35,4,10,0,0,18,845,3,799,22,4,8,0,0,9,NA,71200,90192,00060,2,6,142.26390634391564,139.1541992240861
2400302-021,MD,003,02-021,2093,49,1853,72,3,66,9,7,34,1581,31,1417,52,3,57,5,3,13,NA,71150,90284,00060,2,6,266.1766105677285,260.35833014589366
2400303-001,MD,003,03-001,2893,49,2643,116,5,45,0,5,30,1973,24,1823,76,5,34,0,1,10,NA,34975,90192,00060,3,7,332.1735943391072,324.9127042238129
2400303-002,MD,003,03-002,1995,19,1925,4,6,16,0,3,22,1556,9,1510,4,6,11,0,2,14,NA,66850,90192,00060,2,7,261.96761925577835,256.2413420031692
2400303-003,MD,003,03-003,4126,50,3902,84,8,35,0,4,43,2924,33,2780,54,8,24,0,2,23,NA,34975,90192,00060,2,7,492.2836238456915,481.52293317305066
2400303-004,MD,003,03-004,3961,74,3526,229,26,47,1,2,56,2778,49,2516,133,19,35,1,0,25,NA,34975,90192,00060,2,7,467.7031145839025,457.47972241953994
2400303-005,MD,003,03-005,5049,89,3559,1216,20,96,1,3,65,3535,42,2652,722,18,75,1,3,22,NA,60475,90192,00060,2,8,595.1513715097535,582.1421233812359
2400303-006,MD,003,03-006,3364,49,2902,305,11,51,2,6,38,2486,29,2179,210,9,33,1,4,21,NA,32650,90192,00060,2,7,418.5420960603246,409.39330091251844
2400303-007,MD,003,03-007,3232,57,2955,125,4,49,0,5,37,2270,36,2099,78,3,38,0,1,15,NA,66850,90192,00060,2,7,382.17641112507516,373.82252335937926
2400303-008,MD,003,03-008,3901,77,3034,669,20,59,2,3,37,2911,46,2301,489,14,46,2,0,13,NA,32650,90192,00060,2,7,490.0949483634774,479.3820993388339
2400303-009,MD,003,03-009,2566,38,2312,130,7,57,3,1,18,1822,24,1640,104,3,42,1,0,8,NA,60475,90192,00060,3,8,306.7512868149281,300.0460958417573
2400303-010,MD,003,03-010,2692,8,2593,41,9,22,1,0,18,2006,7,1932,32,5,16,1,0,13,NA,44975,90192,00060,3,6,337.7294628708814,330.3471285722092
2400303-011,MD,003,03-011,3048,21,2949,8,16,32,2,0,20,2350,15,2284,6,12,22,2,0,9,NA,44975,90192,00060,3,6,395.6451833233156,386.9968854160975
2400303-012,MD,003,03-012,2840,23,2747,36,7,10,0,0,17,2141,19,2070,27,7,7,0,0,11,NA,NA,90192,00060,3,6,360.45801595541224,352.5788645429211
2400303-013,MD,003,03-013,2831,45,2612,117,5,22,1,7,22,2182,29,2031,82,5,18,1,1,15,NA,44975,90192,00060,3,6,367.36076170701057,359.3307250969892
2400303-014,MD,003,03-014,2362,18,2299,22,4,8,5,0,6,1786,11,1743,16,3,8,2,0,3,NA,66850,90192,00060,2,7,300.6903393257199,294.1176329162341
2400303-015,MD,003,03-015,2008,25,1958,3,2,7,0,1,12,1552,18,1518,3,2,5,0,1,5,NA,44975,90192,00060,3,6,261.2941806458664,255.58262390033335
2400303-016,MD,003,03-016,3111,21,2863,136,6,38,0,0,47,2124,11,1972,89,6,27,0,0,19,NA,34975,90192,00060,3,7,357.59590186328614,349.77931260586854
2400303-017,MD,003,03-017,2742,18,2626,40,13,17,0,0,28,2072,11,1986,35,7,15,0,0,18,NA,44975,90192,00060,3,6,348.8411999344298,341.2159772690017
2400303-018,MD,003,03-018,2421,17,2243,98,11,15,0,0,37,1800,11,1671,75,11,11,0,0,21,NA,44975,90192,00060,3,6,303.047374460412,296.42314627615974
2400303-019,MD,003,03-019,2350,22,2244,17,8,14,6,0,39,1744,14,1679,14,5,9,4,0,19,NA,NA,90192,00060,3,6,293.6192339216436,287.201092836457
2400303-020,MD,003,03-020,2161,22,2070,34,2,11,0,0,22,1645,13,1583,22,2,10,0,0,15,NA,66850,90192,00060,3,7,276.95162832632093,270.8978197912682
2400303-021,MD,003,03-021,3624,67,3209,201,32,59,3,4,49,2510,46,2242,135,22,40,3,3,19,NA,34975,90192,00060,3,7,422.5827277197967,413.34560952953393
2400303-022,MD,003,03-022,2132,19,1747,283,7,40,0,0,36,1587,14,1310,214,5,27,0,0,17,NA,60475,90192,00060,3,8,267.18676848259656,261.3464073001475
2400303-023,MD,003,03-023,2223,18,2115,48,6,11,0,0,25,1622,14,1553,33,3,6,0,0,13,NA,60475,90192,00060,3,6,273.0793563193268,267.1101906999617
2400303-024,MD,003,03-024,3333,51,3098,92,18,37,10,6,21,2517,34,2362,60,15,25,5,6,10,NA,66850,90192,00060,2,7,423.76124528714274,414.49836620949674
2400304-001,MD,003,04-001,3189,145,1753,999,16,201,1,8,66,2300,104,1332,664,6,157,1,3,33,NA,51075,90284,00060,6,8,387.22720069941533,378.7629091306486
2400304-002,MD,003,04-002,4258,134,3103,697,16,188,5,10,105,3106,94,2313,484,12,145,4,6,48,NA,58300,90284,00060,2,8,522.9250805966888,511.49460685208464
2400304-003,MD,003,04-003,2471,53,2108,195,10,54,0,6,45,1828,36,1579,136,8,45,0,3,21,NA,58300,90284,00060,2,8,307.7614447297962,301.03417299601114
2400304-004,MD,003,04-004,1721,15,1553,88,4,38,0,1,22,1368,8,1231,81,4,30,0,1,13,NA,58300,90284,00060,2,6,230.31600458991312,225.28159116988144
2400304-005,MD,003,04-005,3274,70,2596,467,8,56,1,15,61,2180,41,1772,282,7,43,1,5,29,NA,58300,90284,00060,6,8,367.02404240205453,359.0013660455713
2400304-006,MD,003,04-006,2031,35,1698,228,15,27,0,2,26,1567,27,1316,179,9,21,0,2,13,NA,21075,90100,00060,2,6,263.81957543303645,258.052816785968
2400304-007,MD,003,04-007,12131,1054,6709,3428,45,396,27,37,435,7528,622,4340,2059,34,290,19,16,148,NA,29400,90284,00060,4,7,1267.4114638544343,1239.707469537184
2400304-008,MD,003,04-008,2292,37,1961,202,12,36,0,9,35,1721,28,1482,152,6,30,0,3,20,NA,58300,90284,00060,6,8,289.74696191464943,283.4134637451505
2400304-009,MD,003,04-009,9070,227,3537,4659,16,451,4,16,160,7794,167,3033,4129,11,352,3,6,93,NA,42550,90284,00060,6,8,1312.195131413584,1283.5122233757718
2400304-010,MD,003,04-010,2542,51,2018,337,1,86,1,4,44,1874,32,1530,226,1,65,0,1,19,NA,71150,90284,00060,4,8,315.50598874378454,308.60943117862416
2400304-011,MD,003,04-011,3076,128,2136,574,17,124,5,4,88,2198,85,1539,419,10,98,4,1,42,NA,58300,90284,00060,6,8,370.0545161466586,361.96559750833285
2400304-012,MD,003,04-012,283,2,275,3,1,2,0,0,0,215,1,209,3,1,1,0,0,0,NA,73550,90284,00060,2,6,36.19732528277143,35.40609802743019
2400304-013,MD,003,04-013,1906,46,1717,83,7,31,0,0,22,1434,32,1300,63,5,24,0,0,10,NA,58300,90284,00060,2,6,241.42774165346154,236.15043986667393
2400304-014,MD,003,04-014,2525,45,2322,98,11,11,1,2,35,1942,31,1797,77,7,8,1,0,21,NA,02025,90100,00060,2,6,326.9544451122889,319.80763892683456
2400304-015,MD,003,04-015,2538,25,2438,19,7,26,1,0,22,2022,17,1951,14,5,19,1,0,15,NA,38025,90100,00060,2,8,340.4232173105295,332.9820009835528
2400304-016,MD,003,04-016,1634,13,1567,24,0,17,0,0,13,1256,12,1204,18,0,14,0,0,8,NA,21075,90100,00060,2,8,211.45972351237637,206.83748429047594
2400304-017,MD,003,04-017,4072,198,2594,968,15,195,1,13,88,3049,120,2030,683,11,147,1,10,47,NA,51075,90284,00060,6,8,513.3285804054423,502.10787388667285
2400304-018,MD,003,04-018,5173,186,1159,3410,22,241,6,10,139,3079,98,821,1890,15,187,2,4,62,NA,71150,90284,00060,4,7,518.3793699797825,507.0482596579422
2400304-019,MD,003,04-019,3835,231,2062,1227,20,179,4,6,106,2746,144,1547,844,15,144,3,0,49,NA,58300,90284,00060,2,7,462.3156057046063,452.20997759685264
2400304-020,MD,003,04-020,5085,156,3991,651,12,148,2,10,115,3853,102,3105,463,8,124,2,3,46,NA,58300,90284,00060,6,8,648.6897409977597,634.5102125566909
2400305-001,MD,003,05-001,2314,19,1927,327,3,9,2,3,24,1750,16,1454,254,2,7,2,3,12,NA,NA,90192,00060,2,6,294.6293918365117,288.1891699907109
2400305-002,MD,003,05-002,2630,52,2154,335,4,37,1,2,45,1881,34,1562,232,4,27,1,1,20,NA,12912,90192,00060,2,6,316.6845063111305,309.76218785858697
2400305-003,MD,003,05-003,2396,39,2128,160,1,46,3,1,18,1676,21,1488,131,1,29,0,0,6,NA,02275,90192,00060,2,6,282.17077755313915,276.0028850882465
2400305-004,MD,003,05-004,2758,45,2551,93,4,31,0,5,29,2066,25,1941,57,2,23,0,3,15,NA,02275,90192,00060,2,6,347.8310420195618,340.2279001147478
2400305-005,MD,003,05-005,2124,15,1892,158,0,30,0,5,24,1578,13,1393,129,0,24,0,2,17,NA,71200,90192,00060,2,6,265.6715316102945,259.8642915687667
2400305-006,MD,003,05-006,1932,32,1859,2,3,27,0,0,9,1413,20,1367,2,3,15,0,0,6,NA,71200,90192,00060,2,6,237.8921889514234,232.6921698267854
2400305-007,MD,003,05-007,2128,26,1976,19,4,93,0,0,10,1497,14,1390,11,1,75,0,0,6,NA,71200,90192,00060,2,6,252.034399759576,246.52524998633956
2400305-008,MD,003,05-008,2485,43,2186,130,2,93,0,11,20,1682,25,1484,94,2,61,0,4,12,NA,71200,90192,00060,2,6,283.1809354680072,276.9909622425004
2400305-009,MD,003,05-009,2331,27,2212,52,3,16,0,0,21,1686,16,1609,34,3,12,0,0,12,NA,71200,90192,00060,3,6,283.85437407791926,277.6496803453363
2400305-010,MD,003,05-010,2694,30,2391,192,0,55,0,5,21,1865,17,1645,153,0,36,0,2,12,NA,60475,90192,00060,3,6,313.9907518714824,307.1273154472433
2400305-011,MD,003,05-011,2673,64,2393,152,2,30,1,4,27,1977,43,1782,119,2,18,1,0,12,NA,02275,90192,00060,2,6,332.8470329490192,325.5714223266488
2400305-012,MD,003,05-012,2366,23,1959,226,10,118,0,2,28,1742,14,1437,184,7,80,0,2,18,NA,71200,90192,00060,2,8,293.2825146166876,286.87173378503905
2400305-013,MD,003,05-013,2289,40,2195,9,1,28,1,0,15,1657,24,1597,7,1,19,1,0,8,NA,02275,90192,00060,2,6,278.971944156057,272.873974099776
2400305-014,MD,003,05-014,2519,26,2360,53,0,63,3,0,14,1865,19,1760,36,0,42,3,0,5,NA,71200,90192,00060,3,6,313.9907518714824,307.1273154472433
2400305-015,MD,003,05-015,3303,45,3038,33,3,151,0,5,28,2166,32,1980,26,2,104,0,2,20,NA,71200,90192,00060,2,6,364.6670072673624,356.6958526856456
2400305-016,MD,003,05-016,1694,9,1620,16,7,28,0,2,12,1246,9,1198,12,4,18,0,0,5,NA,71200,90192,00060,3,6,209.7761269875963,205.19068903338615
2400305-017,MD,003,05-017,2836,69,2654,52,2,26,1,1,31,2080,44,1957,41,2,21,1,0,14,NA,12912,90192,00060,2,6,350.18807715425385,342.5334134746735
2400305-018,MD,003,05-018,3320,68,2866,252,6,61,1,7,59,2331,39,2042,167,5,46,1,0,31,NA,12912,90192,00060,2,6,392.44634992623355,383.8679744276269
2400305-019,MD,003,05-019,1965,13,1888,10,0,33,5,3,13,1490,10,1439,7,0,21,5,0,8,NA,71200,90192,00060,2,6,250.85588219222993,245.3724933063767
2400305-020,MD,003,05-020,2928,123,2364,326,2,58,1,6,48,2148,73,1789,221,2,37,1,1,24,NA,02275,90192,00060,2,6,361.6365335227583,353.73162122288403
2400305-021,MD,003,05-021,3834,81,3293,267,9,84,0,3,97,2480,51,2138,186,6,58,0,1,40,NA,02275,90192,00060,2,6,417.53193814545654,408.4052237582646
2400305-022,MD,003,05-022,2873,53,2626,108,5,34,5,8,34,1991,33,1825,83,4,24,2,1,19,NA,12912,90192,00060,2,6,335.20406808371126,327.8769356865745
2400305-023,MD,003,05-023,1685,22,1596,30,4,18,0,6,9,1269,12,1212,21,4,12,0,4,4,NA,02275,90192,00060,2,6,213.64839899459045,208.97831812469263
2400305-024,MD,003,05-024,1864,21,1748,35,4,34,1,5,16,1339,13,1262,27,1,25,0,2,9,NA,71200,90192,00060,2,6,225.43357466805094,220.5058849243211
2400305-025,MD,003,05-025,2429,41,2183,104,3,60,2,6,30,1841,28,1667,78,3,44,1,4,16,NA,71200,90192,00060,2,6,309.95012021201023,303.17500683022786
2400305-026,MD,003,05-026,3176,79,2672,324,11,43,0,3,44,2228,54,1873,241,5,33,0,0,22,NA,02275,90192,00060,2,6,375.10530572099884,366.9059832796022
2400305-027,MD,003,05-027,1951,36,1837,22,2,26,0,1,27,1488,24,1411,14,2,19,0,1,17,NA,02275,90192,00060,2,6,250.5191628872739,245.04313425495872
2400305-028,MD,003,05-028,2183,38,2016,71,4,33,0,5,16,1726,23,1607,51,3,24,0,5,13,NA,02275,90192,00060,2,6,290.5887601770395,284.23686137369543
2400306-001,MD,003,06-001,2095,120,1745,186,5,18,1,1,19,1697,89,1427,146,4,16,1,1,13,NA,01600,90468,00060,2,8,285.70633025517736,279.4611551281351
2400306-002,MD,003,06-002,1614,44,1478,62,0,13,1,3,13,1300,21,1206,52,0,12,1,2,6,NA,01600,90468,00060,2,8,218.86754822140867,214.08338342167096
2400306-003,MD,003,06-003,3066,466,421,2094,5,47,0,2,31,2096,345,337,1350,3,41,0,1,19,NA,01600,90468,00060,2,8,352.88183159390195,345.16828588601715
2400306-004,MD,003,06-004,1914,79,1432,327,3,48,0,5,20,1572,66,1199,254,2,42,0,1,8,NA,01600,90468,00060,2,8,264.6613736954265,258.8762144145129
2400306-005,MD,003,06-005,2545,56,1737,674,3,53,1,7,14,1719,35,1282,349,2,40,1,1,9,NA,01600,90468,00060,2,8,289.4102426096935,283.0841046937326
