GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,ssd,cd_1990,cd_2000,ndv,nrv
3101300007P,NE,013,7P,1516,73,1417,10,4,4,0,0,8,1079,45,1017,7,4,3,0,0,3,NA,00905,90327,41040,NA,02910,49,1,2,80.69661335841957,161.90075258701788
3101300008P,NE,013,8P,1766,287,1397,8,41,7,0,0,26,1214,150,1020,6,27,3,0,0,8,NA,00905,90327,41040,NA,02910,49,1,2,334.997950437861,436.7866592137134
3101300009P,NE,013,9P,1186,126,979,5,49,12,0,1,14,871,68,752,3,33,8,0,1,6,NA,00905,90327,NA,NA,02910,49,1,2,240.34861188746038,313.37823737656043
3101300010P,NE,013,10P,1989,212,1549,14,147,17,1,0,49,1453,116,1205,9,88,15,1,0,19,NA,00905,90327,NA,NA,02910,49,1,2,400.9489472703559,522.7767840506801
3101500001P,NE,015,1P,291,1,289,0,0,0,0,0,1,235,0,234,0,0,0,0,0,1,NA,33530,03197,06690,72480,00107,40,1,2,83,128
3101500002P,NE,015,2P,656,1,648,0,4,0,0,0,3,496,1,490,0,4,0,0,0,1,NA,07485,07520,45900,71990,04680,40,1,2,106,249
3101500003P,NE,015,3P,758,0,753,0,2,3,0,0,0,543,0,541,0,2,0,0,0,0,NA,46275,46310,28770,71990,00107,40,1,2,157,246
3101500004P,NE,015,4P,137,0,137,0,0,0,0,0,0,93,0,93,0,0,0,0,0,0,NA,20295,32935,NA,NA,00107,40,1,2,35,54
3101500005P,NE,015,5P,151,0,147,0,3,0,0,0,1,118,0,117,0,1,0,0,0,0,NA,06400,06435,NA,NA,73170,40,1,2,42,49
3101500006P,NE,015,6P,445,0,435,0,5,1,0,0,4,344,0,336,0,4,1,0,0,3,4700,29750,29785,08250,NA,73170,40,1,2,90,155
3101700001P,NE,017,1P,345,0,340,0,1,1,0,0,3,245,0,242,0,1,1,0,0,1,NA,24740,91555,04490,78020,76380,43,1,2,36,129
3101700001W,NE,017,1W,945,6,928,0,4,0,0,2,5,723,4,715,0,0,0,0,1,3,NA,00415,90007,NA,NA,02790,43,1,2,26.588401697312584,59.312588401697305
3101700002P,NE,017,2P,689,10,675,1,1,1,0,0,1,525,7,515,0,1,1,0,0,1,NA,29050,92175,20640,76170,02790,43,1,2,33,79
3101700002W,NE,017,2W,919,3,903,0,0,7,1,0,5,691,2,679,0,0,7,0,0,3,NA,00415,90007,NA,NA,02790,43,1,2,25.411598302687413,56.68741159830269
3101700003P,NE,017,3P,627,10,613,0,1,0,0,0,3,466,4,459,0,1,0,0,0,2,NA,00415,90010,23970,72480,02790,43,1,2,345,824
3101900001P,NE,019,1P,462,0,461,1,0,0,0,0,0,331,0,331,0,0,0,0,0,0,NA,32130,02060,67470,NA,77340,36,1,2,39,74
3101900002P,NE,019,2P,1216,8,1200,1,0,3,0,0,4,861,5,853,0,0,2,0,0,1,NA,39450,29330,19530,NA,75690,36,1,2,84,136
3101900003P,NE,019,3P,543,7,530,1,1,2,0,0,2,390,2,382,1,1,2,0,0,2,NA,40710,18090,51960,NA,75960,36,1,2,47,61
3101900004P,NE,019,4P,631,0,628,0,1,1,0,0,1,455,0,453,0,0,1,0,0,1,NA,01290,19700,18780,NA,00070,36,1,2,56,132
3101900005P,NE,019,5P,534,5,528,1,0,0,0,0,0,396,2,394,0,0,0,0,0,0,NA,41515,13120,19530,NA,75690,36,1,2,42,85
3101900006P,NE,019,6P,437,13,424,0,0,0,0,0,0,313,7,306,0,0,0,0,0,0,NA,44700,18020,51960,78940,76620,36,1,2,28,51
3101900007P,NE,019,7P,633,32,599,0,0,0,0,0,2,454,18,436,0,0,0,0,0,0,NA,18615,18650,35580,NA,70980,36,1,2,66.64469742360696,113.15997603355302
3101900008P,NE,019,8P,1497,211,1268,11,3,0,0,0,4,1026,113,907,3,1,0,0,0,2,NA,44700,44735,NA,NA,76620,36,1,2,208,289
3101900009P,NE,019,9P,660,21,635,0,0,1,0,0,3,486,14,472,0,0,0,0,0,0,NA,25055,08255,35580,NA,72390,36,1,2,90,159
3101900010P,NE,019,10P,1939,20,1902,8,0,4,0,1,4,1322,13,1305,0,0,1,0,1,2,NA,41515,41550,18780,NA,72390,36,1,2,154,400
3101900011P,NE,019,11P,2383,136,2139,47,15,20,0,2,24,1556,46,1474,14,3,9,0,0,10,NA,25055,09970,06030,NA,72390,37,1,2,65.66685299049749,116.98267188373393
3101900012P,NE,019,12P,398,7,376,0,0,10,0,0,5,283,3,271,0,0,6,0,0,3,NA,NA,35805,06030,NA,70140,36,1,2,51,91
3101900013P,NE,019,13P,1241,38,1198,0,1,0,0,0,4,881,24,853,0,1,0,0,0,3,NA,15360,15395,06030,NA,70140,36,1,2,204,259
3101900014P,NE,019,14P,1042,10,1015,0,0,11,0,0,6,843,8,821,0,0,11,0,0,3,NA,25055,25055,NA,NA,72390,37,1,2,136.91206325462122,235.72294048509454
3101900015P,NE,019,15P,1439,49,1360,5,4,8,0,5,8,1129,35,1070,4,3,7,0,4,6,NA,25055,25055,NA,NA,72390,37,1,2,183.36147024254728,315.69537343733305
3101900016P,NE,019,16P,1973,59,1872,8,5,17,0,0,12,1547,41,1477,7,5,14,0,0,3,NA,25055,25055,NA,NA,72390,37,1,2,251.2490650710546,432.57816005983545
3101900017P,NE,019,17P,1360,34,1310,2,6,0,0,0,8,1083,20,1052,2,4,0,0,0,5,NA,25055,25055,NA,NA,72390,37,1,2,175.89058660113258,302.8326744310289
3101900018P,NE,019,18P,2246,143,2058,11,6,8,0,3,17,1620,77,1519,4,5,6,0,3,6,NA,25055,25055,35580,NA,72390,37,1,2,263.1050325889518,452.9907041350572
3101900019P,NE,019,19P,1702,204,1437,14,17,6,2,0,22,1202,123,1048,6,11,4,1,0,9,NA,25055,25055,35580,NA,72390,37,1,2,50.727221911682506,90.3683622135271
3101900020P,NE,019,20P,1151,55,1062,4,6,9,0,0,15,962,41,895,3,5,7,0,0,11,NA,25055,25055,NA,NA,72390,37,1,2,156.2389144139331,268.99818356662036
3101900021P,NE,019,21P,1465,36,1390,4,5,11,0,0,19,1227,32,1164,4,3,11,0,0,13,NA,25055,25055,NA,NA,72390,37,1,2,199.27770060903944,343.09851479858963
3101900022P,NE,019,22P,1163,118,1017,5,6,8,0,0,9,930,86,823,4,4,8,0,0,5,NA,25055,25055,NA,NA,72390,37,1,2,151.0417779677316,260.0502190404958
3101900023P,NE,019,23P,2370,94,2208,16,11,8,1,1,31,1664,51,1581,10,7,5,1,0,9,NA,25055,25055,NA,NA,72390,37,1,2,270.2510952024789,465.29415535847846
3101900024P,NE,019,24P,986,23,925,9,9,7,0,8,5,837,14,791,8,6,6,0,8,4,NA,25055,25055,NA,NA,72390,37,1,2,135.93760017095843,234.04519713644618
3101900025P,NE,019,25P,2300,33,2223,1,2,25,3,4,9,1634,20,1594,1,2,12,2,2,1,NA,25055,25055,NA,NA,72390,37,1,2,265.378779784165,456.9054386152367
3101900026P,NE,019,26P,2266,51,2084,41,6,57,0,8,19,2141,44,1975,38,6,56,0,8,14,NA,25055,25055,NA,NA,72390,37,1,2,347.72091035367026,598.674751576023
3101900027P,NE,019,27P,1506,41,1393,17,1,35,1,1,17,1211,28,1126,15,1,31,1,1,8,NA,25055,25055,NA,NA,72390,37,1,2,196.67913238593866,338.6245325355273
3101900028P,NE,019,28P,1133,15,1094,4,0,11,0,0,9,820,10,797,3,0,8,0,0,2,NA,25055,25055,NA,NA,72390,37,1,2,34.60592509782001,61.64896590273896
3101900029P,NE,019,29P,601,5,584,1,0,8,0,0,3,419,3,410,1,0,5,0,0,0,NA,25055,25055,NA,NA,72390,37,1,2,68.05000534245112,117.1624105139438
3101900030P,NE,019,30P,1897,128,1708,14,11,13,0,1,22,1471,66,1367,11,8,8,0,1,10,NA,25055,25055,NA,NA,72390,37,1,2,238.90586601132597,411.32674431028954
3101900031P,NE,019,31P,987,240,734,2,1,3,0,0,7,650,125,518,2,1,3,0,0,1,NA,18615,18650,NA,NA,70980,36,1,2,95.41641701617735,162.01318154583583
3101900032P,NE,019,32P,816,10,806,0,0,0,0,0,0,613,2,611,0,0,0,0,0,0,NA,40710,40710,NA,NA,75960,36,1,2,133.3150406504065,170.6930894308943
3101900033P,NE,019,33P,753,123,622,1,3,0,0,0,4,565,79,480,1,2,0,0,0,3,NA,18615,18650,NA,NA,70980,36,1,2,82.9388855602157,140.82684242061114
3101900034P,NE,019,34P,529,1,523,0,0,2,0,0,3,371,1,369,0,0,0,0,0,1,NA,40710,40710,NA,NA,75960,36,1,2,80.6849593495935,103.30691056910568
3102100001P,NE,021,1P,460,3,452,0,0,2,0,0,3,307,3,302,0,0,1,0,0,1,2550,29855,16200,NA,NA,73210,16,2,3,51,71
3102100001W,NE,021,1W,685,2,675,0,2,1,0,0,5,540,2,533,0,2,0,0,0,3,NA,35490,35490,NA,NA,74640,16,2,3,94.4092219020173,192.96829971181555
3102100002P,NE,021,2P,846,10,758,4,53,2,1,0,18,663,4,615,2,30,2,1,0,9,2550,12525,12560,32280,NA,73210,16,2,3,185.3653846153846,120.63461538461537
3102100002W,NE,021,2W,690,8,674,0,1,1,0,0,6,501,5,490,0,1,1,0,0,4,NA,35490,35490,NA,NA,74640,16,2,3,87.5907780979827,179.03170028818445
3102100003P,NE,021,3P,596,0,588,2,0,4,0,0,2,418,0,416,0,0,0,0,0,2,NA,35490,03845,NA,NA,74640,16,2,3,30,53
3102100003W,NE,021,3W,977,6,964,0,2,0,0,0,5,759,4,751,0,2,0,0,0,2,NA,48515,48515,NA,NA,00071,16,2,3,193.92476933995744,234.86444286728178
3102100004P,NE,021,4P,553,0,550,0,3,0,0,0,0,398,0,397,0,1,0,0,0,0,4625,11090,11125,NA,NA,74640,16,2,3,86,157
3102100004W,NE,021,4W,911,9,892,2,7,1,0,0,0,650,3,642,1,4,0,0,0,0,NA,48515,48515,NA,NA,00071,16,2,3,166.0752306600426,201.13555713271825
3102100005P,NE,021,5P,434,3,426,1,0,2,0,0,2,346,1,343,0,0,0,0,0,2,NA,48515,01955,NA,NA,00071,16,2,3,87,56
3102100006P,NE,021,6P,653,7,643,0,0,1,0,0,2,464,5,458,0,0,0,0,0,1,NA,48515,47570,32280,NA,00071,16,2,3,94,102
3102100007P,NE,021,7P,963,50,905,3,1,1,1,0,2,731,23,706,0,1,1,0,0,0,NA,29855,16200,NA,NA,73210,16,2,3,200,319
3102100008P,NE,021,8P,23,0,11,0,11,0,0,0,1,13,0,7,0,6,0,0,0,0,2550,12525,12560,NA,NA,73210,17,2,3,3.634615384615385,2.3653846153846154
3102300001P,NE,023,1P,666,31,632,0,0,3,0,0,0,489,21,467,0,0,1,0,0,0,NA,NA,00765,03840,76450,05340,23,2,3,45,103
3102300001W,NE,023,1W,880,3,866,0,2,2,1,5,1,659,3,651,0,2,0,1,1,1,NA,12315,12315,NA,NA,00002,23,2,3,153.3997912317328,196.73695198329855
3102300002P,NE,023,2P,664,2,661,1,0,0,0,0,0,481,2,479,0,0,0,0,0,0,NA,04020,43860,03840,76450,00002,23,2,3,98,141
3102300002W,NE,023,2W,744,17,721,1,1,4,0,0,0,548,11,532,1,1,3,0,0,0,NA,12315,12315,NA,NA,00002,23,2,3,127.56158663883089,163.5991649269311
3102300003P,NE,023,3P,367,34,331,0,0,0,0,0,2,258,21,237,0,0,0,0,0,0,NA,35700,05805,08650,76450,00002,23,2,3,61,75
3102300003W,NE,023,3W,973,6,962,0,0,0,2,0,3,709,4,701,0,0,0,1,0,3,NA,12315,12315,NA,NA,00002,23,2,3,165.0386221294363,211.66388308977034
3102300004P,NE,023,4P,201,3,198,0,0,0,0,0,0,142,2,140,0,0,0,0,0,0,NA,28245,39240,07530,76450,00114,23,2,3,45,29
3102300005P,NE,023,5P,293,6,285,1,0,0,0,0,1,204,2,201,1,0,0,0,0,0,NA,00205,28280,27720,76450,00002,23,2,3,56,44
3102300006P,NE,023,6P,203,1,202,0,0,0,0,0,0,145,0,145,0,0,0,0,0,0,NA,NA,47605,03840,NA,76080,23,2,3,24,42
3102300007P,NE,023,7P,242,0,241,0,0,0,1,0,0,149,0,148,0,0,0,1,0,0,NA,12315,36120,03840,NA,00002,23,2,3,40,59
3102300008P,NE,023,8P,258,9,248,0,0,1,0,0,0,194,4,190,0,0,0,0,0,0,NA,12315,17460,59530,NA,00002,23,2,3,55,54
3102300009P,NE,023,9P,297,0,295,0,0,0,0,0,2,219,0,217,0,0,0,0,0,2,NA,06855,45540,59530,NA,00003,23,2,3,92,60
3102300010P,NE,023,10P,558,7,551,0,0,0,0,0,0,417,5,412,0,0,0,0,0,0,NA,41480,40850,62800,NA,76080,23,2,3,86,143
3102300011P,NE,023,11P,277,2,268,0,3,0,0,0,4,185,2,179,0,1,0,0,0,3,NA,18300,49600,62800,NA,00002,23,2,3,47,85
3102300012P,NE,023,12P,226,4,222,0,0,0,0,0,0,155,3,152,0,0,0,0,0,0,NA,NA,08290,NA,NA,00003,23,2,3,55,50
3102300013P,NE,023,13P,552,6,544,0,0,0,0,0,2,413,3,408,0,0,0,0,0,2,NA,06120,35280,59530,NA,00003,23,2,3,146,123
3102300014P,NE,023,14P,205,0,201,0,0,0,0,0,4,146,0,145,0,0,0,0,0,1,NA,47850,40815,62800,NA,76080,23,2,3,45,65
3102300015P,NE,023,15P,457,7,441,0,1,1,0,0,7,317,3,310,0,1,0,0,0,3,NA,49460,49495,62800,NA,76560,23,2,3,90,83
3102300016P,NE,023,16P,194,2,189,0,2,0,0,0,1,139,2,135,0,2,0,0,0,0,NA,14065,39555,61290,NA,00003,23,2,3,60,40
3102300017P,NE,023,17P,510,5,498,3,1,0,0,0,3,355,4,348,1,1,0,0,0,1,NA,14065,41250,64620,NA,00003,23,2,3,119,71
3102500001P,NE,025,1P,2002,33,1941,0,6,3,0,2,17,1350,18,1317,0,4,2,0,1,8,NA,14100,93205,NA,NA,00021,2,2,3,309.5082938388626,266.3210900473934
3102500001W,NE,025,1W,595,4,582,0,0,0,1,0,8,433,4,424,0,0,0,1,0,4,NA,52015,93383,NA,NA,78540,2,2,3,110.95625,122.86375
3102500002P,NE,025,2P,456,8,444,0,1,0,0,0,3,338,5,329,0,1,0,0,0,3,NA,01150,91245,NA,NA,00021,2,2,3,77.49170616113744,66.67890995260665
3102500002W,NE,025,2W,508,2,505,0,1,0,0,0,0,367,2,364,0,1,0,0,0,0,NA,52015,93383,NA,NA,78540,2,2,3,94.04375,104.13625
3102500003P,NE,025,3P,837,6,814,2,6,3,0,0,6,618,1,608,1,4,1,0,0,3,NA,20190,92850,NA,NA,00034,2,2,3,164,128
3102500003W,NE,025,3W,690,12,664,2,1,4,0,0,7,481,7,467,1,1,1,0,0,4,NA,39345,92398,30090,NA,75660,2,3,3,91.75030699959066,94.9989766680311
3102500004P,NE,025,4P,993,2,984,1,1,2,0,0,3,706,1,699,1,1,2,0,0,2,NA,15430,93120,23070,NA,01992,2,2,3,179.07112253641816,211.13453299057412
3102500004W,NE,025,4W,923,19,885,1,4,0,1,0,13,681,8,664,1,2,0,1,0,5,NA,39345,92398,NA,NA,75660,2,3,3,129.90012279983625,134.49959066721243
3102500005P,NE,025,5P,635,9,613,0,1,1,0,0,11,461,4,450,0,1,0,0,0,6,NA,33320,90890,NA,NA,01992,2,2,3,116.92887746358183,137.86546700942588
3102500005W,NE,025,5W,1093,20,1056,3,6,3,0,0,5,864,13,838,3,4,1,0,0,5,NA,39345,92398,NA,NA,75660,2,3,3,164.807204257061,170.64265247646338
3102500006P,NE,025,6P,681,8,645,0,0,2,0,0,26,533,6,509,0,0,1,0,0,17,NA,45680,92965,NA,NA,73050,2,2,3,100.01443418013858,119.70958429561202
3102500006W,NE,025,6W,597,7,570,6,3,3,0,0,8,413,2,397,6,3,3,0,0,2,NA,39345,92398,NA,NA,75660,2,3,3,78.77936962750717,81.56876790830945
3102500007P,NE,025,7P,386,1,383,0,0,2,0,0,0,263,1,260,0,0,2,0,0,0,NA,52015,93385,23070,NA,78540,2,2,3,55.443243243243245,82.45405405405405
3102500007W,NE,025,7W,1081,22,1026,3,10,14,0,0,6,750,12,717,3,5,9,0,0,4,NA,39345,92398,NA,NA,75660,2,3,3,143.061809250921,148.12730249693
3102500008P,NE,025,8P,549,5,536,0,0,1,0,0,7,377,4,367,0,0,1,0,0,5,NA,30415,90470,61920,NA,78540,2,2,3,106,97
3102500008W,NE,025,8W,1663,38,1592,5,9,9,0,1,9,1119,18,1081,4,5,6,0,0,5,NA,39345,92398,NA,NA,75660,2,3,3,213.44821940237412,221.00593532541956
3102500009P,NE,025,9P,655,18,634,0,0,2,0,0,1,473,6,466,0,0,0,0,0,1,NA,29260,91865,NA,NA,73050,2,2,3,88.75577367205543,106.23383371824481
3102500009W,NE,025,9W,842,20,808,1,2,3,0,3,5,578,9,564,0,1,3,0,0,1,NA,39345,92398,NA,NA,75660,2,3,3,110.25296766270978,114.15677445763406
3102500010P,NE,025,10P,982,4,963,0,7,4,0,0,4,726,4,716,0,2,3,0,0,1,NA,29260,91865,NA,NA,73050,2,2,3,136.229792147806,163.0565819861432
