GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
28147000203,MS,147,203,184,0,179,5,0,0,0,0,0,159,0,154,5,0,0,0,0,0,NA,75160,92142,04440,99,40,5,2,34.38431770017507,45.884824472496085
28147000204,MS,147,204,1683,59,182,1418,3,0,0,0,21,1077,46,135,880,3,0,0,0,13,NA,NA,91404,04440,99,40,5,2,232.90509536533676,310.80475444577536
28147000205,MS,147,205,182,0,113,69,0,0,0,0,0,133,0,94,39,0,0,0,0,0,NA,NA,91404,04440,99,40,5,2,28.7617248686999,38.381645627936976
28147000301,MS,147,301,812,0,576,235,0,0,0,0,1,619,0,452,167,0,0,0,0,0,NA,NA,92142,04440,99,40,5,2,133.86096010319727,178.63337326084954
28147000302,MS,147,302,1331,7,1004,295,2,0,0,0,23,1011,6,796,192,2,0,0,0,15,NA,NA,92142,04440,99,40,5,2,218.63235971620747,291.75822353266375
28147000303,MS,147,303,558,1,425,126,1,2,0,0,3,434,1,349,81,1,0,0,0,2,NA,75160,92142,04440,99,40,5,2,93.85404957154704,125.24536994379433
28147000401,MS,147,401,358,4,213,138,0,0,0,0,3,263,3,176,82,0,0,0,0,2,NA,NA,92880,04440,99,40,5,2,56.87468902607574,75.89753985073251
28147000402,MS,147,402,257,0,213,44,0,0,0,0,0,198,0,168,30,0,0,0,0,0,NA,NA,92880,04440,99,40,5,2,42.81820694738782,57.13959273933475
28147000403,MS,147,403,917,7,671,232,4,0,0,2,1,688,4,523,159,1,0,0,0,1,NA,NA,92880,04440,99,40,5,2,148.78245646365062,198.54565557910257
28147000404,MS,147,404,806,8,663,110,0,17,0,0,8,601,7,507,66,0,15,0,0,6,NA,75160,92142,04440,99,40,5,2,129.96839583525292,173.4388648300009
28147000405,MS,147,405,660,11,576,69,0,1,0,0,3,506,4,449,49,0,1,0,0,3,NA,NA,92880,04440,99,40,5,2,109.42430664332441,146.02340366718877
28147000501,MS,147,501,570,2,453,112,0,1,0,1,1,422,2,345,74,0,1,0,0,0,NA,NA,93618,04440,99,40,5,2,91.2590067262508,121.7823643232286
28147000502,MS,147,502,2052,39,461,1545,1,0,0,0,6,1364,24,344,990,0,0,0,0,6,NA,NA,93618,04440,97,40,5,2,294.96987008200495,393.62830553763933
28147000503,MS,147,503,483,0,46,433,0,2,0,0,2,315,0,38,275,0,0,0,0,2,NA,NA,93618,04440,99,40,5,2,68.11987468902608,90.90389753985073
28149000101,MS,149,101,283,1,211,67,0,0,0,0,4,212,0,162,48,0,0,0,0,2,NA,NA,90675,04470,56,23,3,1,45.01623632878566,68.8121546961326
28149000102,MS,149,102,1481,2,1202,261,1,3,0,0,12,1080,1,883,183,1,2,0,0,10,NA,NA,90675,04470,56,23,3,1,229.32799639192692,350.5524861878453
28149000103,MS,149,103,8038,91,6206,1601,20,74,2,1,43,5703,56,4577,983,13,49,2,0,23,NA,76720,90675,04470,54,23,3,1,1210.979225391814,1851.1118784530386
28149000104,MS,149,104,565,2,527,35,1,0,0,0,0,426,1,400,24,1,0,0,0,0,NA,76720,90675,04470,56,23,3,1,90.45715413237119,138.27348066298342
28149000201,MS,149,201,874,2,76,783,0,4,0,0,9,615,0,65,543,0,3,0,0,4,NA,76720,91413,04470,55,23,3,1,130.5895535009584,199.62016574585635
28149000202,MS,149,202,1646,10,330,1283,3,0,0,8,12,1106,5,247,840,2,0,0,5,7,NA,76720,91413,04470,55,23,3,1,234.8488555643252,358.99171270718233
28149000203,MS,149,203,1951,9,400,1529,4,4,0,0,5,1248,5,329,901,4,4,0,0,5,NA,76720,91413,04470,55,23,3,1,265.00124027511555,405.08287292817676
28149000204,MS,149,204,452,1,298,145,1,1,0,0,6,333,1,219,109,1,1,0,0,2,NA,NA,91413,04470,56,23,3,1,70.70946555417747,108.08701657458565
28149000205,MS,149,205,3010,22,356,2607,1,1,0,8,15,2091,16,293,1767,1,1,0,5,8,NA,76720,91413,04470,55,23,3,1,444.0044819032585,678.7085635359116
28149000206,MS,149,206,481,5,388,80,0,0,0,0,8,375,3,317,51,0,0,0,0,4,NA,76720,91413,04470,55,23,3,1,79.62777652497464,121.7196132596685
28149000301,MS,149,301,4414,44,1311,2988,4,33,0,4,30,3089,32,1061,1950,2,26,0,0,18,NA,76720,92151,04470,55,23,3,1,655.920537828391,1002.6450276243094
