GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
46013951800,46,013,9518,4416,4200,9,18,116,23,13,0,37,3546,3407,8,15,79,17,4,0,16,NA,NA,NA,NA,NA,NA,NA,1,1,53.41197183098592,60.348591549295776
46013951900,46,013,9519,3405,3358,0,12,17,1,0,0,17,2388,2371,0,7,5,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,1,1,60,59
46015973100,46,015,9731,2650,2584,0,10,30,17,0,0,9,1877,1832,0,10,19,9,0,0,7,NA,NA,NA,NA,NA,NA,NA,1,1,78,69
46015973200,46,015,9732,2714,2223,14,16,406,9,1,3,42,1851,1700,5,6,121,4,0,0,15,NA,NA,NA,NA,NA,NA,NA,1,1,63,88
46017940100,46,017,9401,1833,134,2,18,1639,0,0,6,34,1041,93,2,8,917,0,0,2,19,NA,NA,NA,NA,NA,NA,NA,1,1,339.7223154362416,215.71057046979865
46017974600,46,017,9746,199,198,0,0,1,0,0,0,0,151,150,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,49.27768456375839,31.289429530201343
46019997600,46,019,9976,2943,2818,0,41,50,3,0,0,31,2110,2043,0,20,28,1,0,0,18,NA,NA,NA,NA,NA,NA,NA,1,1,21.685841386715754,40.78232857800276
46019997700,46,019,9977,6151,5739,7,225,92,11,0,0,77,4409,4172,3,133,58,5,0,0,38,NA,NA,NA,NA,NA,NA,NA,1,1,45.31415861328424,85.21767142199724
46021984100,46,021,9841,1782,1766,0,4,6,1,0,0,5,1311,1300,0,3,5,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,312,740
46023970100,46,023,9701,2850,2805,0,23,11,4,0,0,7,2092,2073,0,9,4,2,0,0,4,NA,NA,NA,NA,NA,NA,NA,1,1,45,139
46023970200,46,023,9702,3031,1466,7,65,1419,3,0,2,69,1945,1110,5,29,772,3,0,1,25,NA,NA,NA,NA,NA,NA,NA,1,1,110,54
46023970300,46,023,9703,3469,2202,5,89,1131,2,1,0,39,2323,1633,2,40,629,2,1,0,16,NA,NA,NA,NA,NA,NA,NA,1,1,106,42
46025955600,46,025,9556,2576,2543,3,12,7,3,1,0,7,1908,1891,0,7,4,3,1,0,2,NA,NA,NA,NA,NA,NA,NA,1,1,52,58
46025955700,46,025,9557,1567,1538,0,8,17,0,0,0,4,1116,1106,0,5,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,44,47
46027965600,46,027,9656,5958,5374,80,65,174,173,1,9,82,5288,4851,63,50,107,159,1,5,52,NA,NA,NA,NA,NA,NA,NA,1,1,1155,1144
46027965700,46,027,9657,4618,4219,47,42,159,77,1,5,68,3500,3271,27,25,99,53,1,2,22,NA,NA,NA,NA,NA,NA,NA,1,1,114,87
46027965800,46,027,9658,2961,2905,1,13,20,12,0,0,10,2203,2167,1,8,15,5,0,0,7,NA,NA,NA,NA,NA,NA,NA,1,1,121,106
46029940600,46,029,9406,197,194,0,1,0,0,0,0,2,151,149,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,1079,1023
46029954100,46,029,9541,2709,2666,3,8,7,8,0,0,17,1850,1832,0,5,6,4,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,172,57
46029954200,46,029,9542,2083,2045,3,8,13,1,0,0,13,1476,1456,1,3,9,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,1,1,123,119
46029954300,46,029,9543,8476,8263,7,51,83,26,0,0,46,6138,6015,3,28,51,21,0,0,20,NA,NA,NA,NA,NA,NA,NA,1,1,1753.7142857142858,2296.7003484320558
46029954400,46,029,9544,5297,5031,8,65,117,16,3,0,57,4194,4018,6,45,83,14,3,0,25,NA,NA,NA,NA,NA,NA,NA,1,1,1198.2857142857142,1569.2996515679442
46029954500,46,029,9545,7135,6749,11,141,141,21,0,7,65,5143,4910,6,107,74,18,0,3,25,NA,NA,NA,NA,NA,NA,NA,1,1,179,294
46031940400,46,031,9404,795,695,1,6,70,2,0,0,21,576,524,1,4,33,2,0,0,12,NA,NA,NA,NA,NA,NA,NA,1,1,214.6909090909091,233.89090909090908
46031940500,46,031,9405,539,184,2,10,342,0,0,0,1,323,127,0,6,190,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,120.39090909090909,131.15757575757576
46031940600,46,031,9406,1350,412,1,45,872,0,0,0,20,850,339,1,19,480,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,1,1,73.95,79.05
46031940700,46,031,9407,260,38,0,4,209,0,0,0,9,150,31,0,2,115,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,1,13.049999999999999,13.95
46031940800,46,031,9408,706,144,0,11,540,0,0,0,11,421,115,0,5,293,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,1,1,156.91818181818184,170.95151515151517
46031940900,46,031,9409,531,78,0,13,438,0,0,0,2,317,63,0,4,249,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,44,25
46033995100,46,033,9951,4517,4289,8,63,85,10,1,1,60,3484,3349,4,32,60,7,0,0,32,NA,NA,NA,NA,NA,NA,NA,1,1,284.4982799203332,553.8569617961253
46033995200,46,033,9952,2758,2505,9,47,129,3,0,1,64,2039,1931,4,20,54,2,0,1,27,NA,NA,NA,NA,NA,NA,NA,1,1,166.50172007966685,324.1430382038747
46035962600,46,035,9626,3014,2964,4,16,17,7,0,0,6,2086,2061,2,10,7,3,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,36,28
46035962700,46,035,9627,4657,4452,14,38,90,31,0,0,32,3564,3445,8,23,55,22,0,0,11,NA,NA,NA,NA,NA,NA,NA,1,1,52,41
46035962800,46,035,9628,6153,5887,12,34,146,17,2,1,54,4610,4474,6,17,72,15,2,1,23,NA,NA,NA,NA,NA,NA,NA,1,1,2515,3449
46035962900,46,035,9629,4917,4685,18,42,115,25,1,0,31,3728,3589,18,27,61,18,1,0,14,NA,NA,NA,NA,NA,NA,NA,1,1,128,187
46037940600,46,037,9406,612,354,0,3,253,0,0,0,2,408,265,0,3,140,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,126,113
46037952600,46,037,9526,1543,1330,0,7,177,0,1,0,28,1106,988,0,3,100,0,1,0,14,NA,NA,NA,NA,NA,NA,NA,1,1,291,293
46037952700,46,037,9527,1940,1916,8,9,2,2,1,0,2,1487,1473,6,2,2,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,165,268
46037952800,46,037,9528,2172,2114,0,5,24,2,1,0,26,1668,1635,0,3,17,1,1,0,11,NA,NA,NA,NA,NA,NA,NA,1,1,422,594
46039953600,46,039,9536,3035,2961,4,32,9,2,1,3,23,2237,2197,2,20,7,1,1,0,9,NA,NA,NA,NA,NA,NA,NA,1,1,39,41
46039953700,46,039,9537,1463,1444,0,2,4,6,0,0,7,1121,1109,0,0,2,6,0,0,4,NA,NA,NA,NA,NA,NA,NA,1,1,279,445
46041940400,46,041,9404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
46041940500,46,041,9405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
46041940800,46,041,9408,10,10,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0.1381578947368421,0.2763157894736842
46041940900,46,041,9409,15,14,0,0,1,0,0,0,0,12,11,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0.23684210526315788,0.47368421052631576
46041941300,46,041,9413,1071,755,0,2,272,5,1,0,36,729,557,0,2,147,3,1,0,19,NA,NA,NA,NA,NA,NA,NA,1,1,14.38815789473684,28.77631578947368
46041941400,46,041,9414,1476,301,0,15,1139,0,0,0,21,864,225,0,6,619,0,0,0,14,NA,NA,NA,NA,NA,NA,NA,1,1,17.052631578947366,34.10526315789473
46041941500,46,041,9415,2592,247,2,33,2283,2,1,0,24,1544,217,2,13,1296,2,0,0,14,NA,NA,NA,NA,NA,NA,NA,1,1,30.473684210526315,60.94736842105263
46041941600,46,041,9416,808,111,0,1,695,0,0,0,1,492,90,0,0,401,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,9.710526315789474,19.42105263157895
46043969600,46,043,9696,3458,3384,2,13,34,4,0,0,21,2500,2468,2,6,15,1,0,0,8,NA,NA,NA,NA,NA,NA,NA,1,1,44,61
46045982100,46,045,9821,2476,2442,2,13,10,1,1,0,7,1769,1754,0,8,3,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,1,1,83,93
46045982200,46,045,9822,1891,1875,1,8,1,2,0,0,4,1433,1423,1,4,1,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,1,70,34
