GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,cd_1990,cd_2000,ndv,nrv
12007000300,12,007,0003,6917,6294,362,127,18,32,2,6,76,5330,4895,246,92,13,23,2,3,56,NA,NA,NA,NA,NA,11,15,641.809163679222,851.7320630555419
12007000400,12,007,0004,6105,3933,1775,254,34,23,10,0,76,5069,3121,1607,234,30,16,3,0,58,NA,NA,NA,NA,NA,11,15,610.3809851200707,810.0243579040416
12009060100,12,009,0601,7092,6055,807,81,50,21,1,5,72,5392,4717,529,49,37,15,1,0,44,NA,NA,NA,NA,NA,18,24,660.5400433159145,1116.0066742844028
12009060200,12,009,0602,5379,4836,186,184,23,85,2,7,56,3993,3647,110,125,11,61,2,4,33,NA,NA,NA,NA,NA,18,24,489.15734290809473,826.4493046026745
12009060300,12,009,0603,4605,3985,386,129,23,23,1,2,56,3375,2967,258,84,13,20,1,0,32,NA,NA,NA,NA,NA,18,24,413.4500456586075,698.5390440856565
12009060400,12,009,0604,4655,3750,681,134,11,14,0,4,61,3584,3048,394,86,10,9,0,1,36,NA,NA,NA,NA,NA,18,24,439.05332256013304,741.7967211860719
12009060500,12,009,0605,4527,3886,374,112,32,43,3,2,75,3479,3048,248,80,23,35,2,0,43,NA,NA,NA,NA,NA,18,24,426.1904322507542,720.0643953700738
12009060600,12,009,0606,5414,3955,1139,187,18,28,0,9,78,4028,3107,705,132,14,25,0,4,41,NA,NA,NA,NA,NA,18,24,493.44497301122107,833.6934132080073
12009060700,12,009,0607,2860,923,1773,86,5,10,1,2,60,1974,722,1146,53,5,9,1,1,37,NA,NA,NA,NA,NA,18,24,241.82233781632328,408.5677253407662
12009060800,12,009,0608,381,331,21,14,1,8,0,0,6,360,317,18,10,1,8,0,0,6,NA,NA,NA,NA,NA,18,24,44.101338203584795,74.5108313691367
12009060900,12,009,0609,3124,2673,189,166,14,22,3,4,53,2518,2204,134,115,11,16,3,2,33,NA,NA,NA,NA,NA,18,24,308.46435999062925,521.161870520795
12009061000,12,009,0610,6793,6073,275,273,26,69,3,7,67,5463,4962,202,183,17,55,2,3,39,NA,NA,NA,NA,NA,18,24,669.2378072393993,1130.7018660266494
12009061100,12,009,0611,5350,4875,194,168,8,49,0,8,48,4240,3900,130,126,8,40,0,3,33,NA,NA,NA,NA,NA,18,24,519.4157610644431,877.5720139031655
12009061200,12,009,0612,7718,6935,197,275,41,147,11,11,101,6105,5559,134,189,33,115,7,7,61,NA,NA,NA,NA,NA,18,24,747.8851937024589,1263.57951530161
12009062102,12,009,062102,6668,6036,234,174,46,50,0,7,121,5258,4815,168,118,40,38,0,5,74,NA,NA,NA,NA,NA,18,24,644.1245452068024,1088.2720870525577
12009062103,12,009,062103,7742,6942,378,222,18,73,2,13,94,5749,5220,251,143,18,61,2,1,53,NA,NA,NA,NA,NA,18,24,704.2738703678028,1189.8965820587969
12009062104,12,009,062104,6545,5794,288,235,11,73,3,16,125,4517,4045,179,153,10,62,2,4,62,NA,NA,NA,NA,NA,18,24,553.3492907377571,934.9039591510846
