GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
51009000201,VA,009,201,4972,66,3679,1137,17,30,0,7,36,4055,58,3081,845,17,23,0,6,25,NA,NA,NA,NA,NA,NA,NA,NA,7,6,626.1592510652245,873.6989921337266
51009000202,VA,009,202,1623,2,1364,240,2,3,0,2,10,1246,0,1041,195,2,2,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,7,6,192.40306456899378,268.4658308751229
51009000301,VA,009,301,2350,44,1655,566,61,1,4,2,17,1646,23,1206,358,43,0,2,2,12,NA,NA,NA,NA,NA,NA,NA,NA,7,6,254.16969845952147,354.6506882989184
51009000302,VA,009,302,3357,16,3035,249,26,12,1,0,18,2521,10,2276,199,20,6,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA,7,6,389.2842100950508,543.180063913471
51009000303,VA,009,303,1050,8,824,203,6,0,0,0,9,801,4,622,163,6,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,7,6,123.6876843657817,172.58517699115043
51009000401,VA,009,401,5518,28,4363,1016,29,23,1,12,46,4261,21,3435,739,21,14,1,5,25,NA,NA,NA,NA,NA,NA,NA,NA,7,6,657.9690675188463,918.0841937069814
51009000501,VA,009,501,6232,65,4989,1051,44,23,0,23,37,4939,49,4014,802,30,19,0,4,21,NA,NA,NA,NA,NA,NA,NA,NA,7,6,762.6635119632907,1064.1675270403146
51011000101,VA,011,101,1025,1,908,106,2,0,0,0,8,764,0,690,70,2,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,6,5,152.69637667118775,201.99147452044176
51011000102,VA,011,102,1958,14,1456,482,0,1,0,1,4,1418,11,1088,315,0,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,6,5,283.4076729316024,374.90040689788805
51011000201,VA,011,201,1180,10,832,323,0,0,0,8,7,870,5,636,223,0,0,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,173.8819996124782,230.01646967641932
51011000202,VA,011,202,1921,17,1601,290,3,8,0,0,2,1441,11,1228,194,3,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,5,288.00455338112766,380.9813020732416
51011000301,VA,011,301,853,9,648,181,0,7,1,2,5,635,9,494,121,0,5,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,6,5,126.91387328037203,167.88558418911066
51011000302,VA,011,302,1609,7,1198,391,5,1,0,1,6,1236,5,922,301,3,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,6,5,247.03235807014144,326.7820189885681
51011000401,VA,011,401,2568,6,1853,678,6,5,0,2,18,1961,4,1483,461,4,4,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,6,5,391.93402441387326,518.4624103855841
51011000501,VA,011,501,1798,0,1347,429,1,1,2,2,16,1388,0,1044,330,1,1,2,0,10,NA,NA,NA,NA,NA,NA,NA,NA,6,5,277.4117419104824,366.9688044952528
