GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
32003001022,NV,003,1022,74,1,67,2,0,1,1,0,2,68,1,62,2,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,3,5.5386403253922145,4.292852992446252
32003001023,NV,003,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,0,0
32003001024,NV,003,1024,2911,343,2026,277,30,107,8,5,115,2274,240,1638,208,26,93,8,2,59,NA,NA,NA,NA,NA,NA,NA,2,3,185.21864852855728,143.5580544826879
32003001026,NV,003,1026,307,9,244,17,1,28,0,0,8,254,5,204,16,1,22,0,0,6,NA,NA,NA,NA,NA,NA,NA,2,3,20.68845062720033,16.035068530608058
32003001027,NV,003,1027,3935,714,2411,321,23,288,16,5,157,2767,418,1800,219,15,228,14,0,73,NA,NA,NA,NA,NA,NA,NA,2,3,225.37379088765084,174.68123867792323
32003001028,NV,003,1028,1324,247,884,63,7,67,8,3,45,928,134,669,43,6,48,6,1,21,NA,NA,NA,NA,NA,NA,NA,2,3,75.58615032299963,58.58481730867827
32003001029,NV,003,1029,4374,1103,2023,576,41,409,26,8,188,2961,655,1471,380,27,311,18,2,97,NA,NA,NA,NA,NA,NA,NA,2,3,241.17520593362272,186.9284957446081
32003001030,NV,003,1030,1351,357,732,107,10,104,1,1,39,912,205,538,73,4,80,1,0,11,NA,NA,NA,NA,NA,NA,NA,2,1,74.28294083467205,57.57473425163209
32003001031,NV,003,1031,1696,184,1222,106,14,118,3,1,48,1156,116,854,77,7,76,3,1,22,NA,NA,NA,NA,NA,NA,NA,2,3,94.15688553166764,72.97850087158629
32003001032,NV,003,1032,992,65,790,37,8,52,5,1,34,744,45,603,21,4,43,5,1,22,NA,NA,NA,NA,NA,NA,NA,2,3,60.59924120723245,46.968862152647226
32003001034,NV,003,1034,7123,1209,4332,441,42,747,47,9,296,5629,830,3592,341,32,585,38,6,205,NA,NA,NA,NA,NA,NA,NA,1,3,458.4853881122466,355.35984550705814
32003001035,NV,003,1035,1563,329,941,100,12,98,9,9,65,1117,203,710,66,11,77,7,9,34,NA,NA,NA,NA,NA,NA,NA,2,3,90.98031240386916,70.51642342003623
32003001036,NV,003,1036,1186,114,834,51,12,140,1,2,32,913,84,649,40,11,109,1,0,19,NA,NA,NA,NA,NA,NA,NA,2,3,74.36439142769251,57.63786444269747
32003001037,NV,003,1037,3308,418,2190,196,14,327,16,20,127,2776,293,1924,164,14,271,14,14,82,NA,NA,NA,NA,NA,NA,NA,2,3,226.1068462248351,175.24941039751172
32003001038,NV,003,1038,615,14,540,13,1,32,0,0,15,553,13,487,13,1,29,0,0,10,NA,NA,NA,NA,NA,NA,NA,1,3,45.04217794032197,34.91099565915849
32003001039,NV,003,1039,1491,56,1319,11,2,87,0,3,13,1364,43,1213,11,2,80,0,2,13,NA,NA,NA,NA,NA,NA,NA,1,3,111.09860887992616,86.10958061318658
32003001040,NV,003,1040,1062,66,802,53,4,116,0,0,21,841,45,647,44,2,90,0,0,13,NA,NA,NA,NA,NA,NA,NA,2,3,68.4999487302184,53.09249068598968
32003001041,NV,003,1041,4068,652,2357,380,30,419,29,7,194,3436,469,2110,313,24,344,28,7,141,NA,NA,NA,NA,NA,NA,NA,1,3,279.8642376183477,216.9153365006665
32003001042,NV,003,1042,10492,2039,5791,870,57,1334,62,21,318,6925,1181,3975,561,42,973,41,7,145,NA,NA,NA,NA,NA,NA,NA,2,3,564.0453566667805,437.17657312779846
32003001043,NV,003,1043,319,40,180,26,1,54,3,1,14,228,25,130,22,1,39,2,1,8,NA,NA,NA,NA,NA,NA,NA,2,3,18.57073520866801,14.393683562908022
32003001044,NV,003,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,0,0
