GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,cd_1990,cd_2000,ndv,nrv
06073014102,06,073,014102,3854,785,1334,1087,4,421,46,3,174,2577,623,858,677,2,319,32,3,63,NA,66000,92780,21330,16230,34320,52,51,416.655798639994,738.3179726719059
06073014200,06,073,0142,5936,2925,652,1621,30,397,70,20,221,4281,2347,432,1021,21,284,43,13,120,NA,41124,92780,21330,16230,34320,52,53,692.1627760876268,1226.5189138565886
06073014300,06,073,0143,3518,1756,340,1117,24,155,20,2,104,2520,1393,219,690,16,125,16,2,59,NA,41124,92780,21330,16230,NA,52,53,407.4398962253724,721.9873073857984
06073014400,06,073,0144,3686,1332,743,1175,27,97,40,7,265,2664,1137,518,725,25,87,26,5,141,NA,41124,92780,21330,16230,NA,52,53,430.72217600967946,763.2437249507013
06073014500,06,073,0145,3484,2150,262,714,19,223,13,6,97,2671,1769,172,452,16,186,11,4,61,NA,40004,92780,21330,16230,34320,52,52,431.85395349919435,765.2492452489952
06073014601,06,073,014601,4478,2868,302,847,28,240,16,14,163,3465,2397,194,563,21,191,7,9,83,NA,40004,92780,20250,16230,NA,52,52,560.229857309887,992.7325476554729
06073014602,06,073,014602,3947,2883,317,425,22,157,14,5,124,3097,2379,209,292,16,126,14,1,60,NA,40004,92780,20250,16230,NA,52,52,500.73069786110256,887.2994805451658
06073014700,06,073,0147,7360,5281,296,1158,38,313,40,15,219,5797,4360,213,777,29,247,30,11,130,NA,40004,92780,20250,16230,34320,52,52,937.2734438168587,1660.8573098870927
06073014801,06,073,014801,6776,4850,348,983,41,326,16,9,203,5700,4243,256,719,38,283,16,5,140,NA,40004,92780,20250,16230,34320,52,52,921.5902414621519,1633.0665286107346
06073014803,06,073,014803,4732,3636,172,488,13,227,11,6,179,4056,3212,129,359,9,204,11,6,126,NA,40004,92780,20250,16230,NA,52,52,655.784213924647,1162.055761411428
06073014804,06,073,014804,4483,3641,150,407,21,143,5,6,110,3775,3163,106,289,13,116,5,5,78,NA,40004,92780,20250,16230,34320,52,52,610.351431845548,1081.5484465799163
06073014900,06,073,0149,7497,5714,358,1005,33,158,22,5,202,6032,4803,256,683,28,131,19,5,107,NA,40004,92780,20250,16230,NA,52,52,975.2688309648597,1728.1854913298162
06073015000,06,073,0150,5541,4035,256,744,27,242,25,24,188,4254,3225,176,485,24,205,19,15,105,NA,40004,92780,20250,16230,34320,52,52,687.7973486280691,1218.7833355631692
06073015100,06,073,0151,4600,3762,69,463,13,116,17,15,145,3623,3043,57,314,13,89,12,9,86,NA,40004,92780,20250,16230,NA,52,52,585.7756920732239,1038.0000058169635
06073015200,06,073,0152,3769,3264,63,247,12,60,16,4,103,2963,2608,45,173,10,50,13,4,60,NA,11691,92780,20250,16230,NA,52,52,479.0652430618169,848.9080919778257
06073015301,06,073,015301,3164,1879,192,841,13,91,7,4,137,2137,1407,97,501,8,62,7,3,52,NA,21712,92780,06810,16230,NA,52,52,345.51549929905593,612.2566967791474
06073015302,06,073,015302,3949,3183,118,407,13,105,7,11,105,3141,2617,71,282,8,83,7,10,63,NA,21712,92780,06810,16230,NA,52,52,507.8447277951964,899.9056081344418
06073015403,06,073,015403,2509,2145,45,161,10,63,2,8,75,1890,1670,33,94,7,47,2,5,32,NA,11691,92780,06810,16230,NA,52,52,305.5799221690293,541.4904805393488
06073015404,06,073,015404,7337,5233,262,1193,39,158,16,29,407,5329,4021,167,712,27,134,11,14,243,NA,21712,92780,06810,16230,NA,52,52,861.606034517861,1526.7739528011587
06073015405,06,073,015405,5108,4243,74,547,20,68,8,8,140,3729,3176,58,338,14,61,7,5,70,NA,59550,92780,06810,16230,NA,52,52,602.9140369144499,1068.369313191128
06073015406,06,073,015406,2186,1878,39,163,13,40,0,14,39,1626,1430,30,102,6,29,0,9,20,NA,59550,92780,06810,16230,NA,52,52,262.8957425644665,465.85371500369376
06073015501,06,073,015501,4928,4066,15,616,42,41,7,8,133,3556,3026,11,366,34,32,5,4,78,NA,17106,92780,06810,16230,NA,52,52,574.9429646735811,1018.8043115332933
06073015502,06,073,015502,2698,2246,19,266,71,26,2,2,66,1978,1692,9,171,46,21,2,2,35,4090,32044,92780,02100,16230,NA,52,52,319.8079820372169,566.7027357179005
06073015601,06,073,015601,5734,4144,128,1055,27,128,35,3,214,4067,3087,80,635,22,94,26,2,121,NA,21712,92780,06810,16230,NA,52,52,657.5627214081705,1165.207293308747
06073015602,06,073,015602,2560,2205,36,221,5,33,10,9,41,1949,1708,28,145,5,24,10,5,24,NA,30703,92780,06810,16230,NA,52,52,315.1191895806551,558.3941516249687
06073015701,06,073,015701,5500,2915,426,1704,54,137,22,10,232,4062,2430,275,1041,41,117,17,3,138,NA,21712,92780,06810,16230,NA,52,52,656.7543089156597,1163.7747788099655
06073015703,06,073,015703,6335,3283,567,1843,70,159,11,8,394,4531,2663,360,1104,51,120,11,5,217,NA,21712,92780,06810,16230,NA,52,52,732.5834007131597,1298.144638795656
06073015704,06,073,015704,3851,2464,158,903,29,103,7,5,182,2746,1886,101,536,22,83,5,3,110,NA,21712,92780,06810,16230,NA,52,52,443.98014088685426,786.7369627307154
06073015801,06,073,015801,3239,1709,322,926,20,87,14,6,155,2286,1344,211,550,13,69,10,3,86,NA,21712,92780,06810,16230,NA,52,52,369.60619157587354,654.9456288428314
06073015802,06,073,015802,4530,2419,326,1413,51,71,25,7,218,3211,1938,191,857,36,60,15,1,113,NA,21712,92780,06810,16230,NA,52,52,519.1625026903456,919.9608111173806
06073015901,06,073,015901,3312,1312,339,1368,45,84,7,4,153,2065,951,180,755,32,66,6,4,71,NA,21712,92780,06810,16230,NA,52,52,333.8743594069024,591.628487996696
06073015902,06,073,015902,4944,2941,207,1408,17,167,14,5,185,3445,2232,133,830,12,125,10,3,100,NA,21712,92780,06810,16230,NA,52,52,556.9962073398445,987.0024896603476
06073016000,06,073,0160,2507,1786,74,491,17,32,10,11,86,1833,1402,44,294,10,26,8,9,40,NA,21712,92780,20250,16230,NA,52,52,296.3640197544078,525.1598152532415
06073016100,06,073,0161,5720,4588,123,699,25,110,16,7,152,4527,3742,94,461,21,96,14,3,96,NA,21712,92780,20250,16230,34320,52,52,731.9366707191512,1296.9986271966307
06073016201,06,073,016201,5893,4995,72,497,8,142,17,1,161,4500,3920,47,305,6,110,17,1,94,NA,21712,92780,20250,16230,34320,52,52,727.5712432595936,1289.2630489032115
06073016202,06,073,016202,3465,1951,322,813,33,163,14,8,161,2569,1578,225,510,22,135,14,4,81,NA,21712,92780,06810,16230,NA,52,52,415.36233865197687,736.0259494738557
06073016301,06,073,016301,4976,2617,384,1522,46,184,21,13,189,3469,1990,264,923,35,137,14,6,100,NA,21712,92780,06810,16230,NA,52,52,560.8765873038957,993.878559254498
06073016302,06,073,016302,5114,2769,293,1610,44,127,26,9,236,3567,2151,177,956,34,97,12,9,131,NA,21712,92780,06810,16230,NA,52,52,576.7214721571045,1021.9558434306123
06073016401,06,073,016401,4736,3861,66,545,35,98,19,1,111,3592,3029,46,338,20,79,14,1,65,NA,21712,92780,06810,16230,NA,52,52,580.7635346196578,1029.118415924519
06073016402,06,073,016402,6990,4948,278,1247,63,208,23,16,207,5006,3755,173,753,42,158,16,9,100,NA,21712,92780,06810,16230,NA,52,52,809.3825875016724,1434.233516179884
06073016501,06,073,016501,8733,6106,422,1593,49,161,31,16,355,6351,4732,267,960,42,140,18,9,183,NA,07624,92780,06810,16230,NA,52,52,1026.8455479870397,1819.5799163520658
06073016502,06,073,016502,6711,4712,223,1319,51,94,16,14,282,4644,3453,129,771,40,77,11,10,153,NA,07624,92780,06810,16230,NA,52,52,750.8535230439006,1330.5194664681144
06073016605,06,073,016605,7043,5856,77,749,33,110,13,25,180,5542,4734,59,502,29,99,12,15,92,NA,70224,92780,35880,16230,34320,52,52,896.0444066988151,1587.799070449244
06073016606,06,073,016606,3116,2511,17,339,25,98,2,15,109,2227,1836,10,223,16,72,2,8,60,NA,70224,92780,35880,16230,NA,52,52,360.0669241642478,638.0419577572115
06073016607,06,073,016607,6564,5457,47,665,35,167,27,5,161,4803,4087,37,415,25,137,20,4,78,NA,70224,92780,35880,16230,NA,52,52,776.5610403057395,1376.073427529361
06073016608,06,073,016608,2598,2241,17,224,19,49,2,0,46,1835,1595,10,156,15,35,2,0,22,NA,70224,92780,35880,16230,NA,52,52,296.687384751412,525.732821052754
06073016609,06,073,016609,5328,4464,33,538,25,107,11,4,146,3589,3052,23,320,20,91,8,1,74,NA,70224,92780,35880,16230,NA,52,52,580.2784871241514,1028.2589072252501
06073016610,06,073,016610,4293,3508,37,500,25,99,15,4,105,2981,2461,26,319,16,86,13,3,57,NA,70224,92780,35880,16230,NA,52,52,481.97552803485524,854.0651441734386
06073016612,06,073,016612,6229,5138,25,632,36,156,24,11,207,4238,3556,19,374,28,128,20,7,106,NA,70224,92780,35880,16230,NA,52,52,685.210428652035,1214.1992891670689
06073016613,06,073,016613,2221,1810,28,240,7,52,20,8,56,1596,1330,20,152,6,41,12,7,28,NA,70224,92780,35880,16230,NA,52,52,258.0452676094026,457.2586280110057
06073016614,06,073,016614,4019,3163,40,500,18,159,15,4,120,2743,2206,22,306,13,128,9,2,57,NA,70224,92780,35880,16230,NA,52,52,443.49509339134784,785.8774540314464
06073016615,06,073,016615,2704,1874,254,424,16,75,12,4,45,2139,1464,247,321,12,63,10,4,18,NA,70224,92780,35880,16230,NA,52,52,345.83886429606014,612.8297025786599
06073016616,06,073,016616,4233,3287,92,497,24,154,20,5,154,3032,2440,63,294,21,123,13,2,76,NA,70224,92780,35880,16230,NA,52,52,490.221335458464,868.6767920610084
06073016617,06,073,016617,3122,2478,37,429,14,64,13,0,87,2380,1970,23,268,14,51,7,0,47,NA,70224,92780,35880,16230,NA,52,52,384.80434643507397,681.8769014199208
06073016701,06,073,016701,7153,5841,83,795,71,119,21,12,211,5164,4307,52,523,55,90,14,7,116,NA,07624,92780,35880,16230,NA,52,52,834.9284222650093,1479.5009743413743
