GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
25009000418,MA,009,418,3342,1082,1293,415,3,430,0,14,105,2104,600,947,228,2,260,0,5,62,NA,37490,37490,NA,NA,07110,33,6,7,5,445.4764476491796,299.58507836067986
25009000419,MA,009,419,3789,1436,1264,644,10,274,0,21,140,2561,868,1030,414,6,161,0,6,76,NA,37490,37490,NA,NA,07110,33,6,7,5,542.2363034360975,364.6565521300861
25009000420,MA,009,420,3367,787,1929,395,4,125,0,13,114,2615,498,1676,277,2,82,0,7,73,NA,37490,37490,NA,NA,07110,33,6,7,5,553.6696343168273,372.34552277242295
25009000421,MA,009,421,3051,506,1953,349,4,66,2,55,116,2497,341,1728,249,2,44,2,39,92,NA,37490,37490,08220,NA,07110,33,6,7,5,528.6856890589361,355.5436980354647
25009000422,MA,009,422,3398,646,2127,257,10,267,0,9,82,2342,381,1606,154,7,148,0,5,41,NA,37490,37490,NA,NA,07110,34,6,7,5,495.8677948642484,333.4735045250534
25009000423,MA,009,423,3534,1174,1148,558,9,472,0,16,157,2350,705,920,350,5,278,0,5,87,NA,37490,37490,NA,NA,07110,34,6,7,5,497.5616216613936,334.612611286881
25009000424,MA,009,424,3797,1200,1391,642,6,372,0,26,160,2647,731,1152,412,6,226,0,13,107,NA,37490,37490,NA,NA,07110,34,6,7,5,560.444941505408,376.90194981973366
25009000425,MA,009,425,3747,943,2004,544,12,77,0,17,150,3175,659,1910,409,7,47,0,12,131,NA,37490,37490,08220,NA,07110,33,6,7,5,672.2375101169893,452.08299610036056
25009000426,MA,009,426,3201,469,2192,239,3,202,0,14,82,2217,253,1645,145,1,122,0,5,46,NA,37490,37490,NA,NA,07110,34,6,7,5,469.40175115885506,315.67496137149584
25009000427,MA,009,427,3551,1344,1180,436,2,448,1,20,120,2383,854,916,262,2,267,1,13,68,NA,37490,37490,NA,NA,07110,34,6,7,5,504.5486571996174,339.3114266794202
25009000428,MA,009,428,3713,1375,931,655,5,565,2,7,173,2328,800,691,406,3,326,2,6,94,NA,37490,37490,NA,NA,07110,34,6,7,5,492.90359796924434,331.4800676918549
25009000429,MA,009,429,3137,679,1663,278,12,382,2,4,117,2284,408,1374,199,5,230,0,1,67,NA,37490,37490,08220,NA,07110,34,6,7,5,483.58755058494586,325.21498050180264
25009000430,MA,009,430,2831,175,2282,255,7,51,0,3,58,2156,94,1838,156,4,35,0,2,27,NA,37490,37490,NA,NA,07110,34,6,7,5,456.48632183062324,306.9892723125598
25009000431,MA,009,431,2922,353,2105,155,8,234,0,4,63,2074,201,1632,86,5,118,0,1,31,NA,37490,37490,NA,NA,07110,34,6,7,5,439.12459715988524,295.31342800382606
25009000432,MA,009,432,3073,295,2368,160,6,163,2,9,70,2240,171,1822,95,6,99,1,4,42,NA,37490,37490,NA,NA,07110,34,6,7,5,474.2715032006475,318.94989331175043
25009000433,MA,009,433,2830,273,2039,155,0,188,18,23,134,2052,151,1590,108,0,107,11,18,67,NA,37490,37490,NA,NA,07110,34,6,7,5,434.466573467736,292.18088440879995
25009000434,MA,009,434,2916,23,2828,6,0,47,0,0,12,2198,13,2136,5,0,36,0,0,8,NA,37595,37560,NA,NA,07140,80,6,7,5,612.3289534347625,771.9347625633932
25009000435,MA,009,435,2936,15,2839,9,0,48,0,7,18,2163,12,2093,7,0,37,0,4,10,NA,37595,37560,NA,NA,07140,32,6,7,5,602.5784923928078,759.6428077455048
25009000436,MA,009,436,2889,17,2749,24,0,68,1,4,26,2216,15,2124,16,0,47,1,2,11,NA,37595,37560,NA,NA,07140,80,6,7,5,617.3434762563393,778.2563393268787
25009000437,MA,009,437,2801,22,2691,10,0,59,0,2,17,2099,14,2023,7,0,46,0,0,9,NA,37595,37560,07830,07410,07140,80,6,7,5,584.7490779160904,737.1660903642231
25009000438,MA,009,438,5228,40,5137,3,4,20,0,3,21,3978,29,3914,3,2,16,0,2,12,NA,05595,37995,NA,NA,07200,27,9,7,5,1011.5437260196106,885.7084553076595
25009000439,MA,009,439,3043,27,2966,6,4,15,0,2,23,2500,22,2443,6,4,8,0,0,17,NA,38435,38400,NA,NA,07260,31,6,7,5,808.5058360740311,890.2431160121236
25009000440,MA,009,440,3235,13,3145,19,2,26,0,0,30,2578,11,2523,14,1,17,0,0,12,NA,38435,38400,NA,NA,07260,31,6,7,5,833.7312181595408,918.0187012317018
25009000441,MA,009,441,2859,23,2771,24,1,21,6,1,12,2235,10,2186,16,0,13,3,1,6,NA,38435,38400,NA,NA,07260,31,6,7,5,722.8042174501838,795.8773457148385
25009000442,MA,009,442,2439,21,2366,0,1,45,0,0,6,1787,13,1740,0,1,30,0,0,3,NA,38435,38400,NA,NA,07260,31,6,7,5,577.9199716257174,636.3457793254659
25009000443,MA,009,443,3045,36,2905,21,5,47,0,1,30,2138,17,2059,11,2,33,0,1,15,NA,38435,38400,NA,NA,07260,31,6,7,5,691.4341910105114,761.3359128135681
25009000444,MA,009,444,2951,31,2877,5,2,23,0,2,11,2121,14,2075,4,2,17,0,1,8,NA,38435,38400,NA,NA,07260,31,6,7,5,685.936351325208,755.2822596246857
25009000445,MA,009,445,2805,28,2717,13,1,23,0,6,17,2148,18,2095,10,1,16,0,3,5,NA,38435,38400,NA,NA,07260,31,6,7,5,694.6682143548074,764.8968852776165
25009000446,MA,009,446,6138,55,6002,19,7,17,0,2,36,4359,26,4284,10,6,15,0,1,17,NA,29405,40430,NA,NA,09450,25,8,7,5,974,987
25009000447,MA,009,447,3515,370,3015,24,3,49,0,18,36,2696,215,2388,19,2,34,0,15,23,NA,40710,40710,NA,NA,07740,38,8,6,4,652.8544207779598,492.0334971782268
25009000448,MA,009,448,3216,1782,1229,66,9,66,0,13,51,2118,1040,947,45,3,52,0,5,26,NA,40710,40710,NA,NA,07740,39,8,6,4,512.8878572728928,386.54560349535774
25009000449,MA,009,449,3665,128,3350,19,3,134,0,1,30,2906,87,2689,17,3,91,0,1,18,NA,40710,40710,NA,NA,07740,38,8,6,4,703.7073244735725,530.3595485162934
25009000450,MA,009,450,3122,215,2773,44,6,41,0,0,43,2458,139,2232,31,1,32,0,0,23,NA,40710,40710,NA,NA,07740,38,8,6,4,595.2211299229323,448.59730566175136
25009000451,MA,009,451,3546,472,2901,43,6,57,0,13,54,2720,286,2314,29,4,42,0,7,38,NA,40710,40710,NA,NA,07740,38,8,6,4,658.6661812003155,496.4136173311487
25009000452,MA,009,452,3212,343,2748,24,18,50,0,5,24,2486,219,2190,15,10,37,0,3,12,NA,40710,40710,NA,NA,07740,38,8,6,4,602.0015170823472,453.7074458401602
25009000453,MA,009,453,4288,121,3900,40,5,167,2,9,44,3257,81,2981,31,4,129,2,4,25,NA,40710,40710,NA,NA,07740,38,8,6,4,788.7043206505249,594.4188057527763
25009000454,MA,009,454,3923,91,3732,31,4,45,1,3,16,2882,51,2771,20,4,30,0,0,6,NA,40710,40710,NA,NA,07740,38,8,6,4,697.8955640512166,525.9794283633715
25009000455,MA,009,455,3966,90,3671,19,1,146,0,4,35,2933,64,2717,16,1,106,0,2,27,NA,40710,40710,NA,NA,07740,38,8,6,4,710.2455549487227,535.2871836883306
25009000456,MA,009,456,3281,364,2721,65,2,75,0,4,50,2470,212,2124,43,1,52,0,3,35,NA,40710,40710,NA,NA,07740,38,8,6,4,598.12701013411,450.78736573821226
25009000457,MA,009,457,3975,108,3798,3,2,51,0,0,13,2862,64,2750,2,0,37,0,0,9,NA,40710,40710,NA,NA,07740,38,8,6,4,693.0524303659203,522.3293282359367
25009000458,MA,009,458,4080,137,3723,28,4,149,0,0,39,3170,92,2921,23,4,104,0,0,26,NA,40710,40710,NA,NA,07740,38,8,6,4,767.6366891194854,578.5408701984344
25009000459,MA,009,459,7744,485,6966,107,4,86,4,19,73,5965,472,5262,93,4,67,2,19,46,NA,16285,41095,07830,07410,03990,80,9,7,5,900,1187
25009000460,MA,009,460,3632,39,3504,9,3,39,2,9,27,2956,25,2863,9,3,27,1,8,20,NA,43615,43580,08220,NA,07110,34,6,7,5,625.8690015451402,420.8999484953278
25009000461,MA,009,461,3828,42,3730,7,4,13,1,14,17,2909,20,2853,4,4,7,1,7,13,NA,45245,45175,NA,NA,11740,25,9,7,5,571.3315035071668,501.2458066483684
25009000462,MA,009,462,2889,19,2823,17,5,17,0,0,8,1988,6,1960,8,1,6,0,0,7,NA,NA,45175,NA,NA,11740,25,9,7,5,390.44586764257394,342.54955779200975
25009000463,MA,009,463,2081,18,2018,18,3,6,0,0,18,1661,12,1620,12,3,4,0,0,10,NA,45245,45245,NA,NA,08580,24,8,7,5,326.22262885025924,286.20463555962186
25009000464,MA,009,464,724,5,712,3,0,2,0,0,2,608,1,603,1,0,2,0,0,1,NA,45245,45245,NA,NA,08580,24,8,7,5,197.31952909743674,153.81481172246805
25009000465,MA,009,465,2603,21,2549,6,1,16,0,0,10,2216,17,2177,5,0,10,0,0,7,NA,45245,45245,NA,NA,08580,24,8,7,5,719.1777573682892,560.6145111463638
25009000466,MA,009,466,2691,25,2624,15,3,7,0,1,16,2246,14,2205,10,3,5,0,1,8,NA,45245,45245,NA,NA,08580,24,8,7,5,728.9139183434917,568.2040577774067
25009000467,MA,009,467,2744,29,2678,5,4,17,1,0,10,2253,17,2212,3,4,10,1,0,6,NA,45245,45245,NA,NA,08580,24,8,7,5,731.1856892377057,569.9749519913167
25009000468,MA,009,468,3308,21,3220,14,3,32,0,2,16,2410,13,2356,10,2,18,0,2,9,NA,45245,45245,NA,NA,08580,24,8,7,5,782.1382650079319,609.6935793604409
25009000469,MA,009,469,3038,32,2952,9,5,25,0,0,15,2244,21,2185,8,3,16,0,0,11,NA,45245,45245,NA,NA,08580,24,8,7,5,728.2648409451448,567.6980880020038
25009000470,MA,009,470,4222,79,3943,24,1,137,0,2,36,3267,40,3092,21,1,97,0,2,14,NA,34550,46365,02880,07410,08700,37,8,7,5,611.7971493391201,639.6720260406391
25009000471,MA,009,471,3502,61,3377,13,1,27,0,0,23,2651,35,2568,11,1,22,0,0,14,NA,34550,46365,NA,NA,08700,37,8,7,5,496.4414578812389,519.0604655750641
25009000472,MA,009,472,3510,180,3110,50,1,115,0,3,51,2699,114,2436,33,1,84,0,2,29,NA,34550,46365,NA,NA,08700,37,8,7,5,505.4302130597751,528.4587689879661
25009000473,MA,009,473,5495,118,4980,53,1,298,1,5,39,4658,93,4263,51,1,215,1,2,32,NA,01430,46365,NA,NA,08700,79,8,7,5,872.2837837837839,912.0270270270271
25009000474,MA,009,474,4878,34,4484,19,2,313,0,3,23,3391,22,3122,13,2,218,0,3,11,NA,01430,46365,07830,07410,08700,79,9,7,5,635.0181002170053,663.9509765239693
25009000475,MA,009,475,5595,69,5278,25,0,187,1,12,23,3610,50,3396,15,0,133,1,8,7,NA,NA,46365,02880,07410,08700,37,9,7,5,676.0292957190768,706.8307358453344
25009000476,MA,009,476,2445,111,2282,29,0,8,0,0,15,1822,55,1739,15,0,4,0,0,9,NA,52490,52490,NA,NA,09360,35,7,7,5,547.6275626119264,421.349370539652
25009000477,MA,009,477,2484,22,2402,3,2,13,0,9,33,1927,16,1873,3,2,7,0,5,21,NA,52490,52490,NA,NA,09360,35,7,7,5,579.186779996258,445.631304626734
25009000478,MA,009,478,3456,21,3269,46,2,76,1,7,34,2560,14,2435,28,2,53,1,5,22,NA,52490,52490,NA,NA,09360,35,7,7,5,769.4437762275145,592.0166786945714
25009000479,MA,009,479,2957,465,2168,46,17,48,0,63,150,2368,310,1818,33,11,38,0,54,104,NA,52490,52490,NA,NA,09360,35,7,7,5,711.7354930104509,547.6154277924785
25009000480,MA,009,480,2482,232,2123,40,2,36,0,13,36,1919,149,1684,29,0,25,0,11,21,NA,52490,52490,NA,NA,09360,35,7,7,5,576.782268195547,443.7812525058135
