GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
39005970100,39,005,9701,7412,7244,36,55,9,11,0,4,53,5155,5047,22,35,8,7,0,3,33,NA,63996,37660,04583,93,19,3,13,279,361
39005970200,39,005,9702,5366,5296,6,14,4,2,1,2,41,3858,3819,1,9,4,2,1,0,22,NA,70576,15672,04583,93,19,3,13,177,370
39005970300,39,005,9703,4215,4087,47,19,3,22,1,4,32,2978,2902,25,10,3,15,1,2,20,NA,02568,02568,04350,93,19,3,6,103.55827067669173,211.11493018259935
39005970400,39,005,9704,4044,3895,40,21,7,9,0,5,67,2985,2908,26,7,5,4,0,4,31,NA,02568,02568,04350,93,19,3,6,78.77040763938803,205.3547592155252
39005970500,39,005,9705,3756,3550,58,39,4,75,0,0,30,2924,2788,34,24,4,58,0,0,16,NA,02568,02568,04350,93,19,3,6,2311,4225
39005970600,39,005,9706,5528,5319,75,54,8,35,1,4,32,4470,4296,66,44,8,33,1,1,21,NA,02568,02568,04350,93,19,3,6,155.4417293233083,316.8850698174007
39005970700,39,005,9707,4868,4709,31,28,1,76,0,2,21,3784,3671,20,19,1,59,0,0,14,NA,02568,02568,04350,93,19,3,6,99.85501591539172,260.32241503234417
39005970800,39,005,9708,3876,3725,35,44,1,26,11,3,31,2970,2881,24,27,0,21,5,0,12,NA,02568,02568,04350,93,19,3,6,78.37457644522024,204.3228257521306
39005970900,39,005,9709,4631,4549,11,32,6,20,0,0,13,3314,3273,4,12,3,12,0,0,10,NA,39060,51086,04582,93,19,3,6,250,416
39005971000,39,005,9710,4721,4589,80,19,3,4,1,5,20,3485,3419,31,11,2,3,1,4,14,NA,62190,31682,04582,93,19,3,6,267,553
39005971100,39,005,9711,4106,4058,0,14,5,6,0,1,22,3078,3048,0,9,3,5,0,1,12,NA,45066,33236,04546,93,19,3,6,376,602
39007000000,39,007,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,29652,00000,99998,5,18,19,5,0,0
39007000101,39,007,000101,3065,2974,18,20,7,7,0,0,39,2404,2355,15,9,5,7,0,0,13,NA,18350,18350,04381,5,18,19,5,801.8040413533835,558.9187030075188
39007000102,39,007,000102,3919,3756,50,41,3,14,0,2,53,2920,2821,33,18,3,13,0,0,32,NA,18350,18350,04381,5,18,19,5,973.9050751879699,678.8862781954887
39007000103,39,007,000103,4425,4192,59,54,6,27,6,2,79,3188,3054,37,27,4,21,3,0,42,NA,18350,18350,04381,5,18,19,5,1063.2908834586467,741.1950187969925
39007000200,39,007,0002,4459,4331,23,43,10,27,0,0,25,3432,3347,18,27,5,21,0,0,14,NA,56700,56700,04585,5,18,19,5,340,360
39007000300,39,007,0003,2413,2305,45,19,1,24,0,4,15,1890,1822,26,14,1,17,0,3,7,NA,24542,02652,04585,5,18,19,5,963.1336559319207,607.2409477724011
39007000400,39,007,0004,1943,1807,49,34,4,18,3,0,28,1580,1490,34,20,4,12,3,0,17,NA,02638,02652,04351,5,18,19,5,805.1593525780077,507.640580677457
39007000500,39,007,0005,4561,4348,62,79,5,16,1,1,49,3487,3350,45,49,5,11,1,1,25,NA,24542,02652,04585,5,18,19,5,1776.956115468046,1120.3434840647421
39007000601,39,007,000601,3197,2759,232,121,12,9,2,4,58,2300,2041,160,66,6,8,2,0,17,NA,02638,02652,04351,5,18,19,5,1172.067411980644,738.9704655431336
39007000602,39,007,000602,3787,3573,91,53,5,18,0,4,43,2932,2814,52,31,4,12,0,1,18,NA,02638,70646,04351,5,18,19,5,335.3092280798602,295.924556076916
39007000603,39,007,000603,4121,3678,219,143,6,23,0,3,49,3098,2866,114,68,6,18,0,1,25,NA,02638,70646,04351,5,18,19,5,354.29331125218516,312.67881129818755
39007000701,39,007,000701,3526,2187,873,321,17,8,2,9,109,2460,1644,567,195,12,7,2,1,32,NA,02638,02652,04351,5,18,19,5,281.3303891802374,248.2859508694452
39007000702,39,007,000702,3111,2995,44,35,0,15,0,0,22,2379,2297,31,24,0,14,0,0,13,NA,02638,70646,04351,5,18,19,5,272.0670714877174,240.11068175545128
39007000703,39,007,000703,4067,3195,431,344,11,11,0,4,71,2729,2244,262,174,8,9,0,1,31,NA,02638,02652,04351,5,18,19,5,1390.6834640413815,876.804521942266
39007000704,39,007,000704,4484,3939,239,176,5,25,2,4,94,3404,3070,170,103,5,21,2,1,32,NA,02638,02652,04351,5,18,19,5,449,355
39007000800,39,007,0008,7349,6931,42,290,8,17,1,3,57,5472,5206,26,181,8,13,1,2,35,NA,29610,29624,04405,5,18,19,5,1094.5168731311405,1002.771465185818
39007000900,39,007,0009,5101,4677,63,264,8,14,1,0,74,3892,3616,50,178,6,12,1,0,29,NA,29610,29624,04405,5,18,19,5,778.4831268688595,713.228534814182
39007001000,39,007,0010,8671,8431,91,59,7,13,2,3,65,6389,6245,55,33,7,12,2,2,33,NA,67600,52066,04587,5,18,19,5,227,225
39007001100,39,007,0011,8324,8012,156,54,19,22,0,2,59,6133,5941,100,30,16,14,0,0,32,NA,38500,38514,04587,5,18,19,5,227,266
39007001200,39,007,0012,7154,6932,83,55,15,3,2,1,63,5092,4944,65,29,13,2,2,1,36,NA,18350,51296,04585,5,18,19,5,297,348
39007001300,39,007,0013,7729,7496,131,27,13,8,0,0,54,5648,5481,108,18,7,7,0,0,27,NA,02050,02064,04588,5,18,19,5,375,494
39007001400,39,007,0014,7322,6966,164,60,15,13,1,13,90,5034,4813,112,27,12,8,1,9,52,NA,58856,58870,04586,5,18,19,5,349,362
39009972600,39,009,9726,4663,4503,47,29,10,4,0,0,70,3323,3221,33,15,8,3,0,0,43,NA,30674,77420,04592,96,20,9,18,866,445
39009972700,39,009,9727,4218,4031,64,45,16,9,0,3,50,3260,3117,55,32,15,9,0,2,30,NA,53886,86982,04444,78,31,9,18,411.1612137650449,255.31785048313273
39009972800,39,009,9728,4272,4100,69,32,17,16,0,8,30,3471,3328,57,28,12,15,0,8,23,NA,53886,86982,04444,78,31,9,18,1060,766
39009972900,39,009,9729,5362,4855,154,65,15,159,0,10,104,4196,3819,123,41,11,137,0,1,64,NA,76568,02750,04352,78,31,9,14,803.5958425626171,646.4871357982621
39009973000,39,009,9730,3524,3286,69,46,4,70,1,8,40,3085,2883,65,36,4,61,1,6,29,NA,02736,02750,04352,78,31,9,14,590.8229681376725,475.31287272107687
39009973101,39,009,973101,3683,3402,136,34,3,64,2,3,39,3651,3379,130,33,3,64,2,3,37,NA,02736,02750,04352,78,31,9,14,699.2203101039358,562.5177628216051
39009973102,39,009,973102,2784,2351,101,51,2,179,1,13,86,2686,2300,94,48,2,156,1,13,72,NA,02736,02750,04352,78,31,9,14,514.4085874936105,413.83804736752427
39009973103,39,009,973103,6517,5977,210,73,9,179,5,6,58,6498,5968,208,73,9,174,5,4,57,NA,02736,02750,04352,78,31,9,14,1244.46277048901,1001.1614414721417
39009973200,39,009,9732,4320,3751,166,65,10,239,0,7,82,3360,2908,129,49,10,204,0,1,59,NA,02736,02750,04352,78,31,9,14,643.4895212131539,517.68273981939
39009973300,39,009,9733,3170,2752,122,63,10,161,0,0,62,2550,2218,104,50,9,134,0,0,35,NA,02736,02750,04352,78,31,9,14,311,232
39009973400,39,009,9734,3549,3311,54,39,4,68,1,4,68,2639,2487,39,28,3,45,0,4,33,NA,02736,22414,04352,78,31,9,18,332.8387862349551,206.68214951686727
39009973500,39,009,9735,3466,3113,188,21,24,2,0,5,113,2541,2295,139,15,19,1,0,4,68,NA,01784,01770,04591,96,20,9,14,216,180
39009973600,39,009,9736,4086,4005,19,14,9,9,0,5,25,3085,3023,17,7,7,9,0,3,19,NA,18588,77546,04591,96,20,9,14,254,388
39009973700,39,009,9737,3967,3797,53,28,11,15,0,1,62,2956,2847,41,16,8,12,0,0,32,NA,NA,44590,04590,96,20,9,14,197,203
39009973800,39,009,9738,4642,4534,15,34,20,6,1,1,31,3511,3442,12,17,12,5,0,1,22,NA,01042,42420,04590,78,31,9,14,345,472
39011040100,39,011,0401,3984,3902,5,33,6,4,0,0,34,2860,2810,4,20,4,4,0,0,18,NA,82390,78204,04597,86,1,7,12,183,432
