GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
18003001705,IN,003,01705,1096,19,1036,9,4,20,0,0,8,769,13,734,7,2,10,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,4,2,47.650069846338056,148.16793055278387
18003001706,IN,003,01706,1147,56,1016,39,1,27,0,1,7,927,35,838,23,1,23,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,4,2,57.44033127120335,178.61075633606066
18003001707,IN,003,01707,1796,30,1706,26,0,27,0,0,7,1160,17,1105,14,0,19,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,71.87786868888445,223.50429056076632
18003001708,IN,003,01708,1226,25,1167,11,2,7,0,0,14,881,18,840,8,2,7,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,4,2,54.59000199560966,169.74765515865096
18003001710,IN,003,01710,1688,14,1591,34,0,34,0,0,15,1123,5,1068,19,0,25,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,4,2,69.58521253242866,216.37527439632808
18003001711,IN,003,01711,625,6,594,10,5,4,0,4,2,467,5,444,8,2,4,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,28.937038515266416,89.97974456196368
18003001712,IN,003,01712,2173,47,1979,28,2,104,0,0,13,1417,27,1296,19,1,69,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,87.80253442426661,273.0220514867292
18003001713,IN,003,01713,1352,18,1278,27,2,14,1,0,12,1014,11,960,22,2,12,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,4,2,62.83117142286969,195.37357812811814
18003001715,IN,003,01715,929,17,842,19,0,39,0,0,12,760,14,693,19,0,29,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,47.09239672720015,146.4338455398124
18003001716,IN,003,01716,1032,28,959,21,2,18,0,0,4,739,18,696,13,2,9,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,45.79115944921174,142.38764717621234
18003001719,IN,003,01719,1252,23,1197,1,2,15,0,1,13,860,13,825,1,2,12,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,4,2,53.288764717621234,165.7014567950509
18003001722,IN,003,01722,1284,31,1194,19,14,15,0,2,9,897,17,844,14,4,12,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,4,2,55.581420874077025,172.83047295948913
18003001723,IN,003,01723,1010,13,962,15,0,7,0,0,13,696,10,668,11,0,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,4,2,43.126721213330676,134.1025743364598
18003001724,IN,003,01724,485,6,466,1,0,2,0,0,10,422,1,415,1,0,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,4,2,26.14867291957693,81.30931949710637
18003001725,IN,003,01725,1186,37,1039,52,6,34,3,4,11,932,29,827,39,5,24,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,4,2,57.75014967072441,179.5741368988226
18003001726,IN,003,01726,1358,33,1231,56,4,10,0,0,24,876,18,801,39,3,8,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,4,2,54.28018359608861,168.78427459588906
18003001727,IN,003,01727,2126,43,1896,72,14,83,0,0,18,1406,26,1264,42,9,55,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,4,2,87.1209339453203,270.902614248653
18003002158,IN,003,02158,830,62,708,38,0,10,0,4,8,639,44,563,24,0,6,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,142.5857207139643,195.8117594120294
18003002190,IN,003,02190,4,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0.4462776861156942,0.6128693565321733
18003002191,IN,003,02191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0
18003002192,IN,003,02192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0
18003002193,IN,003,02193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0
18003002653,IN,003,02653,1223,56,425,662,5,1,0,10,64,805,43,332,397,5,1,0,4,23,NA,NA,NA,NA,NA,NA,NA,NA,4,2,179.62676866156693,246.67991600419978
18003002654,IN,003,02654,950,35,208,658,4,4,0,10,31,623,21,174,412,4,4,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,4,2,139.01549922503875,190.90880455977202
18003002655,IN,003,02655,1266,158,243,803,1,12,0,4,45,758,103,195,439,1,8,0,1,11,NA,NA,NA,NA,NA,NA,NA,NA,4,2,169.1392430378481,232.2774861256937
18003002656,IN,003,02656,1596,185,285,1034,2,24,0,11,55,1080,137,226,674,1,19,0,4,19,NA,NA,NA,NA,NA,NA,NA,NA,4,2,240.98995050247487,330.94945252737364
18003002657,IN,003,02657,1047,62,320,643,3,1,0,0,18,675,38,241,385,3,1,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,4,2,150.61871906404681,206.84340782960854
18003002658,IN,003,02658,951,58,177,678,3,9,0,5,21,642,36,154,428,3,8,0,3,10,NA,NA,NA,NA,NA,NA,NA,NA,4,2,143.25513724313782,196.73106344682765
18003002659,IN,003,02659,1025,32,438,504,3,21,0,3,24,716,18,339,326,3,16,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,4,2,159.76741162941855,219.4072296385181
18003002660,IN,003,02660,1325,88,480,658,2,51,2,3,41,944,68,393,426,2,32,2,0,21,NA,NA,NA,NA,NA,NA,NA,NA,4,7,210.64306784660766,289.27433628318585
18003002661,IN,003,02661,932,29,642,242,0,5,0,3,11,793,13,587,181,0,3,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,4,2,176.94910254487277,243.00269986500678
18003002662,IN,003,02662,1488,71,842,505,6,11,0,2,51,1095,43,696,314,4,11,0,1,26,NA,NA,NA,NA,NA,NA,NA,NA,4,2,244.33703314834256,335.5459727013649
18003002663,IN,003,02663,670,20,366,252,2,1,3,1,25,454,8,266,161,2,1,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,4,2,101.30503474826259,139.12134393280334
18003002664,IN,003,02664,1287,93,411,705,4,20,0,15,39,866,55,339,439,1,14,0,3,15,NA,NA,NA,NA,NA,NA,NA,NA,4,2,193.23823808809558,265.3724313784311
18003002665,IN,003,02665,1633,80,744,719,1,28,1,12,48,1101,40,537,482,1,16,1,3,21,NA,NA,NA,NA,NA,NA,NA,NA,4,7,245.67586620668968,337.38458077096146
18003002667,IN,003,02667,80,11,21,47,0,0,0,0,1,63,5,21,37,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,14.05774711264437,19.305384730763464
18003002706,IN,003,02706,164,7,151,1,0,5,0,0,0,124,2,118,1,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,27.669216539173043,37.99790010499475
18003002708,IN,003,02708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0
18003002713,IN,003,02713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0
18003002714,IN,003,02714,23,0,23,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4.016499175041248,5.51582420878956
18003002715,IN,003,02715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,0
18003002802,IN,003,02802,1825,27,1779,2,2,7,0,0,8,1339,17,1308,0,2,4,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,4,2,298.78291085445727,410.3160341982901
18003002803,IN,003,02803,29,2,25,1,0,0,0,0,1,18,0,17,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2.2584847446006173,2.3818992115186837
