GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
42003000111,PA,003,111,839,5,787,24,1,7,0,0,15,691,4,656,19,1,6,0,0,5,NA,NA,NA,NA,NA,NA,NA,14,14,193.92014770366953,155.32748672974844
42003000121,PA,003,121,550,3,533,10,0,0,0,0,4,517,3,502,8,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,14,14,145.08931456265867,116.21463189476114
42003000130,PA,003,130,1160,6,1132,3,0,12,0,1,6,883,3,868,3,0,6,0,0,3,NA,NA,NA,NA,NA,NA,NA,18,18,290.06376548806287,178.78815352070112
42003000140,PA,003,140,1084,3,1074,3,0,1,0,0,3,851,2,845,3,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,18,609,395
42003000151,PA,003,151,948,5,924,7,0,12,0,0,0,740,5,724,4,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,14,224.44659420702214,135.93125818016276
42003000161,PA,003,161,992,1,991,0,0,0,0,0,0,790,1,789,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,14,239.6119046264155,145.11580265179535
42003000171,PA,003,171,1223,9,1187,12,0,3,0,0,12,978,7,954,7,0,2,0,0,8,NA,NA,NA,NA,NA,NA,NA,18,14,296.63347180333466,179.649689865134
42003000181,PA,003,181,977,0,973,0,2,1,0,0,1,783,0,779,0,2,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,18,14,237.48876116770046,143.8299664257668
42003000191,PA,003,191,1108,6,1092,6,1,3,0,0,0,875,4,863,5,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,14,265.3929323393843,160.72952825357083
42003000201,PA,003,201,1161,2,1098,52,0,5,0,2,2,893,1,843,40,0,5,0,2,2,NA,NA,NA,NA,NA,NA,NA,18,18,270.8524440903659,164.03596426335858
42003000211,PA,003,211,1254,8,1223,9,2,5,0,3,4,956,8,931,6,2,5,0,0,4,NA,NA,NA,NA,NA,NA,NA,18,18,289.9607352188016,175.60849029761565
42003000221,PA,003,221,1036,2,1002,14,1,12,0,0,5,794,2,773,9,1,6,0,0,3,NA,NA,NA,NA,NA,NA,NA,18,18,240.825129459967,145.850566209526
42003000225,PA,003,225,1435,27,1155,182,2,21,0,11,37,1131,16,963,113,1,18,0,4,16,NA,NA,NA,NA,NA,NA,NA,18,18,343.0393216866784,207.75439594832983
42003000231,PA,003,231,1004,3,989,5,0,5,0,0,2,776,2,766,2,0,4,0,0,2,NA,NA,NA,NA,NA,NA,NA,18,14,235.36561770898538,142.54413019973825
42003000235,PA,003,235,1276,24,1092,120,0,15,0,4,21,973,16,864,76,0,11,0,0,6,NA,NA,NA,NA,NA,NA,NA,18,14,295.1169407613953,178.73123541797074
42003000261,PA,003,261,965,5,958,2,0,0,0,0,0,765,5,758,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,14,232.02924941671884,140.52353041597905
42003000271,PA,003,271,1033,1,1025,2,0,2,0,0,3,831,1,825,2,0,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,18,14,252.0474591703181,152.6471291185341
42003000281,PA,003,281,804,4,788,3,0,8,1,0,0,655,3,644,1,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,18,198.66556649405337,120.3175325783873
42003000291,PA,003,291,1169,5,1159,5,0,0,0,0,0,967,2,962,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,14,293.2971035110681,177.62909008137484
42003000295,PA,003,295,1335,14,1276,37,0,1,0,0,7,1030,6,996,27,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,18,14,312.4053946395038,189.20161611563194
42003000301,PA,003,301,893,0,874,12,0,6,0,1,0,705,0,691,9,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,18,18,213.83087691344676,129.50207705001992
42003000305,PA,003,305,1386,13,1353,6,1,10,0,1,2,1146,10,1124,4,0,7,0,0,1,NA,NA,NA,NA,NA,NA,NA,18,14,347.58891481249645,210.5097592898196
42003000310,PA,003,310,1382,3,1319,15,9,21,0,4,11,1049,3,1012,10,6,14,0,2,2,NA,NA,NA,NA,NA,NA,NA,14,4,285,247
42003000321,PA,003,321,1533,12,1409,73,2,17,0,1,19,1217,9,1134,47,2,11,0,1,13,NA,NA,NA,NA,NA,NA,NA,14,14,319.5099178237461,246.40025502975348
42003000331,PA,003,331,1393,18,1294,55,2,2,0,3,19,1115,8,1042,43,2,1,0,3,16,NA,NA,NA,NA,NA,NA,NA,14,14,292.7309436100879,225.74879569283084
42003000351,PA,003,351,1557,11,1418,89,2,16,0,0,21,1254,6,1156,73,2,12,0,0,5,NA,NA,NA,NA,NA,NA,NA,14,14,329.2238594502692,253.89147067157836
42003000361,PA,003,361,1389,18,1273,71,2,10,0,2,13,1125,10,1045,53,1,8,0,0,8,NA,NA,NA,NA,NA,NA,NA,14,14,295.3563332388779,227.77344856899973
42003000371,PA,003,371,1500,3,1438,44,1,6,0,2,6,1219,2,1167,37,1,6,0,1,5,NA,NA,NA,NA,NA,NA,NA,14,14,320.0349957495041,246.80518560498723
42003000381,PA,003,381,1398,9,1313,50,3,6,0,1,16,1128,5,1071,37,3,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,14,14,296.14395012751487,228.38084443185036
42003000400,PA,003,400,613,1,590,12,4,1,0,0,5,465,1,448,9,2,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,14,4,126.96578212290503,150.99511173184356
42003000411,PA,003,411,1304,8,1240,35,3,4,0,1,13,967,4,931,23,2,3,0,1,3,NA,NA,NA,NA,NA,NA,NA,14,4,264.034217877095,314.00488826815644
42003000430,PA,003,430,392,3,384,1,0,1,0,0,3,275,3,269,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,14,4,48.73826291079812,68.42723004694835
42003000441,PA,003,441,1233,7,1204,5,1,4,0,0,12,940,5,926,2,1,2,0,0,4,NA,NA,NA,NA,NA,NA,NA,20,18,229.47684859842275,258.21191535878813
42003000446,PA,003,446,1122,5,1018,71,0,7,0,3,18,867,1,805,47,0,3,0,2,9,NA,NA,NA,NA,NA,NA,NA,20,18,211.65577418599202,238.15928788943543
42003000452,PA,003,452,1163,7,1151,0,0,5,0,0,0,900,4,891,0,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,20,18,219.7118763176388,247.22417427969077
42003000461,PA,003,461,1028,3,1004,1,1,18,0,0,1,736,2,717,1,1,14,0,0,1,NA,NA,NA,NA,NA,NA,NA,20,18,179.6754899664246,202.17443585539158
42003000466,PA,003,466,1468,3,1430,0,0,22,0,0,13,1018,0,1001,0,0,14,0,0,3,NA,NA,NA,NA,NA,NA,NA,20,18,248.51854454595141,279.638010463028
