GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
04013030315,04,013,030315,6976,4784,123,1717,124,102,12,8,106,5229,3836,79,1094,76,75,7,4,58,NA,55000,92601,NA,NA,05930,24,24,1,5,462.30533173866587,788.8379330043589
04013030316,04,013,030316,4625,4040,85,393,28,31,2,3,43,3280,2912,63,236,21,21,2,2,23,NA,55000,92601,NA,NA,07750,19,19,1,5,289.9907225287481,494.81515017293884
04013030318,04,013,030318,2774,2362,60,244,22,37,8,3,38,2024,1762,35,153,15,31,4,2,22,NA,55000,92601,NA,NA,07750,19,19,1,5,178.94549463359337,305.3371536433013
04013030319,04,013,030319,6020,5012,110,661,42,66,2,16,111,4215,3601,66,397,27,51,2,11,60,NA,55000,92601,NA,NA,07750,19,19,1,5,372.65576081057117,635.8676396277248
04013030322,04,013,030322,4191,3429,97,491,22,69,9,2,72,2982,2519,71,286,12,45,6,1,42,NA,55000,92601,NA,NA,07750,19,19,6,5,263.64400444534357,449.8593834803974
04013030323,04,013,030323,4169,3362,62,562,30,45,2,8,98,2864,2393,44,315,23,33,2,3,51,NA,55000,92601,NA,NA,07750,19,19,6,5,253.21141137876057,432.05810673637103
04013030324,04,013,030324,3408,2929,57,279,21,64,1,2,55,2450,2132,40,180,15,51,1,1,30,NA,55000,92601,09060,03450,07750,19,19,6,5,216.608923840071,369.6027798547866
04013030325,04,013,030325,3453,2996,40,297,24,37,3,2,54,2510,2220,34,173,16,32,2,1,32,NA,55000,92601,NA,NA,07750,19,19,6,5,221.91363217901153,378.6542765042916
04013030326,04,013,030326,4681,3678,111,507,36,239,3,9,98,3306,2676,68,310,24,164,2,4,58,NA,27820,90867,09060,03450,07750,19,19,6,2,292.28942947562234,498.7374653877243
04013030327,04,013,030327,4042,3092,168,489,47,139,3,4,100,2929,2317,121,295,36,99,3,2,56,NA,55000,92601,09060,03450,07750,19,19,6,5,258.9581787459461,441.8638947733347
04013030328,04,013,030328,7229,6005,178,689,69,154,10,9,115,5250,4448,125,438,44,124,7,5,59,NA,55000,92601,NA,NA,07750,19,19,6,5,464.16197965729503,792.0059568316857
04013030329,04,013,030329,3744,2779,300,488,98,37,2,3,37,3280,2355,300,463,94,37,2,2,27,NA,49360,90867,NA,NA,07750,19,19,6,5,289.9907225287481,494.81515017293884
04013030330,04,013,030330,4681,3655,51,826,41,40,3,4,61,3356,2720,30,510,31,30,3,0,32,NA,55000,92601,NA,NA,05930,24,24,1,5,296.71001975807275,506.2803792623118
04013030331,04,013,030331,2116,1801,42,193,24,30,0,3,23,1538,1347,28,109,17,24,0,2,11,NA,55000,92601,NA,NA,05930,24,24,1,5,135.97735708817518,232.02003078231093
04013030332,04,013,030332,3683,3028,56,437,15,65,6,3,73,2667,2233,40,278,11,50,3,2,50,NA,55000,92601,NA,NA,05930,24,24,1,5,235.79428566590587,402.3390260704963
04013030333,04,013,030333,2777,2516,33,112,5,69,3,0,39,2247,2044,31,85,4,55,3,0,25,NA,55000,92601,NA,NA,05930,24,24,3,5,198.66132729332224,338.9785495239614
04013030334,04,013,030334,5364,4549,115,478,41,78,7,3,93,3800,3304,68,288,21,59,6,2,52,NA,55000,92601,NA,NA,05930,19,19,1,5,335.9648614662326,573.2614544686487
04013030335,04,013,030335,6152,5232,78,608,29,106,3,0,96,4286,3739,54,346,22,74,2,0,49,NA,55000,92601,NA,NA,05930,24,24,1,5,378.93299901165074,646.578577329639
04013030336,04,013,030336,3698,3048,84,397,19,81,2,3,64,2531,2139,51,248,14,54,1,1,23,NA,55000,92601,NA,NA,07750,19,19,6,2,223.7702800976407,381.82230033161835
04013030337,04,013,030337,5162,4443,117,371,45,97,2,6,81,4155,3661,75,258,26,74,2,4,55,NA,55000,92601,NA,NA,07750,19,19,6,5,367.3510524716306,626.8161429782198
04013030338,04,013,030338,6941,5875,138,534,18,247,7,4,118,4952,4252,96,354,15,173,6,4,52,NA,55000,90867,NA,NA,07750,19,19,6,5,437.8152615738905,747.0501901391443
04013030339,04,013,030339,2285,2049,30,133,5,29,2,5,32,1659,1505,26,85,3,22,2,3,13,NA,27820,90867,NA,NA,07750,19,19,6,2,146.67518557170524,250.27388235881267
04013030340,04,013,030340,6060,5184,121,546,35,78,14,6,76,4289,3772,91,308,21,56,8,0,33,NA,54050,90867,NA,NA,06250,19,19,6,2,379.19823442859774,647.0311521621142
04013030341,04,013,030341,3183,3117,25,24,4,9,0,0,4,3179,3113,25,24,4,9,0,0,4,NA,54050,90867,NA,NA,06250,19,19,6,2,281.0611301581983,479.57846414627215
04013030342,04,013,030342,8786,6962,164,1277,108,140,4,6,125,5754,4905,60,566,59,88,3,3,70,NA,55000,90867,NA,NA,07750,19,19,3,5,508.7215297043954,868.0385286875276
04013030343,04,013,030343,9466,8823,59,376,23,94,7,1,83,7524,7063,51,250,20,79,5,1,55,NA,65000,90867,NA,NA,00001,28,28,3,5,665.2104257031405,1135.0576798479242
04013030344,04,013,030344,5083,4379,59,427,29,113,2,8,66,3218,2843,40,220,16,70,2,4,23,NA,27820,90867,NA,NA,07750,19,19,6,2,284.5091905785096,485.46193696845035
04013030345,04,013,030345,5261,4548,80,327,21,183,2,1,99,3783,3319,61,202,13,129,2,1,56,NA,27820,90867,NA,NA,07750,19,19,6,2,334.46186077019945,570.6968637512889
04013030346,04,013,030346,5695,4616,124,464,12,357,8,9,105,3790,3110,88,277,11,246,5,3,50,NA,27820,90867,NA,NA,07750,19,19,6,2,335.0807434097425,571.7528716937312
04013030347,04,013,030347,3304,2856,89,231,14,78,2,4,30,2337,2059,65,138,7,51,2,1,14,NA,27820,90867,NA,NA,07750,19,19,6,2,206.61838980173303,352.5557944982189
04013030348,04,013,030348,5291,4560,105,333,19,189,4,6,75,3810,3345,78,212,14,121,2,2,36,NA,27820,90867,NA,NA,07750,19,19,6,2,336.8489795227227,574.7700372435662
04013030349,04,013,030349,3262,2670,60,305,1,170,0,9,47,2203,1833,39,176,1,122,0,6,26,NA,27820,90867,NA,NA,07750,19,19,6,2,194.77120784476588,332.3407853143245
