GEOID,state,county,county_subdivision,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,cd_1990,cd_2000,ndv,nrv
3300761620,33,007,61620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,10,4
3300761780,33,007,61780,867,849,1,4,5,0,0,1,7,703,692,1,3,2,0,0,0,5,2,1,62,341
3300763860,33,007,63860,339,325,3,2,1,1,0,1,6,274,263,2,2,1,1,0,1,4,2,1,74,133
3300767860,33,007,67860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300768500,33,007,68500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300768980,33,007,68980,379,367,0,4,1,0,0,0,7,290,283,0,1,1,0,0,0,5,2,1,42,130
3300773060,33,007,73060,516,502,0,2,0,7,0,0,5,379,366,0,2,0,6,0,0,5,2,1,52,132
3300773380,33,007,73380,1012,1002,0,1,1,0,0,0,8,778,769,0,1,1,0,0,0,7,2,1,61,200
3300774180,33,007,74180,942,901,0,7,10,0,0,0,24,718,696,0,1,6,0,0,0,15,2,1,73,165
3300774500,33,007,74500,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0
3300776580,33,007,76580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300780740,33,007,80740,44,40,0,0,0,0,0,0,4,37,36,0,0,0,0,0,0,1,2,1,3,24
3300784420,33,007,84420,2038,1982,4,23,7,7,0,0,15,1542,1509,2,11,6,5,0,0,9,2,1,198,584
3300900580,33,009,00580,1329,1298,0,3,4,5,0,0,19,997,971,0,3,4,5,0,0,14,2,1,87,297
3300902020,33,009,02020,1955,1895,6,15,5,14,0,2,18,1497,1461,5,8,3,10,0,1,9,2,1,188,506
3300903940,33,009,03940,893,887,2,0,2,0,0,0,2,676,671,1,0,2,0,0,0,2,2,1,75,260
3300905060,33,009,05060,314,306,0,0,0,1,0,0,7,255,250,0,0,0,1,0,0,4,2,1,13,70
3300905460,33,009,05460,2199,2120,3,17,12,6,0,0,41,1669,1620,3,9,8,4,0,0,25,2,1,251,507
3300907540,33,009,07540,974,963,0,6,1,3,0,0,1,782,774,0,3,1,3,0,0,1,2,1,92,288
3300907700,33,009,07700,3033,2897,8,29,12,39,1,9,38,2296,2213,7,14,10,25,1,6,20,2,1,246,839
3300908660,33,009,08660,2719,2655,1,11,1,19,3,0,29,2073,2035,0,7,0,11,2,0,18,2,1,223,649
3300908980,33,009,08980,3319,3241,4,17,4,12,0,7,34,2422,2373,4,9,3,9,0,3,21,2,1,433,598
3300918740,33,009,18740,353,341,1,2,1,3,0,3,2,256,244,1,2,1,3,0,3,2,2,1,31,102
3300922020,33,009,22020,256,246,0,2,2,0,0,0,6,207,198,0,2,1,0,0,0,6,2,1,44,74
3300923860,33,009,23860,87,84,0,0,3,0,0,0,0,61,60,0,0,1,0,0,0,0,2,1,11,16
3300924340,33,009,24340,4618,4496,7,34,5,34,0,4,38,3609,3527,5,24,3,26,0,3,21,2,1,551,813
3300927300,33,009,27300,924,901,1,3,6,8,0,0,5,739,722,1,2,3,6,0,0,5,2,1,157,302
3300930820,33,009,30820,1138,1110,3,6,4,3,0,0,12,853,837,1,2,3,3,0,0,7,2,1,114,206
3300932180,33,009,32180,456,446,0,0,1,4,0,0,5,338,331,0,0,1,3,0,0,3,2,1,41,111
3300933860,33,009,33860,10850,9397,186,276,43,731,7,18,192,9211,7918,183,235,39,662,7,12,155,2,1,1882,1554
3300934820,33,009,34820,4416,4320,19,27,10,16,1,4,19,3373,3316,13,13,9,10,1,2,9,2,1,302,1170
3300935220,33,009,35220,459,440,2,0,1,1,0,8,7,385,374,1,0,1,1,0,3,5,2,1,39,199
3300936900,33,009,36900,1930,1881,9,8,1,7,0,2,22,1459,1432,6,4,1,3,0,2,11,2,1,221,634
3300940660,33,009,40660,378,362,0,3,1,0,0,0,12,288,280,0,1,1,0,0,0,6,2,1,34,98
3300941300,33,009,41300,12568,11738,99,206,48,331,4,12,130,9732,9151,66,137,32,267,3,7,69,2,1,1994,2441
3300941860,33,009,41860,1271,1230,0,9,5,10,0,2,15,1019,989,0,3,5,9,0,0,13,2,1,112,420
3300942020,33,009,42020,1587,1564,0,5,6,1,0,0,11,1150,1138,0,3,1,0,0,0,8,2,1,125,434
3300942580,33,009,42580,5845,5596,21,85,33,48,3,1,58,4405,4253,9,52,19,32,2,1,37,2,1,550,1717
3300942820,33,009,42820,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,1,0,0
3300944100,33,009,44100,487,478,1,1,1,1,0,2,3,390,384,0,0,0,1,0,2,3,2,1,42,113
3300944260,33,009,44260,1679,1653,5,6,1,9,0,0,5,1251,1238,4,1,1,5,0,0,2,2,1,382,400
3300948980,33,009,48980,759,741,0,0,0,1,0,0,17,588,580,0,0,0,1,0,0,7,2,1,80,340
3300958340,33,009,58340,299,297,0,1,0,1,0,0,0,224,222,0,1,0,1,0,0,0,2,1,39,69
3300958500,33,009,58500,1091,1054,1,10,3,7,0,9,7,852,830,0,4,3,5,0,4,6,2,1,198,247
3300961060,33,009,61060,709,692,1,7,0,2,0,0,7,542,529,1,6,0,2,0,0,4,2,1,99,208
3300962660,33,009,62660,5892,5636,23,86,8,48,0,3,88,4937,4762,17,57,8,38,0,2,53,2,1,504,1116
3300965940,33,009,65940,1480,1445,6,9,8,6,1,0,5,1104,1080,2,6,6,5,1,0,4,2,1,181,470
3300974740,33,009,74740,563,553,0,1,0,7,0,0,2,461,455,0,1,0,4,0,0,1,2,1,87,181
3300976740,33,009,76740,1843,1795,5,13,2,5,1,0,22,1430,1401,1,8,2,3,1,0,14,2,1,155,470
3300978740,33,009,78740,873,838,1,1,2,7,0,0,24,659,638,1,1,2,4,0,0,13,2,1,69,236
3300979380,33,009,79380,257,248,0,4,0,5,0,0,0,200,193,0,2,0,5,0,0,0,2,1,30,71
3300980500,33,009,80500,798,778,3,3,0,2,0,0,12,592,579,3,1,0,1,0,0,8,2,1,59,205
3300987060,33,009,87060,1139,1105,1,8,4,2,0,2,17,868,850,1,4,4,1,0,2,6,2,1,99,291
3301101300,33,011,01300,10769,10365,38,109,13,144,2,12,86,7359,7127,26,59,9,92,1,7,38,2,1,990,3361
3301101700,33,011,01700,2449,2383,5,19,9,9,0,1,23,1734,1699,3,13,4,5,0,1,9,2,1,254,596
3301104500,33,011,04500,18274,17669,56,165,11,232,4,4,133,13053,12683,39,99,11,158,3,2,58,1,2,1235,4765
3301104900,33,011,04900,1401,1371,0,9,2,4,1,0,14,1001,977,0,7,2,4,1,0,10,2,1,117,291
3301108100,33,011,08100,4181,4060,6,38,8,26,2,5,36,2775,2710,6,17,3,16,2,3,18,2,1,273,676
3301117780,33,011,17780,1875,1827,5,20,2,0,1,3,17,1386,1353,3,13,2,0,1,3,11,2,1,150,380
3301127140,33,011,27140,1480,1439,1,8,5,4,0,0,23,1075,1046,1,4,5,3,0,0,16,2,1,222,390
3301129860,33,011,29860,16929,16534,43,141,40,53,2,15,101,13092,12797,32,113,28,47,2,11,62,1,2,1503,3897
