GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
54007000023,WV,007,23,835,4,830,0,0,0,0,0,1,640,3,636,0,0,0,0,0,1,NA,30220,93597,00120,34,12,2,2,270.40507220852413,174.6530468474815
54007000024,WV,007,24,562,0,550,1,1,0,0,0,10,424,0,417,0,1,0,0,0,6,NA,78580,93597,00120,34,12,2,2,179.14336033814723,115.7076435364565
54007000025,WV,007,25,722,12,688,2,2,0,2,0,16,550,8,524,2,2,0,1,0,13,NA,NA,92922,00120,34,12,2,2,232.37935892920044,150.09246213455444
54007000026,WV,007,26,947,4,935,2,5,0,0,0,1,743,4,731,2,5,0,0,0,1,NA,30220,93597,00120,34,12,2,2,313.9233885170835,202.76127157449804
54007000027,WV,007,27,1272,6,1250,5,1,2,0,0,8,986,4,968,5,1,2,0,0,6,NA,78580,93597,00120,34,12,2,2,416.59281437125753,269.0748502994012
54007000028,WV,007,28,822,6,799,3,1,0,3,1,9,625,6,607,1,1,0,2,1,7,NA,NA,92346,00120,34,12,2,2,264.0674533286368,170.55961606199367
54007000032,WV,007,32,52,0,52,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,NA,30220,93597,00120,34,12,2,2,15.210285311729482,9.824233885170834
54007000036,WV,007,36,538,1,532,2,0,1,0,0,2,434,1,428,2,0,1,0,0,2,NA,11716,92346,00120,34,12,2,2,183.36843959140543,118.4365973934484
54007000037,WV,007,37,528,2,524,1,0,0,0,1,0,384,2,380,1,0,0,0,1,0,NA,11716,92346,00120,34,12,2,2,162.24304332511446,104.7918281084889
54007000038,WV,007,38,760,2,751,0,2,0,1,0,4,590,2,582,0,1,0,1,0,4,NA,27868,92346,00120,34,12,2,2,249.27967594223318,161.008277562522
54007000043,WV,007,43,337,3,328,0,1,0,1,0,4,258,2,252,0,0,0,1,0,3,NA,NA,92346,00120,34,12,2,2,109.0070447340613,70.40700951039098
54007000045,WV,007,45,648,3,638,2,4,0,0,0,1,507,3,498,2,3,0,0,0,1,NA,11716,92346,00120,34,12,2,2,214.21151814019024,138.35796054948926
54009000001,WV,009,1,727,1,674,39,1,0,0,0,12,586,1,552,27,1,0,0,0,5,NA,85324,93564,00150,2,1,1,1,90.76386625179039,75.5400800118536
54009000004,WV,009,4,601,3,579,7,0,2,0,0,10,501,2,483,7,0,1,0,0,8,NA,85324,93564,00150,2,1,1,1,77.59845903096755,64.58290117054378
54009000005,WV,009,5,592,2,576,6,2,0,0,0,6,487,2,475,6,1,0,0,0,3,NA,85324,93564,00150,2,1,1,1,75.43003901812614,62.77818936138687
54009000006,WV,009,6,971,1,960,6,0,1,0,0,3,799,0,793,4,0,1,0,0,1,NA,85324,93564,00150,2,1,1,1,123.75482787573468,102.99748110831234
54009000011,WV,009,11,570,0,565,0,1,0,0,0,4,451,0,447,0,1,0,0,0,3,NA,05452,93564,00150,2,1,1,1,69.85410184224823,58.13750185212624
