GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,cd_1990,cd_2000,ndv,nrv
27109000237,MN,109,0237,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,NA,54880,10180,31800,1,3,0.054579971523493115,0.10109159943046986
27111000005,MN,111,0005,187,0,185,0,0,2,0,0,0,137,0,137,0,0,0,0,0,0,NA,NA,00100,11880,3,7,47,62
27111000010,MN,111,0010,558,2,549,0,2,2,0,0,3,453,2,447,0,2,1,0,0,1,NA,NA,01468,03750,3,7,87,155
27111000015,MN,111,0015,1362,8,1332,7,4,5,1,0,5,982,3,971,2,3,2,1,0,0,NA,20906,02836,11880,3,7,266,356
27111000020,MN,111,0020,686,10,670,2,1,3,0,0,0,537,4,528,1,1,3,0,0,0,NA,03970,03970,03750,3,7,142,250
27111000025,MN,111,0025,319,0,310,0,0,1,0,0,8,224,0,221,0,0,1,0,0,2,NA,NA,06652,32970,3,7,59,72
27111000030,MN,111,0030,210,0,208,0,0,0,0,0,2,140,0,139,0,0,0,0,0,1,NA,06778,06778,00022,3,7,34,53
27111000035,MN,111,0035,474,2,469,0,0,1,0,0,2,337,2,333,0,0,1,0,0,1,NA,06778,06796,00022,3,7,72,115
27111000040,MN,111,0040,690,3,679,1,4,1,0,0,2,480,2,472,1,3,0,0,0,2,NA,20906,08938,11880,3,7,105,147
27111000045,MN,111,0045,315,8,303,0,0,0,3,0,1,199,3,196,0,0,0,0,0,0,NA,NA,08974,23520,3,7,54,79
27111000050,MN,111,0050,534,1,520,0,4,2,0,0,7,407,1,396,0,4,2,0,0,4,NA,66766,09622,12360,3,7,56,105
27111000055,MN,111,0055,219,3,215,0,0,0,0,0,1,146,0,145,0,0,0,0,0,1,NA,20906,09946,11880,3,7,4.749806351665376,6.898528272656856
27111000060,MN,111,0060,118,0,112,0,5,0,0,0,1,90,0,88,0,1,0,0,0,1,NA,12088,12088,03750,3,7,22,24
27111000065,MN,111,0065,549,1,544,1,3,0,0,0,0,418,1,415,1,1,0,0,0,0,NA,03970,12106,03750,3,7,95,130
27111000070,MN,111,0070,799,5,783,2,0,0,0,0,9,517,4,508,0,0,0,0,0,5,NA,67504,12844,00022,3,7,117,177
27111000075,MN,111,0075,462,1,460,0,0,0,0,0,1,330,0,329,0,0,0,0,0,1,NA,NA,13240,28230,3,7,69,93
27111000080,MN,111,0080,258,0,255,3,0,0,0,0,0,191,0,189,2,0,0,0,0,0,NA,14626,14626,11880,3,7,69,72
27111000085,MN,111,0085,892,0,885,1,0,4,0,0,2,691,0,684,1,0,4,0,0,2,NA,20906,14644,11880,3,7,144,243
27111000090,MN,111,0090,452,2,446,0,4,0,0,0,0,378,2,373,0,3,0,0,0,0,NA,NA,15076,28230,3,7,74,95
27111000095,MN,111,0095,328,1,320,1,4,0,0,0,2,242,1,237,1,2,0,0,0,1,NA,15184,15184,00022,3,7,63,91
27111000100,MN,111,0100,348,4,342,0,0,0,0,0,2,239,3,234,0,0,0,0,0,2,NA,15184,15202,00022,3,7,92,70
27111000105,MN,111,0105,192,0,192,0,0,0,0,0,0,137,0,137,0,0,0,0,0,0,NA,15724,15724,28230,3,7,36,44
27111000110,MN,111,0110,726,3,715,0,5,0,0,0,3,579,1,572,0,3,0,0,0,3,NA,NA,16120,28230,3,7,106,137
27111000115,MN,111,0115,855,2,852,0,0,0,0,0,1,704,1,702,0,0,0,0,0,1,NA,NA,17162,28170,3,7,125,141
27111000120,MN,111,0120,367,1,365,0,0,0,0,0,1,272,1,270,0,0,0,0,0,1,NA,NA,17396,03750,3,7,105,73
27111000125,MN,111,0125,256,2,253,0,1,0,0,0,0,183,1,182,0,0,0,0,0,0,NA,NA,17576,28110,3,7,70,57
27111000130,MN,111,0130,921,7,901,3,3,0,0,0,7,679,3,668,1,2,0,0,0,5,NA,15724,18224,28230,3,7,115,198
27111000135,MN,111,0135,297,0,297,0,0,0,0,0,0,213,0,213,0,0,0,0,0,0,NA,66388,18278,28110,3,7,61,57
27111000140,MN,111,0140,172,0,169,0,2,0,0,0,1,127,0,124,0,2,0,0,0,1,NA,18566,18566,11880,3,7,48,33
27111000145,MN,111,0145,722,2,719,0,0,0,0,0,1,539,1,538,0,0,0,0,0,0,NA,18566,18584,11880,3,7,117,151
27111000150,MN,111,0150,344,1,340,0,0,1,0,0,2,264,0,263,0,0,0,0,0,1,NA,NA,18980,13860,3,7,65,79
27111000155,MN,111,0155,150,0,147,0,3,0,0,0,0,123,0,120,0,3,0,0,0,0,NA,19556,19556,28170,3,7,37,40
27111000160,MN,111,0160,467,3,449,2,3,3,5,0,2,335,3,326,0,2,0,2,0,2,NA,19556,19574,28170,3,7,99,80
27111000165,MN,111,0165,774,2,762,2,1,2,1,0,4,655,2,647,0,1,2,1,0,2,NA,03970,20024,03750,3,7,128,180
27111000170,MN,111,0170,1448,13,1388,7,18,13,0,0,9,1214,8,1170,5,11,11,0,0,9,NA,20906,20906,11880,3,7,263.3120052055092,377.98438347250845
27111000175,MN,111,0175,1587,7,1540,15,3,11,0,1,10,1274,4,1249,9,3,5,0,1,3,NA,20906,20906,11880,3,7,276.3257781151719,396.66565448432925
27111000180,MN,111,0180,1440,8,1397,9,12,4,0,0,10,1110,7,1086,3,7,4,0,0,3,NA,20906,20906,11880,3,7,240.75479882876044,345.60351371868563
27111000185,MN,111,0185,2268,17,2195,7,14,19,0,0,16,1610,5,1579,4,9,10,0,0,3,NA,20906,20906,11880,3,7,349.2029064092831,501.28077215052593
27111000190,MN,111,0190,1568,14,1484,23,23,12,0,2,10,1225,9,1178,6,19,8,0,0,5,NA,20906,20906,11880,3,7,265.69786357228065,381.40928315800886
27111000195,MN,111,0195,1646,20,1600,2,2,6,0,0,16,1293,10,1268,2,2,4,0,0,7,NA,20906,20906,11880,3,7,280.44680620323174,402.5813903047392
27111000200,MN,111,0200,1466,18,1400,9,21,8,0,0,10,1145,15,1096,7,13,7,0,0,7,NA,20906,20906,11880,3,7,37.25019364833462,54.101471727343146
27111000205,MN,111,0205,2048,25,1983,9,8,4,1,0,18,1495,13,1466,3,5,4,0,0,4,NA,20906,20906,11880,3,7,324.25984166576296,465.4750027112027
27111000210,MN,111,0210,1051,3,1040,3,2,0,0,0,3,728,2,723,2,0,0,0,0,1,NA,20906,20924,11880,3,7,215,327
27111000215,MN,111,0215,265,1,261,0,0,2,0,0,1,220,1,218,0,0,0,0,0,1,NA,67216,21518,13860,3,7,83,51
27111000220,MN,111,0220,774,4,767,0,0,1,0,0,2,560,1,556,0,0,1,0,0,2,NA,NA,22796,40830,3,7,134,130
27111000225,MN,111,0225,697,0,690,1,1,0,0,0,5,562,0,561,0,1,0,0,0,0,NA,NA,23840,03750,3,7,127,166
27111000230,MN,111,0230,398,10,380,0,1,0,0,0,7,292,7,279,0,1,0,0,0,5,NA,NA,24632,28230,3,7,56,118
27111000235,MN,111,0235,719,0,706,0,3,10,0,0,0,579,0,568,0,3,8,0,0,0,NA,28520,28520,13860,3,7,143,230
27111000240,MN,111,0240,426,2,422,0,0,2,0,0,0,333,2,331,0,0,0,0,0,0,NA,28520,28538,13860,3,7,55,90
27111000245,MN,111,0245,733,1,725,3,0,4,0,0,0,575,0,571,3,0,1,0,0,0,NA,66766,29420,12360,3,7,136,134
27111000250,MN,111,0250,371,4,355,5,2,4,0,0,1,260,2,253,2,1,1,0,0,1,NA,NA,30050,23520,3,7,70,74
27111000255,MN,111,0255,352,11,341,0,0,0,0,0,0,224,5,219,0,0,0,0,0,0,NA,NA,31004,13860,3,7,56,56
27111000260,MN,111,0260,467,1,462,4,0,0,0,0,0,346,0,345,1,0,0,0,0,0,NA,49210,35990,13860,3,7,95,112
27111000265,MN,111,0265,309,1,307,0,1,0,0,0,0,230,1,228,0,1,0,0,0,0,NA,66388,36008,03750,3,7,59,40
27111000270,MN,111,0270,697,1,693,0,2,0,0,0,1,551,0,548,0,2,0,0,0,1,NA,NA,36980,28170,3,7,108,152
27111000275,MN,111,0275,686,6,663,2,3,11,0,0,1,533,3,524,0,2,4,0,0,0,NA,NA,39500,40830,3,7,149,148
27111000280,MN,111,0280,333,5,313,1,7,3,0,0,4,252,1,242,0,4,3,0,0,2,NA,NA,40364,28170,3,7,49,49
27111000285,MN,111,0285,751,0,743,1,1,1,0,0,5,532,0,529,0,1,0,0,0,2,NA,46060,46006,23520,3,7,183,138
27111000290,MN,111,0290,1158,15,1133,1,2,0,0,0,7,898,9,882,1,2,0,0,0,4,NA,46060,46060,23520,3,7,233,190
27111000295,MN,111,0295,317,3,312,0,0,0,0,0,2,252,3,247,0,0,0,0,0,2,NA,67216,46240,03750,3,7,71,60
27111000300,MN,111,0300,349,0,347,0,1,0,0,0,1,251,0,251,0,0,0,0,0,0,NA,NA,47482,28170,3,7,75,68
27111000305,MN,111,0305,362,0,358,0,2,0,0,0,2,262,0,260,0,2,0,0,0,0,NA,NA,48004,00022,3,7,74,90
27111000310,MN,111,0310,173,0,171,1,0,0,0,0,1,120,0,120,0,0,0,0,0,0,NA,20906,48742,11880,3,7,42,52
27111000315,MN,111,0315,218,0,210,1,0,4,0,0,3,156,0,155,1,0,0,0,0,0,NA,56014,48850,32460,3,7,53,44
27111000320,MN,111,0320,451,0,449,0,2,0,0,0,0,356,0,354,0,2,0,0,0,0,NA,49210,49210,28230,3,7,49,92
27111000325,MN,111,0325,556,6,546,0,2,1,0,0,1,454,5,447,0,1,0,0,0,1,NA,49210,49228,13860,3,7,62,118
27111000330,MN,111,0330,526,3,521,0,0,0,0,0,2,389,1,387,0,0,0,0,0,1,NA,NA,49264,23520,3,7,119,97
27111000335,MN,111,0335,323,1,314,0,2,0,0,0,6,222,1,215,0,2,0,0,0,4,NA,NA,49408,32970,3,7,78,76
27111000340,MN,111,0340,991,6,980,0,0,1,0,0,4,785,5,775,0,0,1,0,0,4,NA,49732,49732,28110,3,7,187,276
27111000345,MN,111,0345,345,3,339,0,0,0,0,0,3,246,3,242,0,0,0,0,0,1,NA,49732,49750,28110,3,7,46,98
27111000350,MN,111,0350,831,117,686,0,16,1,0,0,11,546,56,477,0,7,1,0,0,5,NA,50164,50110,28170,3,7,127,164
27111000355,MN,111,0355,2374,465,1739,17,10,85,0,0,58,1718,279,1325,13,8,62,0,0,31,NA,50164,50164,28170,3,7,349,486
27111000360,MN,111,0360,2559,29,2477,9,25,6,0,0,13,1917,13,1876,5,14,4,0,0,5,NA,50470,50470,28230,3,7,350,488
27111000365,MN,111,0365,931,38,883,3,3,0,0,0,4,627,19,603,1,3,0,0,0,1,NA,50470,50488,28230,3,7,95,177
27111000370,MN,111,0370,656,0,652,0,0,1,0,0,3,483,0,480,0,0,1,0,0,2,NA,NA,51208,28230,3,7,74,106
27111000375,MN,111,0375,124,1,123,0,0,0,0,0,0,90,1,89,0,0,0,0,0,0,NA,54340,54340,28230,3,7,30,24
27111000380,MN,111,0380,226,0,220,0,2,0,0,0,4,161,0,159,0,1,0,0,0,1,NA,56014,56014,32460,3,7,20.408450704225352,26.6443661971831
