GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
41003010200,41,003,0102,3733,3466,10,82,34,38,9,12,82,2708,2549,2,54,21,28,6,6,42,NA,00275,92176,NA,NA,03480,34,18,5,2,672.7395072770144,611.9696885925686
41003010300,41,003,0103,3310,3146,3,64,23,22,4,6,42,2444,2339,1,37,19,19,2,5,22,NA,NA,93077,NA,NA,01200,34,18,5,2,607.1548581185463,552.3094235303683
41003010400,41,003,0104,3681,3357,7,188,28,18,6,3,74,2748,2548,6,104,22,14,3,3,48,NA,49600,93009,NA,NA,08430,34,18,5,2,682.6765753313277,621.0091226929019
41003010500,41,003,0105,3495,3152,7,151,58,40,3,9,75,2340,2148,1,83,35,25,1,8,39,NA,57450,90680,NA,NA,09600,34,18,5,2,581.3184811773315,528.8068948695015
41005020100,41,005,0201,3878,3578,15,127,29,58,14,1,56,2899,2707,12,74,17,50,9,1,29,NA,40550,92261,NA,NA,07230,24,13,2,3,624.5929499621805,670.3163792516939
41005020200,41,005,0202,5998,5552,29,119,17,194,7,5,75,4730,4409,21,83,13,147,5,4,48,NA,40550,92261,NA,NA,07230,24,13,2,3,1019.084047368442,1093.6862621112493
41005020302,41,005,020302,3578,3200,21,113,9,139,8,6,82,2766,2501,17,84,9,98,8,2,47,NA,40550,92261,NA,NA,07230,24,13,2,3,595.9379439790931,639.5636788582908
41005020303,41,005,020303,5162,4450,50,143,11,310,11,21,166,4189,3681,39,104,11,235,11,10,98,NA,40550,92261,NA,NA,07230,24,13,2,3,902.5249628808464,968.59445073658
41005020304,41,005,020304,5701,4755,39,145,8,573,5,11,165,3917,3308,30,92,7,387,3,5,85,NA,40550,92261,NA,NA,07230,24,13,2,3,843.922243877841,905.7017100824025
41005020401,41,005,020401,5169,4727,23,138,15,127,6,6,127,3756,3496,13,83,11,91,2,5,55,NA,40550,92261,NA,NA,07230,24,13,2,3,809.2346050562089,868.4747569745989
41005020402,41,005,020402,7345,6826,25,138,21,198,13,6,118,5250,4943,18,82,12,143,5,3,44,NA,40550,92261,NA,NA,07230,24,13,2,3,1131.118657227129,1213.9223839501183
41005020501,41,005,020501,4465,4055,27,105,26,165,0,5,82,3153,2903,25,60,15,112,0,3,35,NA,80150,92261,NA,NA,13170,27,13,1,3,679.3175478546931,729.0471003037568
41005020502,41,005,020502,8856,8113,67,204,20,293,5,6,148,6318,5839,46,127,14,215,4,2,71,NA,80150,92261,NA,NA,13170,27,13,1,3,1361.220509783048,1460.8688803422565
41005020503,41,005,020503,2271,2112,12,46,4,40,3,20,34,1720,1611,9,34,2,27,3,14,20,NA,40550,92261,NA,NA,07230,24,13,2,3,370.576017224888,397.7040953131816
41005020600,41,005,0206,7119,6527,29,243,19,182,5,7,107,4992,4657,15,134,17,125,3,3,38,NA,80150,92261,NA,NA,13170,27,13,1,3,1075.532254643396,1154.2667696531412
41005020700,41,005,0207,3789,3484,13,134,14,71,8,2,63,2685,2495,11,83,12,54,7,0,23,NA,80150,92261,NA,NA,13170,27,13,1,3,578.4863989818747,620.8345906487748
41005020800,41,005,0208,3927,3523,33,163,27,61,6,6,108,3216,2923,24,123,22,55,4,5,60,NA,48650,92261,NA,NA,08830,25,12,4,1,692.8909717414185,743.6141689111581
41005020900,41,005,0209,3858,3458,51,158,32,51,5,2,101,2888,2639,31,94,21,45,5,2,51,NA,48650,92261,NA,NA,08830,25,12,4,1,622.2229870613237,667.7729228281794
41005021000,41,005,0210,4628,4152,24,144,63,140,7,5,93,3514,3223,14,77,36,108,5,4,47,NA,48650,92261,NA,NA,08830,25,12,4,1,757.0954212373584,812.5187156572791
41005021100,41,005,0211,5576,5014,34,231,48,131,19,4,95,4231,3852,27,147,38,105,16,2,44,NA,48650,92261,NA,NA,08830,25,12,4,1,911.5739121386634,978.305829808181
41005021200,41,005,0212,3837,3367,25,267,35,46,8,8,81,3119,2823,19,166,23,36,7,0,45,NA,53900,92261,NA,NA,08830,25,12,4,3,671.9922079793173,721.1855077219845
41005021300,41,005,0213,5449,4865,29,281,38,86,4,2,144,4164,3790,19,172,27,72,4,2,78,NA,53900,92261,NA,NA,08830,25,12,1,3,897.1386835607173,962.8138679558651
41005021400,41,005,0214,4788,4314,44,183,11,117,2,0,117,3690,3384,27,112,8,92,2,0,65,NA,53900,92261,NA,NA,08830,25,12,1,3,795.0148276510679,853.2140184335117
41005021500,41,005,0215,4309,3871,24,158,21,113,16,1,105,3375,3096,17,97,14,89,11,0,51,NA,54325,92261,NA,NA,08830,25,12,4,1,727.1477082174403,780.3786753965046
41005021601,41,005,021601,5800,4719,78,536,46,189,29,12,191,4260,3554,60,327,35,152,18,3,111,NA,59000,92261,NA,NA,08830,25,12,4,1,917.8219961500133,985.0113058338102
41005021602,41,005,021602,4926,4071,66,438,32,156,13,6,144,3572,3017,44,282,24,121,10,3,71,NA,48650,92261,NA,NA,08830,25,12,4,1,769.5915892600582,825.9296677085376
41005021700,41,005,0217,6141,5453,26,387,30,104,7,6,128,4745,4273,15,254,23,85,6,3,86,NA,37400,92261,NA,NA,09330,26,12,1,3,1022.3158149605197,1097.1546117796784
41005021801,41,005,021801,5113,4756,16,145,29,73,3,5,86,3984,3752,12,86,21,63,2,3,45,NA,54325,92261,NA,NA,08830,26,12,1,3,858.3574724557872,921.1936719347183
41005021802,41,005,021802,4059,3264,46,560,26,67,10,0,86,3073,2555,19,381,17,48,7,0,46,NA,37400,92261,NA,NA,08830,26,12,1,3,662.0814540302796,710.5492354054692
41005021900,41,005,0219,3257,2881,15,214,28,53,6,1,59,2363,2124,9,138,18,36,6,0,32,NA,29000,92261,NA,NA,05610,26,12,1,3,509.1111213386107,546.3806844331675
41005022000,41,005,0220,6397,5678,39,339,26,142,16,4,153,4633,4194,21,198,21,112,10,4,73,NA,29000,92261,NA,NA,05610,26,12,1,3,998.1852836063409,1071.2576009220759
41005022101,41,005,022101,6569,5967,40,212,39,128,10,4,169,4971,4590,28,143,28,98,5,2,77,NA,54325,92261,NA,NA,08830,26,12,1,3,1071.0077800144875,1149.4110801173406
41005022103,41,005,022103,4013,3189,79,161,9,430,24,4,117,2751,2229,43,103,9,296,17,1,53,NA,13450,92261,NA,NA,08830,10,14,1,1,592.7061763870157,636.0953291898619
41005022104,41,005,022104,11842,9948,156,623,83,647,34,20,331,8853,7566,121,418,64,475,23,10,176,NA,13450,92261,NA,NA,08830,10,14,1,1,1907.3892328441477,2047.0199743067424
41005022201,41,005,022201,4587,3231,170,814,35,190,18,4,125,3676,2698,119,580,27,164,11,2,75,NA,71100,92261,NA,NA,08830,10,14,4,1,791.9985112317956,849.9768920763114
41005022203,41,005,022203,5999,5161,45,165,15,461,8,8,136,4155,3634,31,95,15,320,7,6,47,NA,32050,92261,NA,NA,08830,10,14,4,1,895.1996230054707,960.7328581548078
41005022204,41,005,022204,6292,5203,70,155,13,704,10,3,134,4698,3949,57,94,9,513,8,1,67,NA,32050,92261,NA,NA,08830,10,14,4,1,1012.1896098386767,1086.2871161519345
41005022300,41,005,0223,7823,7195,15,284,81,57,6,5,180,5731,5338,8,158,56,49,4,5,113,NA,55200,92261,NA,NA,09330,10,14,1,3,1234.7506713464147,1325.140796651072
41005022400,41,005,0224,4124,3730,53,175,48,24,7,2,85,3173,2892,43,123,42,23,3,1,46,NA,55200,92261,NA,NA,09330,26,12,1,3,683.6265713107963,733.6715665283285
41005022500,41,005,0225,7865,7105,36,410,76,72,4,2,160,5670,5204,19,258,48,59,2,1,79,NA,55200,92261,NA,NA,09330,26,12,1,3,1221.6081498052997,1311.0361746661279
41005022601,41,005,022601,10791,9813,51,516,55,143,12,6,195,7926,7290,39,338,39,110,10,1,99,NA,55200,92261,NA,NA,09330,26,12,1,3,1707.6659956537574,1832.6759647978358
41005022602,41,005,022602,3563,3324,3,82,21,39,1,0,93,2623,2477,3,48,18,32,1,0,44,NA,55200,92261,NA,NA,09330,26,12,1,3,565.1284262679543,606.498745352602
41005022702,41,005,022702,6334,5907,22,121,19,180,7,4,74,4478,4196,15,74,15,130,3,1,44,NA,74950,92261,NA,NA,13170,27,13,1,3,964.7903518215398,1035.4179876816436
41005022703,41,005,022703,7269,6272,43,515,45,191,13,13,177,5362,4694,28,342,41,150,11,9,87,NA,82800,93536,NA,NA,13170,27,13,1,3,1155.2491885813079,1239.8193948077208
41005022704,41,005,022704,6167,5374,43,467,39,124,12,0,108,4269,3787,28,282,30,87,5,0,50,NA,82800,93536,NA,NA,13170,27,13,1,3,919.7610567052599,987.0923156348675
41005022800,41,005,0228,4121,3909,8,125,13,27,2,0,37,3567,3415,7,83,11,23,1,0,27,NA,82800,93536,NA,NA,02640,23,14,1,3,768.5143333960324,824.7735511523946
41005022901,41,005,022901,2174,2001,4,83,15,34,2,1,34,1567,1450,3,61,6,20,1,1,25,NA,10750,90442,NA,NA,02640,23,14,1,3,337.6119877856974,362.32692869520673
41005022902,41,005,022902,6474,5463,16,839,34,61,1,3,57,4620,4015,7,492,23,43,1,0,39,NA,10750,90442,NA,NA,02640,23,14,1,3,995.3844183598736,1068.2516978761041
41005022903,41,005,022903,6488,5086,22,1177,37,56,4,6,100,4419,3603,7,678,30,39,4,0,58,NA,10750,90442,NA,NA,02640,23,14,1,3,952.078732626035,1021.7758123191567
41005023000,41,005,0230,7095,6706,22,170,40,34,9,3,111,5234,4987,15,105,26,28,7,1,65,NA,55200,90272,NA,NA,09330,23,14,1,3,1127.6714384622464,1210.2228109704608
41005023100,41,005,0231,5934,5575,24,149,32,47,8,9,90,4410,4197,17,80,19,32,7,6,52,NA,NA,92618,NA,NA,09330,10,14,1,1,950.1396720707885,1019.6948025180993
41005023201,41,005,023201,4391,4086,8,113,22,96,5,0,61,3258,3072,5,61,17,67,3,0,33,NA,31250,92261,NA,NA,06000,10,14,4,1,701.9399209992356,753.3255479827592
41005023202,41,005,023202,4631,4280,15,87,23,110,7,3,106,3419,3202,6,52,16,77,4,1,61,NA,NA,92261,NA,NA,08830,10,14,1,1,736.6275598208676,790.5525010905628
41005023300,41,005,0233,4701,4336,17,146,41,82,2,2,75,3549,3335,10,82,26,49,1,2,44,NA,NA,92788,NA,NA,06000,10,14,4,1,764.6362122855393,820.6115315502799
41005023401,41,005,023401,4375,3959,11,223,55,38,1,3,85,3297,3031,5,138,41,35,1,3,43,NA,65250,92788,NA,NA,10920,56,14,4,1,710.3425167386371,762.3432571206743
41005023402,41,005,023402,6772,6237,13,265,71,47,16,2,121,4751,4428,7,153,49,37,10,1,66,NA,65250,92788,NA,NA,10920,23,14,4,1,1023.6085219973507,1098.54195164705
41005023500,41,005,0235,6047,5515,19,298,46,34,2,6,127,4430,4101,5,186,29,29,2,2,76,NA,NA,91088,NA,NA,04700,23,14,1,1,954.4486955268919,1024.3192687426713
41005023600,41,005,0236,3833,3560,15,126,24,15,5,10,78,2913,2726,8,90,18,13,4,5,49,NA,23800,91088,NA,NA,04700,23,14,1,1,627.6092663814528,673.5535056088942
41005023700,41,005,0237,4521,4288,11,91,31,20,6,2,72,3379,3245,6,52,21,16,2,2,35,NA,NA,92040,NA,NA,08310,23,14,1,3,728.0095129086609,781.303568641419
41005023800,41,005,0238,6645,5894,15,479,45,48,9,3,152,4775,4338,4,278,36,32,4,2,81,NA,49450,93587,NA,NA,02640,28,15,1,3,1028.7793501446747,1104.0913111165362
41005023900,41,005,0239,7293,6350,16,677,71,37,17,1,124,5043,4492,10,381,46,28,12,0,74,NA,49450,91955,NA,NA,08310,28,15,1,3,1086.5202644564595,1166.0591585257991
41005024000,41,005,0240,3137,2843,15,150,20,24,3,3,79,2246,2070,6,91,15,18,3,3,40,NA,65800,91955,NA,NA,08310,28,15,1,3,483.90333412040616,519.327557019422
41005024100,41,005,0241,5024,4712,12,103,54,23,8,9,103,3521,3348,1,54,36,15,5,5,57,NA,NA,90595,NA,NA,03270,28,15,1,3,758.6035794469947,814.1372788358793
41005024200,41,005,0242,5651,4953,35,427,61,56,4,3,112,4058,3611,21,267,47,35,2,1,74,4545,23800,91088,NA,NA,04700,23,14,1,3,874.3008592433696,938.3041969656342
41005024301,41,005,024301,5570,5051,12,312,66,34,4,7,84,4223,3897,10,183,44,23,1,4,61,NA,50235,92023,NA,NA,10920,56,28,4,1,909.8503027562223,976.4560433183524
41005024302,41,005,024302,4880,4560,20,145,26,24,4,8,93,3654,3443,8,87,23,20,4,5,64,NA,50235,92023,NA,NA,10920,23,14,4,1,787.2585854300819,844.8899792292823
41007950100,41,007,9501,3368,2996,1,207,26,62,6,2,68,2503,2273,1,130,13,46,2,2,36,NA,03150,90153,NA,NA,01620,1,1,2,4,682.5359611707604,531.1374099132225
41007950200,41,007,9502,3731,3364,18,154,36,85,7,2,65,3015,2754,12,99,33,67,5,0,45,NA,03150,90153,NA,NA,01620,1,1,2,4,822.151787027504,639.7839755846447
41007950300,41,007,9503,3276,2645,88,306,56,64,8,1,108,2376,1944,69,198,34,55,7,1,68,NA,03150,90153,NA,NA,01620,1,1,2,4,647.9046918664509,504.18796881894394
41007950400,41,007,9504,3365,3184,12,47,30,16,5,1,70,2485,2376,7,28,22,13,4,1,34,NA,03150,90153,NA,NA,01620,2,1,2,4,677.6275922929843,527.3178040888366
41007950500,41,007,9505,3943,3597,6,117,53,71,3,1,95,2884,2679,6,68,29,52,3,1,46,NA,78900,90153,NA,NA,13080,2,1,2,4,786.4297690836888,611.9857331960583
41007950600,41,007,9506,2353,2233,0,61,21,9,1,0,28,1786,1708,0,35,16,9,1,0,17,NA,78900,90153,NA,NA,01620,2,1,2,4,487.01926753934407,378.989777908516
41007950700,41,007,9507,1744,1641,0,63,8,9,2,2,19,1374,1310,0,39,7,7,2,2,7,NA,28450,90153,NA,NA,11100,2,1,2,4,374.6721576702456,291.56324459479333
41007950900,41,007,9509,4461,3980,17,272,48,42,15,2,85,3533,3206,9,176,33,35,9,0,65,NA,65950,92839,NA,NA,11100,2,1,2,4,963.4037358435063,749.703743197529
41007951100,41,007,9511,4191,3785,7,279,18,34,1,2,65,3335,3077,5,170,16,23,1,2,41,NA,10850,92839,NA,NA,11100,2,1,2,4,909.4116781879688,707.6880791292837
41007951200,41,007,9512,2973,2821,3,63,30,4,0,1,51,2202,2105,3,35,21,3,0,1,34,NA,NA,91445,NA,NA,06750,2,1,2,4,600.4571260479482,467.2651125165466
41007951300,41,007,9513,2225,2118,4,28,16,27,2,0,30,1703,1634,2,20,10,21,1,0,15,NA,78900,90153,NA,NA,13080,2,1,2,4,464.38623326959845,361.3771510516252
41009970200,41,009,9702,5995,5613,4,119,75,33,4,4,143,4410,4185,1,63,50,19,4,2,86,NA,13750,90544,NA,NA,03260,1,1,2,4,1101.0373365342093,933.8757975867079
41009970300,41,009,9703,4040,3741,6,85,54,16,4,11,123,2972,2786,4,43,36,13,3,11,76,NA,60850,92601,NA,NA,03265,1,1,2,4,742.0142775917619,629.3602880788426
41009970400,41,009,9704,2445,2313,0,28,34,10,5,7,48,1811,1729,0,15,25,7,4,4,27,NA,NA,91190,NA,NA,03265,1,1,2,4,452.14934613683744,383.5031903468318
41009970500,41,009,9705,5493,5139,19,132,65,34,2,2,100,3942,3723,12,74,50,25,1,1,56,NA,14750,92703,NA,NA,11720,1,1,2,4,984.192557963232,834.770610904037
41009970600,41,009,9706,5077,4771,7,125,58,27,5,2,82,3802,3612,6,70,36,22,5,1,50,NA,64600,92703,NA,NA,11720,1,1,2,4,949.2389917240508,805.1237601869985
41009970700,41,009,9707,4110,3731,9,138,62,27,3,3,137,2945,2711,2,86,45,19,3,1,78,NA,64600,92703,NA,NA,11720,1,1,2,4,735.2732326742056,623.6426811548423
41009970800,41,009,9708,5132,4682,18,223,61,32,10,1,105,3589,3346,13,110,47,24,4,1,44,NA,64600,92703,NA,NA,11720,1,1,2,4,896.0596373744394,760.0181944532188
41009970900,41,009,9709,3335,3097,11,78,42,27,1,10,69,2519,2374,9,40,35,20,1,5,35,NA,65500,92805,NA,NA,10980,1,1,2,4,628.9145239749827,533.4315496872829
41009971000,41,009,9710,4239,3981,11,96,54,26,3,1,67,3139,2982,7,51,34,19,3,1,42,NA,65500,92805,NA,NA,10980,1,1,2,4,783.7088887484996,664.7247457198813
41009971100,41,009,9711,3694,3508,12,69,35,14,2,2,52,2529,2416,6,41,24,11,2,0,29,NA,77250,93332,NA,NA,12930,2,1,2,4,631.4112072777813,535.549181881357
41011000100,41,011,0001,5651,5236,24,133,86,22,3,5,142,4652,4347,24,89,65,21,2,5,99,0770,40650,92159,NA,NA,08820,47,24,5,2,1188.4858600285654,994.3756784329728
41011000200,41,011,0002,2708,2534,1,31,47,15,0,2,78,2156,2050,0,19,28,12,0,2,45,NA,15250,91003,NA,NA,03660,48,24,5,2,550.8115894715364,460.8499489900021
41011000300,41,011,0003,3410,3074,20,114,86,25,12,2,77,2616,2400,12,74,48,19,10,2,51,0775,53000,90629,NA,NA,08820,47,24,5,2,668.3316874107325,559.1760048969599
41011000400,41,011,0004,6134,5556,12,240,76,96,17,6,131,4580,4221,10,142,49,73,10,4,71,0770,53000,90629,NA,NA,08820,47,24,5,2,1170.0914099163438,978.9855131605796
41011000501,41,011,000501,8325,7140,39,438,311,121,17,7,252,6402,5684,26,237,186,96,13,6,154,0775,15250,90629,NA,NA,03660,47,24,5,2,1635.5731891450725,1368.442195470312
41011000502,41,011,000502,2935,2628,5,71,91,43,1,6,90,2372,2152,3,41,65,37,1,6,67,0775,04400,90629,NA,NA,03660,48,24,5,2,605.9949398082024,507.0204448071822
41011000600,41,011,0006,2497,2280,0,58,40,38,12,0,69,1927,1786,0,38,25,32,8,0,38,NA,15250,90629,NA,NA,03660,47,24,5,2,492.30701897571925,411.9006733319731
41011000700,41,011,0007,7458,6610,18,353,174,70,22,13,198,5780,5209,12,209,134,54,16,7,139,NA,15250,90629,NA,NA,03660,47,24,5,2,1476.6655784533768,1235.4882677004694
41011000800,41,011,0008,2967,2722,2,79,64,20,1,0,79,2300,2137,1,49,40,16,0,0,57,NA,15250,91003,NA,NA,03660,48,24,5,2,587.6004896959804,491.6302795347888
41011000900,41,011,0009,7905,7198,26,284,132,36,7,5,217,6163,5737,10,167,90,25,7,5,122,NA,15350,90646,NA,NA,03390,48,24,5,2,1574.5138339114467,1317.3553968577842
41011001000,41,011,0010,6682,6115,11,153,117,51,4,18,213,5405,5022,7,100,90,31,2,16,137,0775,03800,90221,NA,NA,01800,48,24,5,2,1380.861150785554,1155.3311569067537
41011001100,41,011,0011,6107,5523,11,179,188,16,3,2,185,4657,4299,4,105,124,12,3,2,108,0775,51050,92074,NA,NA,00640,48,24,5,2,1189.7632523974698,995.4444399102224
41013950100,41,013,9501,6180,5634,4,366,73,27,0,9,67,4452,4125,4,211,49,17,0,3,43,NA,59850,92363,NA,NA,03720,59,28,3,5,725.2441414571794,1004.4030677460588
41013950200,41,013,9502,4132,3808,0,239,41,4,6,0,34,3020,2836,0,127,30,3,3,0,21,NA,59850,92363,NA,NA,03720,59,28,3,5,491.967050134924,681.3336173838943
41013950300,41,013,9503,5740,5144,1,409,71,47,0,3,65,4211,3854,1,225,53,30,0,2,46,NA,59850,92550,NA,NA,03720,59,28,3,5,685.9845192444255,950.0317426501917
41013950400,41,013,9504,3130,2946,1,68,50,4,0,0,61,2399,2289,1,38,37,4,0,0,30,NA,NA,90765,11910,03630,03720,59,28,3,5,390.80428916347114,541.2315722198551
41015950100,41,015,9501,3055,2768,2,129,41,12,1,19,83,2485,2289,2,66,38,10,1,17,62,0770,59250,92533,NA,NA,10020,48,24,5,2,493.73945641986876,656.7666354264292
41015950200,41,015,9502,4754,4430,7,111,78,33,1,0,94,3812,3588,5,68,51,28,1,0,71,NA,29900,91207,NA,NA,05760,48,24,5,2,757.398313027179,1007.4826616682286
41015950301,41,015,950301,4104,3693,5,133,94,44,13,4,118,3213,2972,2,72,59,31,8,2,67,NA,08650,90357,NA,NA,02310,48,24,5,2,638.3842549203374,849.1715089034676
41015950302,41,015,950302,4391,3921,6,194,88,46,4,3,129,3428,3134,6,118,51,34,4,3,78,NA,08650,90357,NA,NA,02310,48,24,5,2,681.1021555763824,905.9943767572634
41015950400,41,015,9504,4833,4394,11,194,107,9,2,3,113,4134,3837,11,118,73,7,2,2,84,NA,32100,91275,NA,NA,02310,48,24,5,2,821.3758200562324,1092.584817244611
41017990200,41,017,9902,1754,1671,1,21,5,28,1,0,27,1296,1243,0,13,5,25,1,0,9,NA,05800,92958,07020,03630,01980,55,27,3,5,183.72842920353983,238.92311946902655
41017990300,41,017,9903,3418,3220,1,85,35,9,3,1,64,2698,2551,1,52,26,9,2,1,56,NA,41050,92958,07020,NA,01980,54,27,3,5,382.4840293141593,497.3877903761062
41017990400,41,017,9904,6273,5944,3,132,76,18,4,4,92,4840,4625,1,73,52,14,4,2,69,NA,41050,92958,NA,NA,01980,54,27,3,5,686.1462942477876,892.2746128318583
41017990500,41,017,9905,7482,7043,22,223,44,40,5,5,100,5661,5389,13,125,33,33,5,3,60,NA,73225,92958,NA,NA,01980,54,27,3,5,802.5359858960177,1043.6294593473451
41017990600,41,017,9906,4495,4276,4,99,28,22,0,3,63,3463,3317,2,65,21,14,0,2,42,NA,67950,92958,NA,NA,11490,55,27,3,5,490.9348382190265,638.4187983960177
41017990700,41,017,9907,5305,5096,5,94,22,17,2,2,67,4112,3976,3,57,18,11,2,2,43,NA,NA,93247,NA,NA,10350,55,27,3,5,582.9408185840708,758.0647123893806
41017990800,41,017,9908,5375,5052,8,176,52,13,1,7,66,3999,3787,4,114,40,11,1,3,39,NA,72800,92635,NA,NA,10350,55,27,3,5,566.9212873340708,737.2326811393805
41017990900,41,017,9909,4112,3724,5,231,56,33,6,0,57,3035,2792,3,138,39,25,5,0,33,NA,61200,92635,NA,NA,10350,55,27,3,5,430.2590915376106,559.515175608407
41017991000,41,017,9910,5502,5015,3,286,59,34,4,0,101,3860,3552,2,171,42,29,4,0,60,NA,61200,92635,NA,NA,10350,55,27,3,5,547.2158462389381,711.6074391592921
41017991100,41,017,9911,9342,8714,7,343,63,43,13,6,153,6834,6463,5,185,46,33,6,3,93,NA,61200,92635,NA,NA,10350,55,27,3,5,968.8272262168142,1259.8770049778761
41017991201,41,017,991201,6010,5650,14,153,45,32,1,1,114,4496,4288,9,93,33,23,1,1,48,NA,05800,90306,NA,NA,01980,54,27,3,5,637.378871681416,828.8567477876106
41017991202,41,017,991202,5733,5486,4,110,28,33,2,4,66,4324,4155,3,74,21,19,1,4,47,NA,05800,90306,NA,NA,01980,55,27,3,5,612.99516039823,797.1478152654868
41017991300,41,017,9913,6196,5835,25,130,26,82,9,10,79,4952,4702,17,92,22,67,7,5,40,NA,05800,90306,NA,NA,01980,54,27,3,5,702.0240597345133,912.9222898230089
41017991400,41,017,9914,3233,3083,7,68,13,24,0,0,38,2636,2526,4,51,13,20,0,0,22,NA,05800,90306,NA,NA,01980,54,27,3,5,373.69455199115043,485.9578263274336
41017991500,41,017,9915,5143,4543,19,334,64,60,3,3,117,4010,3612,13,215,47,52,3,3,65,NA,05800,90306,NA,NA,01980,54,27,3,5,568.4807107300885,739.2605779867256
