GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
45003000036,SC,003,36,2783,27,2559,98,5,63,0,1,30,2192,23,2034,69,5,46,0,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,196.39755901414446,426.8069445101471
45003000037,SC,003,37,1842,18,529,1277,2,4,0,0,12,1378,12,437,920,2,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,123.46525379630067,268.3120298973461
45003000038,SC,003,38,1262,38,118,1073,0,1,0,0,32,943,23,109,789,0,1,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,84.49037324376745,183.612659066181
45003000039,SC,003,39,1810,23,1667,80,9,12,0,1,18,1447,17,1339,65,3,9,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,129.64747622877147,281.7471025119448
45003000040,SC,003,40,2095,23,1063,988,4,4,1,1,11,1602,15,883,690,2,4,1,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,143.53507734519135,311.92733809546337
45003000041,SC,003,41,3561,85,2823,574,9,38,1,1,30,2604,66,2125,354,6,34,1,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,233.31169875585408,507.0279578031127
45003000042,SC,003,42,2582,185,1855,492,6,27,1,0,16,1814,102,1342,339,4,17,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,162.52973177539144,353.2061119258243
45003000043,SC,003,43,1106,16,631,431,5,1,0,0,22,805,12,488,289,1,1,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,72.12592837882586,156.74251383698376
45003000044,SC,003,44,2215,21,2059,80,6,23,1,3,22,1656,15,1552,51,4,15,1,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,121.02864527245316,347.0359681240578
45003000045,SC,003,45,1281,5,1234,25,0,11,0,0,6,980,2,945,17,0,11,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,71.6232321056788,205.37152702993754
45003000046,SC,003,46,1834,34,1392,357,8,10,2,2,29,1440,21,1140,248,6,8,2,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,105.24230023691578,301.770407064398
45003000047,SC,003,47,1364,12,1245,94,0,3,1,0,9,1066,8,987,62,0,3,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,77.90853614760572,223.39392634072797
45003000048,SC,003,48,3333,51,2596,614,7,39,0,4,22,2415,34,1939,389,7,33,0,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,176.50010768899418,506.0941201809175
45003000049,SC,003,49,3087,67,1948,987,6,36,1,0,42,2230,47,1489,639,4,30,1,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,162.9793955057793,467.3250053844497
45003000050,SC,003,50,2121,171,1377,501,11,48,1,2,10,1693,121,1149,366,8,38,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,123.73278770909613,354.7897910833513
45003000051,SC,003,51,1883,53,1180,619,5,9,0,1,16,1413,33,927,435,5,7,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,103.26900710747361,296.1122119319406
45003000052,SC,003,52,2142,223,744,1122,17,12,0,1,23,1537,150,585,771,5,12,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,112.33153851676359,322.0979969847082
45003000053,SC,003,53,2162,44,1687,398,1,20,0,0,12,1557,21,1260,253,0,15,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,113.7932371311652,326.28925263838033
45003000054,SC,003,54,2445,84,2067,240,13,10,1,2,28,1885,58,1626,164,11,10,1,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,137.76509440735157,395.02584535860433
45003000055,SC,003,55,1477,70,864,511,9,4,0,0,19,1057,51,667,323,5,4,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,77.25077177112499,221.50786129657547
45003000056,SC,003,56,1698,20,1124,536,4,6,0,0,8,1295,13,874,397,4,4,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,94.64498528250414,271.3838035752746
45003000057,SC,003,57,1574,16,1369,167,3,5,0,1,13,1183,10,1034,124,3,5,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,86.45947304185512,247.91277191471033
45003000058,SC,003,58,2894,30,2356,454,12,3,2,1,36,2111,21,1769,287,8,3,2,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,154.28228875008975,442.38703424510015
45003000059,SC,003,59,1520,12,1358,116,7,2,0,2,23,1152,6,1052,74,4,2,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,84.19384018953264,241.41632565151843
45003000060,SC,003,60,2920,44,2523,286,4,32,3,3,25,2021,26,1769,193,3,20,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,147.7046449852825,423.52638380357524
45003000061,SC,003,61,3257,48,2996,159,6,31,2,0,15,2381,28,2212,102,6,23,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,213.331472633521,463.60736080230856
45003000062,SC,003,62,2201,27,1809,309,3,29,1,4,19,1798,17,1523,217,3,26,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,161.0961729504707,350.09073276881594
45003000063,SC,003,63,5269,73,4528,491,13,115,0,3,46,4072,49,3560,348,7,83,0,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,364.8407209423341,792.8639954586309
45003000064,SC,003,64,3846,71,3188,446,25,65,0,0,51,2797,43,2369,285,20,48,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,250.6040020814608,544.6072188845262
45003000065,SC,003,65,1909,153,1385,314,16,2,0,1,38,1278,80,968,200,8,2,0,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,114.5055111405459,248.8409101660438
45003000066,SC,003,66,2657,54,1180,1377,13,2,0,2,29,1826,33,877,892,11,2,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,133.45308349486683,382.6616411802714
45003000067,SC,003,67,3096,83,2209,764,24,4,1,0,11,2210,52,1623,511,13,2,1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,161.5176968913777,463.1337497307775
45003000068,SC,003,68,1953,36,723,1149,5,3,1,4,32,1373,23,535,784,4,3,1,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,123.01726666351293,267.33847391078103
