GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
38067950200,38,067,9502,1834,1698,0,9,70,0,0,0,57,1396,1303,0,2,56,0,0,0,35,NA,82980,82980,NA,19080,10,10,1,1,415.4426687354538,505.98231186966643
38067950300,38,067,9503,1624,1507,6,68,17,9,0,0,17,1250,1172,4,44,14,6,0,0,10,NA,12940,12940,NA,00018,10,10,1,1,371.9937936384794,453.0643910007758
38067950400,38,067,9504,1689,1632,4,19,15,5,0,4,10,1262,1224,4,9,15,2,0,2,6,NA,17060,05580,NA,00018,10,10,1,1,375.56493405740883,457.4138091543832
38067950500,38,067,9505,1852,1702,0,131,5,0,0,0,14,1373,1289,0,74,4,0,0,0,6,NA,20340,70300,13530,05340,16,16,1,1,408.59798293250583,497.64592707525213
38069956100,38,069,9561,1640,1604,3,11,12,4,0,0,6,1260,1234,0,10,9,3,0,0,4,NA,68860,58080,NA,16130,7,7,1,1,186.876404494382,165.9943820224719
38069956200,38,069,9562,3035,2980,1,17,20,8,0,0,9,2300,2271,0,6,11,6,0,0,6,NA,68860,74305,NA,16130,7,7,1,1,341.12359550561797,303.0056179775281
38071940100,38,071,9401,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3935,NA,63680,NA,05040,15,15,1,1,102,89
38071940200,38,071,9402,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3935,NA,16660,NA,05040,15,15,1,1,72,82
38071957000,38,071,9570,1543,1499,3,4,11,3,3,1,19,1193,1171,2,2,6,2,0,1,9,3935,22340,59460,NA,05950,23,23,1,1,65,43
38071957100,38,071,9571,1780,1749,0,6,14,5,0,0,6,1318,1301,0,2,9,4,0,0,2,3935,14140,16340,NA,05040,15,15,1,1,95,127
38071957200,38,071,9572,2056,1885,10,9,124,6,0,1,21,1554,1455,6,5,74,6,0,0,8,NA,19420,19420,NA,05040,15,15,1,1,520.379421221865,506.81672025723475
38071957300,38,071,9573,2119,1917,3,15,143,3,0,0,38,1478,1360,1,7,87,2,0,0,21,3935,19420,16660,NA,05040,15,15,1,1,494.929719797887,482.03031694993115
38071957400,38,071,9574,1756,1483,3,16,183,9,0,1,61,1354,1184,3,6,127,6,0,0,28,NA,19420,19420,NA,05040,15,15,1,1,453.4065227377124,441.5893431327515
38071957500,38,071,9575,2807,2574,3,13,164,5,0,1,47,2145,2011,2,7,93,5,0,0,27,NA,19420,19420,NA,05040,15,15,1,1,718.2843362425356,699.5636196600826
38073968900,38,073,9689,1828,1767,7,23,8,4,0,2,17,1329,1301,3,11,4,3,0,0,7,NA,24260,24260,16380,16740,27,27,1,1,148,122
38073969000,38,073,9690,1623,1585,3,13,2,5,0,2,13,1192,1173,2,4,2,4,0,0,7,NA,27580,57900,00033,11430,27,27,1,1,85,80
38073969100,38,073,9691,2439,2397,1,12,9,5,0,0,15,1898,1869,1,7,9,3,0,0,9,NA,47100,47100,NA,11430,27,27,1,1,499,512
38075952900,38,075,9529,2610,2535,6,19,16,12,0,3,19,2001,1953,4,9,12,9,0,3,11,NA,53780,53780,NA,00020,6,6,1,1,857,910
38077940200,38,077,9402,63,63,0,0,0,0,0,0,0,49,49,0,0,0,0,0,0,0,1860,NA,20740,NA,11140,27,27,1,1,15.143352260157807,16.274316053388393
38077940300,38,077,9403,18,18,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,1860,NA,33140,NA,08710,25,25,1,1,3.708576063712116,3.9855467885849127
38077970700,38,077,9707,2072,2045,4,6,6,1,1,0,9,1432,1418,1,3,4,1,0,0,5,NA,82780,82820,16380,00036,27,27,1,1,442.5567436029791,475.60858343779955
38077970800,38,077,9708,2421,2375,3,14,16,2,0,0,11,1725,1694,0,10,14,2,0,0,5,NA,87740,21260,16380,20310,25,25,1,1,533.1078091586166,572.9223508590812
38077970900,38,077,9709,4453,4204,51,31,102,26,3,2,34,3616,3449,42,19,68,16,2,1,19,NA,82660,82660,NA,19020,25,25,1,1,1117.5175871985841,1200.9780989602536
38077971000,38,077,9710,4236,4036,4,34,108,11,0,1,42,3219,3081,2,22,75,9,0,1,29,NA,82660,82660,NA,19020,25,25,1,1,994.825529090775,1069.1229260379027
38077971100,38,077,9711,1578,1540,0,15,12,0,0,0,11,1111,1092,0,7,7,0,0,0,5,1860,25300,76940,NA,19020,25,25,1,1,343.35233389868,368.99520684315314
38077971300,38,077,9713,3157,3056,0,23,53,4,2,0,19,2397,2334,0,15,36,3,0,0,9,1860,34900,34900,02610,08710,27,27,1,1,740.7880687264951,796.1129710198363
38079951600,38,079,9516,1644,1113,1,9,449,8,0,0,64,1180,861,0,5,275,8,0,0,31,4345,67820,67820,NA,13400,9,9,1,1,200.21112255406797,49.82492276004119
38079951700,38,079,9517,4328,908,2,39,3294,1,0,2,82,2704,728,2,15,1907,0,0,1,51,4345,21020,58125,NA,17460,9,9,1,1,458.78887744593203,114.17507723995881
38079951800,38,079,9518,5815,167,5,54,5558,0,0,2,29,3507,149,4,21,3312,0,0,1,20,4345,05740,80010,NA,02530,9,9,1,1,851,167
38079951900,38,079,9519,1887,1228,2,8,606,1,0,0,42,1298,934,2,2,338,0,0,0,22,4345,67780,74320,NA,16050,9,9,1,1,182,140
38081940100,38,081,9401,110,105,0,0,0,0,0,0,5,84,79,0,0,0,0,0,0,5,1860,NA,50660,NA,16430,27,27,1,1,39.31859233883525,28.488321395203986
38081974000,38,081,9740,1552,1522,0,16,3,1,0,4,6,1131,1112,0,10,1,1,0,1,6,NA,15100,15100,NA,14290,26,26,1,1,529.3967611336033,383.5748987854251
38081974100,38,081,9741,2704,2651,2,16,17,1,0,0,17,1996,1968,1,10,6,0,0,0,11,1860,52940,42860,NA,16430,27,27,1,1,934.2846465275616,676.9367798193709
38083960200,38,083,9602,1710,1692,2,6,7,0,0,0,3,1344,1334,0,5,3,0,0,0,2,NA,49020,13310,15360,12430,14,14,1,1,476,889
38085940100,38,085,9401,648,346,0,7,288,0,1,0,6,428,264,0,4,159,0,0,0,1,3970,71660,74520,NA,16510,35,35,1,1,126.76884838442419,58.68599834299917
38085940200,38,085,9402,971,92,0,19,858,0,1,0,1,540,73,0,6,459,0,1,0,1,3970,12020,58135,NA,16980,35,35,1,1,159.9420049710025,74.04308202154101
38085940300,38,085,9403,2411,136,1,39,2208,1,0,0,26,1436,112,1,18,1289,1,0,0,15,3970,12020,58135,18690,07200,35,35,1,1,425.3272576636288,196.8997514498757
38085940700,38,085,9407,14,3,0,0,11,0,0,0,0,10,3,0,0,7,0,0,0,0,3970,NA,27870,18690,07200,35,35,1,1,2.9618889809444906,1.3711681855840927
38087965000,38,087,9650,767,764,0,1,1,0,0,0,1,573,571,0,1,1,0,0,0,0,NA,50860,58275,00037,00027,39,39,1,1,153,165
