GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,cd_1990,cd_2000,ndv,nrv
55005000800,55,005,0008,4744,4629,3,47,18,18,0,0,29,3436,3378,1,22,11,14,0,0,10,NA,12250,76600,NA,NA,8,5,94,80
55005000900,55,005,0009,5121,5016,1,36,17,14,1,0,36,3662,3606,1,21,8,7,1,0,18,NA,65150,02775,NA,NA,8,5,131,81
55005001000,55,005,0010,7080,6970,7,41,18,13,1,0,30,5396,5329,6,20,15,9,1,0,16,NA,14325,14325,NA,NA,8,5,252,277
55007000000,55,007,0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,00000,NA,NA,3,5,138,148
55007960100,55,007,9601,2715,1465,4,37,1114,2,0,9,84,1955,1207,1,14,669,2,0,9,53,3085,05350,05375,NA,NA,3,5,178,71
55007960200,55,007,9602,1670,1618,2,12,23,2,0,0,13,1271,1238,0,8,13,2,0,0,10,NA,NA,15750,NA,NA,3,5,18,28
55007960300,55,007,9603,3910,3636,5,19,172,15,1,4,58,2869,2723,2,7,99,7,1,4,26,NA,83525,83525,NA,NA,3,5,110,84
55007960400,55,007,9604,4713,4539,9,14,69,20,0,3,59,3580,3493,1,6,44,8,0,3,25,NA,49900,37200,NA,NA,3,5,50,61
55007960600,55,007,9606,2005,1989,0,9,2,2,0,1,2,1638,1626,0,6,2,1,0,1,2,NA,NA,55375,NA,NA,3,5,122,140
55009000100,55,009,0001,2978,2040,75,246,147,393,0,0,77,1976,1509,35,142,98,157,0,0,35,NA,31000,31000,NA,NA,4,1,414.53869809694146,494.4513040904821
55009000200,55,009,0002,6160,5587,68,139,123,143,2,1,97,4663,4355,42,74,74,81,1,0,36,NA,31000,31000,NA,NA,4,1,978.2358042641894,1166.8149954321448
55009000301,55,009,000301,2839,2501,15,74,168,33,0,0,48,2087,1887,11,43,111,12,0,0,23,2560,31000,31000,NA,NA,4,1,437.82503184631423,522.226655686658
55009000302,55,009,000302,4689,4268,43,115,130,80,0,3,50,3704,3433,26,78,92,50,0,0,25,2560,31000,31000,NA,NA,4,1,777.0502721412304,926.8459667768957
55009000303,55,009,000303,3094,2707,35,51,120,121,3,0,57,2409,2205,20,26,80,63,3,0,12,NA,31000,31000,NA,NA,4,1,505.3763783985486,602.8001981548439
55009000401,55,009,000401,4697,4169,82,95,152,103,5,0,91,3821,3511,47,56,107,54,5,0,41,NA,31000,31000,NA,NA,4,1,801.5953266338124,956.1226887296216
55009000402,55,009,000402,2435,2329,6,44,17,21,0,0,18,1898,1835,4,24,15,10,0,0,10,NA,31000,31000,NA,NA,4,1,398.1753284352201,474.93348945533154
55009000500,55,009,0005,3217,2502,51,174,155,246,1,0,88,2221,1867,27,91,98,104,1,0,33,NA,31000,31000,NA,NA,4,1,465.9364617779894,555.7572603162757
55009000600,55,009,0006,4242,4017,23,61,39,59,5,5,33,3286,3173,9,33,23,34,3,1,10,NA,31000,31000,NA,NA,4,1,689.3593936976465,822.250498603909
55009000700,55,009,0007,5224,4405,62,217,185,267,0,2,86,3834,3397,36,116,124,124,0,0,37,NA,31000,31000,NA,NA,4,1,804.3225549107659,959.37565783548
55009000800,55,009,0008,2148,1223,70,252,207,339,0,1,56,1488,978,45,165,136,135,0,0,29,NA,31000,31000,NA,NA,4,1,312.1627443159154,372.3398484244116
55009000900,55,009,0009,4171,2537,77,969,195,293,0,3,97,2935,2011,32,588,132,127,0,1,44,NA,31000,31000,NA,NA,4,1,615.7242302199004,734.4203327457313
55009001000,55,009,0010,1480,1209,44,105,53,51,1,3,14,1240,1061,38,68,42,24,1,1,5,NA,31000,31000,NA,NA,4,1,260.13562026326287,310.28320702034307
55009001100,55,009,0011,2203,1380,43,397,95,224,0,0,64,1533,1111,24,220,57,93,0,0,28,NA,31000,31000,NA,NA,4,1,321.60314988998545,383.600126098537
55009001200,55,009,0012,2696,1676,127,450,155,187,2,5,94,1881,1338,61,280,83,80,1,0,38,NA,31000,31000,NA,NA,4,1,394.60895299612696,470.67960677843973
55009001300,55,009,0013,3242,2577,84,322,72,127,1,1,58,2446,2064,41,197,48,59,1,1,35,NA,31000,31000,NA,NA,4,1,513.1384896483395,612.0586486869025
55009001400,55,009,0014,3885,3313,50,323,60,97,2,2,38,2808,2491,24,188,36,52,1,0,16,NA,31000,31000,NA,NA,4,1,589.0813078219694,702.6413268654219
55009001501,55,009,001501,4675,4216,19,57,279,32,1,0,71,3071,2814,10,26,175,21,0,0,25,2560,31000,31000,NA,NA,4,1,644.2552337326454,768.4513941608657
55009001502,55,009,001502,3495,2825,12,97,456,32,2,4,67,2499,2125,9,48,264,19,2,4,28,2560,31000,31000,NA,NA,4,1,524.2571895466887,625.3207535030946
55009001600,55,009,0016,7119,5112,97,1298,107,403,1,3,98,5324,4120,59,846,72,180,1,1,45,NA,31000,31000,NA,NA,4,1,1116.9048728077512,1332.2159630454084
55009001700,55,009,0017,6706,5086,117,1147,119,150,1,9,77,5350,4295,81,759,79,97,1,3,35,NA,31000,31000,NA,NA,4,1,1122.3593293616584,1338.7219012571252
55009001801,55,009,001801,4174,3961,33,67,33,52,0,0,28,3276,3143,20,43,23,37,0,0,10,NA,31000,31000,NA,NA,4,1,687.2615257922977,819.7482146763257
55009001802,55,009,001802,4592,4338,36,78,19,65,5,4,47,3801,3624,29,59,16,50,3,1,19,NA,31000,31000,NA,NA,4,1,797.3995908231146,951.1181208744547
55009002001,55,009,002001,7693,7022,44,375,50,149,0,0,53,5759,5366,28,233,31,74,0,0,27,NA,31000,31000,NA,NA,4,1,1208.162126690428,1441.0653138952866
55009002002,55,009,002002,4470,4030,41,164,32,158,0,1,44,3100,2858,20,103,21,82,0,1,15,NA,31000,31000,NA,NA,4,1,650.3390506581571,775.7080175508576
55009002003,55,009,002003,1778,1693,14,26,7,25,0,0,13,1307,1263,7,15,6,13,0,0,3,NA,31000,31000,NA,NA,4,1,274.19133522910045,327.0485093351519
55009010100,55,009,0101,6161,5973,12,44,20,59,1,2,50,4396,4289,11,27,13,36,1,1,18,NA,19775,19775,NA,NA,4,1,1000.8215788171245,1407.6773075971296
55009010201,55,009,010201,4636,4417,34,71,42,45,4,0,23,3966,3798,30,47,34,41,4,0,12,NA,19775,19775,NA,NA,4,1,902.9250185597624,1269.983667409057
55009010202,55,009,010202,4989,4825,26,25,53,28,2,2,28,3761,3661,15,11,38,21,1,0,14,NA,19775,19775,NA,NA,4,1,856.2534026231131,1204.3390249938134
55009010300,55,009,0103,5854,5577,34,72,71,34,0,3,63,4172,4032,20,38,47,23,0,0,12,NA,19775,19775,NA,NA,4,1,221,384
55009020100,55,009,0201,5435,5304,48,21,17,14,0,8,23,4005,3908,47,14,14,5,0,6,11,NA,31000,31025,NA,NA,4,1,387,466
55009020200,55,009,0202,9484,9250,18,56,60,42,6,3,49,6697,6577,8,23,46,16,3,3,21,2560,35950,77975,NA,NA,4,1,694,985
55009020300,55,009,0203,4648,4529,14,37,25,24,0,0,19,3317,3258,6,14,11,17,0,0,11,2560,65675,63075,NA,NA,4,1,338,454
55009020400,55,009,0204,7747,6805,12,63,749,40,4,2,72,5390,4796,4,38,488,24,3,1,36,2560,03425,35150,NA,NA,4,1,504,881
55009020501,55,009,020501,8752,8516,21,58,47,41,0,3,66,6143,6018,11,33,35,25,0,2,19,2560,35950,35950,NA,NA,4,1,806.2569763876112,1096.3587856485742
55009020502,55,009,020502,4803,4431,77,89,68,65,1,5,67,3640,3434,38,52,44,39,1,5,27,2560,35950,35950,NA,NA,4,1,477.74302361238887,649.641214351426
55009020600,55,009,0206,4854,4752,9,26,28,23,0,0,16,3461,3415,6,12,12,7,0,0,9,NA,19700,56575,NA,NA,4,1,213,253
55009020701,55,009,020701,11154,10509,56,289,75,157,2,6,60,8101,7737,35,166,45,85,2,5,26,NA,06362,06350,NA,NA,4,1,922,1193
55009020702,55,009,020702,3173,3131,4,19,3,6,1,1,8,2178,2153,4,11,2,4,1,0,3,NA,19775,29550,NA,NA,4,1,138,195
55009020800,55,009,0208,2342,2231,16,36,19,17,0,4,19,1848,1790,10,22,7,11,0,1,7,NA,01150,01150,NA,NA,4,1,370.583714547118,660.6258005489478
55009020900,55,009,0209,2963,2835,9,41,15,42,1,0,20,2221,2167,4,17,9,19,0,0,5,NA,01150,01150,NA,NA,4,1,445.38226732096814,793.9663977376695
55009021000,55,009,0210,2782,2699,11,18,3,30,0,1,20,2161,2115,6,10,2,22,0,0,6,NA,01150,01150,NA,NA,4,1,433.35032853697084,772.5175081094569
55009021100,55,009,0211,1949,1123,653,46,118,6,0,2,1,1901,1105,632,45,111,5,0,2,1,NA,01150,01150,NA,NA,4,1,381.21192713964905,679.5723197205357
55009021200,55,009,0212,5407,5251,19,58,17,35,0,1,26,3892,3804,13,28,12,27,0,1,7,NA,01150,01150,NA,NA,4,1,780.471762455294,1391.31797388339
55009021301,55,009,021301,3591,3423,10,42,55,36,0,1,24,2746,2650,6,24,34,24,0,0,8,NA,03425,03425,NA,NA,4,1,95.62440730664594,132.33734939759037
55009021302,55,009,021302,6909,6621,19,69,71,93,1,2,33,4929,4760,16,35,49,53,1,1,14,2560,03425,03425,NA,NA,4,1,171.6433734939759,237.5421686746988
55009021303,55,009,021303,4254,3904,51,63,74,117,3,1,41,3441,3204,35,45,49,89,2,1,16,NA,03425,03425,NA,NA,4,1,119.82650602409637,165.8313253012048
55009021304,55,009,021304,2330,2157,31,28,27,70,0,3,14,1749,1622,22,23,20,49,0,2,11,2560,03425,03425,NA,NA,4,1,60.90571317528177,84.28915662650601
55009021400,55,009,0214,5469,5324,6,62,19,25,0,0,33,3739,3664,1,36,16,8,0,0,14,NA,89150,89175,NA,NA,4,1,270,332
55009021500,55,009,0215,2990,2933,4,22,7,11,0,0,13,2084,2060,1,10,4,4,0,0,5,NA,NA,35325,NA,NA,2,1,193,269
55011960100,55,011,9601,2639,2600,0,7,8,13,0,0,11,1825,1805,0,4,6,8,0,0,2,NA,53600,53850,NA,NA,8,8,102,92
55011960200,55,011,9602,2729,2678,5,16,7,10,0,0,13,2080,2052,3,10,4,4,0,0,7,NA,53600,53600,NA,NA,8,8,432,460
55011960300,55,011,9603,2403,2337,4,23,8,13,0,0,18,1861,1818,4,14,5,10,0,0,10,NA,01225,55975,NA,NA,8,8,122,106
55011960400,55,011,9604,2643,2590,6,17,10,7,1,1,11,2028,1999,2,9,6,3,1,0,8,NA,11062,11062,NA,NA,8,8,76,91
55011960500,55,011,9605,3390,3350,0,22,8,1,1,0,8,2549,2527,0,11,4,1,1,0,5,NA,26850,11025,NA,NA,8,8,67,54
55013970400,55,013,9704,3951,3621,21,19,210,6,1,2,71,3226,3020,9,11,141,5,1,0,39,3305,85025,84975,NA,NA,3,5,179,107
55013970600,55,013,9706,2060,1680,6,18,310,10,3,0,33,1540,1319,2,8,188,5,2,0,16,3305,NA,19925,NA,NA,3,5,99,95
55013970700,55,013,9707,2336,2191,9,21,74,6,1,0,34,1898,1797,9,10,60,2,0,0,20,3305,85025,50650,NA,NA,3,5,224,134
55013970800,55,013,9708,2520,2428,4,11,36,5,4,0,32,1977,1915,4,7,26,5,3,0,17,NA,74175,18750,NA,NA,3,5,155,139
55013970900,55,013,9709,2805,2687,13,41,33,8,0,0,23,2039,1975,3,20,23,6,0,0,12,NA,30450,85850,NA,NA,3,5,69,44
55013971000,55,013,9710,2002,1956,1,10,12,2,0,0,21,1529,1504,1,7,9,2,0,0,6,NA,NA,80375,NA,NA,3,5,55,67
55015020100,55,015,0201,4375,4291,6,25,25,7,0,4,17,3176,3120,3,20,17,4,0,0,12,NA,09725,09750,NA,NA,2,4,126,317
55015020200,55,015,0202,3852,3759,1,28,14,16,0,1,33,2738,2688,0,16,11,8,0,0,15,NA,34575,89000,NA,NA,2,4,86,175
55015020301,55,015,020301,8112,7275,47,206,39,442,2,5,96,5593,5177,28,117,23,213,2,4,29,NA,02375,02375,NA,NA,4,1,942,1614
55015020302,55,015,020302,10856,10538,37,87,16,128,0,6,44,7427,7259,21,41,13,77,0,2,14,NA,02375,32800,NA,NA,2,1,439,684
55015020400,55,015,0204,3436,3377,5,21,10,11,0,0,12,2544,2506,3,14,8,3,0,0,10,NA,77400,77425,NA,NA,2,4,142,249
55015020500,55,015,0205,4921,4821,11,39,13,12,0,1,24,3639,3573,8,23,11,8,0,0,16,NA,14475,14475,NA,NA,2,4,119,227
55015020600,55,015,0206,5079,5001,2,29,11,11,0,1,24,3895,3846,1,17,10,10,0,1,10,NA,56800,56800,NA,NA,2,4,221,277
55017010100,55,017,0101,2813,2429,24,25,13,292,1,0,29,1965,1804,7,12,8,120,1,0,13,NA,22300,22300,NA,NA,3,5,297,250
55017010200,55,017,0102,5839,5683,13,54,17,38,0,3,31,4296,4215,5,20,12,18,0,3,23,NA,14575,32125,NA,NA,3,5,706,698
55017010300,55,017,0103,5284,5152,6,34,24,21,1,1,45,4027,3949,5,19,17,14,1,1,21,NA,14575,14575,NA,NA,3,5,1113.3561802079323,1072.0059042484918
55017010400,55,017,0104,4130,4059,2,13,11,16,4,0,25,3028,2990,1,8,8,8,2,0,11,NA,14575,86537,NA,NA,3,5,379,395
55017010500,55,017,0105,4847,4712,11,25,20,49,0,0,30,3764,3693,6,9,16,22,0,0,18,NA,14575,14575,NA,NA,3,5,1040.6438197920677,1001.9940957515081
55017010700,55,017,0107,6015,5900,18,25,16,24,0,6,26,4393,4334,13,11,11,16,0,0,8,NA,42025,40900,NA,NA,3,5,764,844
55017010800,55,017,0108,5168,5085,3,22,13,11,0,2,32,3699,3647,2,16,9,8,0,0,17,NA,11750,22750,NA,NA,8,5,158,102
55017010900,55,017,0109,4440,4366,2,27,13,14,1,8,9,3226,3179,1,14,8,11,1,5,7,NA,76625,16125,NA,NA,3,5,125,97
55017011000,55,017,0110,6818,6723,3,25,21,12,1,2,31,4952,4894,3,16,13,10,0,0,16,NA,17100,21600,NA,NA,3,5,227,318
55017011100,55,017,0111,3854,3799,0,19,9,5,0,0,22,2800,2770,0,9,8,1,0,0,12,NA,56350,71275,NA,NA,3,5,134,147
55017011200,55,017,0112,5987,5923,3,20,11,9,0,2,19,4443,4401,2,14,8,7,0,0,11,NA,08225,08225,NA,NA,3,5,161,152
55019950100,55,019,9501,4498,4351,3,103,10,13,0,0,18,3315,3226,2,64,7,5,0,0,11,NA,00100,50175,NA,NA,3,5,141,148
55019950200,55,019,9502,4295,4146,10,99,15,7,0,1,17,3028,2937,6,56,13,6,0,1,9,NA,60825,60825,NA,NA,3,5,96,111
55019950300,55,019,9503,4047,4010,2,15,6,4,0,0,10,2798,2773,2,10,4,3,0,0,6,NA,79625,79650,NA,NA,3,5,158,109
55019950400,55,019,9504,3815,3747,2,26,7,10,2,0,21,2562,2519,2,16,7,7,2,0,9,1450,31575,50275,NA,NA,8,8,53,52
55019950500,55,019,9505,5081,4983,8,41,6,12,0,3,28,3351,3300,5,24,3,8,0,2,9,NA,46075,81825,NA,NA,8,8,92,116
55019950600,55,019,9506,4784,4675,5,55,3,19,0,0,27,3222,3157,2,37,3,12,0,0,11,NA,30425,30275,NA,NA,8,8,80,122
55019950700,55,019,9507,3806,3680,4,37,33,36,1,2,13,2834,2764,2,21,14,24,1,2,6,NA,55800,55800,NA,NA,8,8,120,160
55019950800,55,019,9508,3231,3124,5,28,68,0,0,0,6,2409,2346,4,16,38,0,0,0,5,1450,55800,51125,NA,NA,8,8,59,88
55021970100,55,021,9701,3985,3846,4,84,9,5,0,0,37,2784,2714,3,48,7,3,0,0,9,NA,12200,76225,NA,NA,7,7,48,238
55021970200,55,021,9702,5337,5173,10,88,7,21,3,0,35,3974,3878,4,52,7,13,3,0,17,NA,61100,89325,NA,NA,7,7,205,228
55021970300,55,021,9703,3931,3829,10,40,22,10,0,0,20,3052,2981,7,26,14,8,0,0,16,NA,88150,88150,NA,NA,7,7,127,257
55021970400,55,021,9704,6279,5573,329,234,31,37,4,10,61,4906,4313,320,178,28,28,4,7,28,NA,64100,64100,NA,NA,7,7,863.4358908671705,1139.308056872038
55021970500,55,021,9705,3939,3711,25,107,15,33,1,5,42,2901,2765,19,64,10,25,1,2,15,NA,64100,64100,NA,NA,7,7,510.5641091328295,673.6919431279621
55021970600,55,021,9706,4311,4236,3,35,6,5,0,2,24,3335,3296,0,18,6,4,0,0,11,NA,64100,60925,NA,NA,7,7,169,235
55021970700,55,021,9707,4051,3921,6,48,26,7,0,5,38,2995,2924,5,25,14,7,0,3,17,NA,64900,19375,NA,NA,7,7,334,390
55021970800,55,021,9708,5134,5034,13,43,8,13,1,1,21,3781,3725,5,22,6,7,1,1,14,NA,45350,86100,NA,NA,7,7,272,297
55021970900,55,021,9709,3915,3850,4,17,17,8,1,0,18,2968,2922,2,13,14,6,1,0,10,NA,42012,45375,NA,NA,7,7,148,157
55021971000,55,021,9710,3952,3838,4,58,11,15,0,6,20,2934,2868,3,34,6,9,0,3,11,NA,68100,46050,NA,NA,7,7,191,187
55021971100,55,021,9711,2929,2874,8,24,3,5,1,0,14,2139,2108,5,14,3,2,0,0,7,NA,25150,26875,NA,NA,7,7,34.27274345736158,53.693964749866474
55021971200,55,021,9712,4705,4591,16,49,10,14,1,0,24,3478,3418,10,27,7,5,1,0,10,NA,16450,16450,NA,NA,7,7,55.72725654263842,87.30603525013353
55023980100,55,023,9801,2991,2924,6,31,5,6,0,1,18,2223,2178,4,17,5,6,0,1,12,NA,74550,15075,NA,NA,8,8,164,170
55023980200,55,023,9802,2425,2366,8,20,5,5,1,0,20,1812,1775,8,11,5,3,1,0,9,1450,46675,27700,NA,NA,8,8,109,125
55023980300,55,023,9803,2698,2661,0,15,3,11,0,0,8,1938,1920,0,6,2,5,0,0,5,NA,77175,49275,NA,NA,8,8,31,24
55023980400,55,023,9804,3225,3174,4,9,8,14,0,1,15,2343,2315,3,2,4,10,0,0,9,NA,65050,65075,NA,NA,8,8,109,164
55023980500,55,023,9805,2161,2125,2,14,4,3,1,1,11,1636,1613,2,8,3,1,1,0,8,NA,65050,65050,NA,NA,8,8,338.31664779161946,487.6502831257078
55023980600,55,023,9806,3743,3443,210,40,12,6,0,2,30,2779,2568,155,25,8,6,0,1,16,NA,65050,65050,NA,NA,8,8,574.6833522083805,828.3497168742921
55025000100,55,025,0001,2665,2184,90,143,13,163,1,6,65,2175,1848,65,95,9,117,1,3,37,NA,48000,48000,NA,NA,7,7,674.9252063750023,403.5573140778223
55025000201,55,025,000201,2246,2041,20,40,5,102,0,0,38,1802,1673,14,25,4,72,0,0,14,NA,48000,48000,NA,NA,7,7,559.1794123621859,334.3495540083843
55025000202,55,025,000202,3119,2690,92,67,2,218,1,1,48,2464,2149,79,42,2,167,1,1,23,NA,48000,48000,NA,NA,7,7,764.6049234519567,457.1794123621858
55025000204,55,025,000204,5143,4015,339,273,11,410,1,3,91,4001,3275,205,168,9,292,1,2,49,NA,48000,48000,NA,NA,7,7,1241.5520692902917,742.3599143105135
55025000205,55,025,000205,5544,5068,66,103,7,215,1,0,84,3996,3706,49,60,4,147,1,0,29,NA,48000,48000,NA,NA,7,7,1240.0005170917284,741.4321963471162
55025000300,55,025,0003,5037,3843,125,105,16,855,0,11,82,4400,3431,102,81,13,706,0,7,60,NA,48000,48000,NA,NA,7,7,1365.3659347356368,816.3918077896175
55025000401,55,025,000401,3137,2869,42,62,7,104,3,0,50,2486,2322,25,43,6,70,2,0,18,NA,48000,48000,NA,NA,7,7,771.4317531256348,461.2613714011339
55025000402,55,025,000402,2433,2144,57,83,8,107,1,1,32,1949,1743,33,60,7,86,1,1,18,NA,48000,48000,NA,NA,7,7,604.7950469999446,361.6244621322647
55025000403,55,025,000403,5380,4289,184,353,12,459,2,3,78,4496,3711,133,258,10,334,2,3,45,NA,48000,48000,NA,NA,7,7,1395.1557369480506,834.2039926868455
55025000404,55,025,000404,7339,5803,626,388,11,343,3,16,149,5761,4869,349,257,11,219,3,6,47,NA,48000,48000,NA,NA,7,7,1787.6984431845465,1068.9166374263607
55025000501,55,025,000501,4941,4328,241,132,13,122,5,5,95,3806,3457,130,79,6,90,4,1,39,NA,48000,48000,NA,NA,7,7,1181.041533546326,706.1789137380192
55025000503,55,025,000503,7154,5969,450,283,18,266,2,7,159,5236,4558,262,166,12,174,2,3,59,NA,48000,48000,NA,NA,7,7,1624.785462335408,971.506251269645
55025000504,55,025,000504,4823,4187,202,145,23,180,1,5,80,3586,3179,121,99,15,133,1,2,36,NA,48000,48000,NA,NA,7,7,394,424
55025000600,55,025,0006,5018,2465,1259,537,30,491,0,17,219,3416,2041,657,347,22,267,0,5,77,NA,48000,48000,NA,NA,7,7,680.9815050120006,649.1509247494
55025000700,55,025,0007,3370,3025,116,54,5,91,1,2,76,2563,2367,67,24,3,62,1,2,37,NA,48000,48000,NA,NA,7,7,795.3256569835085,475.54822803745225
55025000800,55,025,0008,3627,3250,59,84,5,173,1,3,52,3069,2768,45,58,5,163,1,3,26,NA,48000,48000,NA,NA,7,7,952.3427394781068,569.4332859332583
55025000900,55,025,0009,7427,6404,103,207,14,568,6,14,111,6418,5492,99,173,13,539,6,11,85,NA,48000,48000,NA,NA,7,7,1991.5724020757539,1190.8187778167649
55025001000,55,025,0010,2203,2078,15,34,1,45,0,4,26,1821,1732,12,23,1,35,0,2,16,NA,48000,48000,NA,NA,7,7,565.0753107167261,337.87488226929395
55025001100,55,025,0011,7162,5925,188,146,17,753,3,6,124,7118,5908,180,140,16,742,3,5,124,NA,48000,48000,NA,NA,7,7,2208.7897098746053,1320.6992926923858
55025001200,55,025,0012,6330,5331,173,236,15,454,1,16,104,5717,4956,135,181,15,338,1,13,78,NA,48000,48000,NA,NA,7,7,1774.0447838371902,1060.7527193484646
55025001300,55,025,0013,2572,2219,121,78,27,80,0,3,44,2233,1980,100,54,16,61,0,2,20,NA,48000,48000,NA,NA,7,7,692.9232118783358,414.3188424532309
55025001401,55,025,001401,6382,2257,1623,1311,21,957,2,14,197,4552,2015,995,881,15,538,2,6,100,NA,48000,48000,NA,NA,7,7,1412.5331215719589,844.5944338768953
55025001402,55,025,001402,5341,3631,667,645,29,194,4,18,153,4360,3219,433,479,16,147,3,6,57,NA,48000,48025,NA,NA,7,7,1338,660
55025001403,55,025,001403,4869,3632,451,418,11,223,1,4,129,3821,2995,282,287,10,183,1,2,61,NA,25950,25950,NA,NA,7,7,761.7184808696879,726.1140759565155
55025001501,55,025,001501,2043,1244,518,157,6,74,0,2,42,1519,1058,289,104,3,53,0,2,10,NA,48000,48000,NA,NA,7,7,471.3615579235073,281.84071728009746
55025001502,55,025,001502,5479,3470,688,947,13,195,0,11,155,4246,2917,432,680,11,127,0,6,73,NA,48000,48000,NA,NA,7,7,405,372
55025001601,55,025,001601,8088,6836,172,311,14,613,7,13,122,8058,6818,171,302,14,612,7,13,121,NA,48000,48000,NA,NA,7,7,2500.481523204491,1495.1102698110767
55025001602,55,025,001602,7772,6653,183,271,18,510,8,7,122,7716,6626,173,262,18,503,8,7,119,NA,48000,48000,NA,NA,7,7,2394.355352822767,1431.6543611147022
55025001701,55,025,001701,6287,5099,566,244,26,225,3,12,112,6147,5030,527,232,26,219,3,11,99,NA,48000,48000,NA,NA,7,7,1907.4782729136273,1140.5364642006316
55025001702,55,025,001702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,51575,86125,NA,NA,7,7,0,0
55025001703,55,025,001703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,48000,48000,NA,NA,7,7,0,0
55025001800,55,025,0018,6377,5329,321,261,41,266,2,22,135,5657,4883,213,217,35,209,2,17,81,NA,48000,48000,NA,NA,7,7,1755.4261574544314,1049.620103787697
55025001900,55,025,0019,5762,5147,235,167,14,83,2,7,107,4995,4547,163,128,13,71,2,7,64,NA,48000,48000,NA,NA,7,7,1550.0006463646605,926.7902454338954
55025002000,55,025,0020,6031,5070,398,231,27,161,4,19,121,4778,4236,220,154,23,75,4,13,53,NA,48000,48000,NA,NA,7,7,1482.6632809470166,886.5272858224529
55025002100,55,025,0021,5093,4276,304,268,26,65,1,8,145,4224,3671,203,193,21,57,1,8,70,NA,48000,48000,NA,NA,7,7,1310.7512973462115,783.7361354780329
