GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
26007000040,MI,007,40,1840,8,1774,6,8,19,0,0,25,1449,6,1410,3,6,16,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,335.20399724328047,471.68228807718816
26007000050,MI,007,50,1721,15,1686,1,5,5,1,0,8,1338,10,1316,1,4,3,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,309.5258442453481,435.5492763611303
26007000060,MI,007,60,1840,8,1786,6,9,20,0,0,11,1385,5,1350,3,7,12,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,320.398575694923,450.84883988054213
26007000070,MI,007,70,2138,8,2100,1,8,3,0,0,18,1614,3,1590,1,6,3,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,826.8128299894403,708.7880147835269
26007000080,MI,007,80,3147,23,3076,3,13,24,0,0,8,2449,17,2401,2,9,17,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1254.5629619852166,1075.4782206969378
26007000090,MI,007,90,2612,20,2555,3,10,11,0,1,12,1993,12,1953,3,8,8,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1020.9652851108765,875.2258447729673
26007000100,MI,007,100,1035,0,1024,1,4,1,0,0,5,837,0,829,1,3,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,428.7746832101373,367.5685058078142
26007000110,MI,007,110,856,4,839,0,5,2,0,0,6,683,4,670,0,4,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,349.88423970432945,299.93941393875394
26007000120,MI,007,120,1205,13,1170,5,5,2,0,4,6,922,5,902,1,4,2,0,2,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,165,148
26007000130,MI,007,130,1019,12,1002,1,3,0,0,0,1,769,7,759,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,166,165
26007000140,MI,007,140,1715,3,1700,1,6,1,0,0,4,1236,2,1223,0,6,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,229,198
26007000150,MI,007,150,1761,10,1729,1,3,1,0,0,17,1316,6,1295,0,3,1,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,175,316
26007000160,MI,007,160,2152,12,2104,5,5,3,0,2,21,1618,7,1595,1,5,2,0,2,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,321,368
26007000170,MI,007,170,296,0,290,1,2,0,0,0,3,223,0,219,1,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,28,46
26007000180,MI,007,180,2074,9,2044,6,8,0,0,0,7,1530,5,1508,5,6,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,217,316
26007ZZZZZZ,MI,007,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
26009000010,MI,009,10,1813,25,1754,3,13,5,0,0,13,1300,9,1271,2,10,2,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,187,411
26009000020,MI,009,20,2254,9,2198,0,26,2,0,0,19,1746,7,1710,0,16,2,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,286,339
26009000030,MI,009,30,546,3,503,5,12,0,6,0,17,391,3,360,4,9,0,3,0,12,NA,NA,NA,NA,NA,NA,NA,NA,1,1,67,82
26009000040,MI,009,40,988,5,954,0,5,2,4,0,18,756,3,737,0,5,0,3,0,8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,87,119
26009000050,MI,009,50,928,2,903,1,9,0,0,0,13,686,1,675,1,4,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,133,134
26009000060,MI,009,60,2741,52,2639,5,22,7,4,1,11,2135,29,2076,4,18,1,2,0,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,341,412
26009000070,MI,009,70,1858,14,1809,3,7,8,0,2,15,1455,7,1422,2,7,3,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,1,1,237,322
26009000080,MI,009,80,878,3,852,1,8,4,0,0,10,732,2,714,1,5,4,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,180,165
26009000090,MI,009,90,875,10,831,0,16,0,6,0,12,637,6,612,0,11,0,3,0,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,105,68
26009000100,MI,009,100,1764,28,1697,5,10,1,0,0,23,1334,15,1293,5,9,0,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,1,1,207,207
26009000110,MI,009,110,4100,61,3913,8,53,1,2,1,61,2892,42,2783,6,32,1,2,1,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,353,368
26009000120,MI,009,120,2072,33,1986,1,39,4,0,0,9,1618,22,1562,1,26,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,215,307
26009000130,MI,009,130,745,7,725,0,9,0,0,0,4,566,3,554,0,5,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,66,97
26009000140,MI,009,140,1159,29,1106,9,2,1,0,0,12,949,17,918,2,2,1,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,141,184
26009000150,MI,009,150,389,3,365,1,5,0,0,0,15,281,2,266,1,3,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,46,48
26009ZZZZZZ,MI,009,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
26011000010,MI,011,10,550,3,535,0,7,1,0,0,4,381,1,372,0,6,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,70,71
