GEOID,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PRECCAS,G16USSRTHU,G16USSDWIL,G16PUCRNEL,G16PUCDRED,G16HALRNOE,G16HALDHAW
460039736001118,0.5,0.2,0,0,0.5,0.2,0.6,0.2,0.5,0.3
460039736001148,0,0,0,0,0,0,0,0,0,0
460039736004103,0,0,0,0,0,0,0,0,0,0
460039736004114,2.5,0.9,0.2,0.1,2.7,0.9,3.1,0.5,2.2,1.3
460039736004154,0,0,0,0,0,0,0,0,0,0
460039736004130,1.5,0.5,0.1,0,1.6,0.5,1.8,0.3,1.3,0.8
460039736004156,0,0,0,0,0,0,0,0,0,0
460039736001180,2.8,0.7,0.1,0,3,0.7,3.2,0.5,2.7,1
460039736001216,0,0,0,0,0,0,0,0,0,0
460039736001174,1.7,0.4,0.1,0,1.8,0.4,1.9,0.3,1.6,0.6
460039736001177,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736002048,2,0.9,0.2,0,2.4,0.8,2.6,0.5,1.9,1.2
460039736002020,1.6,0.7,0.2,0,1.9,0.6,2.1,0.4,1.6,1
460039736002067,0,0,0,0,0,0,0,0,0,0
460039736002066,0,0,0,0,0,0,0,0,0,0
460039736002065,0,0,0,0,0,0,0,0,0,0
460039736002118,3.8,1.8,0.3,0,4,1.8,4.5,1.3,3.8,2.2
460039736002109,0,0,0,0,0,0,0,0,0,0
460039736002107,0,0,0,0,0,0,0,0,0,0
460039736003025,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736003026,2,0.4,0.1,0,2,0.5,2.4,0.2,1.8,0.8
460039736003047,2.6,0.5,0.2,0.1,2.6,0.7,3.2,0.2,2.3,1.1
460039736003070,5.9,1.1,0.3,0.1,6,1.6,7.1,0.5,5.3,2.5
460039736001029,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736001084,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736003020,2.6,0.5,0.2,0.1,2.6,0.7,3.2,0.2,2.3,1.1
460039736003027,0,0,0,0,0,0,0,0,0,0
460039736003028,0,0,0,0,0,0,0,0,0,0
460039736003045,2.6,0.5,0.2,0.1,2.6,0.7,3.2,0.2,2.3,1.1
460039736001020,1.5,0.5,0.1,0,1.6,0.5,1.8,0.3,1.3,0.8
460039736001028,0,0,0,0,0,0,0,0,0,0
460039736001018,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736001077,0,0,0,0,0,0,0,0,0,0
460039736001079,0,0,0,0,0,0,0,0,0,0
460039736003079,3.9,1,0.2,0.1,4.3,1,4.5,0.7,3.8,1.4
460039736003093,2.2,0.6,0.1,0,2.4,0.6,2.6,0.4,2.2,0.8
460039736003098,5.5,1.5,0.3,0.1,6.1,1.4,6.5,1,5.5,2
460039736003102,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003071,0,0,0,0,0,0,0,0,0,0
460039736003106,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736004133,0,0,0,0,0,0,0,0,0,0
460039736004167,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004173,0,0,0,0,0,0,0,0,0,0
460039736004037,0,0,0,0,0,0,0,0,0,0
460039736004081,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004199,0,0,0,0,0,0,0,0,0,0
460039736004029,1.5,0.5,0.1,0,1.6,0.5,1.8,0.3,1.3,0.8
460039736004066,0,0,0,0,0,0,0,0,0,0
460039736004076,3.9,1.4,0.3,0.1,4.3,1.5,4.9,0.8,3.6,2.2
460039736004194,9.4,3.3,0.6,0.2,10.1,3.5,11.7,2,8.5,5.1
460039736004040,0,0,0,0,0,0,0,0,0,0
460039736004004,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004185,0,0,0,0,0,0,0,0,0,0
460039736003122,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003111,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003125,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003126,3.3,0.9,0.2,0.1,3.6,0.9,3.9,0.6,3.3,1.2
460039736001003,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736003041,3.9,1,0.2,0.1,4.3,1,4.5,0.7,3.8,1.4
460039736003011,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003063,1.7,0.4,0.1,0,1.8,0.4,1.9,0.3,1.6,0.6
460039736003038,0,0,0,0,0,0,0,0,0,0
460039736004085,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736001115,0,0,0,0,0,0,0,0,0,0
460039736001119,1.9,0.9,0.2,0,2,0.9,2.2,0.6,1.9,1.1
460039736001129,0,0,0,0,0,0,0,0,0,0
460039736001168,0,0,0,0,0,0,0,0,0,0
460039736001213,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736001242,0,0,0,0,0,0,0,0,0,0
460039736001175,1.7,0.4,0.1,0,1.8,0.4,1.9,0.3,1.6,0.6
460039736001236,0,0,0,0,0,0,0,0,0,0
460039736001234,1.5,0.5,0.1,0,1.6,0.5,1.8,0.3,1.3,0.8
460039736001197,0,0,0,0,0,0,0,0,0,0
460039736001146,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001149,0,0,0,0,0,0,0,0,0,0
460039736001150,0,0,0,0,0,0,0,0,0,0
460039736001151,0,0,0,0,0,0,0,0,0,0
460039736001153,0,0,0,0,0,0,0,0,0,0
460039736003078,1.1,0.3,0.1,0,1.2,0.3,1.3,0.2,1.1,0.4
460039736003107,0,0,0,0,0,0,0,0,0,0
460039736003148,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736003158,2.6,0.5,0.2,0.1,2.6,0.7,3.2,0.2,2.3,1.1
460039736003173,0,0,0,0,0,0,0,0,0,0
460039736003177,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736003183,2.6,0.5,0.2,0.1,2.6,0.7,3.2,0.2,2.3,1.1
460039736004134,0,0,0,0,0,0,0,0,0,0
460039736004145,1.5,0.5,0.1,0,1.6,0.5,1.8,0.3,1.3,0.8
460039736004146,0,0,0,0,0,0,0,0,0,0
460039736004082,0,0,0,0,0,0,0,0,0,0
460039736004060,11.3,3.9,0.7,0.2,12.3,4.2,14.1,2.4,10.2,6.2
460039736004068,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004022,3,1,0.2,0.1,3.2,1.1,3.7,0.6,2.7,1.6
460039736004028,2,0.7,0.1,0,2.1,0.7,2.5,0.4,1.8,1.1
460039736004024,3,1,0.2,0.1,3.2,1.1,3.7,0.6,2.7,1.6
460039736004030,4.4,1.5,0.3,0.1,4.8,1.6,5.5,0.9,4,2.4
460039736004021,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736004195,2,0.7,0.1,0,2.1,0.7,2.5,0.4,1.8,1.1
460039736003159,0.7,0.1,0,0,0.7,0.2,0.8,0.1,0.6,0.3
460039736003147,0,0,0,0,0,0,0,0,0,0
460039736003144,1.3,0.3,0.1,0,1.3,0.3,1.6,0.1,1.2,0.5
460039736004164,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736004163,0,0,0,0,0,0,0,0,0,0
460039736004147,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736004178,0.5,0.2,0,0,0.5,0.2,0.6,0.1,0.4,0.3
460039736004025,3.4,1.2,0.2,0.1,3.7,1.3,4.3,0.7,3.1,1.9
460039736004064,3.9,1.4,0.3,0.1,4.3,1.5,4.9,0.8,3.6,2.2
460039736004070,2.5,0.9,0.2,0.1,2.7,0.9,3.1,0.5,2.2,1.3
460039736004013,0,0,0,0,0,0,0,0,0,0
460039736004046,5.9,2.1,0.4,0.1,6.4,2.2,7.4,1.2,5.3,3.2
460039736004042,0,0,0,0,0,0,0,0,0,0
460039736004083,0,0,0,0,0,0,0,0,0,0
460039736004005,1,0.3,0.1,0,1.1,0.4,1.2,0.2,0.9,0.5
460039736001052,0.9,0.4,0.1,0,1,0.5,1.1,0.3,0.9,0.5
460039736001000,0.5,0.2,0,0,0.5,0.2,0.6,0.2,0.5,0.3
460039736001061,0,0,0,0,0,0,0,0,0,0
460039736001014,0.5,0.2,0,0,0.5,0.2,0.6,0.2,0.5,0.3
460039736001037,0,0,0,0,0,0,0,0,0,0
460039736001036,0,0,0,0,0,0,0,0,0,0
460039736001068,1.4,0.7,0.1,0,1.5,0.7,1.7,0.5,1.4,0.8
