GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPOL,G18GOVRSTA,G18GOVLHEL,G18GOVOHAM,G18ATGDWEI,G18ATGRBRA,G18ATGLROB,G18SOSDGRI,G18SOSRWIL,G18SOSCCAM,G18SOSOHUB,G18TREDYOU,G18TRERWAT,G18TRECKIL,G18RGTDSMI,G18RGTRMON,G18RGTLTRE,G18RGTOOTW
08001001032,08,001,001032,466,271,31,9,448,281,35,446,284,30,7,468,260,28,443,259,33,9
08001001033,08,001,001033,654.66,395.52,30.03,17.01,609.63,419.54,47.04,630.65,415.53,25.01,9,637.64,393.52,34.01,605.61,365.51,49.04,15.01
08001001034,08,001,001034,503,314,24,22,490,325,37,509,317,28,3,496,316,36,477,305,29,20
08001001035,08,001,001035,320,183,23,6,301,194,23,317,175,20,6,314,173,32,306,164,23,11
08001001036,08,001,001036,293.66,240.86,32,16.95,276.53,272.15,30.1,313.69,236.97,20.66,5.24,301.26,250.01,19.7,290.83,238.38,19.96,9.81
08001001037,08,001,001037,360.9,207.87,32.29,16.94,359.32,223.2,27.71,370.85,200.69,38.69,7.18,370.07,201.87,38.3,359.1,202.28,24.13,16.15
08001001038,08,001,001038,494.6,265.51,28.27,11.24,462.4,285.06,34.16,494.6,276.37,17.39,5.11,480.2,278.89,24.99,451.34,264.47,37.43,12.06
08001001039,08,001,001039,245.97,155.21,16.04,9.43,237.17,161.9,16.6,245.49,153.59,17.04,1.84,242.06,153.58,18.2,233.23,148.55,13.69,8.93
08001001040,08,001,001040,561.61,399.32,43.06,25.55,538.46,426.83,49.47,558.2,406.1,40.88,8.23,559.74,410.1,38.7,538.59,383.82,39.43,19.14
08001001041,08,001,001041,389.97,192.78,26.41,5.28,374.13,213.03,22.01,395.25,195.43,14.08,5.28,395.25,193.67,22.89,372.37,193.67,25.53,4.4
08001001042,08,001,001042,390,199,19,8,378,206,28,395,189,27,2,383,194,29,363,188,35,9
08001001043,08,001,001043,464,355,20,7,440,384,17,464,359,4,5,452,361,17,416,355,25,7
08001001044,08,001,001044,473,243,20,6,431,269,27,451,264,14,2,454,254,21,428,237,19,8
08001001045,08,001,001045,342.98,274.39,14.49,7.09,326.53,289.43,18.37,340.15,282.4,7.03,1.05,336.82,278.28,7.34,316.36,270.57,18.43,5.3
08001001046,08,001,001046,280.97,303.44,10.3,2.81,255.68,322.17,9.37,267.85,320.3,1.87,0.94,277.22,302.51,6.56,251,305.32,10.3,5.62
08001001047,08,001,001047,525.39,406.65,18.18,9.09,480.16,439.85,20.23,492.34,437.77,13.08,3.01,500.32,417.69,16.09,467.04,393.61,36.23,12.07
08001001048,08,001,001048,434.47,365.96,13.13,2.36,385.82,405.75,12.32,396.68,397.85,7.25,0.07,403.6,387.44,7.41,370.84,360.18,22.35,6.31
08001001049,08,001,001049,621.84,442.16,25.71,10.73,567.34,482.39,28.75,593.44,466.19,15.39,3.41,580.61,465.86,24.35,551.93,413.98,32.95,13.91
08001001050,08,001,001050,380.08,295.1,15.68,5.54,354.23,311.73,18.43,370.76,302.57,10.16,0.01,363.44,303.48,10.13,342.19,296.97,15.71,5.52
08001001051,08,001,001051,643,526.62,42.66,12.31,604.53,562.45,45.54,649.72,514.75,44.28,6.84,638.19,520.85,51.48,594.58,499.02,53.02,24.13
08001001052,08,001,001052,663.73,393.06,45.1,20.64,645.92,421.6,47.14,671.89,397.18,34.41,10,668.42,398.5,38.5,651.93,365.01,42.45,24.03
08001001053,08,001,001053,475.91,420.99,19.17,10.41,454.44,439.4,26.62,476.27,417.63,23.27,2.37,483.84,407.25,23.32,443.49,392.32,26.41,9.8
08001001054,08,001,001054,301.93,217.56,12.64,4.75,278.25,235.71,11.87,280.66,238.02,9.5,1.58,283.83,236.42,5.57,261.68,223.79,17.39,1.6
08001001055,08,001,001055,360.9,328.26,18.77,2.5,329.57,350.53,11.45,350.06,328.77,10.64,3.93,351.84,323.32,9.95,324.14,307.89,17.22,1.46
08001001056,08,001,001056,539.63,387.78,46.1,8.14,511.61,397.72,54.23,524.27,410.37,27.12,0,521.56,402.24,31.64,489.02,376.93,52.43,7.23
08001001057,08,001,001057,466.05,301.49,8.11,3.03,431.84,320.59,17.16,438.85,311.64,7.07,5.01,429.85,315.55,14.11,422.66,295.4,17.24,5.05
08001001058,08,001,001058,617.11,255.22,23.93,3.99,575.24,266.19,35.89,570.26,285.13,16.95,1.99,574.24,264.19,24.92,538.35,239.27,46.86,6.98
08001001059,08,001,001059,776.73,561.2,35.04,9.55,720.44,591.42,43.59,736.26,592.41,20.94,7.41,722.73,585.42,33.91,674.28,538.96,63.98,15.96
08001001060,08,001,001060,181.72,175.9,13.15,0.54,169.97,177.85,16.61,172.26,180.7,9.19,2.69,166.09,183.48,12.25,156.05,173.98,16.17,3.11
08001001061,08,001,001061,562.98,376.23,29.98,8.35,541.78,393.34,34.58,553.99,385.86,20.15,9.7,564.04,374.84,26.69,518.88,361.01,33.45,10.54
08001001062,08,001,001062,454.44,450.53,19.54,3.73,423.3,452.46,28.72,439.37,449.66,10.25,9.16,430.26,455.74,18.7,416.09,415.12,32.36,11.18
08001001063,08,001,001063,574.92,463.59,27.82,7.54,545.71,472.85,34.74,545.42,469.45,17.86,9.88,537.26,476.89,25.67,525.5,442.31,36.09,8.43
08001001064,08,001,001064,461.03,248.31,35.59,7.12,449.96,249.89,35.59,461.82,243.56,22.14,8.7,447.59,254.63,26.1,434.93,228.54,37.17,11.07
08001001065,08,001,001065,500.52,298.92,28.8,7.94,473.7,317.79,31.78,479.66,326.73,11.92,6.95,473.7,321.76,26.81,458.81,294.95,42.7,11.92
08001001066,08,001,001066,113.48,90.08,4.2,1.06,105.3,89.21,10.22,105.34,88.27,7.08,2.05,105.3,87.24,8.19,107.19,82.05,9.3,5.08
08001001067,08,001,001067,231,202,14,6,219,205,13,229,190,15,5,222,201,15,217,174,25,9
08001001068,08,001,001068,551,375,19,9,510,389,35,525,385,17,8,517,378,28,497,348,31,16
08001001069,08,001,001069,428.69,493.49,22.93,5.98,386.82,515.43,18.94,400.78,508.45,12.96,3.99,386.82,514.43,14.95,369.87,479.54,39.88,5.98
08001001070,08,001,001070,347.92,402.06,17.05,6.01,326.83,410.1,21.04,336.86,392.09,19.03,2.01,339.83,391.1,22.03,291.79,381.03,32.09,9.01
08001001071,08,001,001071,282.9,321.5,12.86,6.92,255.2,320.51,24.73,283.89,306.67,11.87,1.98,269.06,311.6,12.86,250.27,274.03,37.58,11.87
08001001072,08,001,001072,172.79,208.95,9.92,3.38,158.31,212.65,14.24,174.98,206.23,4.74,1.14,175.44,201.39,7.71,163.52,192.72,13.54,4.59
08001001073,08,001,001073,606.22,629.58,25.41,9.77,568.1,652.71,31.34,611.35,612.78,19.47,3.87,599.48,615.43,18.79,576,575.38,36.38,14.59
08001001074,08,001,001074,366.09,439.7,20.61,9.81,344.5,437.74,28.46,368.06,431.85,16.69,0.98,339.59,429.89,27.48,324.87,409.28,30.43,11.78
08001001075,08,001,001075,193,224,14,2,184,224,15,199,217,10,2,181,223,19,196,201,9,5
08001001076,08,001,001076,492.05,389.04,22,14,459.05,411.05,31,470.05,400.04,14,10,465.05,396.05,21,446.05,362.04,37,12
08001001077,08,001,001077,341,292,19,4,311,310,25,339,294,16,2,314,309,18,312,276,20,13
08001001078,08,001,001078,202,193,21,4,197,198,18,192,205,11,4,192,206,13,188,190,21,2
08001001079,08,001,001079,315,333,16,3,279,357,16,303,327,14,5,291,335,20,280,317,28,4
08001001080,08,001,001080,364.72,373.97,32.4,3.7,336.02,402.67,23.14,367.49,374.9,10.18,3.7,348.98,381.38,21.29,337.87,352.68,28.7,6.48
08001001081,08,001,001081,491.18,391.55,20.17,7.46,470.97,402.17,19.01,491.57,384.29,13.14,1.71,477.25,386.73,18.95,462.21,355.68,23.12,9.6
08001001082,08,001,001082,406,336,15,14,383,362,17,397,346,12,4,398,339,18,381,319,22,11
08001001083,08,001,001083,398.11,338.48,17.43,12.84,377.01,353.16,23.85,399.94,334.81,14.68,4.59,401.77,333.89,13.76,366.92,325.64,20.18,11.92
08001001084,08,001,001084,256,280,12,4,233,290,14,244,291,6,1,245,284,10,229,259,22,6
08001001085,08,001,001085,516.51,466.33,30.84,9.37,484.21,473.98,34.84,509.6,463.64,24.33,1.69,492.51,460.96,30.57,460.04,430.94,35.84,17.65
08001001086,08,001,001086,391.88,397.72,27.23,6.81,360.77,426.89,24.31,383.13,410.36,17.5,3.89,377.3,409.39,23.34,355.9,382.16,35.98,14.59
08001001087,08,001,001087,450.93,255.12,33.79,14.02,435.77,258.13,46.55,458.81,245.12,25.41,6.23,441.57,255.37,35.38,424.38,233.73,44.65,13.19
08001001088,08,001,001088,516.33,433.49,23.01,9.2,472.15,464.79,32.21,494.24,457.42,16.57,4.6,518.17,432.57,14.73,475.83,406.8,34.97,13.81
08001001089,08,001,001089,490.64,350.6,37.71,16.23,455.06,395.25,38.13,491.13,364.7,22.64,8.23,498.28,350.34,29.97,450.9,347.33,44.68,12.48
08001001090,08,001,001090,699.56,317.44,56.26,25.46,679.36,341.51,62.21,710.06,326.6,35.5,14.72,703.07,328.82,52.68,679.69,293.04,50.89,32.81
08001001091,08,001,001091,92.03,47.6,7.25,3.63,92.71,47.6,6.57,95.43,46.24,5.44,1.59,93.16,47.83,7.25,90.21,43.75,5.21,5.44
08001001092,08,001,001092,536.55,436.27,40.54,16.28,513.73,453.31,48.34,543.71,427.81,38.92,3.55,529.9,432.33,45.59,502.83,402.95,45.88,21.87
08001001093,08,001,001093,484.29,380.3,29.71,17.83,467.45,390.21,39.61,487.26,377.33,28.72,5.94,474.39,373.37,44.57,450.62,371.39,39.61,11.88
08001001094,08,001,001094,446.48,399.95,36.43,12.83,437.58,411.77,31.56,460.23,397.98,26.61,6.89,450.37,393.06,37.47,431.63,367.53,45.3,11.82
08001001095,08,001,001095,450.58,383.44,33.04,21.02,441.58,390.43,41.05,463.61,360.42,39.02,8.02,459.6,360.43,48.03,452.57,352.4,30.05,18.02
08001001096,08,001,001096,370,321,36,22,358,337,44,401,310,25,12,399,306,38,376,293,38,15
08001001097,08,001,001097,408.27,353,35.08,15.05,390.23,370.02,36.1,427.28,340.99,28.08,8.02,412.25,334.98,48.12,402.18,317.98,39.1,14.03
08001001098,08,001,001098,340.3,251.9,25.82,13.3,330.13,262.86,32.86,350.47,239.39,26.6,5.48,334.05,248.77,33.64,330.92,235.47,30.51,6.26
08001001099,08,001,001099,281.35,213.79,17.58,10.18,283.2,211.01,22.21,294.31,201.76,12.03,9.25,290.6,208.24,13.88,274.87,193.43,23.14,8.33
08001001100,08,001,001100,522.48,321.72,33.5,12.59,488.11,339.3,42.65,524.37,319.97,20.17,8.44,515.77,320.79,38.43,466.93,319.95,34.43,18.62
08001001101,08,001,001101,514,262,44,11,505,279,36,518,285,14,7,516,285,16,487,263,37,16
08001001102,08,001,001102,433.52,308.28,39.5,15.41,423.89,323.7,43.35,430.63,315.03,30.83,11.56,441.23,310.21,37.57,419.07,288.05,37.57,16.38
08001001103,08,001,001103,195,122,11,3,180,126,16,194,124,8,2,187,129,12,180,122,13,5
08001001104,08,001,001104,395.66,284.32,35.79,3.98,381.74,293.27,28.83,394.67,289.29,17.89,4.97,389.7,288.3,24.85,372.8,268.41,35.79,9.94
08001001105,08,001,001105,86.14,48.99,5.93,5.08,88.04,54.03,5.44,89.35,48.79,7.53,0.82,88.69,50.5,6.83,83.43,47.07,4.46,6.77
08001001106,08,001,001106,658,350,38,10,637,370,35,654,365,26,5,651,366,30,626,330,51,15
08001001107,08,001,001107,528.86,358.22,30.14,16.07,515.95,373.35,25.65,539.58,355.22,26.58,3.39,545.47,348.22,25.26,514.34,329.81,19.86,20.96
08001001108,08,001,001108,488.1,314.34,15.96,12.65,478.57,312.87,27.12,492.14,292.65,35.42,2.1,493.11,289.72,31.98,469.73,286.75,37.48,11.77
08001001109,08,001,001109,497.71,298.44,38.71,8.02,478.83,313.26,32.87,501.7,298.25,25.03,4.96,497.75,288.33,34.89,465.9,288.31,41.86,5.04
08001001110,08,001,001110,365,202,13,11,348,202,28,363,203,16,2,362,197,21,339,200,20,7
08001001111,08,001,001111,481.32,268.11,23.33,14.34,443.44,295.63,32.6,466.77,278.3,27.33,4.45,470.67,277.95,25.06,448.62,262.32,24.87,20.99
08001001112,08,001,001112,436.25,149.31,27.5,18.97,438.12,160.67,26.59,448.6,141.71,24.67,8.53,452.37,140.77,34.12,424.86,133.2,24.67,23.69
08001001113,08,001,001113,491.88,275.66,29.94,22.64,487.97,282.07,38.87,511.28,264.41,29.83,7.3,510.43,264.37,34.18,478.49,261.1,29.83,21.83
08001001114,08,001,001114,416.05,184.78,25.65,4.42,405.48,196.23,23.75,420.18,185.51,15.7,6.12,413.51,188.38,25.56,410.52,175.23,23.84,8.29
08001001115,08,001,001115,424,209,25,11,396,232,37,432,202,23,9,423,211,32,410,197,30,10
08001001116,08,001,001116,206.3,130.44,17.28,6.42,192.78,140.44,20.84,209,129.46,11.95,3.66,214.37,122.34,16.47,212.45,115.13,13.7,4.6
08001001117,08,001,001117,719.68,310.45,39.23,14.53,682.61,330.8,46.44,715.67,296.6,48.89,5.61,731.12,289.57,36,685.79,287.36,47.26,16.12
08001001118,08,001,001118,328.48,180.8,18.8,13.43,319.52,193.33,19.69,328.48,172.74,25.06,5.37,332.95,172.74,25.96,322.21,171.85,18.8,8.95
08001001119,08,001,001119,461.58,226.25,38.15,21.06,459.39,232.29,43.26,486.42,210.33,35.16,4.06,485.37,214.28,37.18,461.24,202.14,35.21,19.14
08001001120,08,001,001120,497.92,222.41,23.89,16.88,484.07,245.12,20.98,505.9,215.45,24.86,8.9,494.06,219.4,31.77,481.1,198.61,27.83,14.91
08001001121,08,001,001121,388.31,229.36,24.17,11.16,376.26,231.22,35.3,386.51,229.32,23.24,4.64,384.66,226.55,25.1,366.07,214.48,26.95,16.72
08001001122,08,001,001122,400.46,168.21,26.87,17.09,391.92,185.48,28.83,414.59,159.94,25.05,6.11,412.99,163.83,22.05,392.06,155.95,27.49,12.52
08001001123,08,001,001123,497.62,229.12,43.92,15.28,494.76,235.28,44.96,519.29,224.93,30.65,5.84,519.89,215.44,42.67,510.93,202.6,30.73,17.34
08001001124,08,001,001124,517.19,201.05,31,15,522.18,198.05,36,546.18,179.06,26,6,528.18,190.05,35,519.17,181.05,34.01,13
08001001125,08,001,001125,340,146,26,18,349,155,19,353,144,25,4,362,142,20,353,137,16,14
08001001126,08,001,001126,510.54,269.83,50.47,24.27,509.57,281.47,49.5,555.18,242.65,42.71,4.85,540.63,252.36,49.5,531.89,233.92,33.97,18.44
08001001127,08,001,001127,311.05,140.02,33.01,16.73,313.16,141.74,32.94,323.36,135.91,22.57,6.16,321.52,137.11,30.9,309.73,130.36,27.26,11.42
08001001128,08,001,001128,558.42,223.56,29.91,14.47,547.86,238.95,24.15,578.72,214.84,23.17,4.82,581.55,210.06,25.11,555.6,213.85,22.18,10.62
08001001129,08,001,001129,532.76,290.58,25.06,12.58,526.71,281.93,42.6,546.94,274.66,27.9,10.97,547.37,267.17,37.6,541.27,260.07,32.43,11.15
08001001130,08,001,001130,114.32,90.05,11.15,6.27,108.96,95.34,10.88,115.26,96,8.8,0.22,108.26,94.07,14.85,114.67,83.88,5.93,5.34
08001001131,08,001,001131,240.32,140.41,23.73,9.28,245.99,137.35,23.08,254.11,130.63,15.52,8.12,253.53,134.94,16.92,245.7,130.4,21.49,9.15
08001001132,08,001,001132,446.25,227.56,22.95,13.23,427.76,242.53,25.59,450.68,219.61,22.94,4.42,459.49,216.1,20.29,429.52,209.93,28.23,9.71
08001001133,08,001,001133,465.38,304.29,35.8,17.9,433.35,323.13,44.28,460.67,304.29,26.38,6.59,458.79,304.29,37.68,439.95,280.74,31.09,16.02
08001001134,08,001,001134,510.34,395.68,33.21,13.02,493.26,399.73,47.17,503.33,386.71,41.11,6.03,496.3,389.7,48.15,486.2,356.59,47.21,20.06
08001001135,08,001,001135,517.8,421.02,46.89,14.97,500.84,441.97,43.9,530.77,406.06,40.91,11.97,522.79,414.04,46.89,507.82,388.1,55.87,14.97
08001001136,08,001,001136,232.77,221.83,17.63,7.29,221.23,229.74,19.45,246.75,208.46,12.76,4.25,241.28,213.33,13.37,224.87,197.52,20.06,10.33
08001001137,08,001,001137,538.87,458.33,27.81,14.38,505.31,484.22,33.56,538.87,450.66,23.97,8.63,531.2,451.62,36.44,495.73,448.74,38.35,7.67
08001001138,08,001,001138,301.12,292.26,22.58,11.54,281.49,298.45,33.71,311.89,285.02,14.35,5.26,293.32,291.4,20.89,272.85,279.14,30.85,8.52
08001001139,08,001,001139,76.81,82.97,3.2,3.02,68.93,88.83,7.12,74.06,84.79,2.15,3.9,72.93,83.91,7.97,79.39,77.03,2.33,2.99
08001001140,08,001,001140,229.05,153.82,23.48,1.97,207.52,169.46,13.73,212.54,161.54,17.6,1,213.51,159.54,18.64,197.81,155.55,16.65,4.9
08001001141,08,001,001141,379,267,12,9,365,261,26,384,257,12,1,372,256,14,365,240,18,7
08001001142,08,001,001142,282.77,399.56,28.16,10.64,264.2,410.3,20.46,288.71,396.44,14.6,4.87,278.13,396.3,22.48,256.65,383.51,24.27,7.78
08001001143,08,001,001143,294.13,222.61,14.3,7.15,277.14,238.7,16.09,289.66,226.18,15.2,3.58,271.78,227.08,22.35,261.94,215.45,22.35,11.62
08001001144,08,001,001144,521.56,426.61,37.41,12.17,508.35,429.31,39.3,520.31,419.49,31.26,4.26,525.21,408.2,40.64,485.05,403.84,45.51,11.72
08001001145,08,001,001145,535.61,392.06,33.67,12.38,513.42,409.37,35.75,543.2,384.16,29.79,3.18,525.87,393.23,33,491.03,364.23,38.63,15.74
08001001146,08,001,001146,632.02,475.73,54.26,22.13,598.6,492.13,66.31,646.31,463.38,36.6,15.93,638.26,464.89,47.35,596.93,439.9,52.69,29.14
08001001147,08,001,001147,665.07,490.96,37.21,14.87,620.11,507.77,52.01,660.21,472.98,38.62,8.41,649.16,481.89,44.48,616.27,437.48,57.27,20.3
08001001148,08,001,001148,353.23,261.82,37.63,5.14,337.98,279.97,30.85,356.01,271.72,17.14,5.99,342.68,275.66,25.21,334.52,252.78,29.12,11.15
08001001149,08,001,001149,361.49,366.67,24.16,8.63,340.79,377.02,24.16,368.4,362.36,14.67,4.31,361.49,358.04,22.43,345.96,339.06,24.16,10.35
08001001150,08,001,001150,615.04,515.65,39.28,10.52,585.98,531.5,45.77,621.37,513.19,26.8,6.68,611.81,506.59,40.11,581.15,480.46,41.41,18.26
08001001151,08,001,001151,572.07,481.63,30.49,23.67,537.25,503.61,43.92,578.5,479.45,28.7,5.43,546.89,504.03,24.55,525.95,456.38,35.61,13.15
08001001152,08,001,001152,412,377,26,15,382,384,40,412,364,31,8,402,361,35,375,352,40,14
08001001153,08,001,001153,253.08,290.38,12.23,6.61,239.8,295.16,14.16,264.23,276.39,8.5,1.89,249.23,280.15,14.12,228.61,265.96,19.77,5.66
08001001154,08,001,001154,22.77,37.11,1.95,1.24,20.41,39.96,1.63,23.81,37,1.4,0.2,22.57,37.8,1.71,20.89,35.68,2.6,0.32
08001001155,08,001,001155,151.92,140.62,7.77,6.39,133.2,151.84,13.84,144.77,144.61,8.5,2.11,140.77,146.85,8.88,136.39,130.04,13.23,5.34
08001001156,08,001,001156,279.6,287.36,9.15,1.4,266.61,283.85,9.71,280.81,281.45,7.33,1.7,272.85,282.89,14.01,255.14,282.34,8.99,4.31
08001001157,08,001,001157,372.58,322.44,19.6,7.28,357.71,322.53,19.73,374.58,320.25,12.23,3.14,368.17,306.12,19.6,359.44,288.15,24.78,4.5
08001001158,08,001,001158,236.75,218.13,9.68,4.47,222.6,219.62,11.91,236.75,215.16,3.72,2.23,230.05,212.92,9.68,218.13,197.29,12.66,8.19
08001001159,08,001,001159,671.55,652.75,34.18,13.05,619.1,682.33,42.18,653.19,660.2,18.09,8.05,648.1,660.2,30.23,620.06,607.84,55.27,26.09
08001001160,08,001,001160,98.92,187.8,3.96,1.03,89.24,200.15,4.02,91.34,197.23,2.03,0.96,89.23,197.22,4.96,88.16,189.45,5.94,1.99
08001001161,08,001,001161,25.82,64.88,5.61,1.86,25.78,65.8,4.71,28.63,63.92,3.75,0.93,27.7,64.84,3.75,23.03,62.94,5.62,0.01
08001001162,08,001,001162,260,524,16,7,253,521,17,259,512,18,4,246,521,18,236,495,20,6
08001001163,08,001,001163,146.97,273.71,15.87,6.95,130.12,284.61,20.84,152.93,262.79,10.93,2.98,140.03,274.69,16.87,125.17,264.78,20.83,3.98
08001001164,08,001,001164,113.98,233.85,17.69,0,103.17,240.73,15.72,108.08,233.85,15.72,0,115.94,216.16,19.65,104.15,221.08,15.72,1.97
08001001165,08,001,001165,592.03,796.18,15.32,6,552.84,823.3,16.28,573.93,794.18,8.28,2,566.07,791.86,15.35,532.86,751.95,28.28,5.03
08001001166,08,001,001166,114.46,274.88,12.02,2.01,109.44,277.88,10.03,119.47,269.88,4.01,3,117.46,266.87,7.03,108.42,252.8,14.04,3.01
08001001167,08,001,001167,156.55,304.14,7.98,3.99,149.57,302.15,11.97,160.54,301.15,4.99,1,158.55,300.15,9.97,145.58,276.22,14.96,2.99
08001001168,08,001,001168,210.93,239.44,13,1.05,201.86,239.59,18.98,217.96,231.47,10.01,1.99,218.9,229.52,11.01,209.88,216.47,16.04,2.99
08001001169,08,001,001169,290.18,411.22,28.04,12.29,275.94,408.8,37.86,295.24,402.52,26.46,6.71,286.09,398.54,40.08,280.49,380.66,25.52,18.61
08001001170,08,001,001170,503.75,309.27,27.83,29.41,492.36,318.68,42.9,521.4,290.84,40.59,8.13,502.22,304.83,44.79,501.26,295.39,23.97,23.32
08001001171,08,001,001171,465.28,426.02,37.3,19.63,452.52,442.71,39.26,497.68,407.37,27.49,5.89,493.75,401.48,35.34,449.58,382.83,42.21,15.71
08001001172,08,001,001172,70,70,6,3,71,70,6,76,66,4,2,71,69,8,77,64,4,2
08001001173,08,001,001173,26,41,0,3,24,43,1,27,42,0,0,25,41,2,24,41,1,0
08001001174,08,001,001174,127.23,245.29,4.87,6.27,116.59,247.69,7.94,132.52,234.79,8.84,0.1,126.89,234.06,13.97,114.52,224.53,11.81,5.3
08001001175,08,001,001175,390.77,489.71,36.13,11.73,363.41,506.31,39.06,403.48,468.21,35.16,3.9,377.11,478.94,41.03,360.48,456.47,34.19,12.7
08001001176,08,001,001176,142,216,2,2,116,230,8,130,216,10,2,135,206,12,129,205,6,4
08001001177,08,001,001177,25.56,32.92,1.73,0.43,22.53,32.06,1.73,25.12,32.06,0.87,0.43,20.79,34.65,1.73,22.96,29.02,2.17,1.73
08001001178,08,001,001178,4.7,6.05,0.32,0.08,4.14,5.89,0.32,4.62,5.89,0.16,0.08,3.82,6.37,0.32,4.22,5.33,0.4,0.32
