GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREUWES,G20PREOOTH,G20USSDHIC,G20USSRGAR,G20USSLDOA,G20USSODOY,G20USSOEVA,G20USSOWRI
08013013803,08,013,013803,832.18,94.15,9.97,3.07,0,3.95,0.12,817.12,103.44,10.99,0.04,0,0
08013013804,08,013,013804,864.47,163.78,6.31,5.27,0,0.93,5.26,849.99,183.2,8.22,1.78,0.06,0.02
08013013805,08,013,013805,374.31,64.77,2.95,0,0,0.98,2.94,366.44,75.56,2.95,0,1.96,0
08013013806,08,013,013806,927.22,154.88,13.95,3.71,0,0.94,1.9,908.55,178.22,13.02,2.78,3.74,0
08013013807,08,013,013807,1028.43,119.1,8.09,9.29,0,2.07,4.15,1022.98,131.92,7.02,3.22,1.29,0
08013013808,08,013,013808,1885.42,178.25,12.76,8.76,3.88,4.32,2.88,1860.51,189.6,23.39,1,4.76,2
08013013809,08,013,013809,592.83,48.79,2.24,2.24,1.12,1.68,1.12,582.73,59.45,5.61,0,2.24,0
08013013810,08,013,013810,864.51,109.12,8.04,0.03,0,1,1.01,841.33,127.48,7.03,0,2.99,0
08013013811,08,013,013811,1082,156,11,0,1,1,1,1046,192,10,0,0,0
08013013812,08,013,013812,981.75,119.44,10.42,3.79,1.9,1.9,4.74,949.55,152.6,17.06,1.9,1.9,0
08013013813,08,013,013813,771.9,184.77,10.58,5.17,1.13,2.05,5.26,786.43,184.11,9.58,2.19,1.12,0
08013013814,08,013,013814,927.55,75.31,12.39,0.95,0,0,2.86,898,95.33,17.16,1.91,0.95,0
08013013815,08,013,013815,640.49,65.57,12.35,0.95,0.95,0,0,627.19,73.17,19.01,0.95,0,0
08013013816,08,013,013816,969,100,13,4,0,4,3,956,108,21,0,4,0
08013013817,08,013,013817,657.91,95.68,3.95,1.97,0,0,0.99,642.13,124.28,2.96,0,0,0
08013013818,08,013,013818,901,80,4,5,0,1,3,899,88,4,1,3,0
08013013819,08,013,013819,752,68,6,5,2,0,3,734,84,13,0,1,0
08013013820,08,013,013820,592,65,3,2,1,1,2,586,72,8,0,2,0
08013013821,08,013,013821,895,66,16,5,1,2,4,884,72,21,1,4,0
08013013822,08,013,013822,469.56,69.18,5.94,3.84,1.75,2.1,2.8,466.07,65.68,13.28,1.05,3.14,0
08013013823,08,013,013823,1971.12,281.05,17.31,10.92,4.39,6.2,10.91,1935.49,290.27,43.93,3.23,11.15,0
08013013824,08,013,013824,893,103,7,5,0,0,5,880,111,13,3,3,0
08013013825,08,013,013825,536,57,4,1,1,2,1,532,60,4,1,1,0
08013013826,08,013,013826,739,61,3,1,0,2,2,739,63,6,0,0,0
08013013827,08,013,013827,742,65,11,6,0,1,4,724,77,13,0,1,0
08013013828,08,013,013828,583.97,59.1,2.01,5.01,2,3,1,575.95,68.11,6.02,1,1,0
08013013829,08,013,013829,506.15,49.8,7.24,2.72,0,0.91,1.81,492.57,58.85,11.77,0.91,1.81,0
08013013830,08,013,013830,539.96,58.82,8.7,8.26,0,0.09,3.18,523.64,67.69,12.14,2.09,4.18,0
08013013831,08,013,013831,590.92,50.29,8.04,6.02,0,4.01,0.01,566.84,63.34,13.07,1.01,3.01,0
08013013832,08,013,013832,262,26,4,1,0,1,2,246,37,4,1,2,0
08013013833,08,013,013833,429,60,5,4,1,2,2,414,77,2,0,2,0
08013013834,08,013,013834,231,69,7,3,0,1,1,211,71,7,2,1,0
08013013835,08,013,013835,171.75,21.86,5.05,1.02,0,1.02,2.02,160.58,26.92,6.12,0,1.02,0
08013013836,08,013,013836,364.76,54.53,3.22,1.06,0,0.95,1,354.22,58.44,7.94,0.03,0.95,0
08013013837,08,013,013837,614.71,88.74,17.05,5.5,0,1.23,3.17,596.28,96.52,22.35,1.23,1.23,0
08013013838,08,013,013838,304.06,32.61,2.79,3.62,0.9,0.9,3.62,286.98,45.19,9.02,1.81,0.94,0
08013013839,08,013,013839,485.22,61.61,5.78,0.96,0,0.96,0.96,469.81,79.91,3.85,0,1.93,0
08013013840,08,013,013840,444.15,60.39,5.84,2.92,0,0,0,436.36,68.18,6.82,0,0,0
08013013841,08,013,013841,557.65,86.77,4.87,1.95,0,0,0.97,536.2,110.16,7.8,0,0,0
08013013842,08,013,013842,1046.99,163.27,17.07,2.51,0,4.28,4.15,1034.93,183.43,14.68,0.99,3.97,0
08013013843,08,013,013843,1087,118,13,3,1,1,4,1056,150,13,3,1,0
08013013844,08,013,013844,568.18,63.91,9.12,0.06,0.01,1.01,0.06,569.98,62.08,11.12,0.03,1.05,0
08013013845,08,013,013845,623.33,60.86,11.78,6.87,0.98,0.98,6.87,604.68,73.62,12.76,2.94,4.91,0
08013013846,08,013,013846,622.85,114.28,3.49,4.36,0,1.74,1.74,596.68,114.28,13.09,1.74,1.74,0
08013013847,08,013,013847,541.81,99.09,9.08,2.52,0,3.04,2.52,506.07,113.68,15.63,2.52,2,0
08013013848,08,013,013848,594.31,53.67,7,4.24,0,2.37,2.24,587.22,62.6,10.4,0.18,1.05,0
08013013849,08,013,013849,76.03,17.23,1.19,0.3,0,0.59,0.3,72.17,18.71,2.08,0.3,0,0
08013013850,08,013,013850,500.29,106.47,4.71,0.94,0,0,0.94,488.04,124.37,1.88,0,0.94,0
08013013851,08,013,013851,856.76,114.16,12.01,5,0,0,1,845.74,124.19,11,0,1,0
08013013852,08,013,013852,836.86,114.35,11.68,3.11,0,1.83,1.28,824.77,131.44,10.18,0,0.44,0
08013013853,08,013,013853,548.81,72.55,4.27,3.41,0,0.85,2.56,527.47,88.77,10.24,0,2.56,0
08013013854,08,013,013854,832.05,70.59,12.58,8.16,0.23,2,3.82,825.57,79.65,18.51,0.23,2.58,1
08013013855,08,013,013855,568.17,63.18,4.36,8.72,1.74,0,6.11,564.66,71.06,11.35,1.75,4.37,0
08013013856,08,013,013856,406.14,35.1,3.04,0.07,0.77,0.75,0.8,400.84,38.92,2.35,0.01,0.79,0
08013013857,08,013,013857,607.95,106.74,8.6,4.32,0,1.75,0.13,595.72,118.28,11.29,0.04,0.98,0
08013013858,08,013,013858,837.57,80.46,6,3,1,1,5.01,820.54,102.5,5.02,0,2.01,0
08013013859,08,013,013859,746.65,62.97,4,0,0,1,2,723.66,85.96,4,0,1,0
08013013860,08,013,013860,563,62,8,4,0,1,2,557,78,4,0,1,0
08013013861,08,013,013861,624.16,60.8,4.77,4,1.19,0.19,3.19,612.82,81.76,4.57,0,0.19,0
08013013862,08,013,013862,599,46,2,1,0,0,0,584,59,2,1,0,0
08013013863,08,013,013863,570.93,64.2,8.78,1.76,0.88,0.88,0.88,554.23,87.03,3.52,0.88,1.76,0
08013013864,08,013,013864,601.86,66.77,3.76,1.4,0.13,2.21,1.21,600.57,68.41,2.49,1.03,1.15,0
08013013865,08,013,013865,534,50,9,0,0,0,1,515,61,9,0,1,0
08013013866,08,013,013866,577.89,43.75,4.95,0,0,1.65,2.48,566.33,56.14,5.78,0.83,0,0
08013013867,08,013,013867,624.92,48.81,5.74,7.66,0.96,2.87,2.87,616.31,63.16,4.79,0,0.96,0
08013013868,08,013,013868,742.73,75.55,6.87,2.94,0.98,0.98,0.98,729,92.23,4.91,0.98,0.98,0
08013013869,08,013,013869,667.73,62.37,7.75,3.09,1.09,3.53,0.88,654.43,82.05,5.19,0.17,1.27,0
08013013870,08,013,013870,547,44,4,4,0,3,4,538,49,11,3,2,0
08013013871,08,013,013871,563.39,52.87,7.29,0.91,0.91,1.82,3.65,544.24,63.81,10.03,0,2.73,0
08013013872,08,013,013872,462,85,9,1,0,1,0,441,95,6,1,3,0
08013013873,08,013,013873,323.7,43.55,1.7,1.7,0,0.02,0.06,316.87,47.96,4.28,0.02,0.9,0
08013013874,08,013,013874,717.41,81.69,1.79,1.79,0,0.05,1.89,696.26,103.92,4.55,0.05,0.16,0
08013013875,08,013,013875,257,56,3,1,0,0,0,238,65,8,1,2,0
08013013876,08,013,013876,325,87,4,0,0,0,0,291,100,6,0,0,0
08013013877,08,013,013877,535,50,7,2,0,2,2,517,72,2,1,1,0
08013013878,08,013,013878,492,67,2,2,0,2,1,478,71,4,0,2,0
08013013879,08,013,013879,480,48,4,3,0,3,2,466,64,4,0,0,0
08013013880,08,013,013880,518,113,2,5,0,2,0,484,124,7,2,3,0
08013013881,08,013,013881,500.14,94.33,3,5,0,0,0.01,499.12,95.36,5.01,0,1.01,0
08013013882,08,013,013882,571,62,4,0,0,1,2,561,75,4,0,1,0
08013013883,08,013,013883,821.67,57.93,7.02,4.53,0,1.27,2,806.32,79,5.13,0.13,0.26,0
08013013884,08,013,013884,695,56,7,1,0,0,2,685,66,8,0,2,0
08013013885,08,013,013885,535.27,45.26,1.97,1.97,0,3.94,0,529.37,55.1,4.92,0,1.97,0
08013013886,08,013,013886,672,75,7,2,0,0,0,653,97,2,0,0,0
08013013887,08,013,013887,824.57,106.3,8.94,0,0.99,0,3.97,799.74,134.12,7.95,0,0,0
08013013888,08,013,013888,702.4,105.24,4.02,4,0,3,1,692.38,128.28,1.01,0,0,0
08013013900,08,013,013900,302.41,44.36,1.48,1.48,0,0.74,0,299.46,47.32,0.74,1.48,0,0
08013013901,08,013,013901,436.24,196.55,12.03,3.03,2.02,2.01,0.01,428.22,209.55,9.05,1.01,0.01,0
08013013902,08,013,013902,235.38,56.47,4.58,0.37,0.05,0.05,0.05,230.52,60.95,4.86,0.05,0.15,0
08013013903,08,013,013903,1373.59,253.67,36.6,13.41,0.94,0.97,0.99,1359.88,270.76,39.68,0.97,3.88,0.01
08013013904,08,013,013904,472.33,56,6.85,1.34,1.06,1.02,0.01,465.78,61.4,5.63,0,3.01,0.01
08013013905,08,013,013905,214.7,56.7,4.1,0.14,0.11,1.02,0.04,205.76,66.52,4.21,0.04,0.04,0
08013013906,08,013,013906,719.28,154.25,4.85,2.44,0.12,1.53,3.01,703.68,173.41,8.14,1.01,3.08,0
08013013908,08,013,013908,735.04,141.95,10.7,2.92,0,0,1.94,718.51,152.65,15.56,0,0.97,0.97
08013013909,08,013,013909,511.16,45.35,7.38,2.19,1,0.08,1.02,509.65,53.69,7.46,0.04,1.09,0.01
08013013910,08,013,013910,507.91,105.31,5.94,3.33,0,1.66,0.17,500.47,110.43,6.77,0.88,1.75,0
08013013911,08,013,013911,741.89,124.57,7.97,1.02,0.01,1.05,0.03,728.81,145.6,7.03,0,0.03,0
08013013912,08,013,013912,891.82,185.13,10.95,1.99,1.99,2.99,2.99,872.91,205.04,13.93,1.99,2.99,0
08013013913,08,013,013913,510.04,130.22,8.06,0.02,0.01,1.02,2.02,483.98,158.29,9.11,0.01,1.02,0
08013013914,08,013,013914,470.23,88.51,9.89,3.01,0,1.02,3.89,467.1,92.54,8.94,1.97,2.96,0
08013013915,08,013,013915,265.36,93.65,3.18,2.85,0.95,0.95,1.9,265.89,94.06,10.78,0,0.95,0
08013013916,08,013,013916,291.27,159.48,8.16,1.08,0.02,0.03,2.06,288.07,163.68,9.37,1.01,0.04,0
08013013917,08,013,013917,999.01,290.55,17.35,3.1,0.04,2.05,4.07,966.24,321.54,25.39,1.99,3.02,0
08013013918,08,013,013918,819.61,251.44,19.49,1.95,0.97,1.95,1.95,818.64,262.16,13.64,0,0.97,0
08014014001,08,014,014001,841.58,394.64,13.89,4.09,2.45,4.9,5.72,795.82,426.51,26.96,4.09,3.27,0
08014014002,08,014,014002,1486.13,502.66,50.66,2.98,1.99,8.94,6.95,1404.67,562.26,48.68,6.95,5.96,0
08014014003,08,014,014003,1190.09,388.18,35.87,2.06,0.06,3.02,3.17,1140.14,430.49,33.95,2.02,1.09,0
08014014004,08,014,014004,977.71,507.25,22.87,4.97,1.99,4.97,6.96,929.97,548.03,25.86,0,5.97,0
08014014005,08,014,014005,56.98,22.08,0.1,0.02,0.01,1.02,0.03,52.79,25.24,1.11,0,0.02,0
08014014006,08,014,014006,1736.03,600.41,60.11,9.94,3.35,7.94,15.23,1633.21,678.23,71.93,3.94,6.94,0
08014014007,08,014,014007,540.68,223.59,19.06,7.01,1.02,2.01,3.04,508.65,253.62,14.09,2.01,3.01,0
08014014008,08,014,014008,383,214,8,3,1,0,4,369,224,8,5,1,0
08014014009,08,014,014009,490,275,13,1,2,0,4,482,275,14,1,0,0
08014014010,08,014,014010,626,407,15,2,2,6,4,582,458,12,3,2,0
08014014011,08,014,014011,637.94,375.96,27,1,2,0,13,609.94,401.96,19,2,2,0
08014014012,08,014,014012,660.01,441.01,11,1,4,1,4,626.01,474.01,13,2,1,0
08014014013,08,014,014013,461.71,208.77,13.64,2.4,1.62,1.61,4.82,440.84,226.46,14.43,0.81,2.41,0
08014014014,08,014,014014,299.36,178.04,6.83,1.05,2.63,1.05,4.73,296.21,181.19,9.98,1.05,1.05,0
08014014015,08,014,014015,623,419,10,6,2,0,9,600,444,10,4,2,0
08014014016,08,014,014016,577,464,15,0,1,1,2,530,525,3,1,1,0
08014014017,08,014,014017,812.27,626.19,25,2,4,6,3,753.26,705.21,10,1,1,0
08014014018,08,014,014018,498,265,16,1,2,1,8,484,284,13,4,0,0
08014014019,08,014,014019,728,393,24,6,3,3,7,674,439,28,7,6,0
08014014020,08,014,014020,502,344,14,4,1,1,2,497,342,21,1,2,0
08014014021,08,014,014021,998.61,507.64,27.74,5.55,1.85,4.62,8.32,951.45,546.48,28.66,2.77,7.4,0
08014014022,08,014,014022,758.72,440.13,12.74,1.96,3.92,0.98,5.88,712.64,482.28,10.78,1.96,1.96,0
08014014023,08,014,014023,729.58,406.47,12.27,1.45,0.15,5.38,2.68,673.73,459.64,7.34,3.23,4.6,0
08014014024,08,014,014024,1183.9,729.31,39.55,1.03,3.03,6.04,4.07,1111.81,816.64,21.21,3.02,3.05,0
08014014025,08,014,014025,1118.21,643.34,34.48,1.97,1.97,2.96,3.94,1049.25,728.07,12.81,0.99,2.96,0
08014014026,08,014,014026,964.15,575.65,19.74,1.55,1.44,1.33,2.66,916.22,635.55,8.28,0.12,1.44,0
08014014027,08,014,014027,903.34,493.69,26.48,2.05,3.09,4.02,2.16,853.07,536.83,26.46,2.05,4.05,0
08014014028,08,014,014028,244,186,6,1,2,0,2,237,171,16,5,3,0
08014014029,08,014,014029,688,445,17,5,3,3,6,645,484,26,2,3,0
08014014030,08,014,014030,570,402,18,3,0,6,9,541,413,31,2,6,0
08014014031,08,014,014031,537,373,21,3,2,0,5,508,401,18,2,3,0
08014014032,08,014,014032,1291.19,751.36,37.92,1,4.99,0,6.98,1228.32,823.21,23.95,2.99,1,0
08014014033,08,014,014033,1025.3,541.5,22.07,3,1.01,1.01,5.01,957.16,609.65,20.05,1.01,6,0
08014014034,08,014,014034,230,368,7,0,2,2,1,198,406,3,0,0,0
08014014035,08,014,014035,1171.12,587.75,10.87,1.68,1.67,0.84,1.67,1099.25,663.82,3.35,0,1.67,0
08014014036,08,014,014036,1671.81,1035.75,38.64,4.05,1.01,9.02,18.98,1536.88,1176.1,33.37,0.07,2.09,0
08014014037,08,014,014037,560.64,398.74,12.91,3.43,0.87,2.57,5.15,532.42,425.33,13.74,0.01,0.01,0
08015015001,08,015,015001,606.17,652.35,23.09,1.92,1.92,1.92,4.81,563.83,702.38,24.05,1.92,0.96,0
08015015002,08,015,015002,730.82,994.75,26.99,5,2,5,6,697.83,1021.75,29.99,5,4,0
08015015003,08,015,015003,959.57,1083.54,45.53,13.02,3.05,3.05,13.1,925.46,1115.87,45.56,8.03,4.02,0
08015015004,08,015,015004,424.57,603,8.26,1.02,0.02,0.02,5.05,404.11,619.55,8.27,3.02,0.01,0
08015015005,08,015,015005,835.79,850.56,18.16,1.06,5.03,1,4.03,803.56,860.71,29.25,2.01,2.01,0
08015015006,08,015,015006,861.02,746.43,17.43,6.43,2.73,2.8,6.43,851.06,736.32,33.75,1.92,1.84,0
08015015007,08,015,015007,901.42,477.5,17.03,6.01,3,0.05,3.06,877.61,491.11,26.17,1.02,1.02,0
08015015008,08,015,015008,977.34,334.72,16.88,4.97,0.99,2.98,9.93,962.44,326.77,16.88,1.99,5.96,0
08015015009,08,015,015009,860.78,476.31,15.5,6.53,1.25,5.18,6.55,859.67,466.61,17.96,7.07,2.17,0
08017017001,08,017,017001,8,110,0,0,1,1,0,11,105,0,0,0,0
08017017002,08,017,017002,39,280,3,0,0,1,0,33,283,5,2,2,0
08017017003,08,017,017003,31.47,330.47,2.95,0,0,0.98,0,28.52,331.45,0.98,0,0,0
08017017004,08,017,017004,41.95,222.54,0.05,0,2,0.02,0,39.75,222.67,1.02,0,0,0
08017017005,08,017,017005,10.58,49.99,0,0,0,0,0,6.73,52.88,0,0,0,0
08019019001,08,019,019001,563,326,17,8,3,1,5,549,332,21,3,3,0
08019019002,08,019,019002,167,140,11,2,1,2,4,171,140,7,4,1,0
08019019003,08,019,019003,275.06,245.55,4.73,0.96,0.19,1.19,4.73,273.95,238.59,13.5,1.38,0.38,0
08019019004,08,019,019004,438.45,352.55,14.84,2.97,0.01,0.99,2.98,408.82,363.41,20.79,3.97,2.97,0
08019019005,08,019,019005,319.39,249.12,7.4,4.06,0.81,0.82,7.3,310.3,245.17,10.66,1.64,1.64,0
08019019006,08,019,019006,260.08,161.19,13.84,0,0,1.98,3.96,258.1,169.1,9.89,0.99,0.99,0
08019019007,08,019,019007,625.39,515.48,19.13,5,2,1.02,3.04,596.37,558.56,13.09,0.01,0.01,0
08019019008,08,019,019008,402,293,5,0,3,0,0,384,301,7,0,1,0
08019019009,08,019,019009,552,470,20,0,0,1,3,541,486,18,0,1,0
08021021001,08,021,021001,281,83,6,0,4,1,2,285,79,3,1,0,0
08021021002,08,021,021002,206.32,238.57,2.02,1,3,0.01,1.03,197.41,240.51,3.01,3.01,3,0
08021021003,08,021,021003,196.85,165.21,5.01,2.97,1,0.02,2.03,195.97,160.17,3.98,0.04,1,0
08021021004,08,021,021004,268.01,114.81,3.96,0,0,1.98,5.93,284.81,103.94,1.98,1.98,0.99,0
08021021005,08,021,021005,204.81,225.41,7.01,0.03,2.99,0.99,1.01,202.81,221.39,2.03,4.97,0.01,0
08021021006,08,021,021006,212,378,1,1,2,2,3,210,388,3,2,1,0
08021021007,08,021,021007,124.07,161.58,0,0.96,0,0,0.96,122.15,152.92,0.96,1.92,0,0
08021021008,08,021,021008,154.93,491.42,3,2.04,2,3,1.04,165.85,483.08,2.04,0.08,1,0
08021021009,08,021,021009,140,237,4,1,0,0,1,141,221,2,2,2,0
08021021010,08,021,021010,171,191,2,0,0,1,2,170,193,2,1,0,0
08023023001,08,023,023001,157,33,0,2,2,0,1,153,30,4,3,0,0
08023023002,08,023,023002,161,48,1,0,0,0,2,162,46,2,1,1,0
08023023003,08,023,023003,111.5,37.17,0,0,0.98,0,0,114.43,33.25,0,0,2.93,0
08023023004,08,023,023004,185.5,54.83,0,0,0.02,0,2,189.57,48.75,3,1,0.07,0
08023023005,08,023,023005,85,80,2,0,1,1,1,97,72,3,1,1,0
08023023006,08,023,023006,70,28,1,0,0,0,1,68,25,2,2,0,0
08023023007,08,023,023007,342.92,269.88,8.01,2,0.02,1.01,2,334.9,266.89,18.04,0.02,3,0
08023023008,08,023,023008,198.08,190.12,2.99,0,3.98,2.99,1,194.1,191.11,7.96,3.98,1,0
08025025001,08,025,025001,97.04,261.32,5.76,0,0,0,0,96.07,257.48,4.8,1.92,2.88,0
08025025002,08,025,025002,67.01,217.02,5,0,2,3,3,70.01,211.02,7,4,1,0
08025025003,08,025,025003,71,174,2,0,1,1,1,74,167,3,3,0,0
08025025004,08,025,025004,56,211,5,0,0,1,2,61,203,7,1,0,0
08025025005,08,025,025005,73.9,201.74,1,0,0,1,3,72.91,199.74,7.99,2,2,0
08025025006,08,025,025006,68.09,195.24,3,0,0,2,0,78.09,181.24,6.01,0,1,0
08027027001,08,027,027001,548.66,1256.01,16.75,1.02,3.95,0,4.92,524.93,1238.32,37.41,5.91,4.93,0
08027027002,08,027,027002,124.79,311.45,2.26,1.99,1.05,0,0.09,113.54,312.13,3.6,1.09,1.07,0
08027027003,08,027,027003,438.89,906.83,10,2,0,0,5,420.9,905.83,21,3,1,0
08029029001,08,029,029001,166.31,911.84,7.04,1.02,2.86,1.93,1.97,164.79,905.49,10.16,4.88,2.86,0
08029029002,08,029,029002,135.11,512.76,9.19,1.76,1.02,0.99,2.09,123.03,517.78,15.37,3.84,1.03,0
08029029003,08,029,029003,200.21,424.52,8.92,0.01,1.01,3.95,1,205.13,413.63,13.86,4.96,0.02,0
08029029004,08,029,029004,294.17,672.24,23.99,1,2.01,2.99,4,279.15,669.26,26.99,9.99,3,0
08029029005,08,029,029005,233.85,480.55,12.82,0.01,2.96,0,1.99,218.14,486.4,12.88,2.98,1,0
08029029006,08,029,029006,233.07,655.12,9.47,0.92,2.82,0.94,1.89,222.73,647.8,19.62,6.52,3.69,0
08029029007,08,029,029007,234.6,767.97,4,0.99,1.01,0.02,1.99,234.59,766.92,6.98,2.01,1.01,0
08029029008,08,029,029008,230.39,1081.69,17.24,1.33,1.31,5.13,3.02,226.64,1067.13,30.56,6.2,3.39,0
08029029009,08,029,029009,259.68,827.11,13.33,0.95,0.02,1.03,13.06,252.22,845.38,13.58,6.62,0.99,0
08029029010,08,029,029010,230.41,774.86,9.23,1,3.08,0.03,6.09,218.31,783.89,14.53,6.12,1,0
08029029011,08,029,029011,347,615,9,3,4,0,3,341,629,12,2,1,0
08029029012,08,029,029012,204,555,6,0,2,2,1,199,553,14,2,0,0
08029029013,08,029,029013,221.81,685.21,9.42,0.12,2.92,1.03,4.03,216.58,687.75,20.02,4.96,0.08,0
08029029014,08,029,029014,350.89,740.89,9.05,3.01,1,3,3.01,338.87,761.93,8.05,0.01,3,0
08029029015,08,029,029015,377.53,799.03,20.15,2.88,0.99,1.92,4.82,367.89,814.35,21.25,3.88,1.91,0
08029029016,08,029,029016,302.17,667.24,12.91,4.93,2.94,1.97,9.83,312.81,659.53,18.84,2.01,1.98,0
08029029017,08,029,029017,302.32,607.58,6.06,3.01,0.04,0.03,4.05,299.51,601.64,14.93,2.96,1.98,0
08029029018,08,029,029018,500.46,555.13,7.89,6.84,1,3.89,1.07,493.79,550.21,10.86,0.99,3.89,1.94
08029029019,08,029,029019,494.46,286.41,13.23,8.21,0.03,0.13,3.03,492.25,286.25,11.33,3.03,0.13,0.06
08029029020,08,029,029020,568.54,460.85,9.05,4.03,0.99,0.99,2.06,557.56,470.67,12.19,3.03,2.02,0
08031031101,08,031,031101,962,219,10,6,2,5,7,971,201,18,10,5,0
08031031102,08,031,031102,909,285,12,4,2,1,7,917,274,17,8,5,0
08031031103,08,031,031103,886,274,14,7,1,3,8,883,268,21,10,9,0
08031031104,08,031,031104,685,212,13,3,0,3,5,682,201,14,4,5,0
08031031105,08,031,031105,937,338,17,5,6,6,7,930,358,12,10,3,0
08031031106,08,031,031106,1020.51,283.86,15.99,4,2,10,8,1013.51,295.86,27.99,3,4,0
08031031107,08,031,031107,959.72,388.06,25.8,3.97,0,3.97,12.9,955.75,395,20.84,5.95,11.91,0
08031031108,08,031,031108,1061,357,25,1,1,5,4,1045,356,22,8,6,0
08031031109,08,031,031109,550,235,13,0,3,4,5,576,209,12,5,3,0
08031031110,08,031,031110,895,330,18,2,4,3,12,883,348,20,6,6,0
08031031111,08,031,031111,1099,346,17,6,0,6,6,1113,335,20,7,5,0
08031031112,08,031,031112,679.86,353.16,16.22,3.06,0,1.06,13.06,661.33,369.67,22.24,3.08,4.02,0
08031031113,08,031,031113,619,294,12,0,2,1,5,610,305,8,4,3,0
08031031114,08,031,031114,701.64,323.26,14.01,3.74,2.8,2.8,10.28,676.42,348.49,15.88,3.74,4.67,0
08031031115,08,031,031115,268,124,7,0,1,0,3,256,142,1,2,1,0
08031031116,08,031,031116,697,365,13,3,0,1,3,684,382,11,6,5,0
08031031117,08,031,031117,714,307,18,0,2,3,5,690,327,20,4,1,0
08031031118,08,031,031118,801.1,250,22.78,6.05,1.12,1.4,7.33,806.99,236.48,19.56,9.24,3.27,0
08031031119,08,031,031119,787,285,13,8,4,10,5,798,293,21,8,3,0
08031031120,08,031,031120,875.93,397.72,22.02,3.11,2.11,5.88,6.46,840.94,422.3,28.75,7.89,7.93,0
08031031121,08,031,031121,734.17,319.97,20.61,2.94,1.96,3.93,5.89,729.26,319.97,18.65,5.89,5.89,0
08031031122,08,031,031122,743.86,447.14,11.54,3.1,2.13,1.12,8.43,721.08,475.73,7.41,4.43,1.29,0
08031031123,08,031,031123,593.24,500.02,10.5,1.9,0.02,3.83,4.77,564.93,533.09,9.52,3.81,0.04,0
08031031124,08,031,031124,593.82,468.85,23.99,2,3,2,6,584.82,488.85,17.99,2,1,1
08031031125,08,031,031125,686.73,483.55,20.02,3,1,2,1.01,668.73,490.57,27.02,5,2,0
08031031126,08,031,031126,795.7,466.35,25.67,3.8,0.01,0.96,3.81,782.34,486.35,25.69,0.01,0.96,0
08031031127,08,031,031127,932.43,534.41,16.21,2,6.99,3.99,6.99,901.53,564.31,27.19,3.99,4.99,0
08031031128,08,031,031128,444.19,343.04,9.68,0,0.88,2.64,1.76,423.08,367.66,9.68,2.64,0,0
08031031129,08,031,031129,440,330,6,2,1,0,3,420,355,8,2,1,0
08031031130,08,031,031130,648,374,9,5,3,1,5,622,382,21,8,3,0
08031031131,08,031,031131,682.35,415.52,21.29,5.03,3.09,3.03,8.15,672.17,437.02,18.32,2.12,8.03,0
08031031132,08,031,031132,720.24,571.29,17.04,0.02,0.1,2.29,2.2,689.86,621.99,13.08,0.3,0,0
08031031201,08,031,031201,1482,201,26,6,0,7,4,1436,245,23,4,6,0
08031031202,08,031,031202,981,139,14,7,0,5,5,950,162,23,4,3,0
08031031203,08,031,031203,800,92,3,6,0,2,2,786,98,7,2,4,0
08031031204,08,031,031204,1245,109,15,11,2,8,15,1214,135,25,3,16,0
08031031205,08,031,031205,1109,100,14,8,0,2,12,1085,119,26,4,4,1
08031031206,08,031,031206,1379,141,16,4,1,4,5,1322,177,31,4,4,0
08031031207,08,031,031207,1049,139,15,6,0,4,9,1037,146,19,3,10,0
08031031208,08,031,031208,1078,73,16,14,0,3,3,1077,88,13,1,1,0
08031031209,08,031,031209,943,111,17,5,2,3,7,925,136,18,1,4,0
08031031210,08,031,031210,1064,87,15,7,0,0,5,1039,116,18,0,4,0
08031031211,08,031,031211,908,74,12,2,0,0,5,873,95,18,2,3,0
08031031212,08,031,031212,1117,154,15,5,0,1,3,1091,173,17,0,4,0
08031031213,08,031,031213,831,78,12,9,0,1,2,829,83,13,4,6,0
08031031214,08,031,031214,867,121,11,10,0,2,1,856,136,12,3,5,0
08031031215,08,031,031215,1292,148,16,6,0,3,8,1269,181,12,3,1,0
08031031216,08,031,031216,1205,125,29,5,0,1,4,1186,156,23,2,0,0
08031031217,08,031,031217,986,139,16,1,0,2,7,961,171,12,4,2,0
08031031218,08,031,031218,1687,186,22,16,0,6,7,1626,251,27,0,9,1
08031031219,08,031,031219,1691,363,34,7,2,4,4,1618,437,35,2,1,0
08031031220,08,031,031220,1638,171,34,13,1,3,9,1606,227,28,3,2,0
08031031221,08,031,031221,1433,169,20,4,1,4,3,1409,207,15,2,6,0
08031031222,08,031,031222,825,112,12,6,0,1,2,816,125,10,0,5,0
08031031223,08,031,031223,665,144,8,2,0,0,1,644,175,4,0,1,0
08031031224,08,031,031224,1336,225,18,2,1,4,4,1289,268,18,3,2,0
08031031225,08,031,031225,679,126,11,2,1,2,1,652,166,6,0,1,0
08031031226,08,031,031226,717,128,9,0,0,3,2,708,140,6,3,1,0
08031031227,08,031,031227,702,182,16,2,1,1,4,663,229,9,0,1,0
08031031228,08,031,031228,455,149,2,0,0,1,2,437,167,3,1,2,0
08031031229,08,031,031229,605,171,22,3,1,2,2,582,216,5,1,1,0
