GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,G20PRESKEN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSDSMI,G20USSRLEW,G20USSMOCO,G20USSCSTE,G20USSOWRI
27089000140,27,089,000140,25.07,132.95,0,0,0,0,0,0,0,0,35.04,110.98,7.01,0.01,0
27089000145,27,089,000145,18,55,0,0,0,0,0,0,1,0,21,49,4,1,0
27089000150,27,089,000150,58.64,92.9,3,1,0.02,0,0,1,0.02,0.02,68.74,75.7,5.1,3.02,0.02
27089000155,27,089,000155,6.49,37.08,0,0,0,0,0,0,0,0,10.2,29.66,2.78,0,0
27089000160,27,089,000160,5.99,12.98,0,0,0,0,0,0,0,0,5.99,12.98,0,0,0
27089000165,27,089,000165,30,43,0,0,0,0,0,0,0,0,33,38,0,0,0
27089000166,27,089,000166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27089000170,27,089,000170,24,59,0,0,1,0,0,0,0,1,24,51,3,2,1
27089000175,27,089,000175,58.18,133.89,2.01,0,0,0,0,1,0,0.01,56.22,124.8,6.05,3.02,0
27089000180,27,089,000180,19.82,97.11,0.99,0,0,0,0,0,0,0.99,23.78,87.2,4.95,1.98,0
27089000185,27,089,000185,25.02,79.11,1,0,1,1,0,0,0,0,32.03,71.1,2,1,0
27089000190,27,089,000190,40.61,116.99,5.8,0,0.97,0,0,0,0.97,0,41.58,109.26,8.7,0.97,0
27089000195,27,089,000195,20.12,59.59,0,0.1,0,0,0,0,0,0.95,26.22,50.04,1.15,1.05,0
27089000200,27,089,000200,27.88,68.41,0,0.9,0,0,0,0,0,0.05,31.78,58.96,1.85,0.95,0
27089000205,27,089,000205,5,18,2,0,1,0,0,0,0,0,9,13,0,2,0
27089000210,27,089,000210,16,50,1,0,0,0,0,0,2,0,26,41,0,0,0
27089000215,27,089,000215,3,15,0,0,0,0,0,0,0,0,3,13,1,1,0
27089000220,27,089,000220,31.36,93.1,0,0,0.98,0,0,0,0.98,0.98,36.26,83.3,4.9,0.98,0.98
27089000225,27,089,000225,103.51,221.66,0.98,0.98,0,0,0,0.98,0.98,0,117.18,193.34,11.72,4.88,0
27089000230,27,089,000230,14,30,0,0,0,0,0,0,0,1,13,24,5,3,0
27089000235,27,089,000235,14.5,48.34,0.02,0.02,0,0,0,0.02,0.02,0,18.82,39.66,3.28,1.12,0
27089000240,27,089,000240,12.01,12.02,0,0,0,0,0,0,0,0,13.01,11.02,0,0,0
27089000245,27,089,000245,23.75,42.55,0.85,0,0,0,0,0,1.49,0,27.59,38.57,1.29,0.12,0.11
