GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27037002950,27,037,002950,709,888,44,10,0,832,749,44,18,0,851,727,46,0,834,667,81,31,0,871,660,91,3
27037002960,27,037,002960,721.9,759.9,33,10,2,844.9,628.9,32,21,0,871.9,595.9,40,2,857.9,563.9,50,27,0,892.9,543.9,63,2
27037002970,27,037,002970,816.2,834.3,29.8,13.4,0,941.1,680.8,36.2,27.4,0,932.8,659.1,62.9,0,925.3,603.4,80.3,35.3,0,1003,580.9,78.8,5.1
27037002980,27,037,002980,682.2,769.3,25,10,3,797.3,642.2,27,18,0,810.3,606.2,49,1,800.2,573.2,54,31,1,824.3,559.2,77,7
27037002990,27,037,002990,754.8,859.7,19,10,1,858.7,730.8,27,13,1,851.7,694.8,57,1,845.8,649.8,59,25,1,910.7,625.8,61,5
27037003000,27,037,003000,773,912,29,7,0,919,765,22,18,0,922,713,60,1,916,660,60,37,1,954,648,73,7
27037003010,27,037,003010,844,1104,31,10,0,1026,906,39,17,0,1053,839,52,1,1031,775,78,38,2,1087,774,80,11
27037003020,27,037,003020,740,977,38,15,0,871,823,47,26,0,880,784,75,0,861,722,99,49,0,915,725,103,1
27037003030,27,037,003030,765,995,41,14,0,883,853,48,24,1,905,821,61,0,898,745,76,55,1,952,727,105,5
27037003040,27,037,003040,669,934,48,21,0,757,820,49,36,0,787,785,78,0,753,763,74,54,1,808,747,98,7
27037003050,27,037,003050,659,908,60,30,0,760,792,68,37,0,777,769,99,0,732,721,122,50,0,802,694,140,1
27037003060,27,037,003060,641.4,902.8,26.2,13.7,0,769.9,764.5,27.9,18.6,0.6,786.9,718.5,49.8,0.6,770.5,661.6,58,43.2,0,818,659.5,75.5,4.9
27037003070,27,037,003070,765,1059,70,18,2,898,924,67,20,1,905,894,87,1,841,823,144,63,2,923,821,141,2
27037003080,27,037,003080,521.2,733.6,21.3,11.1,0,625.7,621.2,22.7,15.1,0.4,639.4,583.9,40.4,0.4,626.1,537.7,47.1,35.1,0,664.8,535.9,61.3,4
27037003110,27,037,003110,201.5,469.6,2.1,1.1,0,255.4,407.4,1.3,6.6,0,259.2,384.7,18.2,0,265.8,377.2,10.9,5.1,0,271.8,364.2,22.3,1.9
27037003210,27,037,003210,332.1,273.2,13,2,0,369.2,220.2,23,6,0,375.2,209.2,29,0,367.2,209.1,27,8,0,373.2,195.1,41,0
27037003310,27,037,003310,31.6,66.6,4.9,0,0,35.9,62.3,6.8,0,0,31.1,65.1,5.9,0,34,52.3,13.7,3,0,36,55.1,12.8,0
27037003410,27,037,003410,523,1166,22,12,1,647,1034,33,10,1,648,1000,46,0,657,936,67,27,1,676,932,81,4
27037003420,27,037,003420,583.2,991.2,15.9,12.5,0,729.3,851.5,15.2,8.5,0,730.7,791.3,46.5,0.1,754.6,733,48.5,18.8,0,770.9,733.4,53.8,10.1
27037003430,27,037,003430,509.1,1127.7,19.9,10.4,0,623.1,1000.8,25.5,11.9,0.9,631.9,952.6,54.3,1.9,650.4,882.4,54.6,38.1,0,679.1,867.1,82.9,2
27037003440,27,037,003440,368.9,866.1,19.2,7.1,0,464.8,763.2,26.1,6.1,0,472.5,736.6,35.2,0,482.4,680.8,52.2,21.1,0,498.5,670.1,64,4
27037003450,27,037,003450,507.4,1015.5,18.2,13.6,0,633.3,878.8,20.6,14.1,0,629.5,836.2,55.5,1,650.7,783,51.5,22.3,0,670,777,71.6,5.2
27037003510,27,037,003510,28,34,2,2,0,34,28,3,1,0,36,28,2,0,32,27,3,3,0,36,25,5,0
27037003610,27,037,003610,19,9,3,0,0,20,9,1,0,0,21,9,0,0,20,8,1,0,0,20,8,1,0
27037003710,27,037,003710,261,311.3,13.8,3.4,0.9,324.8,237.5,14.4,10.9,0,327.7,219.6,31.6,0,314.8,214.4,31.3,17,0,324.7,219.5,34.1,0.3
27037003810,27,037,003810,142.5,461.7,4,0,0,180.7,420.3,3.2,0.8,0,188.7,401.2,15.1,0,193.4,388.5,12.7,5.6,0.8,202.2,377.3,19.9,0
27037003910,27,037,003910,107.9,98.6,3.7,1.9,0.9,116.3,81.9,5.6,5.6,1.9,120.9,72.6,13.9,0.9,112.6,74.4,13.9,6.5,0.9,119.1,74.4,13.9,0.9
27037004010,27,037,004010,225.7,183.1,7.3,2.1,0.1,252.3,155.9,3.4,3.4,0.1,256.6,141.2,14,0.1,243,142.3,14,9.5,0.1,265.5,120.4,21,1.1
27037004110,27,037,004110,548.8,659.1,18.9,8.9,1,647.9,544.1,24.5,13.3,0,647.6,523.5,44.4,1,631.6,491.2,57.4,26.5,3,657.5,478.6,74.7,4.9
27037004210,27,037,004210,872,1471,29,21,0,1087,1234,43,20,0,1097,1153,86,1,1081,1095,85,53,1,1157,1080,109,8
27037004220,27,037,004220,758.2,1040.2,38.6,11.6,1,877,918.5,29.9,16.4,1,915.6,850.9,58.9,1,881.8,824.8,71.5,35.7,1.9,948.4,796.8,76.3,3.9
27037004230,27,037,004230,832,1136,39,20,0,981,988,39,15,0,1014,945,51,0,1004,873,81,34,0,1040,871,82,5
27037004240,27,037,004240,436,754,37,14,0,511,656,54,15,0,527,627,70,0,488,598,88,38,1,537,582,101,3
27037004250,27,037,004250,487.8,676,20,6,0,557,594.9,25,11,0,572,563.8,42.1,0,556.9,534.7,57.1,19,0,595,517.7,59.1,1
27037004260,27,037,004260,477,752,25,12,0,544,675,31,10,0,558,637,54,0,540,604,63,29,0,581,571,91,1
27037004270,27,037,004270,732.9,1278.8,42,17,1,886.9,1116.8,46,19,2,902.9,1045.8,86,1,876.9,1004.9,92,49,0,949.9,976.9,108,7
27037004310,27,037,004310,120,125,8,1,0,146,100,7,2,0,155,82,12,0,152,82,9,6,0,150,78,21,0
27037004410,27,037,004410,564.4,1380.7,83.9,31,0,681.2,1245.8,102,19.1,4,677.1,1219,114.9,5,640.2,1112.9,187.9,56.9,3,723,1113,188.9,7
27037004420,27,037,004420,375,849,42,15,0,442,768,54,18,0,458,744,58,1,437,693,94,30,0,470,668,116,5
27037004430,27,037,004430,724.3,1496.5,105.4,29.1,1,844.8,1332.8,127.4,37.1,1,853.8,1324.8,130.5,5,829.8,1170.3,229.7,62.2,2,873.1,1196.2,221.8,8
27037004440,27,037,004440,127,378,23,9,0,139,340,31,20,1,142,339,41,1,144,304,48,22,1,163,300,63,1
27037004450,27,037,004450,750.4,1707.9,115.2,49,2,866.6,1568.6,121.2,55.1,3,889.6,1514.5,177.2,2,832.6,1395.4,245.3,86.1,3,945.8,1370.3,265.4,8
27037004510,27,037,004510,144.4,163.8,4.4,0.9,0,178.7,128.6,2.6,1.8,0,180.5,118.9,7,0,185.8,103.9,8.8,6.2,0,184.9,105.7,13.2,0.9
27037004610,27,037,004610,102,112,10,2,0,113,99,11,2,0,117,96,9,0,107,95,14,4,0,120,83,18,1
27037004710,27,037,004710,304.3,283.5,6,4,0,357.8,226,10.9,1,1,367.7,204.2,14.9,0,347.9,208.2,19.8,7.9,1,373.7,192.3,23.8,1
27037004810,27,037,004810,150.5,292.3,5,1,0,184.3,252.7,10.8,1.2,0,180.3,247.8,16.9,0,176.6,244.5,17.3,5.4,0.2,188.8,234.6,20.1,2
27037004910,27,037,004910,433.7,1218.8,66.5,21.8,0,512.1,1114.6,87.3,25.8,0,502.2,1105.7,88.3,0,486.3,1006.4,159.8,40.7,2,532,1011.4,165.8,3
27037004920,27,037,004920,228,640,28,10,0,265,596,29,10,0,273,570,44,1,263,538,64,21,0,296,539,56,2
27037004940,27,037,004940,530,1523,74,32,5,629,1410,92,28,3,627,1401,101,1,607,1281,173,62,0,683,1253,185,8
27037004950,27,037,004950,243,781,25,17,1,296,728,26,17,1,301,702,45,1,295,670,56,27,0,309,657,78,6
27037004970,27,037,004970,408,1074,42,20,0,499,975,46,13,1,512,941,62,1,498,869,101,36,1,532,861,104,9
27037004980,27,037,004980,639.1,1457.5,36.5,8.4,0.1,778.5,1298.9,53.1,9.9,0.1,766.2,1267.7,73.4,1,772,1200.4,87.8,33.6,2,822.5,1168.6,123.2,4.1
27039000005,27,039,000005,91.9,71.7,2.9,0,0,95.7,63.3,3.8,1.9,0,106.7,49.4,4.7,0,100.2,52.1,5.7,3.7,0,105.8,50.3,4.8,0
27039000007,27,039,000007,0.8,0.7,0,0,0,0.8,0.6,0,0,0,0.8,0.5,0,0,0.8,0.5,0,0,0,0.9,0.5,0.1,0
27039000010,27,039,000010,187,163.3,3.2,2.1,0,215.9,133.2,4.3,1.1,0,227.1,110.2,13.2,0,228,107.1,8.4,5.1,0,232.1,101.2,15.3,0
27039000015,27,039,000015,78.4,58.8,11.9,3,1,83.6,55.6,11.8,2,0,78.1,53.1,14.8,0,75.8,44.3,20.9,7.9,0,85.8,44.3,20.8,1
27039000020,27,039,000020,122.6,76.2,5.1,1,0,129.4,70.3,3.2,2,0,137.9,55.9,5.2,0,131.2,54.7,10.1,3.1,0,137.2,54.7,7.2,0
27039000025,27,039,000025,162,119,5,3,0,177,103,7,4,0,176,92,16,0,180,87,6,9,0,181,87,14,0
27039000030,27,039,000030,338.6,421.8,30.4,8.6,0,393.2,366.4,28.7,9.1,0,413.5,315.9,43.1,0,395.8,294.9,60.1,21.7,0,428.8,280.6,73.3,0
27039000032,27,039,000032,92.6,100.2,14.8,3.4,0,103.3,95.8,10.6,1.1,0,106.8,85.1,13.3,0,96.1,79.3,25.3,4.7,0,108.6,76.6,21,0
27039000035,27,039,000035,87,46,2,0,0,96,36,3,0,0,101,21,6,0,98,25,3,3,0,104,21,5,0
27039000040,27,039,000040,207,295.5,15.1,3,0,239.3,272.2,8.1,2,0,253.3,235,22.1,0,236.3,232,30.1,12,0,258.4,218.9,33.2,0
27039000045,27,039,000045,131,96.5,3.9,2,0,149.7,80.8,3.9,0,1,151.7,67,8.9,0,146.7,67,5.9,3,0,156.6,59.1,11.8,0
27039000050,27,039,000050,81.6,95.2,2.6,3.5,0,95.6,83.9,1.8,1.7,0.9,99.1,69.9,7.9,0,105.9,65.6,5.2,2.6,0,106.8,69.9,3.6,0
27039000051,27,039,000051,942.9,1000.7,44.4,15.8,1,1049.9,886.9,41.5,20.8,1,1092.4,768,104.8,2,1097.4,753.2,93.9,37.6,0,1133.9,731.4,105.8,5
27039000052,27,039,000052,221.9,243.6,24.6,11.9,0,238.7,219,33.5,10.9,0,256.7,206.1,29.1,1,249.8,184.4,45.5,17,0,259.8,192.2,47.7,0
27039000055,27,039,000055,276.8,264.9,14.7,6.9,0,308.3,233.4,9.8,9.8,1,316.2,194,33.4,0,313.2,196,27.5,14.8,0,324,190.1,36.4,1
27039000060,27,039,000060,519.9,484.6,9.4,7.8,0,575.5,426.3,13.1,7.7,0.2,595.4,361.8,38.5,0,598.4,352.9,29.3,19.8,0,609,349.4,40,2
27039000065,27,039,000065,213,163,7,4,0,228,148,7,2,0,238,122,20,0,236,121,19,3,0,243,118,20,0
27039000070,27,039,000070,55.9,21,5,0,0,65.9,13,2,1,0,64.9,10,5,0,62.9,11,5,1,0,65.9,10,5,0
27039000075,27,039,000075,196,145,5,2,1,218,126,5,1,0,221,108,10,0,217,112,9,4,0,223,110,14,0
27039000080,27,039,000080,250.2,171.3,19,2,1,277.3,145.2,13,7,0,276.4,119,30,0,272.4,113,24,21,1,290.4,113,32,0
27039000085,27,039,000085,155,147,12,2,0,167,135,10,4,0,175,116,18,1,180,109,19,3,0,182,109,18,0
27039000090,27,039,000090,115,92,2,2,0,129,79,3,1,0,131,59,13,0,131,63,8,5,0,139,59,10,0
27041000005,27,041,000005,53,46.6,2.7,1.2,0,63.5,37,1.4,1.2,0,64,34.6,3.9,0,63.4,33.6,4.9,1,0,64,32.4,5.8,0.1
27041000007,27,041,000007,569.2,615.8,16.7,4.9,0,702,479.2,16.7,2.1,0,717.7,436.5,27.4,0.9,714.9,422.7,38.9,6.1,0,737,411.2,41,1
27041000010,27,041,000010,584.3,536.4,39.1,2,1,709.3,417.3,21.1,8.1,1,712.3,382.1,41.3,0,685.4,382,51.2,17.1,0,718.5,369.8,52.3,0
27041000015,27,041,000015,578.9,644.7,33.3,13.9,0,692.8,523.5,40.1,10.2,1,696.8,491.9,49.7,0,683.2,480.6,54.5,20.2,1,706.8,465.6,73.7,1.2
27041000020,27,041,000020,420.7,492.3,31.3,7.1,0,479.6,421.3,43.3,4.1,2,508.6,387,39.4,0,483.5,366,65.4,19.2,0,509.7,368.8,60.6,2
27041000025,27,041,000025,40.3,26.1,1.3,0.6,0,43.6,21.7,1.8,0.7,0.6,45.1,21.2,1.1,0,44.5,20.7,2.1,0.2,0,45.5,19.8,1.7,0
27041000027,27,041,000027,310.7,424.4,23.7,4,1,367.9,372,20.7,5,0,361.1,356,32.7,1,359.1,330.4,48.4,11.9,1,376.1,328.3,49.5,1
27041000030,27,041,000030,819.2,670.7,22.2,3.2,0,977.9,504,19.3,12.7,0,973.1,476.3,42.2,0.1,982.6,462.9,34.2,15.8,1,1008.1,428.4,49.8,7.8
27041000035,27,041,000035,111,73,2,1,0,124,58,3,1,0,121,57,4,0,121,57,7,0,0,128,51,6,0
27041000040,27,041,000040,104.2,112.7,8,3,0,131.3,88.5,5,3,0,136.3,79.5,11,0,121.4,81.4,16.9,6,0,131.4,79.4,12.1,0
27041000045,27,041,000045,226.8,183.3,4,2,0,269.7,138.5,3,2,0,267.7,131.5,9,0,273.6,123.6,7.1,4,0,280.6,114.6,17.9,0
27041000050,27,041,000050,99.3,97,17.9,2,0,115.6,84.6,12,3,0,118.6,81.6,8.1,0,103.7,74.6,25.9,3,0,116.7,76.6,20,0
27041000055,27,041,000055,647.5,535.3,16,4,0,775.7,396.1,20,9.9,0,769.8,376.2,37.8,0,777.6,360.3,37,9.9,1,796.6,351.4,35.9,3
27041000060,27,041,000060,99,120.5,6.9,5.9,0,126.4,91.1,10.8,1,0,127.4,85.2,11.8,0,114.7,82.3,14.7,7.8,0,121.5,77.4,22.5,0
27041000065,27,041,000065,69,56.5,1.1,1.1,0,84.6,37.9,2.2,2,0,87.6,34.8,2.2,0,83.3,35.7,5.3,0.2,0,85.5,33.6,7.5,0
27041000070,27,041,000070,40,44,0,0,0,47,36,2,1,0,49,32,3,0,47,34,1,1,0,46,32,4,1
27041000075,27,041,000075,56.7,62.4,0,1,0,66.2,48.9,1.1,3,0,65.1,44.8,8.1,1,65.2,45.7,2.1,4.1,1,67.3,45.5,3.2,0
27041000080,27,041,000080,266.1,215.4,7.3,0.1,0,308.9,168.6,8.2,5.2,0,305.4,161.9,14.9,0.1,298.1,156.1,16.7,8.5,0,312.2,155,22.1,1.1
27041000085,27,041,000085,283.4,193.4,13.2,2.1,1,331.4,147.3,8.1,2.2,0,333,126.9,19.6,0.1,328.8,128,17.5,7.3,0,337.7,129.1,17.8,1.1
27041000090,27,041,000090,398.3,353.6,7,3,0,464.8,278.1,12.9,4,1,454.9,271.2,18.9,0,459.9,258.3,16.9,9.9,0,487.7,230.5,30.8,0
27041000095,27,041,000095,60.8,56.8,3,1,0,72.7,47.8,2,0,0,70.7,43.8,4,0,68.7,38.8,9,2,0,72.7,42.8,5,0
27041000100,27,041,000100,1208.9,1174.5,31.1,13.7,0,1468.2,903.4,31.4,16.7,1,1481.6,839.3,71.6,0,1481.2,812.6,74.5,28.7,1,1532.1,775.1,93.4,4.9
27041000105,27,041,000105,316.9,268.2,7.3,3.2,0,379.7,202.6,6,5,0.4,368.8,187.9,20.8,1.9,361.9,191.1,16.2,10.2,0,388.4,166.7,24.9,1.9
27041000110,27,041,000110,132,130,5,3,0,170,91,7,2,0,174,77,13,0,171,79,11,3,0,176,77,12,1
27041000115,27,041,000115,92,71,6,1,0,109,56,3,2,0,107,44,14,0,105,54,5,4,0,110,52,6,0
27041000120,27,041,000120,18,18,1,0,0,22,14,0,0,0,20,11,2,0,22,9,2,0,0,21,12,2,0
27041000125,27,041,000125,107.8,62.9,3,0,0,122.9,45.7,4,1,0,113.9,52.6,5.1,0,117.9,49.6,4.1,2,0,121.9,46.6,5.1,0
27041000130,27,041,000130,74.9,80.9,7,2,0,92.9,64.9,5,3,0,92.9,60.9,10,0,92.9,56.9,13,2,0,93.9,60.9,10,0
27041000135,27,041,000135,233.1,255.1,8,2,0,282.1,201.1,13,2,0,277.1,189.1,24,1,265.1,190.1,21,8,1,287.1,177.1,25,3
27041000140,27,041,000140,221.1,199.4,3,1,0,272.4,146.1,3,2,0,277.4,127.3,13.8,0,273.4,131.3,7.9,4,0,279.4,124.4,9.9,4
27041000145,27,041,000145,42.6,20.4,4,0,0,47.7,14.3,4,1,0,44.7,16.3,5,0,42.7,17.3,5,1,0,45.7,16.3,3,0
27041000150,27,041,000150,89,61,4,1,0,107,44,2,1,0,107,44,5,0,98,43,11,2,0,108,35,10,0
27041000155,27,041,000155,297.7,307.1,21,3,0,352,247.9,22,6,0,353.9,242.8,25.1,1,343.8,230.9,35.1,11,0,362,216.8,40.1,0
27041000160,27,041,000160,186,120.7,4,3,0,210.8,95,5,2,0,203.8,90,14.8,0,197.9,93,8.9,4,0,216.7,85.1,7.9,0
27041000165,27,041,000165,70.8,52.6,1,1,0,88.4,37.1,0.1,0,0,81.3,38.1,4.1,0,84.3,34,5.1,1.1,0,85.4,35,5.1,0
27041000170,27,041,000170,118,67,3,0,0,136,48,4,1,0,129,41,16,0,133,41,10,3,0,139,37,11,0
27041000175,27,041,000175,72,60.2,1,1,0,92.7,38.5,2,2,0,89.7,37.5,4.9,0,87.8,37.5,2,3.9,0,95.6,34.5,2,0
27043000005,27,043,000005,75,48,3,1,0,80,41,2,2,0,82,34,4,0,78,34,5,4,0,87,32,3,0
27043000010,27,043,000010,199.7,235.6,15,3,0,222.6,209.6,15,7,0,235.6,182.7,26,0,227.6,182.7,24,7,0,244.6,173.7,27,1
27043000015,27,043,000015,271,264,12,2,0,307,229,11,2,0,318,204,21,0,316,186,32,7,0,321,188,30,0
27043000020,27,043,000020,168.3,179,13.9,4,1,203.3,149,11.9,2,0,225.1,115,20.1,1,216.2,108.1,27.8,6,2,221.2,106.1,30.9,1
27043000025,27,043,000025,112.7,103,4.1,5,0,132.7,85,1.1,4,1,135.9,65,14.9,0,134.8,67.9,5.2,5,0,137.8,68.9,10.1,0
27043000030,27,043,000030,64,76,14,0,0,69,68,11,5,0,76,65,11,0,74,59,14,5,0,76,61,14,0
27043000035,27,043,000035,60,42,1,0,0,63,33,3,3,0,65,35,1,0,66,30,3,2,0,72,25,4,0
27043000040,27,043,000040,84.2,48,3,1,0,92.1,40.1,1,1,0,94.2,31.1,8,0,96.1,33.1,4,1,0,94.2,34,6,1
27043000045,27,043,000045,38,32,3,0,0,39,32,2,1,0,41,23,7,0,39,22,4,4,0,43,21,7,0
27043000050,27,043,000050,108,55,2,0,0,113,49,3,0,0,118,41,6,0,114,39,10,1,0,115,38,12,0
27043000055,27,043,000055,79.4,34.4,2,0,0,83.4,30.3,1,2,0,87.4,23.3,4,0,86.4,21.3,4,3,0,90.4,22.2,3,0
27043000060,27,043,000060,43,62,1,0,0,47,54,1,1,0,53,44,7,0,56,43,5,0,0,57,42,4,0
27043000065,27,043,000065,99.4,76.8,14,2.1,0,113,65.1,11.1,3,0,122.2,54.8,13.3,0,115.3,49.8,20.1,3.1,0,122.5,47.4,21.2,0
27043000070,27,043,000070,49.6,40.2,0,0.9,0,58,30.9,0.9,0,0,60.8,25.2,4.7,0,62.7,25.2,0.9,0.9,0,65.5,20.6,2.8,0
27043000075,27,043,000075,83,36,2,0,0,92,29,1,0,0,91,27,4,0,91,24,6,1,0,92,23,7,0
27043000080,27,043,000080,75,63.6,3.1,2,0,88.1,52.5,3.1,0,0,86.5,50,5.1,0,89.4,47,3.2,1,0,94.4,43,6.2,0
27043000085,27,043,000085,33,48,3,0,0,36,45,2,1,0,37,38,8,0,36,38,5,3,0,43,35,6,0
27043000090,27,043,000090,56.4,56.4,1,1,0,66.4,45.4,2,1,0,68.4,37.3,7,0,66.4,38.3,3,2,0,69.4,32.3,8.1,2
27043000095,27,043,000095,58,166,16,3,0,74,147,18,2,0,91,113,28,0,82,115,30,4,0,84,125,25,0
27043000100,27,043,000100,49,64,2,1,0,49,60,6,2,0,61,46,8,0,54,46,6,5,0,60,47,8,0
27043000105,27,043,000105,43,39,2,1,0,48,37,1,0,0,47,30,9,0,48,32,5,1,0,55,27,1,1
27043000110,27,043,000110,120,169,12,2,0,138,147,13,4,1,163,121,15,0,156,109,24,8,0,164,114,21,0
27043000115,27,043,000115,45,48,0,1,0,57,38,0,0,0,58,31,4,0,59,27,4,2,0,58,26,11,0
27043000120,27,043,000120,39,23,0,0,0,43,18,0,1,0,45,13,3,0,47,11,0,2,0,52,8,0,0
27043000125,27,043,000125,61,35,0,0,0,69,27,1,0,0,65,26,4,0,69,20,3,2,0,71,21,2,0
27043000130,27,043,000130,41,29,2,1,0,51,20,1,2,0,52,13,9,0,54,14,4,2,0,54,16,4,0
27043000135,27,043,000135,44,50,1,0,0,52,42,1,1,0,53,40,2,0,49,42,3,1,0,56,36,3,0
27043000140,27,043,000140,133.3,69,7.2,0,0,138.4,63.9,4.2,2,0,149.7,53.5,4.3,0,140.6,48.4,11.4,5.1,0,145.7,45.4,12.4,0
27043000145,27,043,000145,63,41,1,0,0,73,31,0,1,0,69,30,4,0,69,27,1,5,0,76,24,4,0
27043000150,27,043,000150,9,14.4,0.9,0,0,9.9,13.5,0.9,0,0,13.5,9,0.9,0,12.6,9,1.8,0,0,12.6,9,1.8,0
27043000155,27,043,000155,402.8,519,37,7,0,464.9,454.9,26,11,0,495.9,395.9,57,0,490.9,370.9,59,18,1,503.8,371,67,3
27043000160,27,043,000160,251.3,223.4,22.8,1.1,0,270.4,205.4,18.8,3,1,300.4,160.2,33,0,291.5,152.4,40.7,9,0,295.4,154.4,46.7,0
27043000165,27,043,000165,44.4,41.5,0,1.9,0,52.2,34.8,0,1,0,59.9,19.3,7.7,0,61.8,21.3,1,2.9,0,60.9,22.2,3.9,0
27045000005,27,045,000005,46,89,3,4,0,56,79,4,1,0,61,65,10,0,60,60,7,8,0,64,64,9,0
27045000010,27,045,000010,92,79,3,0,0,107,64,2,1,0,109,53,6,0,104,52,11,3,0,110,51,10,0
27045000015,27,045,000015,61,64,3,2,0,68,57,2,3,0,78,45,5,0,78,41,4,4,0,80,42,5,0
27045000020,27,045,000020,80.7,72,0,0,0,96.3,55.5,1,1,0,92.4,50.6,6.8,0,97.3,48.6,1,2,0,93.4,48.6,5.8,0
27045000025,27,045,000025,51,73,3,1,0,58,64,3,2,0,67,54,4,0,61,58,7,0,0,66,50,11,0
27045000030,27,045,000030,41.3,48.3,7,0,0,45.3,43.3,5,1,0,48.3,36.3,8,0,47.3,33.3,11,3,0,46.3,33.2,14,0
27045000035,27,045,000035,56.5,70.3,1,0,0,60.4,64.4,1,1,0,62.4,56.5,4,0,61.4,55.5,3,1,0,64.4,50.5,5,0
27045000040,27,045,000040,71.7,100.1,2.9,1,1,85.4,88.3,1,1,0,90.3,73.6,9.8,0,89.3,71.7,5.9,5.9,0,96.2,70.7,5.9,0
27045000045,27,045,000045,83.5,94.6,6.2,2.6,0,90.2,88,4.4,3.6,0,98.3,75.1,8.1,0,98.3,73.2,8.1,1.9,0,101.3,68.7,10.8,0
27045000050,27,045,000050,298,380.1,16.3,5.1,1,324.2,347.6,12.3,8.3,1,350.3,290.9,36.8,1.1,343.6,281.1,33.8,18.6,1,364.4,279,35.8,2.1
27045000055,27,045,000055,120,137.9,4.7,1.9,0,138.8,116.4,4.7,4.7,0,153.7,90.1,12.2,0.9,144.4,93.8,12.2,8.4,0,155.6,92,12.2,1.9
27045000060,27,045,000060,154.1,88.5,4.5,2.1,2,161.6,77.3,7.3,2,1,165.8,60,12.3,1,172.5,53.9,10.4,2.1,1,176.8,47.2,17,1
27045000065,27,045,000065,109.9,84.2,1,1,1,126,64.1,3,2,0,128.1,54.9,5.1,1,125.1,52.9,7.1,3.1,0,135.2,45.9,10.1,0
27045000070,27,045,000070,87.1,88,7,1,0,102.3,72.8,7,0,0,110.4,58.6,12.1,0,104.4,59.6,13.1,3,0,105.4,64.7,10.1,0
27045000075,27,045,000075,84.2,70.4,0,0,0,93,62.6,0,0,0,99.8,47,5.9,0,105.7,45,3.9,0,0,101.8,47.9,3.9,1
27045000080,27,045,000080,201.1,293.6,12.9,2,0,233.9,257.8,11.9,5,0,254.8,230.9,17.9,0,250.8,206.1,32.8,9.9,0,266.8,197.1,37.8,0
27045000085,27,045,000085,63.2,93.7,3.1,1,0,72.4,85.5,3.1,0,0,75.5,71.3,10.1,0,77.5,71.2,7.2,2,0,83.5,64.1,9.2,0
27045000090,27,045,000090,54.5,87.3,4,3.9,0,65.3,76.5,4.9,3,0,73.2,69.5,6.9,0,70.3,63.6,8.9,4.9,0,72.3,63.6,9.9,0
27045000095,27,045,000095,117,71,2,0,0,126,63,1,0,0,129,49,9,0,127,52,4,3,0,127,52,8,0
27045000100,27,045,000100,133.9,364,17.6,6.3,0,158.6,340.3,14.4,4.3,0,180.4,306.2,18.8,0,169.3,295,35.8,8.2,0,181.6,296.6,34,1
27045000105,27,045,000105,73.8,184.4,11.6,0,0,83.5,175.6,10.7,1,0,98,157.2,12.6,0,97,152.3,18.4,1,0,100,146.5,18.4,1
27045000110,27,045,000110,54.2,93.6,0.4,0,0,62.5,84.4,0.3,0,0,64,76.8,2.4,0,61,73.7,1.6,4,0,62,72.5,5.6,0
27045000115,27,045,000115,64.8,97.7,5,1,0,75.7,88.7,3,1,0,80.7,83.7,2,0,77.7,72.7,11,2,0,85.7,66.8,8,0
27045000120,27,045,000120,54.3,51,2,0,0,54.7,47.5,2,3,0,58.6,43.4,3.2,0,57.7,40.4,3,3,0,63.6,38.4,4.2,0
27045000125,27,045,000125,31.4,61.8,4.8,2.9,0,40.9,50.4,7.6,1.9,0,45.6,49.4,5.7,0,42.8,47.5,10.4,0,0,44.6,43.7,11.4,0
27045000130,27,045,000130,85.7,97.8,1.1,1,0,97.7,88.8,1.1,0.1,0,102.8,72.7,9.1,0,105.7,66.7,7.1,2,0,110.7,58.8,11.1,1
27045000135,27,045,000135,37,60,4,0,0,44,53,4,0,0,44,54,1,0,44,51,4,0,0,48,43,8,0
27045000140,27,045,000140,224.5,373.9,23.2,9.1,0,278.9,330.6,12.1,7.1,0,302.2,278,31.3,0,298.2,278.9,27.3,12.1,0,318.3,262.8,39.4,0
27045000150,27,045,000150,50.2,61.8,2.9,0,0,59.9,51.2,1,1.9,0,65.7,38.6,2.9,0,64.7,37.7,1.9,2.9,0,72.4,37.7,3.9,0
27045000155,27,045,000155,342.5,438.2,24,9,0,386.4,401.3,21.9,7,0,416.5,348,28,0,397.6,346,38,12,0,417.6,333.1,39,0
27045000160,27,045,000160,206.2,220,7.3,6.1,0,222.7,211.4,2.5,1.1,0,248.8,162.5,17.3,0,247.6,156.5,18.5,6,0,249.8,157.2,21.6,0
27045000165,27,045,000165,534.1,514,36,16,0,573.1,475,39,8,0,615.1,401,59,0,609.1,385,60,19,0,642.1,364,74,0
27045000175,27,045,000175,151.5,137.4,4.1,2,0,161.6,131.2,3.1,1,0,176.7,104.9,10.2,0,172.8,105.8,7.2,5,0,180.8,100.7,9.3,0
27045000180,27,045,000180,153,90,2,2,0,169,73,1,3,0,166,67,6,1,174,59,6,5,1,173,64,7,1
