GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRNEW,G18USSDKLO,G18USSMSCH,G18USSGOVE,G18USSOWRI,G18GOVRJOH,G18GOVDWAL,G18GOVMWRI,G18GOVLWEL,G18GOVOWRI,G18SOSRHOW,G18SOSDSIM,G18SOSIDEN,G18SOSOWRI,G18AUDRMYH,G18AUDDBLA,G18AUDMFOR,G18AUDLDOC,G18AUDOWRI,G18ATGRWAR,G18ATGDELL,G18ATGMJOH,G18ATGOWRI
27143000050,27,143,000050,72,44,2,2,0,90,28,1,1,0,94,23,2,0,84,26,4,3,0,94,20,5,0
27143000055,27,143,000055,123.5,76.1,4.9,1,1,130.4,62.2,11.9,3,0,134.4,60.3,8.9,1,133.4,52.4,15.8,3,0,143.3,46.4,16.8,1
27143000060,27,143,000060,145.5,84.3,2,0,0,167.6,58.3,1,3,0,165.6,52.2,13,0,164.6,55.2,4.1,5,0,167.6,50.2,11.1,1
27143000065,27,143,000065,174.3,212.6,7.6,2.8,0,194.2,188,7.6,4.7,0,205.6,172.7,13.3,0,188.6,179.3,16.1,8.5,0,209.4,162.3,21.8,0
27143000070,27,143,000070,153.4,123.7,6.8,1,0,170.2,106.1,8.4,0.1,0,185.4,78.3,13.9,0,181.5,80.8,12.3,2.9,0,189.8,72.9,20.1,0
27143000075,27,143,000075,138.8,114.8,3,1,0,161.7,85.9,7,1,0,157.7,77.9,12,0,148.8,80.9,8,4,0,172.7,67.9,14,0
27143000080,27,143,000080,70,73,0,0,0,82,58,2,1,0,86,48,6,0,78,50,9,1,0,88,44,8,0
27143000082,27,143,000082,16.7,13.2,0.7,0.1,0,18.5,11.3,0.9,0,0,20.2,8.3,1.5,0,19.8,8.6,1.3,0.3,0,20.6,7.7,2.2,0
27143000085,27,143,000085,80.4,59.4,3,0,0,88.5,47.3,1,5,0,88.5,39.2,8.1,0,83.5,43.2,3,5,0,96.5,39.2,4.1,0
27143000090,27,143,000090,66,70,11,3,0,89,51,9,2,0,85,46,15,0,85,41,14,5,0,85,41,21,0
27143000095,27,143,000095,133.3,69.6,1,3,0,149.2,53.7,4,0,0,149.2,42.8,10.9,0,152.2,44.8,4,1,0,159.1,36.8,9.9,0
27143000100,27,143,000100,56.4,54.5,0,0,0,69.3,39.7,1,1,0,69.3,28.8,10.9,0,68.3,31.8,1,5.9,0,70.3,29.8,7.9,0
27143000105,27,143,000105,69,62,2,0,0,88,39,3,2,0,92,32,5,0,95,30,2,0,0,95,29,4,0
27143000110,27,143,000110,80.2,40.4,2.1,0,0,94.2,28.4,0.2,0.1,0,99.1,21.3,1.2,0,96.2,22.1,2.2,0.1,0,104.1,15.3,2.3,0
27143000115,27,143,000115,145.9,107.6,3,3,0,176,77.5,3.1,3,0,176,72.4,9.1,0,171,65.4,12.1,6,0,179.1,63.3,13.1,0
27143000120,27,143,000120,259.3,297.6,14.3,5.3,0,299.7,250.6,19.9,9.2,0,307.1,224.1,34.1,1,308.4,205.2,29.2,14.6,1,325.7,201.1,43.4,1
27145000005,27,145,000005,589.2,416.6,35.2,8,0,654.7,344.2,23.5,13.8,1,675.6,298.6,45.3,1,642.2,298.6,42.2,28.5,0,686.7,292.6,45.1,0
27145000010,27,145,000010,259.3,111.1,4.3,4.4,0,286.4,83,4,2.9,0,295.4,64,11.4,0,287.8,64.8,7.9,5.8,0,303.3,60.4,8.8,0.8
27145000015,27,145,000015,82,19,0,0,0,87,15,0,0,0,87,10,3,0,85,12,1,2,0,89,9,2,0
27145000020,27,145,000020,427.4,337.6,13.3,5.9,0,500.4,268.3,13,2.3,0,506.6,242.6,30.7,0,488.3,241.3,28.5,16.5,0,503.8,228.8,43.4,1
27145000025,27,145,000025,406.8,219.2,14.5,4.6,0,477.6,148.3,12.5,5.3,0,482.7,131.8,25.5,0,456.7,132.9,33.1,8.8,0,484.7,125.3,31.3,0.1
27145000027,27,145,000027,268.2,235.4,10.6,1.1,0,313.7,188.1,5.9,5.7,0,318.5,167,22.2,0,306.9,162.3,19.3,14.4,0,320.3,163.9,23.4,0
27145000030,27,145,000030,112.2,150.6,6.9,1,0,140.1,122.6,7,2,0,144.9,112.8,10.9,0,135.1,114.8,14.8,2,0,144.9,100,20.8,1
27145000035,27,145,000035,888,537.8,19.9,8,0,999.5,404.4,31.8,13,0,1031.4,368.5,49.8,0,989.5,365.5,54.8,19,0,1011.5,365.4,61.8,2
27145000040,27,145,000040,112.4,128.2,4,1,0,136.6,99.8,10,0,0,129.6,105.8,6.1,0,124.6,94,18.9,4.1,0,139.5,82,22.9,0
27145000042,27,145,000042,1.1,0.7,0,0,0,1.2,0.6,0,0,0,1.3,0.6,0.1,0,1.2,0.5,0.1,0,0,1.3,0.5,0.1,0
27145000045,27,145,000045,924.1,829.9,43.6,18,0,1080.5,682.5,36.6,11.8,0,1134.5,605.7,60.9,0,1073.1,601.2,71.6,33,0,1109.4,589.5,84.6,2
27145000050,27,145,000050,519.8,571.9,18.8,1.6,0,621.6,469.5,18,3.5,0,636.2,449.4,17,0,607.1,434.4,35.5,15.6,0,638.2,416.4,45.2,1.2
27145000055,27,145,000055,197.7,361.5,49.1,6.4,0,227.7,326,41,15.5,0,255,324.1,20,0,223.2,273.2,76.4,16.4,0,224.1,314.1,52.8,1.8
27145000060,27,145,000060,61.5,64.3,2.1,1,0,80.4,40.5,4.1,1,0,76.6,42.4,6,0,74.4,43.2,4.3,3.9,0,78.6,37.1,7.3,0
27145000065,27,145,000065,52.9,59.9,1,3,0,71.9,43,1,0,0,70.9,36,4,0,72.9,35,4,1,0,77.9,32,4,0
