GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
17031753002,17,031,753002,917.45,94.94,3,6.98,1.01,0,878.37,106.08,13,8.97,13.98
17031753003,17,031,753003,801,57,7,3,0,1,774,62,12,9,11
17031753004,17,031,753004,391,48,3,4,1,3,379,37,11,4,7
17031753005,17,031,753005,868,86,7,7,1,0,829,103,10,13,15
17031753006,17,031,753006,758,62,5,2,1,1,731,63,8,9,11
17031753007,17,031,753007,667,42,8,2,2,0,644,50,8,7,6
17031754001,17,031,754001,414,25,3,5,1,2,400,33,6,2,6
17031754002,17,031,754002,691.39,57.91,4.06,5.11,2.05,3,658.28,63.57,20.28,7.12,13.24
17031754003,17,031,754003,624,68,5,1,1,0,567,92,14,8,7
17031754004,17,031,754004,1068,69,8,4,0,2,1020,88,13,7,11
17031754005,17,031,754005,406,43,1,2,0,1,390,45,10,2,6
17031754006,17,031,754006,910,104,3,8,1,0,869,112,16,6,16
17031755001,17,031,755001,684,45,4,9,1,0,621,25,81,3,11
17031755002,17,031,755002,947,63,7,5,0,2,876,90,19,10,22
17031755003,17,031,755003,706,28,4,7,1,1,652,22,52,4,10
17031755004,17,031,755004,445,19,0,2,1,3,403,13,41,4,8
17031756001,17,031,756001,1073.18,123.73,13.05,5.03,0,2.97,1003.27,191.43,8.05,5.11,12.04
17031756002,17,031,756002,591.31,52.31,6.14,1.05,0,0.03,565.57,68.03,5.08,2.05,3.13
17031756003,17,031,756003,574,59,6,4,0,1,548,63,11,9,9
17031756004,17,031,756004,773,72,4,3,0,0,746,85,6,5,5
17031756005,17,031,756005,989,105,5,4,1,0,918,142,12,12,12
17031756006,17,031,756006,571,92,4,0,0,0,527,112,2,7,2
17031756007,17,031,756007,909.51,60.96,10.82,4.92,0,0,871.17,85.54,7.87,9.83,9.83
17031757001,17,031,757001,1088,87,16,4,0,3,1044,110,18,11,18
17031757002,17,031,757002,1158,118,14,6,5,3,1105,151,29,7,10
17031757003,17,031,757003,129,12,1,0,0,0,121,13,0,3,5
17031757004,17,031,757004,517,30,9,3,0,0,492,46,9,5,3
17031757005,17,031,757005,978.98,88.91,6.99,2,0,1,922.04,130.86,7.99,6.99,9.99
17031757006,17,031,757006,12,0,1,1,0,0,14,0,0,0,0
17031758001,17,031,758001,875,68,6,6,0,2,835,53,36,7,12
17031758002,17,031,758002,667,54,3,4,0,0,626,47,37,6,4
17031758003,17,031,758003,569,47,3,2,1,3,531,39,36,3,10
17031758004,17,031,758004,699,51,8,8,3,1,663,54,22,12,18
17031758005,17,031,758005,921,100,5,3,2,1,872,79,46,6,16
17031759001,17,031,759001,619,43,3,6,1,1,580,41,22,6,17
17031759002,17,031,759002,678,43,0,4,1,2,644,45,13,1,16
17031759003,17,031,759003,977,71,6,5,0,3,938,75,23,7,13
17031759004,17,031,759004,819,59,8,1,3,3,783,72,27,1,8
17031759005,17,031,759005,533,50,3,3,3,3,496,51,6,5,7
17031759006,17,031,759006,666,72,4,5,3,1,633,71,22,8,12
17031760001,17,031,760001,800,446,9,2,0,1,770,422,24,16,6
17031760002,17,031,760002,511.57,366.68,7.89,2.96,2.96,0.99,507.63,328.24,26.61,7.89,6.9
17031760003,17,031,760003,240,109,5,3,1,1,230,96,11,8,10
17031760004,17,031,760004,521.86,317.83,8.83,5.89,2.94,0,505.19,280.55,32.37,12.75,8.83
17031760005,17,031,760005,498,339,9,5,1,3,493,309,21,10,8
17031760006,17,031,760006,429,228,8,2,0,0,407,200,21,10,8
17031760007,17,031,760007,516.47,286.3,13.01,6.01,2,3,507.44,267.29,19.02,16.01,3.01
17031760008,17,031,760008,443.72,301.85,6.06,4.05,1.05,2,430.43,260.49,23.33,14.11,8.11
17031760009,17,031,760009,471.64,313,13.01,6,1.01,1,446.61,305.93,22.02,16.01,7.02
17031760010,17,031,760010,286.24,146.06,5.97,2.97,2.99,0.99,275.16,134.15,8.02,10.88,6.01
17031760011,17,031,760011,540.96,254.06,5,3.99,0.01,1.99,513.13,209.26,36.8,16.91,13.93
17031760012,17,031,760012,427.57,151.74,5.03,4,0,3,404.53,138.63,19.05,8.03,14.03
17031760013,17,031,760013,367,187,5,5,1,2,352,174,16,5,10
17031760014,17,031,760014,629.03,405.9,13.97,4.01,0.04,1.01,616.98,370.01,24.92,12.05,11
17031760015,17,031,760015,460.43,217.26,7.97,1,1,0,446.47,185.37,14.95,9.97,7.97
17031760016,17,031,760016,647.25,511.69,8.31,9.16,0.07,1.02,642.86,455.3,35.65,11.41,10.41
17031760017,17,031,760017,382,267,11,2,3,0,372,244,17,14,6
17031760018,17,031,760018,531.04,253.06,8.97,4.98,3.99,1,521.07,218.19,19.93,8.97,9.96
17031760019,17,031,760019,367,342,12,3,0,0,342,333,18,11,6
17031760020,17,031,760020,792.18,565.86,12.68,6.83,2.93,0.98,776.57,508.3,27.32,16.58,16.58
17031760021,17,031,760021,316.93,252.67,3.01,2.01,0.01,0,308.92,217.6,15.05,8.01,8.01
17031760022,17,031,760022,444.58,289.07,3.99,3.99,2.99,1.99,446.57,251.2,13.96,7.97,8.97
17031760023,17,031,760023,517.8,326.87,12,1,0,1,503.81,303.88,24.99,10,7
17031760024,17,031,760024,588,225,12,0,1,0,558,193,24,20,14
17031760025,17,031,760025,459,308,8,3,1,0,439,277,23,13,8
17031760026,17,031,760026,659.34,538.48,9.2,4,0,2,646.07,480.34,33.41,13.12,13.05
17031760027,17,031,760027,1623.99,1009.97,23.1,8.09,4.04,2.99,1603.73,958.41,47.48,21.18,21.1
17031760028,17,031,760028,697,429,6,8,1,0,666,406,24,12,13
17031760029,17,031,760029,352,135,4,1,2,0,341,104,21,6,4
17031760030,17,031,760030,481.5,277.91,14.1,6.03,3,2.01,451.41,271.65,25.18,16.09,14.08
17031760031,17,031,760031,324.51,301.55,5.99,1,1,0,307.54,300.55,12.98,6.99,2
17031760032,17,031,760032,456.48,207.13,1.96,1.96,0.98,0,446.66,176.7,13.74,6.87,7.85
17031760033,17,031,760033,563.62,301.43,9.12,5.15,0,2.02,541.13,267.43,19.76,11.37,19.27
17031760034,17,031,760034,630,321.88,9.04,7.03,1,1.01,593.8,283.55,35.27,17.13,11.1
17031760035,17,031,760035,567.08,215,4.93,4.93,2.96,0.99,545.38,177.52,27.61,12.82,8.88
17031760036,17,031,760036,404,260,7,2,1,0,391,224,25,9,5
17031760037,17,031,760037,654.42,397.93,15.01,8.01,2.01,2.01,638.43,366.8,31.04,11.03,13.03
17031760038,17,031,760038,541.47,390.84,4.92,3.94,3.94,0,517.84,361.31,26.58,8.86,8.86
17031760039,17,031,760039,612.52,373.87,2.04,2.04,2.02,0,587.34,338.3,24.26,11.13,7.15
17031760040,17,031,760040,579.83,364.66,16.1,7.04,3.05,3.01,538.74,350.09,23.41,14.12,16.1
17031760041,17,031,760041,680,395,13,3,4,2,648,363,28,21,12
17031760042,17,031,760042,472.02,398.33,11.94,4.98,1.99,0.99,447.16,381.38,19.93,13.93,7.96
17031760043,17,031,760043,545.38,337.57,4.88,5.85,0,0.98,525.87,297.57,30.24,14.63,10.73
17031760044,17,031,760044,508,441,10,6,3,0,490,406,33,12,6
17031770001,17,031,770001,359.77,582.52,11.83,2.96,0,0,333.16,549.99,37.46,15.77,8.87
17031770002,17,031,770002,259.59,372.81,7.85,6.77,2.89,0,267.01,332.59,29.55,6,3
17031770003,17,031,770003,378.16,659.48,6.19,1.14,1.05,0,364.32,613.59,41.64,9.16,8.05
17031770004,17,031,770004,300.88,540.07,7.72,2.01,0.97,0.02,298.86,477.75,45.03,9.68,3.95
17031770005,17,031,770005,413.14,526.4,12.27,3.16,3.07,2,392.25,474.56,42.35,19.26,14.11
17031770006,17,031,770006,400.07,584.5,12.1,5.13,1.03,0.99,382.33,534.89,29.82,15.09,11.08
17031770007,17,031,770007,343,380,10,5,2,0,336,338,31,5,16
17031770008,17,031,770008,475.26,520.2,9.99,2,1,1,448.3,478.27,44.93,11.98,9.99
17031770009,17,031,770009,199.41,359.61,1.95,1.95,0.01,0,180.01,343.08,20.39,2.93,2.92
17031770010,17,031,770010,328.07,347.18,4.05,6,0.03,1,322.01,308.2,29.04,11.04,8.99
17031770011,17,031,770011,456.87,662.21,7.6,4.75,2.85,0.95,446.39,631.8,27.57,12.35,6.65
17031770012,17,031,770012,517.19,828.95,15.03,8,1.01,0,508.09,789.65,42.26,21.04,9.05
17031770013,17,031,770013,482.42,820.58,13.3,7.19,5.11,0.04,449.02,773.36,47.09,12.5,8.27
17031770014,17,031,770014,319.48,586.5,7.06,5.94,1.99,0,305.67,560.47,22.68,6.12,4.02
17031780001,17,031,780001,329,236,2,4,1,0,335,181,25,8,9
17031780002,17,031,780002,206.34,192.59,3.67,4.59,0.92,0,206.34,163.24,11,4.59,5.5
17031780003,17,031,780003,482,408,1,4,0,2,487,320,38,6,15
17031780004,17,031,780004,428,229,8,10,0,2,416,187,25,9,12
17031780005,17,031,780005,422,262,11,4,1,0,418,213,40,13,8
17031780006,17,031,780006,570,353,5,3,2,3,552,274,63,15,3
17031780007,17,031,780007,235,160,4,1,2,0,214,133,26,10,5
17031780008,17,031,780008,504.84,330.66,4.92,3.94,0,1.97,501.89,272.59,33.46,8.86,5.9
17031780009,17,031,780009,425.94,339.77,4.06,3.25,0.81,0.81,412.93,299.94,36.58,2.44,6.5
17031780010,17,031,780010,599,396,8,11,1,1,603,298,64,9,14
17031780011,17,031,780011,410,417,4,5,0,3,412,325,48,9,9
17031780012,17,031,780012,237.23,563.24,4.01,5,2,1,204.22,561.22,24,4.01,2.01
17031780013,17,031,780013,545,277,8,7,1,0,525,232,45,14,8
17031780014,17,031,780014,376,241,8,4,1,1,354,210,39,9,7
17031780015,17,031,780015,489.45,288.95,2.95,6.88,0.98,0.98,470.78,232.93,49.14,13.76,8.85
17031780016,17,031,780016,549.14,326.37,5.05,1.04,1,1.02,530.11,258.77,37.34,8.09,15.06
17031780017,17,031,780017,324,330,4,2,0,0,331,261,25,5,6
17031780018,17,031,780018,270,222,3,4,0,3,276,168,28,7,4
17031780019,17,031,780019,494,348,6,6,0,2,479,280,53,6,17
17031780020,17,031,780020,220.61,171.92,1.99,2.98,0,1.99,210.67,135.15,26.83,4.97,6.96
17031780021,17,031,780021,386,75,1,0,0,0,361,53,21,6,4
17031780022,17,031,780022,262,265,10,2,0,0,252,233,33,8,1
17031780023,17,031,780023,693,527,15,3,0,0,646,504,60,10,9
17031780024,17,031,780024,554.12,252.32,5.02,5.03,0.01,2.01,528.07,202.15,40.13,9.05,12.04
17031780025,17,031,780025,246,343,2,0,2,0,251,277,19,5,5
17031780026,17,031,780026,748.06,591.23,9.94,7.75,2.19,0.19,720.07,522.06,73.42,9.56,6.5
17031780027,17,031,780027,123.66,116.41,3.33,2.41,0.08,0,122.66,95.76,10,0.41,5.5
17031780028,17,031,780028,280,160,0,3,0,0,270,134,13,3,6
17031780029,17,031,780029,353.81,139.12,6.13,6.12,1.03,0.04,337.49,113.56,33.59,7.24,8.17
17031780030,17,031,780030,496.41,464.06,11.04,9.04,0,0.02,507.33,378.48,38.37,15.08,13.08
17031780031,17,031,780031,579.55,259.05,9.05,7.12,0.02,2.02,564.22,204.07,41.86,12.24,13.15
17031780032,17,031,780032,499,391,4,5,0,3,500,311,45,12,14
17031780033,17,031,780033,466.19,281.88,8.87,7.88,1.97,2.96,444.51,243.44,40.41,16.76,11.83
17031780034,17,031,780034,382,277,3,7,0,1,383,216,31,6,11
17031780035,17,031,780035,249,98,6,3,3,0,233,92,10,10,6
17031780036,17,031,780036,448,297,7,0,1,2,432,223,39,18,4
17031780037,17,031,780037,239,313,6,1,0,0,254,240,22,5,6
17031780038,17,031,780038,159.53,165.82,4.01,1,1,1,149.55,149.61,3.12,7,5.02
17031780039,17,031,780039,313,221,6,3,1,1,315,163,28,8,7
17031780040,17,031,780040,423,252,4,3,1,7,400,220,34,13,12
17031780041,17,031,780041,261,116,1,0,0,1,248,101,18,6,2
17031780042,17,031,780042,314,499,5,6,2,0,307,412,56,6,5
17031780043,17,031,780043,332,238,1,1,0,0,320,200,24,4,4
17031780044,17,031,780044,368,339,8,1,1,3,365,274,31,10,3
17031780045,17,031,780045,339.46,341.95,1,3.03,3,0.01,336.43,280.17,24.67,9.05,11.03
17031780046,17,031,780046,401,288,6,6,0,1,402,237,23,7,17
17031780047,17,031,780047,406.88,252.68,3.98,4.97,0.99,0.99,395.93,219.85,24.87,8.95,6.96
17031780048,17,031,780048,524,247,9,1,0,5,512,206,36,13,8
17031780049,17,031,780049,600,492,15,3,1,0,596,407,58,16,10
17031780050,17,031,780050,642,388,1,7,1,1,630,294,56,9,15
17031790001,17,031,790001,67.48,21.49,3.12,0.03,0,0.06,64.99,21.69,2.72,0.2,1.17
17031790002,17,031,790002,406,178,11,3,1,1,379,168,27,12,5
17031790003,17,031,790003,348.92,274.01,4.93,4.93,0,0,341.04,232.61,24.64,10.84,10.84
17031790004,17,031,790004,710.99,370.18,12.01,7.01,0,3,690.89,316.19,48.07,16.01,11.02
17031790005,17,031,790005,453.27,280.1,5.68,3.79,0.95,0,420.15,260.23,31.23,6.62,3.79
17031790006,17,031,790006,318,208,7,0,0,0,300,172,34,9,5
17031790007,17,031,790007,587.01,104.82,7.99,5.99,1,0,528.11,110.81,40.93,4.99,9.98
17031790008,17,031,790008,228,206,0,2,0,1,230,153,23,3,5
17031790009,17,031,790009,636,201,8,1,6,2,588,215,27,9,6
17031790010,17,031,790010,419,204,13,1,1,1,402,188,33,6,7
17031790011,17,031,790011,373,165,5,5,0,0,353,173,19,7,4
17031790012,17,031,790012,261,265,5,4,0,0,236,269,19,2,3
17031790013,17,031,790013,299.78,14.41,0.96,0.96,0,0,259.42,10.57,37.47,3.84,2.88
17031790014,17,031,790014,676,272,12,6,1,0,576,346,27,5,4
17031790015,17,031,790015,568,244,10,3,4,1,494,283,26,11,10
17031790016,17,031,790016,981,367,13,4,1,1,890,394,49,26,8
17031790017,17,031,790017,273.82,241.08,2.64,1.14,0.09,0,248.7,249.16,13.81,5.39,0.37
17031790018,17,031,790018,450,180,5,2,1,0,409,202,19,2,4
17031790019,17,031,790019,451,258,4,5,3,2,436,206,49,6,13
17031790020,17,031,790020,774.99,456.89,27.08,4.03,1.01,0,667.53,549.16,25.27,16.04,8.02
17031790021,17,031,790021,766,382,22,3,1,0,660,460,32,13,5
17031790022,17,031,790022,319.52,151.51,3.88,0.97,0,1.94,303.01,124.31,24.28,6.8,5.83
17031790023,17,031,790023,425.22,501.19,14,8.01,1,0,426.21,421.18,63,12.01,9.01
17031790024,17,031,790024,375,232,11,7,0,1,320,267,22,9,5
17031790025,17,031,790025,427.68,331.76,9.99,7.99,0,0,404.7,310.76,29.98,8.99,9
17031790026,17,031,790026,295,201,3,7,1,0,256,222,19,5,6
17031790027,17,031,790027,350,390,10,2,0,0,288,446,10,6,3
17031790028,17,031,790028,540,508,15,6,1,0,489,513,33,9,8
17031790029,17,031,790029,305,410,9,2,0,1,303,333,45,16,6
17031790030,17,031,790030,54.15,66.21,1.05,0.05,0.01,0.04,58.07,42.83,11.42,2.11,0.02
17031790031,17,031,790031,363.99,276.09,13.37,2.87,1.91,0,318.13,278.96,38.21,8.6,7.64
17031790032,17,031,790032,152,156,0,2,1,1,151,126,21,4,3
17031790033,17,031,790033,145,141,2,1,0,0,147,112,15,4,3
17031790034,17,031,790034,176.28,133.35,5.48,1.83,0.91,0,168.06,115.08,12.79,7.31,4.57
17031790035,17,031,790035,247.11,460.88,4.9,0.98,0,1.96,261.82,392.24,31.38,11.77,4.9
17031790036,17,031,790036,354.2,462.83,11.98,3,1,0,326.17,455.88,31.97,5.01,4.99
17031790037,17,031,790037,293,194,4,9,3,1,296,163,33,4,7
17031790038,17,031,790038,252,167,2,2,2,5,239,134,26,5,5
17031790039,17,031,790039,462,264,14,3,0,0,407,314,15,8,2
17031790040,17,031,790040,416,212,9,4,3,0,365,246,22,5,3
17031790041,17,031,790041,219.91,276.53,7.08,5.03,1.01,1.04,214.48,267.58,10.3,3.11,7.1
17031790042,17,031,790042,442,271,10,0,1,1,380,305,21,13,5
17031790043,17,031,790043,424,206,7,2,0,0,362,246,20,7,4
17031790044,17,031,790044,653.91,474.04,13.91,4.97,0.99,0,577.39,517.76,43.73,6.96,3.98
17031790045,17,031,790045,683,349,12,2,0,0,641,292,61,25,15
17031790046,17,031,790046,300.76,352.72,6,6,0,0,289.77,326.74,23.98,3,5
17031790047,17,031,790047,503,240,5,2,1,1,449,271,20,5,2
17031790048,17,031,790048,356,333,1,4,0,0,369,268,30,4,8
17031790049,17,031,790049,212.42,285.43,3.48,6.1,1.07,0,202.74,248.12,34.82,7.61,6.36
17031790050,17,031,790050,567,292,8,4,0,0,545,284,20,8,8
17031790051,17,031,790051,331.85,328.46,3.11,7.05,1,1.04,332.1,259.93,26.79,8.27,14.13
17031790052,17,031,790052,490.05,396.14,3.33,3.22,2.05,1,481.14,338.01,39.79,5.38,15.22
17031790053,17,031,790053,374.02,384.09,7,3,1,0,363,364.06,28.01,5.01,2.01
17031790054,17,031,790054,241,162,1,3,0,0,229,150,14,2,2
17031790055,17,031,790055,421,394,14,7,1,1,368,433,32,7,2
17031790056,17,031,790056,681.85,292.79,6.95,5.95,0.99,4.96,670.93,242.17,55.58,14.89,1.98
17031790057,17,031,790057,585,167,10,10,2,2,548,142,47,11,15
17031790058,17,031,790058,340,351,2,5,0,0,334,280,37,12,12
17031790059,17,031,790059,403,218,5,4,0,0,389,179,35,7,8
17031790060,17,031,790060,857,138,3,13,0,2,784,95,93,5,26
17031790061,17,031,790061,428,316,5,5,0,0,389,313,28,4,6
17031790062,17,031,790062,139,209,0,2,2,0,133,206,15,1,0
17031790063,17,031,790063,524.74,591.87,8.25,3.08,1.1,3.96,480.51,597.79,31.91,11.22,9.9
17031790064,17,031,790064,405,273,5,6,0,1,408,216,31,7,16
17031790065,17,031,790065,458,492,12,2,1,1,478,400,50,11,9
17031790066,17,031,790066,291.08,165.99,1.07,3.07,3,2,295.96,130.39,24.36,3.16,5.16
17031790067,17,031,790067,511,253,5,7,2,1,498,213,35,6,18
17031790068,17,031,790068,374,212,3,3,0,3,367,160,31,9,11
17031790069,17,031,790069,576.09,421.07,13,4,2,0,512.08,457.07,28.01,11,7
17031790070,17,031,790070,447.22,30.59,1.04,2.04,0,0,382.58,19.43,70.53,2.16,5.12
17031790071,17,031,790071,237.35,128.88,3.02,0.04,0.01,0,220.29,103.63,27.23,8.05,4.04
17031790072,17,031,790072,629,327,20,4,1,1,554,371,35,7,9
17031790073,17,031,790073,436,267,5,5,2,1,426,240,24,4,4
17031790074,17,031,790074,209,192,4,5,1,1,198,154,28,7,14
17031790075,17,031,790075,271,267,3,5,1,0,292,193,26,9,8
17031790076,17,031,790076,294,287,3,2,1,1,295,225,42,3,6
17031790077,17,031,790077,279,341,1,3,2,3,291,270,36,10,10
17031790078,17,031,790078,233.98,283.91,1,3,0,0,214,252.94,22.99,6.99,7.99
17031800001,17,031,800001,380.71,278.42,1.01,3.02,0.01,2.01,387.7,198.18,26.05,11.02,4.03
17031800002,17,031,800002,401,265,2,3,1,1,405,223,11,7,5
17031800003,17,031,800003,191,120,2,2,0,1,194,91,16,6,4
17031800004,17,031,800004,470,272,12,1,2,0,455,250,24,11,4
17031800005,17,031,800005,639,457,0,4,2,3,632,363,34,9,15
17031800006,17,031,800006,623,385,12,9,1,0,597,357,32,12,11
17031800007,17,031,800007,318,229,5,1,2,2,300,207,15,4,3
17031800008,17,031,800008,481,370,7,5,0,0,456,333,32,13,4
17031800009,17,031,800009,806,428,11,6,4,3,769,392,32,15,11
17031800010,17,031,800010,351,165,5,2,0,1,334,153,21,9,3
17031800011,17,031,800011,321,215,2,1,1,0,310,201,15,1,4
17031800012,17,031,800012,307,189,3,6,0,0,294,165,20,6,6
17031800013,17,031,800013,469.53,316.38,8.01,5.01,1,3,453.51,284.35,33.04,9.01,10.01
17031800014,17,031,800014,553,324,17,6,1,1,530,292,38,15,13
17031800015,17,031,800015,259,195,1,3,0,0,265,154,12,1,2
17031800016,17,031,800016,326.36,204.67,8.02,4.03,1,1,317.34,176.41,28.13,12.05,8.05
17031800017,17,031,800017,444.64,314.33,3.98,5.97,0,0,440.66,265.59,23.87,9.95,8.95
17031800018,17,031,800018,378,242,5,5,2,1,375,212,18,10,6
17031800019,17,031,800019,308,212,2,3,1,0,293,183,21,7,7
17031800020,17,031,800020,304,163,3,1,1,1,273,173,11,8,4
17031800021,17,031,800021,584,347,5,7,1,0,529,354,24,9,5
17031800022,17,031,800022,575,323,14,2,0,0,504,344,31,15,7
17031800023,17,031,800023,422.35,282.88,4.95,1.98,0,0.99,396.63,254.2,20.77,13.85,10.88
17031800024,17,031,800024,615,400,7,3,1,0,565,407,41,9,6
17031800025,17,031,800025,533,265,13,4,1,0,472,309,21,6,6
17031800026,17,031,800026,500,252,2,3,1,0,470,227,29,5,9
17031800027,17,031,800027,305,182,6,2,0,0,288,177,22,4,4
17031800028,17,031,800028,289,142,2,0,0,0,295,105,7,8,1
