GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREACAR,G20PRESLAR,G20USSDDUR,G20USSRCUR,G20USSIWIL,G20USSLMAL,G20USSGBLA
17031800029,17,031,800029,618.87,502.12,26.05,10.01,2.02,3.01,558.67,521.26,44.03,19.05,9.04
17031800030,17,031,800030,1048,617,24,8,2,0,928,697,59,12,10
17031800031,17,031,800031,447.91,342.84,5.89,1.96,0.98,0.98,427.29,308.45,13.75,13.75,7.86
17031800032,17,031,800032,227,277,5,1,0,0,235,229,20,6,2
17031800033,17,031,800033,443,229,2,0,0,0,441,178,9,8,6
17031800034,17,031,800034,591,330,8,4,0,1,579,280,31,9,6
17031800035,17,031,800035,582,255,5,4,1,0,552,220,42,13,8
17031800036,17,031,800036,378,324,5,3,1,1,346,332,22,4,4
17031800037,17,031,800037,403,381,11,2,2,0,347,400,31,5,5
17031800038,17,031,800038,322,266,4,3,0,0,321,238,17,6,6
17031800039,17,031,800039,399,393,6,4,1,1,391,335,33,13,8
17031800040,17,031,800040,457,362,6,3,0,0,468,310,16,5,2
17031800041,17,031,800041,326.4,258.53,6.99,2.99,0,0,322.41,224.59,26.95,7.99,1
17031800042,17,031,800042,645,369,12,5,1,0,591,392,36,10,9
17031800043,17,031,800043,318,313,8,4,1,0,287,303,26,6,2
17031800044,17,031,800044,333,194,8,3,3,0,318,199,13,5,2
17031800045,17,031,800045,224,141,0,3,0,0,248,101,4,1,3
17031800046,17,031,800046,457.78,461.46,3.04,6.07,1.03,1,455.68,390.87,40.33,6.09,5.04
17031800047,17,031,800047,492.6,301.47,6.01,3.01,2,4,475.59,257.41,30.05,15.01,4
17031800048,17,031,800048,505.37,312.52,12.86,4.94,0.99,0.99,486.58,274.94,40.55,5.93,6.92
17031800049,17,031,800049,428,280,8,6,0,1,428,241,22,9,12
17031800050,17,031,800050,397,299,11,2,3,0,358,305,24,8,8
17031800051,17,031,800051,488.25,405.91,2.91,2.91,0.97,0,492.12,343.91,14.53,4.84,7.75
17031800052,17,031,800052,445,199,3,1,1,1,426,188,14,8,3
17031800053,17,031,800053,437,252,4,7,0,1,421,206,25,10,16
17031800054,17,031,800054,468,254,8,0,1,0,408,277,30,6,7
17031800055,17,031,800055,349,351,5,4,0,0,328,305,37,4,7
17031800056,17,031,800056,589.66,405.08,5.99,6.98,0,1,591.65,347.21,28.93,9.98,9.98
17031800057,17,031,800057,292,341,2,1,1,0,331,238,8,4,3
17031800058,17,031,800058,433.22,494.54,3.96,5.93,2.97,0,424.32,441.13,29.67,7.91,3.96
17031800059,17,031,800059,381,386,10,1,0,2,367,348,29,12,4
17031800060,17,031,800060,723,614,17,4,1,0,676,600,38,18,10
17031800061,17,031,800061,271.63,197.48,6.14,1.06,2.01,1.01,272.42,177.06,8.45,10.07,1.08
17031800062,17,031,800062,235,214,0,1,1,0,234,189,13,2,1
