GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDPRI,G18GOVRRAU,G18GOVCMCC,G18GOVLJAC,G18ATGDRAO,G18ATGRHAR,G18ATGLHAR,G18SOSDWHI,G18SOSRHEL,G18SOSLDUT,G18COMDMEN,G18COMRSEN,G18COMLBAL,G18TREDFRE,G18TRERDOD,G18TRELLEH
17031790068,17,031,790068,230,119,15,9,228,128,14,286,74,12,262,100,12,244,113,19
17031790069,17,031,790069,310.05,446.08,26,8,327.06,458.08,9,527.09,259.04,12,400.07,362.06,24,377.06,391.07,11
17031790070,17,031,790070,363.87,19.27,7,8.08,373.84,22.55,5,382.19,11.24,9,375.76,16.31,7.27,366.72,20.31,10.24
17031790071,17,031,790071,140.23,51.11,2.12,12.06,141.14,62.33,5.07,173.64,26.83,5.1,153.37,49.08,6.09,142.23,55.18,10.11
17031790072,17,031,790072,367,389,11,18,389,384,15,558,209,24,449,311,20,413,327,22
17031790073,17,031,790073,270,254,13,9,275,255,14,403,131,12,335,193,16,305,222,14
17031790074,17,031,790074,140,99,8,14,143,105,13,175,72,14,159,91,13,144,98,17
17031790075,17,031,790075,188,120,9,13,192,126,12,246,69,13,215,97,17,208,102,18
17031790076,17,031,790076,197,149,24,8,192,169,19,272,99,12,233,139,10,203,154,20
17031790077,17,031,790077,195,163,11,7,196,172,7,247,120,11,227,146,7,197,159,17
17031790078,17,031,790078,164.98,189.97,19.99,11.99,164.98,207.95,12,253.96,115.99,14.99,192.99,175.96,15.99,182.98,186.96,15.99
17031800001,17,031,800001,222.17,140.79,13.04,6.04,223.19,149.77,9.04,261.4,113.59,8.03,237.28,133.72,8.04,225.19,133.79,15.04
17031800002,17,031,800002,256,138,11,13,266,141,12,321,91,8,292,118,10,282,126,9
17031800003,17,031,800003,147,84,6,9,147,86,12,178,53,13,155,77,13,151,83,9
17031800004,17,031,800004,284,249,30,16,300,256,24,397,160,24,351,201,23,307,242,17
17031800005,17,031,800005,396,178,13,13,384,203,11,448,137,13,413,165,18,383,187,23
17031800006,17,031,800006,467,276,37,22,464,310,26,568,205,29,503,260,36,473,276,40
17031800007,17,031,800007,202,182,7,12,237,158,7,299,94,10,235,143,18,222,151,19
17031800008,17,031,800008,286,312,13,13,295,300,21,409,193,19,346,254,20,313,277,25
17031800009,17,031,800009,523,286,19,36,532,294,35,649,181,34,594,231,29,536,272,39
17031800010,17,031,800010,244,171,16,15,247,185,9,306,128,7,273,151,18,246,173,17
17031800011,17,031,800011,207,161,15,4,209,170,7,271,104,9,232,135,13,215,154,10
17031800012,17,031,800012,223,148,16,8,239,143,14,311,79,8,257,131,11,239,143,13
17031800013,17,031,800013,291.37,223.26,15.01,20.01,312.36,223.27,12.02,399.47,129.17,18.01,336.41,190.23,19.02,305.37,209.24,23.02
17031800014,17,031,800014,398,264,22,18,413,258,28,528,153,27,450,214,35,409,239,38
17031800015,17,031,800015,177,124,9,7,189,119,7,233,82,2,205,101,10,189,112,12
17031800016,17,031,800016,208.59,160.18,10.07,14.06,235.64,147.17,11.06,293.02,93.78,12.09,253.74,130.03,13.1,231.68,141.08,21.08
17031800017,17,031,800017,300.41,221.82,12.93,10.94,309.36,220.83,10.94,379.98,147.22,16.91,327.26,193.97,18.9,317.32,203.92,15.92
17031800018,17,031,800018,278,179,14,9,274,183,19,335,122,22,301,156,24,269,166,31
17031800019,17,031,800019,182,156,16,9,196,150,15,251,95,18,215,130,16,197,140,21
17031800020,17,031,800020,179,130,6,8,177,135,10,243,77,6,200,113,9,191,117,10
17031800021,17,031,800021,361,380,13,14,368,381,15,514,242,14,431,308,19,398,332,21
17031800022,17,031,800022,381,338,18,13,384,334,18,530,195,19,425,296,22,394,308,26
17031800023,17,031,800023,265.08,158.26,18.79,12.86,268.05,168.15,16.81,307.61,131.55,12.86,277.94,155.29,20.77,274.97,159.25,15.83
17031800024,17,031,800024,393,365,24,10,391,389,12,580,197,14,472,301,14,435,322,15
17031800025,17,031,800025,329,300,14,6,353,289,8,464,176,11,394,233,15,382,244,15
17031800026,17,031,800026,288,187,17,12,307,191,14,376,130,12,334,164,16,320,171,20
17031800027,17,031,800027,239,154,8,7,245,154,8,315,89,7,263,133,10,255,137,8
17031800028,17,031,800028,178,56,5,6,177,67,3,206,39,4,188,49,8,178,59,8
17031800029,17,031,800029,372.11,462.97,18.11,19.07,378.2,472.07,18.05,550.91,298.32,22.1,456.38,383.85,26.09,396.3,426.89,31.07
17031800030,17,031,800030,592,743,29,19,647,711,26,938,430,26,766,574,39,720,613,35
17031800031,17,031,800031,288.78,215.12,8.84,8.84,293.69,222,5.9,376.2,139.49,6.88,335.93,180.75,8.84,314.32,192.53,16.7
17031800032,17,031,800032,174,155,7,7,173,158,11,228,113,6,193,139,10,180,147,9
17031800033,17,031,800033,246,65,5,6,251,68,10,259,56,12,260,58,8,252,64,11
17031800034,17,031,800034,368,247,17,21,395,232,23,491,147,16,438,194,18,409,209,24
17031800035,17,031,800035,324,144,11,11,325,148,14,381,95,11,349,123,16,324,138,24
17031800036,17,031,800036,227,288,14,18,246,299,15,343,203,15,287,251,22,251,277,21
17031800037,17,031,800037,236,387,16,6,245,385,9,357,266,13,295,330,11,263,349,18
17031800038,17,031,800038,198,180,17,12,219,177,13,290,105,13,234,149,19,214,171,13
