GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16USSDDUC,G16USSRKIR,G16USSLMCM,G16USSGSUM,G16USSOWRI,G16COMDMEN,G16COMRMUN,G16COMLBAL,G16COMGCUR
17049000401,17,049,000401,54,259,8,3,1,85,196,17,15,0,77,211,15,7
17049000501,17,049,000501,88.86,470.26,24.96,2,2,131.79,395.38,32.95,19.97,0,133.79,384.39,26.96,19.97
17049000601,17,049,000601,117,532,30,5,5,143,474,40,21,1,136,488,29,17
17049000701,17,049,000701,107,427,19,1,5,120,417,12,5,2,106,437,7,3
17049000702,17,049,000702,93.81,422.4,18.14,1.02,3.02,111.77,384.7,20.04,11.9,0,112.56,380.87,19.02,8.95
17049000703,17,049,000703,128.19,465.6,23.86,1.98,3.98,143.23,445.3,20.96,6.1,0,133.44,450.13,18.98,6.05
17049000704,17,049,000704,102,428,16,4,13,120,411,17,12,0,118,417,11,12
17049000801,17,049,000801,39,204,11,1,1,45,192,12,5,0,39,191,10,8
17049000901,17,049,000901,98,471,14,5,2,112,452,8,6,0,113,444,9,13
17049000902,17,049,000902,59.72,401.87,17.27,4.05,6.02,84.97,358.44,20.23,17.12,1.02,76.98,370.37,18.24,14.09
17049000903,17,049,000903,67.28,457.13,25.73,4.95,1.98,91.03,416.56,21.77,10.88,1.98,92.02,410.63,22.76,8.91
17049001001,17,049,001001,50,376,9,0,0,72,328,9,7,0,76,318,8,5
17049001101,17,049,001101,65,397,11,3,1,87,358,11,5,0,96,348,10,6
17049001102,17,049,001102,96,248,9,4,3,108,226,11,8,0,101,234,8,2
17049001103,17,049,001103,94,343,10,5,2,106,327,15,3,0,100,333,9,4
17049001104,17,049,001104,106,314,17,2,3,119,304,10,3,0,105,296,14,7
17049001105,17,049,001105,106,324,20,0,7,117,308,19,9,1,107,318,18,8
17049001106,17,049,001106,133,460,22,2,7,129,462,19,6,2,118,472,16,3
17049001107,17,049,001107,103,325,28,0,4,122,305,14,8,0,112,321,9,0
17049001108,17,049,001108,86.12,277.27,23.03,2.01,1.01,103.14,254.23,15.03,11.02,1,109.11,257.25,8.03,4.02
17049001109,17,049,001109,47,146,13,1,1,60,121,17,4,1,62,116,15,7
17049001110,17,049,001110,66,179,21,4,3,72,169,22,4,0,70,169,21,5
17049001111,17,049,001111,103.88,223.73,21.97,10.99,4.99,117.86,191.77,24.97,17.98,0,93.89,212.75,21.97,18.98
17049001112,17,049,001112,114,289,27,2,6,125,275,21,6,0,118,281,18,6
