GEOID,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREAFUE,G16PREOWRI
440010305001015,8.7,5.9,0.6,0.3,0,0.5
440010306023005,17.2,10.8,1,0.5,0,0.7
440010306021011,7,4.7,0.5,0.3,0,0.4
440010305002016,16.1,10.2,1,0.4,0,0.6
440010305001011,7,4.7,0.5,0.3,0,0.4
440010306021021,10.7,7.2,0.7,0.4,0,0.6
440010304002030,16.7,7.6,0.9,0.3,0.1,0.8
440010304002018,14.1,6.4,0.8,0.3,0,0.6
440010303001023,0,0,0,0,0,0
440010304002021,72.4,33.1,3.9,1.3,0.2,3.3
440010303001019,17.7,8.1,1,0.3,0.1,0.8
440010304001005,56.3,25.7,3.1,1,0.2,2.6
440010304002019,40.6,18.6,2.2,0.7,0.1,1.9
440010304003014,10.6,4.4,0.6,0.2,0,0.5
440010302001009,5,2.6,0.3,0.1,0,0.2
440010304002029,0,0,0,0,0,0
440010302002015,23.4,12,1.2,0.4,0.1,0.7
440010302003027,10.2,5.2,0.5,0.2,0,0.3
440010304003001,11.2,4.6,0.6,0.2,0,0.5
440010303002033,28.8,13.2,1.7,0.5,0,1.3
440010303003014,5.2,2.4,0.3,0.1,0,0.2
440010303002007,21.5,9.9,1.3,0.4,0,1
440010303002012,11.5,5.3,0.7,0.2,0,0.5
440010304001018,37.7,15.6,2,0.6,0,1.6
440010302003008,6.3,2.9,0.3,0.1,0,0.3
440010304001020,5.9,2.4,0.3,0.1,0,0.3
440010304002016,12,5.5,0.7,0.2,0,0.6
440010303003009,0,0,0,0,0,0
440010302001005,0,0,0,0,0,0
440010301004007,7.6,3.9,0.4,0.1,0,0.2
440010307004003,19.5,12.6,1,0.4,0,0.7
440010301003012,6.6,3.4,0.3,0.1,0,0.2
440010301001003,11.6,5.9,0.7,0.3,0,0.4
440010301001036,45.3,23,2.7,1,0.1,1.6
440010302001011,10.1,5.1,0.6,0.2,0,0.4
440010302001008,12.1,6.1,0.7,0.3,0,0.4
440010302001019,7.5,3.8,0.4,0.2,0,0.3
440010301001017,6,3.1,0.4,0.1,0,0.2
440010301003007,4.1,2.1,0.2,0.1,0,0.1
440010301003004,8.6,4.4,0.5,0.1,0,0.3
440010301002007,8.6,4.4,0.5,0.1,0,0.3
440010304003021,9.4,3.9,0.5,0.1,0,0.4
440010304003015,3.5,1.5,0.2,0.1,0,0.2
440010304003016,5.3,2.2,0.3,0.1,0,0.2
440010302002016,9.2,4.7,0.5,0.1,0,0.3
440010302003024,12.2,6.3,0.6,0.2,0,0.4
440010304003006,11.2,4.6,0.6,0.2,0,0.5
440010303001004,33.3,15.2,1.8,0.6,0.1,1.5
440010303002031,16.2,7.5,1,0.3,0,0.7
440010302003014,0,0,0,0,0,0
440010302002019,10.2,5.2,0.5,0.2,0,0.3
440010304003019,17.7,7.3,0.9,0.3,0,0.8
440010304003011,6.5,2.7,0.3,0.1,0,0.3
440010304001013,0,0,0,0,0,0
440010304001023,2.4,1,0.1,0,0,0.1
440010302003029,1,0.5,0.1,0,0,0
440010301002022,0,0,0,0,0,0
440010302001031,14.6,7.4,0.9,0.3,0,0.5
440010303001027,1,0.5,0.1,0,0,0
440010301003031,0,0,0,0,0,0
440010301004031,14.2,7.3,0.7,0.2,0,0.4
440010301004023,0,0,0,0,0,0
440010301004028,9.7,5,0.5,0.2,0,0.3
440010301001009,5.5,2.8,0.3,0.1,0,0.2
440010301004000,8.6,4.3,0.5,0.2,0,0.3
440010301001033,0,0,0,0,0,0
440010301004030,15.3,7.8,0.8,0.2,0,0.4
440010301001023,14.6,7.4,0.9,0.3,0,0.5
440010301001022,10.1,5.1,0.6,0.2,0,0.4
440010301001020,10.1,5.1,0.6,0.2,0,0.4
440010301001016,12.6,6.4,0.7,0.3,0,0.4
440010301001026,9.6,4.8,0.6,0.2,0,0.3
440010301003025,7.6,3.9,0.4,0.1,0,0.2
440010301002020,0,0,0,0,0,0
440010301002017,7.6,3.9,0.4,0.1,0,0.2
440010301002016,15.8,8.1,0.8,0.2,0,0.5
440010301003024,7.1,3.7,0.4,0.1,0,0.2
440010303001006,9.9,4.5,0.5,0.2,0,0.5
440010303001020,22.4,10.2,1.2,0.4,0.1,1
440010303001013,8.9,4,0.5,0.2,0,0.4
440010303001015,0,0,0,0,0,0
440010302001037,0,0,0,0,0,0
440010304002010,11.5,5.2,0.6,0.2,0,0.5
440010304002028,0,0,0,0,0,0
440010303002027,7.8,3.6,0.5,0.1,0,0.4
440010303003021,10.5,4.8,0.6,0.2,0,0.5
440010304001010,33.6,13.9,1.8,0.5,0,1.4
440010302003012,57,26.2,3.4,1.1,0.1,2.6
440010302003001,63.3,29.1,3.8,1.2,0.1,2.9
440010301003022,8.8,3.6,0.5,0.1,0,0.4
440010303002019,0,0,0,0,0,0
440010301004019,3.1,1.6,0.2,0,0,0.1
440010303003008,60.2,27.6,3.6,1.1,0.1,2.7
440010304003010,0,0,0,0,0,0
440010303002014,0,0,0,0,0,0
440010302001007,84.5,42.9,5,1.9,0.2,3
440010302001012,0.5,0.3,0,0,0,0
440010302002006,92.6,47.5,4.8,1.4,0.2,2.7
440010301004015,10.7,5.5,0.6,0.2,0,0.3
440010303002020,14.1,6.5,0.9,0.3,0,0.6
440010301001025,7.5,3.8,0.4,0.2,0,0.3
440010303003000,94.7,43.5,5.7,1.8,0.1,4.3
440010304002002,13.5,5.6,0.7,0.2,0,0.6
440010304003020,25.9,10.7,1.4,0.4,0,1.1
440010304002004,36.5,15.1,1.9,0.5,0,1.6
440010303003016,22.5,10.3,1.4,0.4,0,1
440010303002004,26.7,12.3,1.6,0.5,0,1.2
440010304003000,187.3,77.3,9.8,2.8,0,8
440010301003010,16.8,8.6,0.9,0.3,0,0.5
440010301003008,9.7,5,0.5,0.2,0,0.3
440010301001011,0,0,0,0,0,0
440010301001021,6.5,3.3,0.4,0.1,0,0.2
440010302001010,12.6,6.4,0.7,0.3,0,0.4
440010303002000,15.2,7,0.9,0.3,0,0.7
440010309023052,0,0,0,0,0,0
440010309022008,11.3,7.8,0.8,0.2,0,0.5
440010308004007,0,0,0,0,0,0
440010309022026,54,37.6,3.7,1.2,0,2.4
440010309022016,0,0,0,0,0,0
440010309021014,7.3,4.7,0.4,0.2,0,0.3
440010309024003,4.6,2.9,0.2,0.1,0,0.2
440010309024006,6.1,3.9,0.3,0.1,0,0.2
440010307001004,23.2,14.9,1.2,0.5,0,0.8
440010307004012,39.4,25.4,2,0.8,0,1.4
440010307004016,11.8,5.8,1.2,0.3,0,0.5
440010307004020,16.5,8.2,1.7,0.4,0,0.8
440010307001012,26.9,17.3,1.4,0.6,0,0.9
440010307001002,13.9,10.7,1.2,0.6,0.1,0.5
440010307004023,22.4,11.1,2.3,0.6,0.1,1
440010308003007,5.9,3.2,0.4,0.1,0,0.2
440010307003007,24.7,12.2,2.5,0.6,0.1,1.2
440010308003000,11.2,6,0.8,0.2,0,0.4
440010309011025,6.7,6.3,0.6,0.2,0,0.3
440010307001001,6,4.1,0.3,0.1,0,0.2
440010309012015,11.6,10.5,1.1,0.3,0,0.5
440010309012046,14,12.6,1.4,0.3,0.1,0.6
440010309013020,4,2.7,0.2,0.1,0,0.1
440010307001007,3.4,2.6,0.3,0.2,0,0.1
440010307002005,20.6,13.2,1.5,0.6,0,1
440010302001030,7,3.6,0.4,0.2,0,0.3
440010301004008,3.6,1.8,0.2,0.1,0,0.1
440010308003003,10.4,5.6,0.8,0.2,0,0.4
440010309023046,0,0,0,0,0,0
440010309023033,0,0,0,0,0,0
440010309023040,0,0,0,0,0,0
440010309024011,162.4,104.6,8.3,3.5,0.2,5.7
440010309011034,22.3,21,1.9,0.5,0.1,1.1
440010309021007,8.9,5.7,0.5,0.2,0,0.3
440010309023009,14,9.7,1,0.3,0,0.6
440010309022044,2.3,1.6,0.2,0,0,0.1
440010309023015,12.6,8.8,0.9,0.3,0,0.6
440010309023018,17.6,12.2,1.2,0.4,0,0.8
440010307004011,19.2,12.4,1,0.4,0,0.7
440010307003003,0,0,0,0,0,0
440010301001018,8.1,4.1,0.5,0.2,0,0.3
440010301001028,9.6,4.8,0.6,0.2,0,0.3
440010303003018,83.2,38.2,5,1.6,0.1,3.8
440010303003023,13.6,6.2,0.8,0.3,0,0.6
440010303002008,20.4,9.4,1.2,0.4,0,0.9
440010303002011,8.4,3.8,0.5,0.2,0,0.4
440010303003020,8.9,4.1,0.5,0.2,0,0.4
440010302002010,3.1,1.4,0.2,0.1,0,0.1
440010303002029,12,5.5,0.7,0.2,0,0.6
440010303002030,8.9,4.1,0.5,0.2,0,0.4
440010304003012,19.4,8,1,0.3,0,0.8
440010304002005,30,12.4,1.6,0.4,0,1.3
440010304002011,13,5.9,0.7,0.2,0,0.6
440010304003007,11.8,4.9,0.6,0.2,0,0.5
440010304001025,9.4,3.9,0.5,0.1,0,0.4
440010304001001,9.4,3.9,0.5,0.1,0,0.4
440010301001012,0,0,0,0,0,0
440010302003028,4.7,1.9,0.2,0.1,0,0.2
440010303001028,6.3,2.9,0.3,0.1,0,0.3
440010304003031,0,0,0,0,0,0
440010302002001,29.7,15.1,1.7,0.7,0.1,1.1
440010301004026,18.8,9.6,1,0.3,0,0.5
440010301004016,11.2,5.7,0.6,0.2,0,0.3
440010301003029,7.7,3.2,0.4,0.1,0,0.3
440010301004018,0,0,0,0,0,0
440010301004004,13.6,6.9,0.8,0.3,0,0.5
440010301001007,9.6,4.8,0.6,0.2,0,0.3
440010301001014,10.6,5.4,0.6,0.2,0,0.4
440010301001000,6,3.1,0.4,0.1,0,0.2
440010302001014,4,2,0.2,0.1,0,0.1
440010301003005,13.2,6.8,0.7,0.2,0,0.4
440010301003026,6.6,3.4,0.3,0.1,0,0.2
440010301002001,9.7,5,0.5,0.2,0,0.3
440010304003024,5.9,2.4,0.3,0.1,0,0.3
440010301001027,4.5,2.3,0.3,0.1,0,0.2
440010301002018,4.1,2.1,0.2,0.1,0,0.1
440010301002006,11.7,6,0.6,0.2,0,0.3
440010304003026,0,0,0,0,0,0
440010302001034,21.6,11,1.3,0.5,0,0.8
440010302002002,12.7,6.5,0.7,0.2,0,0.4
440010302002004,1.5,0.8,0.1,0,0,0
440010302003026,23.9,12.3,1.2,0.4,0.1,0.7
440010303002009,8.9,4.1,0.5,0.2,0,0.4
440010303002024,6.8,3.1,0.4,0.1,0,0.3
440010303002023,3.1,1.4,0.2,0.1,0,0.1
440010302002009,5.6,2.9,0.3,0.1,0,0.2
440010303002028,7.8,3.6,0.5,0.1,0,0.4
440010303001011,19.3,8.8,1.1,0.4,0.1,0.9
440010304001016,21.2,8.8,1.1,0.3,0,0.9
440010304001024,10.6,4.4,0.6,0.2,0,0.5
440010304001022,35.9,14.8,1.9,0.5,0,1.5
440010302002005,15.8,8.1,0.8,0.2,0,0.5
440010301001002,2,1,0.1,0,0,0.1
440010301001005,5,2.6,0.3,0.1,0,0.2
440010308002013,8.5,5.4,0.6,0.2,0,0.4
440010308002017,24.8,15.9,1.9,0.7,0,1.2
440010308002018,2.5,1.6,0.2,0.1,0,0.1
440010308002024,3.9,2.1,0.3,0.1,0,0.1
440010308001009,2.5,1.6,0.2,0.1,0,0.1
440010308003013,0,0,0,0,0,0
440010308002027,1.3,0.7,0.1,0,0,0
440010309022005,5.9,4.1,0.4,0.1,0,0.3
440010309022017,10.8,7.5,0.7,0.2,0,0.5
440010309024017,0,0,0,0,0,0
440010309011007,7.7,7.2,0.7,0.2,0,0.4
440010309022007,22.1,15.3,1.5,0.5,0,1
440010308004004,77.3,41.5,5.7,1.5,0.1,2.6
440010309024010,9.4,6.4,0.5,0.2,0,0.3
440010309012024,10.6,9.6,1,0.2,0,0.4
440010309023038,0,0,0,0,0,0
440010309023025,0,0,0,0,0,0
440010309021012,0,0,0,0,0,0
440010309022014,11.7,8.1,0.8,0.3,0,0.5
440010309021005,15.3,14.4,1.3,0.4,0.1,0.7
440010308002000,15.8,10.1,1.2,0.4,0,0.7
440010309013001,0,0,0,0,0,0
440010308003011,0,0,0,0,0,0
440010309011015,17.3,16.3,1.5,0.4,0.1,0.8
440010309012036,22.2,20,2.2,0.5,0.1,0.9
440010309024009,2.3,1.6,0.1,0,0,0.1
440010309012018,9.6,8.6,0.9,0.2,0,0.4
440010309013018,6.9,4.7,0.4,0.1,0,0.2
440010308001015,7.1,4.9,0.4,0.1,0,0.3
440010308002004,15.8,10.1,1.2,0.4,0,0.7
440010308001014,19.2,13.1,1.1,0.4,0.1,0.7
440010308001017,7,4.5,0.5,0.2,0,0.3
440010308002028,1.7,0.9,0.1,0,0,0.1
440010308003014,0.3,0.2,0,0,0,0
440010308002030,0,0,0,0,0,0
440010308002006,9.6,6.1,0.7,0.3,0,0.4
440010308004003,70,37.7,5.2,1.4,0.1,2.4
440010309024015,23.9,18.4,2.1,1.1,0.2,0.9
440010309023003,4.5,3.1,0.3,0.1,0,0.2
440010308003008,4.5,2.4,0.3,0.1,0,0.2
440010309011030,9.3,8.8,0.8,0.2,0,0.5
440010309013036,6,4.1,0.3,0.1,0,0.2
440010308001016,17.2,11,1.3,0.5,0,0.8
440010309022024,11.3,7.8,0.8,0.2,0,0.5
440010309012003,16.4,14.8,1.6,0.4,0.1,0.7
440010309023050,0,0,0,0,0,0
440010309023056,0,0,0,0,0,0
440010309021003,80.9,76.2,6.9,1.9,0.3,3.9
440010309022027,12.2,8.5,0.8,0.3,0,0.5
440010309024002,87.6,56.4,4.5,1.9,0.1,3.1
440010309022045,9,6.3,0.6,0.2,0,0.4
440010309023012,11.3,7.8,0.8,0.2,0,0.5
440010309012017,94.9,85.7,9.4,2.2,0.3,4
440010309023017,7.7,5.3,0.5,0.2,0,0.3
440010309022041,5.9,4.1,0.4,0.1,0,0.3
440010309012032,11.6,10.5,1.1,0.3,0,0.5
440010307004007,1.5,0.7,0.1,0,0,0.1
440010307001005,19.5,12.6,1,0.4,0,0.7
440010307001000,31.2,24,2.8,1.4,0.2,1.2
440010307004008,13.8,6.8,1.4,0.4,0,0.6
440010307004019,6.2,3.1,0.6,0.2,0,0.3
440010307002001,23.2,11.5,2.3,0.6,0.1,1.1
440010302002008,0,0,0,0,0,0
440010302002021,15.3,7.8,0.8,0.2,0,0.4
440010303002001,27.2,12.5,1.6,0.5,0,1.2
440010303002032,19.4,8.9,1.2,0.4,0,0.9
440010303002034,27.7,12.7,1.7,0.5,0,1.3
440010303002026,35.1,16.1,2.1,0.7,0.1,1.6
440010302003022,13.1,6,0.8,0.2,0,0.6
440010302003013,6.3,2.9,0.4,0.1,0,0.3
440010302003010,7.3,3.4,0.4,0.1,0,0.3
440010302003030,7.3,3.4,0.4,0.1,0,0.3
440010304002007,0,0,0,0,0,0
440010303001012,4.2,1.9,0.2,0.1,0,0.2
440010302003005,9.9,4.5,0.5,0.2,0,0.5
440010302003018,1.6,0.7,0.1,0,0,0.1
440010302003007,3.6,1.7,0.2,0.1,0,0.2
440010302003002,4.7,2.1,0.3,0.1,0,0.2
440010303002002,5.2,2.4,0.3,0.1,0,0.2
440010302002023,22.4,11.5,1.2,0.3,0,0.6
440010309023045,0,0,0,0,0,0
440010309022001,11.7,8.1,0.8,0.3,0,0.5
440010309022012,0,0,0,0,0,0
440010309021017,2.1,1.4,0.1,0,0,0.1
440010309021004,5.7,5.3,0.5,0.1,0,0.3
440010309021009,3.1,2,0.2,0.1,0,0.1
440010309023011,41.9,29.1,2.9,0.9,0,1.9
440010309023030,0,0,0,0,0,0
440010307004000,15.6,10,0.8,0.3,0,0.5
440010309022040,1.8,1.3,0.1,0,0,0.1
440010309024012,26.9,17.3,1.4,0.6,0,0.9
440010309024014,8.5,5.5,0.4,0.2,0,0.3
440010308001001,4.6,3.1,0.3,0.1,0,0.2
440010308001002,0,0,0,0,0,0
440010307004014,0,0,0,0,0,0
440010309011001,0.7,0.6,0.1,0,0,0
440010309011008,20.3,19.1,1.7,0.5,0.1,1
440010309012035,9.2,8.3,0.9,0.2,0,0.4
440010309012050,12.3,11.1,1.2,0.3,0,0.5
440010308001004,34,23.2,1.9,0.7,0.1,1.2
440010309013039,6.9,4.7,0.4,0.1,0,0.2
440010309012051,11.3,10.2,1.1,0.3,0,0.5
440010309012038,20.8,18.8,2.1,0.5,0.1,0.9
440010309012025,63.2,57,6.2,1.4,0.2,2.7
440010309011035,34.5,31.1,3.4,0.8,0.1,1.5
440010305003006,6.3,4.3,0.4,0.2,0,0.3
440010305001020,3.1,2.1,0.2,0.1,0,0.2
440010305003031,12.5,7.9,0.8,0.3,0,0.5
440010305001014,7.5,5.1,0.5,0.3,0,0.4
440010306022006,4.6,2.9,0.3,0.1,0,0.2
440010306021017,15.4,9.7,0.9,0.4,0,0.6
440010306024000,6.1,3.8,0.4,0.2,0,0.2
440010306021019,6.1,3.8,0.4,0.2,0,0.2
440010306022003,13.9,8.8,0.8,0.4,0,0.6
440010306022012,36.1,22.8,2.2,1,0.1,1.4
440010306012029,8.4,7.9,0.6,0.2,0,0.4
440010306012009,8.1,7.6,0.6,0.2,0,0.4
440010306013005,54.8,51.4,4,1.2,0.3,2.6
440010306012014,3.5,3.3,0.3,0.1,0,0.2
440010306012001,14.5,13.6,1.1,0.3,0.1,0.7
440010306013007,1.3,1.2,0.1,0,0,0.1
440010308003009,0,0,0,0,0,0
440010309022003,0,0,0,0,0,0
440010309022018,7.7,5.3,0.5,0.2,0,0.3
440010309021015,20.5,13.2,1.1,0.4,0,0.7
440010309011020,6.3,6,0.5,0.1,0,0.3
440010309023032,0,0,0,0,0,0
440010309023021,0,0,0,0,0,0
440010309012008,13.7,12.3,1.3,0.3,0,0.6
440010309012023,16.7,15.1,1.6,0.4,0.1,0.7
440010309023001,9.5,6.6,0.7,0.2,0,0.4
440010309012002,3.4,3.1,0.3,0.1,0,0.1
440010309022021,8.1,5.6,0.6,0.2,0,0.4
440010309022004,1.8,1.3,0.1,0,0,0.1
440010309022023,11.7,8.1,0.8,0.3,0,0.5
440010309023053,0,0,0,0,0,0
440010309021006,0,0,0,0,0,0
440010305003001,8.2,5.6,0.5,0.3,0,0.4
440010305003021,9.7,6.1,0.6,0.3,0,0.4
440010305002015,3.2,2,0.2,0.1,0,0.1
440010307002000,87.7,56,6.5,2.5,0.1,4.1
440010307003004,19.4,9.6,2,0.5,0.1,0.9
440010308003021,16.1,8.7,1.2,0.3,0,0.5
440010308003018,0,0,0,0,0,0
440010309011006,27.6,26,2.4,0.6,0.1,1.3
440010309011028,76.9,72.4,6.5,1.8,0.3,3.7
440010308001019,10.1,6.5,0.8,0.3,0,0.5
440010309012034,11.6,10.5,1.1,0.3,0,0.5
440010309013011,12.6,8.6,0.7,0.3,0.1,0.5
440010309012021,13.3,12,1.3,0.3,0,0.6
440010309012045,9.2,8.3,0.9,0.2,0,0.4
440010309013021,7.7,5.3,0.4,0.2,0,0.3
440010309013014,4.6,3.1,0.3,0.1,0,0.2
440010309013022,7.4,5.1,0.4,0.2,0,0.3
440010309013029,6.3,4.3,0.3,0.1,0,0.2
440010308002002,53.3,34.1,4,1.5,0.1,2.5
440010308003015,0,0,0,0,0,0
440010308004011,0,0,0,0,0,0
440010308002016,10.1,6.5,0.8,0.3,0,0.5
440010308002015,12.7,8.1,0.9,0.4,0,0.6
440010308003025,0,0,0,0,0,0
440010309024005,31.1,20.1,1.6,0.7,0,1.1
440010302001002,0.5,0.3,0,0,0,0
440010302001000,0,0,0,0,0,0
440010303003004,0,0,0,0,0,0
440010301001010,3.5,1.8,0.2,0.1,0,0.1
440010301004020,7.6,3.9,0.4,0.1,0,0.2
440010309023026,2.7,1.8,0.1,0.1,0,0.1
440010309023035,2.7,1.9,0.2,0.1,0,0.1
440010309023041,0,0,0,0,0,0
440010309023004,30.6,21.3,2.1,0.7,0,1.4
440010309022042,5.4,3.8,0.4,0.1,0,0.2
440010309022033,52.2,36.3,3.6,1.1,0,2.3
440010309023016,10.4,7.2,0.7,0.2,0,0.5
440010309022035,11.3,7.8,0.8,0.2,0,0.5
440010309024016,9.8,6.3,0.5,0.2,0,0.3
440010309024001,0,0,0,0,0,0
440010307004010,13.2,6.6,1.3,0.3,0,0.6
440010307001008,7.7,5.9,0.7,0.3,0.1,0.3
440010307003005,20.6,10.2,2.1,0.5,0.1,1
440010308003002,13.7,7.4,1,0.3,0,0.5
440010309013004,5.4,3.7,0.3,0.1,0,0.2
440010309012010,13.7,12.3,1.3,0.3,0,0.6
440010309012020,10.9,9.9,1.1,0.2,0,0.5
440010309013005,0,0,0,0,0,0
440010309013034,0,0,0,0,0,0
440010307003000,22.8,14.6,1.7,0.6,0,1.1
440010308001018,17.8,11.4,1.3,0.5,0,0.8
440010308001011,9.9,6.3,0.7,0.3,0,0.5
440010308002026,15.4,8.3,1.1,0.3,0,0.5
440010308001005,3.7,2.5,0.2,0.1,0,0.1
440010308004008,10.6,5.7,0.8,0.2,0,0.4
440010309013031,3.1,2.1,0.2,0.1,0,0.1
440010307004002,0,0,0,0,0,0
440010307003008,13.2,6.6,1.3,0.3,0,0.6
440010308003023,0.7,0.4,0,0,0,0
440010309013030,0,0,0,0,0,0
440010309021002,6,5.6,0.5,0.1,0,0.3
440010306012010,0,0,0,0,0,0
440010305003019,3.9,2.5,0.2,0.1,0,0.2
440010305001012,12.6,8.5,0.8,0.5,0.1,0.7
440010306021002,10.2,6.9,0.7,0.4,0,0.5
440010306012017,6.8,6.3,0.5,0.1,0,0.3
440010306013006,47.4,44.4,3.5,1,0.2,2.2
440010306022011,8.9,5.6,0.5,0.2,0,0.4
440010306022019,52.2,33,3.1,1.4,0.1,2.1
440010305003013,5.8,3.9,0.4,0.2,0,0.3
440010306013008,0.3,0.3,0,0,0,0
440010306024020,0,0,0,0,0,0
440010306011011,0,0,0,0,0,0
440010305001004,8,5.4,0.5,0.3,0,0.4
440010306011025,0,0,0,0,0,0
440010306011001,0,0,0,0,0,0
440010305001010,0,0,0,0,0,0
440010306023006,18.6,11.7,1.1,0.5,0,0.7
440010306011019,3.9,3.6,0.3,0.1,0,0.2
440010305003024,6.4,4.1,0.4,0.2,0,0.3
440010305001023,4.1,2.8,0.3,0.1,0,0.2
440010305002012,6.3,4.3,0.4,0.2,0,0.3
440010305002007,15.3,10.3,1,0.6,0.1,0.8
440010306011023,3.6,2.5,0.2,0.1,0,0.2
440010306024006,13.6,8.6,0.8,0.4,0,0.5
440010306024011,13.9,8.8,0.8,0.4,0,0.6
440010306023007,13.2,8.4,0.8,0.4,0,0.5
440010306022013,36.8,23.3,2.2,1,0.1,1.5
440010306023020,8.6,5.4,0.5,0.2,0,0.3
440010306023015,17.5,11.1,1.1,0.5,0,0.7
440010306012004,22.9,21.5,1.7,0.5,0.1,1.1
440010306023018,1.8,1.1,0.1,0,0,0.1
440010306022004,8.2,5.2,0.5,0.2,0,0.3
440010306022005,5,3.2,0.3,0.1,0,0.2
440010306022017,1.4,0.9,0.1,0,0,0.1
440010306013014,1.3,1.2,0.1,0,0,0.1
440010305003012,4.1,2.8,0.3,0.1,0,0.2
440010306011008,16.4,15.4,1.2,0.3,0.1,0.8
440010306022015,4.3,2.7,0.3,0.1,0,0.2
440010306023017,41.1,26,2.5,1.1,0.1,1.6
440010306013002,0,0,0,0,0,0
440010309012030,12.3,11.1,1.2,0.3,0,0.5
440010309011010,26,24.5,2.2,0.6,0.1,1.3
440010309011012,33.3,31.4,2.8,0.8,0.1,1.6
440010309024007,5.1,3.5,0.3,0.1,0,0.2
440010309024022,10,6.8,0.6,0.2,0,0.4
440010309013002,117.5,80.1,6.5,2.4,0.5,4.2
440010308002003,15.5,9.9,1.2,0.4,0,0.7
440010309022028,6.8,4.7,0.5,0.1,0,0.3
440010309011023,2.7,2.5,0.2,0.1,0,0.1
440010309021000,4.3,4.1,0.4,0.1,0,0.2
440010309023039,0,0,0,0,0,0
440010309022009,17.6,12.2,1.2,0.4,0,0.8
440010309022019,0,0,0,0,0,0
440010309022029,0,0,0,0,0,0
440010309022048,0.5,0.3,0,0,0,0
440010309011033,36.9,33.3,3.6,0.8,0.1,1.6
440010305003035,26.1,16.5,1.6,0.7,0.1,1
440010307003006,53,33.9,4,1.5,0.1,2.5
440010309011018,12,11.3,1,0.3,0,0.6
440010309011019,7.7,7.2,0.7,0.2,0,0.4
440010309011009,2,1.9,0.2,0,0,0.1
440010309011016,6,5.6,0.5,0.1,0,0.3
440010309011026,1,0.9,0.1,0,0,0
440010309012033,8.2,7.4,0.8,0.2,0,0.3
440010309012040,18.1,16.3,1.8,0.4,0.1,0.8
440010309012007,9.2,8.3,0.9,0.2,0,0.4
440010309012014,5.1,4.6,0.5,0.1,0,0.2
440010309012044,15.4,13.9,1.5,0.4,0.1,0.6
440010309012043,9.2,8.3,0.9,0.2,0,0.4
440010309012011,8.5,7.7,0.8,0.2,0,0.4
440010309013017,7.4,5.1,0.4,0.2,0,0.3
440010309013007,5.1,3.5,0.3,0.1,0,0.2
440010308004000,0,0,0,0,0,0
440010307003001,22,14.1,1.6,0.6,0,1
440010309022046,7.2,5,0.5,0.2,0,0.3
440010308002021,5.4,3.4,0.4,0.1,0,0.2
440010309012009,0,0,0,0,0,0
440010308003012,14.7,7.9,1.1,0.3,0,0.5
440010307004004,0,0,0,0,0,0
440010308002008,21.4,13.7,1.6,0.6,0,1
