GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRHAW,G18USSDMCC,G18USSLCAM,G18USSGCRA,G18USSIODE,G18AUDRMCD,G18AUDDGAL,G18AUDLOTO,G18AUDGFIT,G18AUDCLUE
29510000103,29,510,000103,140,430,11,6,12,116,434,16,10,9
29510000104,29,510,000104,17.83,46.93,0,0,0.94,14.08,48.81,0.94,0.94,0.94
29510000105,29,510,000105,94,782,7,4,4,80,771,17,14,3
29510000106,29,510,000106,113.3,991.66,3.87,6.78,5.81,96.84,967.45,20.34,9.68,4.84
29510000107,29,510,000107,120,1097,10,10,10,104,1079,28,14,12
29510000108,29,510,000108,45,413,6,4,5,42,408,6,10,1
29510000109,29,510,000109,92,758,7,3,10,85,737,19,13,3
29510000111,29,510,000111,290,500,10,3,7,224,547,19,0,5
29510000112,29,510,000112,344,590,5,6,8,256,652,14,5,9
29510000113,29,510,000113,227,675,6,5,7,178,701,12,4,10
29510000115,29,510,000115,227,678,6,2,11,195,679,19,5,9
29510000116,29,510,000116,258,525,5,2,8,200,563,7,4,10
29510000117,29,510,000117,253,515,1,1,8,213,523,19,9,3
29510000118,29,510,000118,90.7,231,4.09,4.07,6.12,74.12,243.3,7.17,5.09,1.15
29510000119,29,510,000119,34,305,4,3,0,33,299,6,4,1
29510000122,29,510,000122,50,361,4,2,1,46,357,3,5,3
29510000124,29,510,000124,44.74,612.99,3.81,2.86,2.86,42.83,596.81,8.57,8.57,1.9
29510000125,29,510,000125,188,1327,6,3,4,181,1302,14,10,3
