GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDSMI,G18GOVRMCM,G18GOVOWRI,G18SOSDWHI,G18SOSRHAM,G18SOSOWRI,G18TREDGLE,G18TREWGLE,G18TRERLOF,G18TREAWOR,G18TREOWRI,G18ATGDANA,G18ATGWANA,G18ATGRWIL,G18ATGOWRI,G18COMRECK,G18COMOWRI,G18SPIRMIT,G18SPIOWRI,G18AGRUNEL,G18AGRGEDM,G18AGRRWEA,G18AGROWRI
45013000219,45,013,000219,243.2,278.1,0.9,223.4,294.1,0,206.5,7.5,292.2,8.5,0,217.8,5.7,296,0,356.4,7.5,308.3,0,11.3,99.9,304.5,0.9
45013000220,45,013,000220,540.4,550.8,4,475.4,596.7,0,449.6,20.8,575,22.8,4,474.4,22.8,574,3,738.9,14.9,607.8,10,44.8,209.7,623.7,3
45013000221,45,013,000221,239,659,1,197,702,1,197,5,692,8,1,196,5,694,3,754,3,708,3,13,76,705,3
45013000222,45,013,000222,581.4,576.3,0,508.4,625.3,1,492.3,32,603.3,14,0,502.3,21,620.3,1,761.6,9,647.4,9,65.2,181.5,644.4,3
45013000223,45,013,000223,371.3,418.9,0.1,306.9,464.3,0,296,5.4,464.2,4.5,0,301.6,8.2,460.5,0,554,5.4,478,8.9,33.3,118.7,493.6,0.1
45013000224,45,013,000224,221.1,299.6,0,209.4,314,0,193.2,7.1,311.7,4.4,0,198.1,7.4,307.6,0,359.3,8.2,330.2,4.4,20.6,59.3,321.4,0
45013000225,45,013,000225,363,383,1,337,404,0,309,14,403,14,0,338,12,393,0,505,18,410,3,17,165,415,3
45013000226,45,013,000226,223.3,354.9,1,188.4,386.7,0,183.1,5,378,7.1,0,191.3,5.1,386.6,0,435.4,3,404,1.1,14.1,57.9,400,0
45013000227,45,013,000227,174,181,0,155,193,0,153,2,195,1,0,162,2,190,0,246,7,208,8,7,60,212,1
45013000228,45,013,000228,225.8,368.7,0.1,213.4,376.1,0,193.7,1.2,386.9,6.8,0,208.8,6.8,369.4,0,432.1,3.9,395.9,7.5,10,74.5,398.8,0
