GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PREASKE,G16USSDDIX,G16USSRSCO,G16USSLBLE,G16USSASCA,G16USSOWRI
45019000511,45,019,000511,262.15,342.58,34.08,7.05,10.93,1.01,1.05,170.65,453.93,11.12,5.97,0.02
45019000512,45,019,000512,273.52,314.31,50.99,5.56,17.62,2.78,0.93,170.6,463.59,18.54,2.78,0
45019000513,45,019,000513,358.11,357.84,40.89,10.81,16.46,0.29,1.01,271.29,475.95,28.67,3.97,0
45019000514,45,019,000514,460,447,51,17,17,3,1,375,565,20,9,1
45019000515,45,019,000515,475.95,126.13,24.63,1.97,4.93,2.96,0.99,401.06,213.83,8.87,0,0
45019000516,45,019,000516,250.93,377.87,43.3,11.81,12.79,0,2.95,189.92,474.3,23.62,3.94,0
45019000517,45,019,000517,442.07,608.13,57.7,16.19,17.21,3,0.05,361.08,742.7,21.38,5.06,3
45019000518,45,019,000518,752.35,316.4,35.45,11.85,7.79,3.18,2.05,640.84,435.94,19.69,4.16,2.08
45019000519,45,019,000519,143.76,18.46,3.89,4.86,0.97,0.97,0,126.28,45.65,0.97,0,0.97
45019000520,45,019,000520,813.79,485.7,52.75,30.76,28.74,6.73,1.91,686.01,687.46,24.91,5.74,2.9
45019000521,45,019,000521,291.38,251.85,32.12,7.62,9.93,3.93,0.07,209.11,371.47,11.78,1.25,0
45019000522,45,019,000522,286.33,317.78,34.52,9.32,4.3,1.07,0.02,200.08,412.81,10.25,0.06,3.03
45019000523,45,019,000523,332.76,254.67,32.4,13.22,8.2,6.05,1.01,310.79,304.13,22.18,0.04,0.02
45019000524,45,019,000524,452,203,26,7,9,1,0,376,291,14,1,1
45019000525,45,019,000525,428.66,248.36,47.78,10.26,11.35,4.15,1.1,376.98,331.23,21.68,6.12,1.02
45019000526,45,019,000526,409.24,326.6,48.79,6.97,8.96,1,1,336.55,445.09,14.94,4.98,1
45019000527,45,019,000527,1007.83,918.82,99.73,15.28,32.2,6.31,7.17,796.13,1189.94,43.96,5.43,1.8
45019000528,45,019,000528,824.67,838.39,88.4,5.9,15.02,7.78,0.89,668.31,1024.12,36.47,6.67,0.22
45019000529,45,019,000529,860.65,931.7,114.66,18.62,22.54,8.81,6.85,651.97,1220.79,44.08,9.8,1.96
45019000530,45,019,000530,510.37,447.53,61.98,17.95,15.15,8.97,2.97,412.29,612.43,26.05,3.02,0.01
45019000531,45,019,000531,330.63,371.47,36.02,7.05,18.85,3.03,0.03,266.71,463.57,18.95,2.98,0.99
45019000532,45,019,000532,331.03,554.14,42.25,8.31,13.55,1.16,0.25,252.76,654.78,17.83,3.08,0.16
45019000533,45,019,000533,169.52,275.6,18.84,3.97,0,0,0,121.94,319.22,11.9,0.99,0
45019000534,45,019,000534,425.16,717.18,58.77,14.69,17.45,1.84,2.75,310.38,903.59,9.18,0.92,1.84
45019000535,45,019,000535,393.55,652.92,50.28,9.86,15.73,1.97,0,268.33,803.67,28.6,0.01,0
45019000536,45,019,000536,413.11,711.22,58.7,8.81,20.53,3.92,2.95,275.96,886.47,26.48,1.07,0.97
45019000537,45,019,000537,899.12,1193.91,106.19,16.9,43.57,0.05,4.93,680.6,1471.93,48.74,8.87,2.95
45019000601,45,019,000601,506.41,19.99,1.33,2,4.74,0.02,0.94,466.8,58.6,3.1,0.09,0.02
45019000602,45,019,000602,247.11,31.77,4.52,1.31,0.33,0.04,0.04,237.77,45.76,3.41,0.22,0.04
45019000603,45,019,000603,318.03,470.83,27.93,6.74,7.7,0,0.96,284.33,521.88,4.82,3.85,0
45019000604,45,019,000604,567,73,8,4,0,3,1,528,95,6,1,0
45019000605,45,019,000605,960.78,57.03,8,6,0,2.01,3,900.72,107.08,6.01,9.01,0
45019000606,45,019,000606,779.22,30.97,4,4,4,5.99,4,724.28,76.92,5.99,7.99,1
45019000607,45,019,000607,781.36,62.79,4.98,3.99,0.02,1.99,0,708.54,111.71,3.99,0,3.98
45019000608,45,019,000608,293.22,204.76,36.78,10.93,3.98,0,0.99,233.58,294.22,19.88,0,0
45019000609,45,019,000609,587.8,332.38,51.38,13.19,7.03,3.03,1,512.01,435.38,27.23,5.12,4
45019000610,45,019,000610,686,167,15,4,9,3,1,643,202,13,8,1
45019000611,45,019,000611,427.77,379.36,44.28,15.86,15.4,2.21,0,329.97,514.6,16.86,5.05,0
45019000612,45,019,000612,308,230,49,7,24,4,1,248,355,16,2,1
45019000613,45,019,000613,368.49,41.1,0,2.74,3.42,2.74,0.68,345.89,58.9,2.05,4.11,0
45019000614,45,019,000614,173.2,71.5,10.56,7.02,0.59,1.75,0,147.44,100.81,7.03,5.84,0
45019000615,45,019,000615,611.53,102.28,18.02,10.02,0,4.01,0,566.2,143.5,13.02,5,1.02
45019000616,45,019,000616,454,105,9,7,0,1,0,401,160,10,0,1
45019000617,45,019,000617,590.99,64.05,3.93,3.79,1.71,1.44,3.32,548.45,107.38,6.79,3.11,0.13
45019000618,45,019,000618,593.01,136.16,15.63,8.93,2.23,2.98,0,523.82,205.36,14.14,3.72,2.23
45019000619,45,019,000619,659.05,135.75,8.22,6.41,4.6,3.8,1,605.37,189.42,12.82,4,0.6
45019000620,45,019,000620,221,213,8,6,0,1,0,191,236,6,2,3
45019000621,45,019,000621,522.76,205.36,20.91,11.96,3.02,0.05,0,461.74,269.45,15.95,4.96,1.01
45019000622,45,019,000622,640.71,222.58,16.31,11.17,8.01,2.99,0,593.74,288.48,11.25,1.09,1.02
45019000623,45,019,000623,754,544.27,40.9,8.43,7.68,3.07,0,636.71,641.57,32.09,7.88,0.54
45019000624,45,019,000624,1049.89,371.08,30.89,27.34,7.52,2.21,2,957.79,473.25,25.2,9.44,2.96
45019000625,45,019,000625,384.63,50.21,3.11,6.08,0.03,1,3.98,339.56,86.39,5.07,2.03,0.01
45019000626,45,019,000626,213.16,34.98,2.35,0.84,0.02,0.76,0.01,202.34,45.83,0.83,0.78,0.01
45019000627,45,019,000627,511.8,173.26,10.02,2.14,3.1,1.44,1,464.26,214.49,4.64,10.14,0
45019000628,45,019,000628,320.01,82.76,8.68,1.07,1.16,3.54,0,282.76,117.82,5.76,0.97,0
45019000629,45,019,000629,324.02,159.37,7.5,1.97,2.76,0.04,0.01,304.1,183.88,4.69,0.98,0.01
45019000630,45,019,000630,867,299,20,18,4,2,7,807,355,14,6,2
45021000001,45,021,000001,69.53,616.51,5,5.9,1.01,1.09,2.95,79.3,569.2,10.99,7.93,3.91
45021000002,45,021,000002,581.46,415.66,5.86,5.91,5.06,0.97,3.87,533.78,408.38,15.31,7.23,1.93
45021000003,45,021,000003,103.43,761.58,12.05,2.06,7.03,2.99,4,143.56,679.25,24.06,7.15,0
45021000004,45,021,000004,81,712,7,7,4,0,1,99,686,9,2,0
45021000005,45,021,000005,173,446,7,0,1,1,0,172,421,13,5,1
45021000006,45,021,000006,164.56,716.75,23.03,2.04,1.03,4.01,4.03,169.28,651.69,35.1,6.05,0.01
45021000010,45,021,000010,210.8,712.21,9.28,2.78,3.71,2.77,2.77,226.31,660.49,12.97,9.26,0
45021000011,45,021,000011,164.07,801.27,7.01,5,8,5,0,174.07,772.26,20.01,8,0
45021000012,45,021,000012,283.88,112.84,4.51,0.16,0.12,0.02,0.96,269.08,102.68,6.48,4.51,0.05
45021000013,45,021,000013,551.04,127.67,6.07,4.02,5.01,0,0.03,515.73,139.51,5.13,6.08,1.01
45021000014,45,021,000014,455.62,134.88,8.7,1.11,2.07,0.23,0.23,409.25,142.13,7.23,4.28,0
45021000015,45,021,000015,422.98,377.57,11.54,5.68,6.67,1.02,0.02,386.01,392.97,8.18,9.48,0
45021000016,45,021,000016,259,390,10,4,5,1,1,223,410,12,4,2
45021000017,45,021,000017,164.22,428.42,7.31,1.63,1.63,4.06,0.81,147.98,414.61,8.13,6.5,0.81
45021000018,45,021,000018,300.74,1127.67,20.13,9.06,5.06,0.01,0,277.86,1136.35,17.16,5.1,0
45021000019,45,021,000019,109.47,659.75,5.86,1.95,1.95,5.86,0.98,109.47,638.25,12.71,5.86,0
45021000020,45,021,000020,97.67,709.7,15.96,7.94,7.05,0.99,0,111.08,670.16,19.93,11.92,0
45021000021,45,021,000021,254.73,236.8,5.55,0.99,0,0,0.13,253.67,208.86,5.8,2.6,0
45021000022,45,021,000022,33.96,274.25,1.29,0.05,0.15,2.14,1.11,30.46,266.22,5.56,0.52,0
45021000023,45,021,000023,153.12,692.9,9.04,1.81,0.91,0,0,135.96,682.97,18.05,2.71,0
45021000024,45,021,000024,101,715,7,5,3,0,0,106,695,10,2,0
45021000025,45,021,000025,307.35,749.16,9.14,2.89,7.8,5.92,1.17,291.7,736.46,16.68,7.31,0.19
45021000026,45,021,000026,59.91,543.19,3.99,0,3,0,0,73.89,502.25,7.99,6.99,0
45021000027,45,021,000027,303.59,301.62,4.91,0,5.89,0,0,277.06,309.48,4.91,0.98,0
45021000028,45,021,000028,327.55,119.83,0,1,3,0,1,293.59,128.82,2,3.99,0
45021000030,45,021,000030,69.38,538.23,9.27,1.06,2.77,0.02,0.07,89.76,502.31,12.16,2.02,1.01
45021000031,45,021,000031,178.08,780.58,10.92,0.13,0.33,1.05,1.03,197.78,712.1,24.3,9.24,1.08
45021000032,45,021,000032,17.38,345.33,4.56,0,1.83,1.82,2.73,23.76,319.82,4.56,8.2,0
45021000033,45,021,000033,99,620,10,1,2,10,0,86,606,23,8,4
45023000001,45,023,000001,481.22,248.59,7.86,0.18,0,0.18,0,470.53,190.8,11.09,13.62,0.18
45023000002,45,023,000002,106.05,370.21,5.89,0,7.86,0,0,112.93,323.07,7.86,9.82,0
45023000003,45,023,000003,426.97,390.99,9.02,1.01,3.01,3.02,3.03,425.95,365.82,9.1,11.06,0
45023000004,45,023,000004,190,257,8,4,5,0,1,198,238,4,4,1
45023000009,45,023,000009,258,601,17,2,5,4,3,271,562,19,6,1
45023000010,45,023,000010,566,309,12,5,0,0,3,569,265,7,11,0
45023000011,45,023,000011,482.22,671.69,12.21,2.08,8,2.05,0.11,480.72,627.16,20.25,4.17,0
45023000012,45,023,000012,114.95,98.79,0.11,2,0.14,0,0,117.07,87.93,1.14,1.18,0
45023000013,45,023,000013,163.51,399.47,9.14,1,5,2,0.05,175.6,356.32,17.51,9.14,1
45023000014,45,023,000014,87.29,191.21,4.44,0.74,1.85,0,0.37,93.94,179.01,7.03,1.11,0
45023000015,45,023,000015,148.71,325.79,7.56,1.26,3.15,0,0.63,160.06,304.99,11.97,1.89,0
45023000018,45,023,000018,198,528,10,7,1,0,0,226,490,11,6,0
45023000021,45,023,000021,415,620,16,4,9,4,5,442,562,27,3,0
45023000022,45,023,000022,267.62,528.26,8.99,4.99,7.99,3.99,2,268.62,499.3,19.97,3.99,0
45023000023,45,023,000023,114.49,217.53,2.86,0,0,0,0.95,116.4,193.68,10.49,2.86,0
45023000024,45,023,000024,242.27,179.16,1.03,1.01,0.01,0.01,0,223.32,166.02,8.02,3.03,1
45023000026,45,023,000026,392.03,395.01,3.98,1.99,0.99,2.98,4.97,388.05,362.18,18.9,10.94,0
45023000029,45,023,000029,566,219,12,5,1,2,3,566,188,21,4,2
45023000030,45,023,000030,350.78,71.41,4.14,0.82,0,0.82,0,329.47,74.2,0.91,3.38,0.82
45023000031,45,023,000031,394.6,279.87,10,2.08,3.02,2.06,2,362.48,268.49,13.04,7.06,0
45023000032,45,023,000032,445,135,13,0,1,0,0,419,135,11,1,0
45023000033,45,023,000033,175.4,237.13,0,3.92,0.98,2.94,0,169.52,218.51,1.96,2.94,0
45025000001,45,025,000001,158.41,278.93,1.94,1.94,0.97,4.86,0,164.25,269.21,0.97,2.92,0
45025000002,45,025,000002,39,207,1,1,4,3,1,48,187,5,3,0
45025000003,45,025,000003,90,149,2,0,0,1,0,97,129,3,3,0
45025000004,45,025,000004,549.06,364.96,9.05,1.01,4.02,2,3.01,530.06,343.8,10.13,1.03,0
45025000005,45,025,000005,384.29,303.19,9.01,0,3,2,1,381.28,304.18,6.01,1,0
45025000006,45,025,000006,354,259,0,0,0,1,3,346,235,8,5,1
45025000007,45,025,000007,344.82,491.42,15.13,5.02,1.08,3.06,3,311.36,504.46,13.11,5.06,1
45025000008,45,025,000008,299.18,278.58,6.87,0.98,3.92,2.94,0,275.64,280.54,5.89,2.94,0
45025000009,45,025,000009,758.16,252.46,6.01,1,8,4,3,706.19,267.42,6.02,6,1
45025000010,45,025,000010,447,344,16,5,5,2,1,442,349,12,3,1
45025000011,45,025,000011,355,713,9,1,4,0,1,340,698,13,2,2
45025000012,45,025,000012,136,436,8,1,4,0,0,163,381,6,6,0
45025000013,45,025,000013,259,491,2,1,11,3,0,264,451,17,10,1
45025000014,45,025,000014,463.09,631.11,16,3.02,1.01,8.04,0,477.13,601.04,16.99,2.03,1
45025000015,45,025,000015,407.94,660.1,10.71,10.71,9.74,0,0,396.25,639.65,23.37,6.82,0.97
45025000016,45,025,000016,77,412.52,11.28,4.29,4.26,0,0,89.67,392.98,17.62,2.18,0.03
45025000017,45,025,000017,67,178,2,1,1,2,0,73,173,1,1,0
45025000018,45,025,000018,71,425,6,1,7,5,0,97,385,16,5,0
45025000019,45,025,000019,526.08,605.35,9.89,3.07,3.29,7.14,0.22,517.17,582.72,9.67,3.59,0.3
45025000020,45,025,000020,395.4,510.31,11.13,0.93,3.71,1.87,2.78,371.33,489.9,8.35,7.41,3.7
45025000021,45,025,000021,167.06,246.38,11.01,2,3,1,3,164.08,234.36,9.02,3,0
45025000022,45,025,000022,37,161,1,0,0,0,0,43,153,0,0,0
45025000023,45,025,000023,261,388,6,1,4,1,0,257,341,12,6,0
45025000024,45,025,000024,142,277,4,0,5,0,0,152,265,2,3,0
45025000025,45,025,000025,70,247,10,1,4,5,2,77,236,7,5,0
45027000001,45,027,000001,361,281,8,1,0,2,1,335,298,7,3,0
45027000002,45,027,000002,57,390,0,0,0,0,1,52,387,1,1,0
45027000003,45,027,000003,51,105,1,0,4,0,0,60,104,0,0,0
45027000004,45,027,000004,131,231,3,0,0,0,0,135,220,5,4,0
45027000005,45,027,000005,419.78,84.24,7.06,0.01,2.06,0,0,398.74,90.16,3.07,3.03,0
45027000006,45,027,000006,531.75,603.45,14.94,3.98,2.99,2.99,2.99,504.86,602.45,17.92,7.97,1
45027000007,45,027,000007,286,265,4,0,1,0,0,283,262,4,1,0
45027000008,45,027,000008,95.53,441.84,2.99,0,1,0,2.99,103.49,433.88,7.96,1,0
45027000009,45,027,000009,57,256,1,0,1,0,0,54,250,3,4,0
45027000010,45,027,000010,341.69,741.43,4.54,5.39,8.07,1.8,1.8,295.01,723.52,17.99,8.99,0.9
45027000011,45,027,000011,275,150,3,0,1,0,0,264,156,3,1,0
45027000012,45,027,000012,355,233,10,0,1,0,1,310,259,5,4,0
45027000013,45,027,000013,284,497,15,0,9,3,0,262,514,8,1,0
45027000014,45,027,000014,595.54,100.58,2.99,0,3.98,1.99,0,544.75,126.48,4.98,1,1
45027000015,45,027,000015,388,290,4,3,6,0,1,349,308,10,4,0
45027000016,45,027,000016,177.47,263.16,1.01,1,0,2,1.01,179.51,255.12,5.04,1,0
45027000017,45,027,000017,507.47,289.7,17.98,4,11.99,2,3,479.5,305.68,9.99,3,2
45027000018,45,027,000018,175,48,1,1,1,0,0,154,59,3,0,0
45027000019,45,027,000019,282,111,0,0,0,0,1,268,108,3,1,0
45027000020,45,027,000020,507.79,666.6,13.72,1.96,9.8,1.96,1.96,446.04,685.23,9.8,3.92,1.96
45027000021,45,027,000021,194.84,73.74,0.4,1.09,4.25,0.09,0.05,183.04,75.37,5.28,3.15,0.04
45027000022,45,027,000022,622.46,121.42,4.01,0,0.02,0.01,0,572.25,137.52,3.02,3,0
45027000023,45,027,000023,280,626,3,0,1,0,4,274,616,5,8,1
45027000024,45,027,000024,569.74,317.92,3.05,3.05,3.05,5.11,1,528.58,302.97,8.16,3.05,7
45027000025,45,027,000025,154.26,122.08,0.95,0.95,0.95,1.89,0,151.42,123.03,2.84,0.95,0
45029000002,45,029,000002,85,146,1,1,0,0,0,82,139,4,0,0
45029000005,45,029,000005,165,210,10,0,3,1,1,152,209,9,8,0
45029000006,45,029,000006,290.35,678.87,13.05,6.01,6.03,8.03,2.01,246.25,690.86,17.08,11.03,0
45029000007,45,029,000007,184,89,0,1,3,1,0,162,85,6,2,0
45029000008,45,029,000008,460.76,143.82,4.44,4.44,3.55,3.55,0.89,419.92,172.23,3.55,0,0
45029000009,45,029,000009,492.36,254.35,3.1,4.05,4.13,1.03,3,453.82,270.91,7,3.1,0
45029000010,45,029,000010,154,340,4,2,3,4,3,132,341,9,10,0
45029000011,45,029,000011,129,283,5,1,3,3,0,105,291,6,2,0
45029000012,45,029,000012,258.71,64.59,0.02,1,2.97,0.02,0,243.77,73.55,1,1.97,0
45029000013,45,029,000013,97,293,8,0,6,3,0,97,294,6,2,0
45029000014,45,029,000014,123,520,14,9,5,3,0,106,510,16,4,0
45029000015,45,029,000015,306.04,220.01,11,1.02,3.05,1,0,271.81,231.15,5.02,1.03,3
45029000017,45,029,000017,300,406,18,1,5,1,0,269,420,4,8,2
45029000018,45,029,000018,109.64,158.12,9.66,5.06,1.23,0.53,0.06,108.03,167.72,1.41,1.49,1
45029000019,45,029,000019,239,286,14,3,5,3,2,222,298,4,8,0
45029000020,45,029,000020,366.5,143.81,1,0,3,3,0,330.55,154.79,3,0,0
45029000021,45,029,000021,229.28,405.72,12.96,2.99,8.97,6.98,1.99,213.33,395.75,22.93,7.97,0
45029000022,45,029,000022,152.59,242.99,7.46,0,0.83,2.49,0,132.69,247.13,5.81,6.63,0
45029000023,45,029,000023,96,109,0,0,1,0,1,75,114,0,0,0
45029000024,45,029,000024,93,305,6,0,1,1,1,86,295,5,4,2
45029000025,45,029,000025,419.01,240.17,7.78,0.86,0.86,0,0,374.95,244.49,7.78,3.46,0
45029000026,45,029,000026,120,404,9,3,1,1,5,95,406,4,6,2
45029000027,45,029,000027,121,314,4,2,0,1,0,119,309,9,2,0
45029000029,45,029,000029,302,311,10,6,4,0,0,256,339,8,0,0
45029000030,45,029,000030,400,203,11,5,5,1,2,348,229,7,6,0
45029000031,45,029,000031,672,104,8,4,1,0,2,584,127,3,8,3
45029000032,45,029,000032,274.48,434.71,23.07,5,1,3,0,213.48,490.54,13.05,6.06,0
45029000033,45,029,000033,118,121,0,0,2,3,0,105,128,0,2,0
45029000034,45,029,000034,39.79,222.61,5.68,0,0,0,0,39.79,208.4,3.79,4.74,0
45029000035,45,029,000035,219,635,17,1,4,0,2,135,680,5,4,0
45029000036,45,029,000036,202.73,471.68,14.25,5,11,1,0,160.73,523.06,5.16,4.21,0
45029000040,45,029,000040,308,282,8,4,4,3,2,282,290,9,5,0
45031000001,45,031,000001,537,696,12,4,5,4,1,510,689,20,8,0
45031000002,45,031,000002,449.62,126.27,5.43,0.37,1.27,2.05,1.09,425.32,132.83,6.5,2.5,0
45031000003,45,031,000003,249.69,272.66,5.99,1,8.99,1,0,239.7,274.66,5.99,1,2
45031000004,45,031,000004,234.91,696.25,6.4,3.04,0.07,4.15,1.11,220.09,655.08,11.55,11.11,0
45031000005,45,031,000005,173.88,340.02,7.07,1.02,8.02,2.04,1.02,159.9,347.95,11.02,1,0
45031000007,45,031,000007,110.35,89.12,2.98,0.01,1.97,0.01,1.97,101.2,92.15,4.01,1.99,0
45031000008,45,031,000008,594.53,278.42,5.04,3,0.01,2.99,0.01,536.79,291.23,13.03,4.04,0
45031000010,45,031,000010,504,230,8,1,3,1,1,458,266,3,1,0
45031000011,45,031,000011,851.43,51.17,7.04,5,3.03,1,0.03,793.31,77.21,4.05,8.03,0
45031000012,45,031,000012,640.6,361.22,4.7,6.58,4.7,0.94,0.94,618.96,362.16,6.58,4.7,0
45031000013,45,031,000013,227,583,33,11,18,2,1,190,633,24,4,5
45031000016,45,031,000016,456.23,186.09,8.11,7.3,4.27,1.96,0.27,455.67,175.26,12.73,1.25,0
45031000017,45,031,000017,582.58,805.65,28.88,12.95,12.95,5.98,2.99,534.78,835.53,34.86,2.99,0
45031000018,45,031,000018,922.74,17.69,1.13,3.06,0.07,0.03,1.01,880.52,44.82,1.15,4.01,0
45031000019,45,031,000019,310.77,330.91,12.89,4.7,3.73,0.04,2.73,295.33,339.74,10.27,2.75,0
45031000020,45,031,000020,417,1405,42,12,24,1,1,372,1444,40,8,2
45031000021,45,031,000021,778.24,746.6,15.58,3.91,4.87,1,0.01,734.61,761.3,10.72,9.68,0
45031000022,45,031,000022,135.07,279.52,6.57,0.94,0.94,0,0.94,134.13,266.38,9.38,5.63,0
45031000023,45,031,000023,249,1018,27,5,6,7,3,183,1060,24,9,0
45031000024,45,031,000024,410.25,516.18,17.33,5.78,5.78,3.85,0.96,380.39,541.22,12.52,4.82,0
45031000025,45,031,000025,381.96,234.14,2.31,0.02,1.09,1.16,1.02,367.54,237.45,1.29,2.09,0
45031000026,45,031,000026,436.66,707.26,13.68,0.98,3.91,6.84,0.98,418.1,720.93,12.7,3.91,0
45031000027,45,031,000027,376.4,165.12,3.93,0.98,0.98,1.96,0.98,377.4,161.18,0.99,0.01,0
45031000028,45,031,000028,572.34,504.88,9.6,4,5.2,0,0,545.54,504.87,12.81,3.2,2
45031000031,45,031,000031,103.09,639.76,10.6,0.96,1.93,3.85,2.89,107.91,608.92,14.45,2.89,0
45031000032,45,031,000032,282,474,7,1,4,6,0,262,480,7,2,2
45031000033,45,031,000033,660,563,19,11,5,4,3,617,591,16,5,2
45031000036,45,031,000036,452.29,204.52,1.98,2,1.02,0.98,0,426.47,210.53,4.96,1.94,0.02
45031000037,45,031,000037,219.72,416.52,8.19,1.03,1.03,0,2.01,212.83,394.27,7.37,11.07,0
45031000038,45,031,000038,581,871,21,12,14,1,3,555,896,13,8,0
45031000040,45,031,000040,475.78,489.13,11.03,1.04,3.03,4.01,1.01,467.65,474.14,18.04,4.03,0
45031000041,45,031,000041,479,685,19,6,10,1,1,455,684,26,0,0
45033000001,45,033,000001,226,979,6,5,6,4,4,179,967,11,6,0
45033000002,45,033,000002,835,200,5,9,5,7,1,683,255,13,7,3
45033000003,45,033,000003,762,162,4,5,5,6,2,582,214,10,7,0
45033000004,45,033,000004,812.78,747.36,9.91,9.91,2.97,0.99,5.95,723.57,772.14,9.91,14.87,0
45033000005,45,033,000005,88,177,3,0,1,0,0,82,173,2,0,0
45033000006,45,033,000006,362,490,6,5,1,1,1,334,494,4,4,2
45033000007,45,033,000007,180,146,1,2,2,3,0,155,149,4,0,0
45033000009,45,033,000009,838,416,12,4,9,0,4,714,455,11,12,3
45033000010,45,033,000010,73,124,0,1,1,0,1,65,122,2,0,0
45033000011,45,033,000011,97,210,1,1,0,0,0,88,201,3,0,0
45033000012,45,033,000012,224,315,9,0,2,0,1,187,320,6,3,5
45033000013,45,033,000013,374.78,244.2,2.99,1.99,2.99,0,1.99,310.98,257.16,5.98,5.98,0
45033000014,45,033,000014,125.22,60.8,0.01,0.01,0.01,0,0.01,121.02,56.84,0.02,0.02,2
45033000015,45,033,000015,315,173,3,2,2,0,0,266,178,8,3,0
45033000016,45,033,000016,80,55,1,2,1,0,0,72,54,2,0,0
45033000017,45,033,000017,187,419.46,8.37,4.16,0.09,0.09,4.07,174.26,388.29,11.32,8.23,2.07
45033000018,45,033,000018,82,134,0,1,1,0,1,71,125,4,0,0
45033000019,45,033,000019,102,346,3,1,1,1,1,96,333,7,1,2
45033000020,45,033,000020,76,249,4,0,0,0,0,70,240,2,2,0
45035000025,45,035,000025,443.01,510.01,8,0,4,3,0,404.01,509.01,13,7,0
45035000026,45,035,000026,189,268,8,2,2,1,0,153,278,8,0,0
45035000027,45,035,000027,299,363,8,4,7,0,0,295,368,7,6,0
45035000028,45,035,000028,273,323,11,2,1,0,0,258,335,2,2,0
45035000029,45,035,000029,419.99,397.83,8.22,2.14,0.14,3,3,387.05,412.51,7.22,4.54,1
45035000030,45,035,000030,214.75,306.24,5.19,1.02,2,5.12,0.02,207.41,302.37,8.2,3.12,1
45035000031,45,035,000031,323.3,409.94,10.58,0.96,0,6.74,0.96,305.03,416.67,11.55,6.73,0
45035000033,45,035,000033,293,450,11,1,2,1,0,272,461,11,3,0
45035000034,45,035,000034,270.83,302.81,5,2,4,3,1,230.85,328.79,7,7,0
45035000035,45,035,000035,226.72,414.48,6.99,0,4.99,3,1,198.75,420.47,4.99,6.99,0
45035000036,45,035,000036,378.66,84.92,4,2,0,1,0,368.67,98.91,0,1,0
45035000037,45,035,000037,76.55,185.33,13.12,2.01,4.24,0.87,0.95,68.13,200.79,7.79,2.76,0.05
45035000038,45,035,000038,324.77,264.79,28.9,8.15,9.99,3.61,2.71,299.27,303.88,18.94,5.44,3.61
45035000039,45,035,000039,361,336,32,9,9,1,0,317,404,8,2,1
45035000040,45,035,000040,126.78,284.87,10.85,2.57,2.79,1.23,0.07,102.15,305.13,3.76,5.29,0.03
45035000041,45,035,000041,200,554,22,6,10,3,1,130,642,6,1,0
45035000042,45,035,000042,260.18,598.77,34.36,4.07,11.13,1.03,1.1,194.43,690.33,9.3,6.03,1
45035000043,45,035,000043,274.17,608.32,16.79,4.53,9.86,8.27,1,211.38,674.62,14.8,6.53,1
45035000044,45,035,000044,175,577,24,6,13,0,1,109,662,12,1,0
45035000045,45,035,000045,274,532,20,7,9,1,0,197,603,9,7,1
45035000046,45,035,000046,272.12,355.6,13.25,6.03,5.05,3,0.01,231.73,400.15,8.07,1.06,2
45035000047,45,035,000047,237,569,39,6,10,4,0,143,692,11,5,0
45035000048,45,035,000048,529.95,521.02,38.7,14.89,10.92,6.95,2.98,455.52,613.31,20.84,3.97,0
45035000049,45,035,000049,204,351,24,7,15,3,0,150,421,9,1,2
45035000050,45,035,000050,259.91,276.04,15.56,6.16,6.99,2.74,0.04,209.72,326.75,13.11,4.71,1.36
45035000052,45,035,000052,193.9,479.34,17.55,5.08,7.39,3.1,1,148.12,535.62,11.16,2.03,0.03
45035000054,45,035,000054,237,122,2,1,5,1,0,228,122,5,2,0
45035000055,45,035,000055,226,585,38,8,18,5,1,167,688,16,2,0
45035000056,45,035,000056,96,163,11,3,0,0,0,81,181,7,2,0
45035000057,45,035,000057,167,331,17,4,8,1,0,135,371,8,5,0
45035000058,45,035,000058,93.55,371.2,14.93,4.98,14.93,0,4.98,78.62,410.01,7.96,1.99,1
45035000060,45,035,000060,240,389,37,4,10,3,3,210,446,15,6,0
45035000061,45,035,000061,267.72,303.47,18.36,6.77,3.87,3.87,0.97,246.45,333.44,11.6,1.93,0.97
45035000062,45,035,000062,116.77,261.2,30.1,6.2,1.8,3.24,0.22,80.55,317.17,11.13,2.22,0
45035000063,45,035,000063,871.79,1047.29,68.64,11.94,19.51,3.24,1.05,715,1220.3,37.9,10.1,1.55
45035000064,45,035,000064,256.15,270.61,17.98,3.43,6.85,4.28,0,210.75,326.28,6.85,1.71,0
45035000066,45,035,000066,396,726,49,7,24,3,0,299,873,16,8,0
45035000067,45,035,000067,136.65,285.1,25.56,6.88,4.92,0,5.9,103.23,349.99,5.9,1.97,0
45035000068,45,035,000068,278,426,23,5,7,0,4,260,452,11,6,0
45035000069,45,035,000069,395.05,673.98,41.3,11.11,19.08,9.05,0.02,309.48,795.69,19.16,4.03,0
45035000070,45,035,000070,254.73,553.41,45.95,4.99,18.98,0,1,166.82,674.29,15.98,4,0
45035000071,45,035,000071,551.01,718.46,67.02,9.58,17.15,1.72,0,435.39,877.81,27.15,7.29,0
45035000072,45,035,000072,504.32,866.5,39.92,7.79,23.37,2.92,0.97,429.36,958.99,27.26,5.84,2.92
45035000073,45,035,000073,436.9,636.97,38.76,5.67,10.41,5.66,0.95,335.11,760.5,18.93,0.97,0.94
