GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39007004AAR,39,007,004AAR,68,105,6,2,2,68,100,4,6,3
39007004AAS,39,007,004AAS,68,115,5,4,1,81,98,5,7,4
39007004AAT,39,007,004AAT,117,109,5,7,1,118,101,10,8,2
39007004AAU,39,007,004AAU,227,248,30,3,1,228,237,17,11,9
39007004AAW,39,007,004AAW,74,79,0,3,0,75,65,8,5,3
39007004AAX,39,007,004AAX,59,84,8,3,0,59,75,10,4,5
39007004AAY,39,007,004AAY,167.2,185.1,12.3,2.8,0,181.4,158.7,4.7,8.5,3.8
39007004ABA,39,007,004ABA,102,152,3,7,4,92,138,4,17,8
39007004ABB,39,007,004ABB,125.1,111.1,3,2,0,117.1,101.1,9,9,4
39007004ABC,39,007,004ABC,142,74,1,2,2,140,67,9,6,3
39007004ABD,39,007,004ABD,228.9,164.6,25,10,6,239.9,156.5,11,17.1,7
39007004ABF,39,007,004ABF,205,228,14,7,5,216,207,7,15,15
39007004ABG,39,007,004ABG,260,265,15,6,4,274,239,17,11,6
39007004ABI,39,007,004ABI,257,169.3,15.9,3,1,264,146.4,8,16.9,7
39007004ABJ,39,007,004ABJ,133,114,6,3,1,152,90,4,8,3
39007004ABK,39,007,004ABK,178,159,11,3,3,189,134,8,15,5
39007004ABL,39,007,004ABL,156,163,5,3,0,150,170,3,4,4
39007004ABM,39,007,004ABM,169,144,8,2,3,151,147,2,11,11
39007004ABN,39,007,004ABN,113.3,102.7,14.1,7,2,102.4,102.6,14.1,9.1,8.1
39007004ABO,39,007,004ABO,166.7,223.3,11.9,7,3,175.6,200.4,12.9,9.9,8.9
39007004ABQ,39,007,004ABQ,91,92,5,1,2,95,79,4,6,6
39007004ABR,39,007,004ABR,184,137,7,4,1,179,121,6,5,9
39007004ABS,39,007,004ABS,298,255,34,15,6,312,232,21,23,12
39007004ABT,39,007,004ABT,144,125,13,3,6,147,130,3,11,4
39007004ABV,39,007,004ABV,162,91,13,2,2,151,96,5,8,5
39007004ABW,39,007,004ABW,123,102,11,2,2,122,92,6,8,6
39007004ABX,39,007,004ABX,189.3,163.2,13,0,1,199.3,144.1,4,5,11
39007004ABY,39,007,004ABY,190.7,161,15.1,5,3,222.8,132.8,3.1,8.1,4
39007004ABZ,39,007,004ABZ,281,130.5,9.2,1.1,3,272.8,125.4,8.1,10.2,7.1
39007004ACA,39,007,004ACA,253.8,80.9,8.1,6,4,252.7,72.8,5,12.2,11.1
39007004ACB,39,007,004ACB,237.2,125.1,14.9,1,1,226.3,107.2,4,19.9,12.9
39007004ACD,39,007,004ACD,177,157,13,5,0,189,132,11,6,9
39007004ACG,39,007,004ACG,297.8,232.9,14.7,4.2,4,325.6,198.3,8.3,16.5,9.2
39007004ACH,39,007,004ACH,117,118,6,1,1,114,105,7,11,4
39007004ACI,39,007,004ACI,237,255,12,10,5,271,218,20,8,9
39007004ACJ,39,007,004ACJ,197.2,167.6,9.9,7.9,3,204.1,148.9,10.8,12.8,9.9
39007004ACM,39,007,004ACM,213,129,6,3,3,201,117,9,9,8
39007004ACO,39,007,004ACO,410,173,12,4,2,385,164,13,20,7
39007004ACP,39,007,004ACP,370,225,16,5,2,388,181,10,20,9
39007004ACQ,39,007,004ACQ,266,83,9,1,2,250,74,9,8,10
39007004ACR,39,007,004ACR,259,93,13,4,2,254,91,11,7,8
39007004ACS,39,007,004ACS,221.8,109,5.7,1.9,1,189.3,101.3,6.7,11.5,16.2
39007004ACT,39,007,004ACT,250,92,9,8,1,227,97,8,19,5
39007004ACU,39,007,004ACU,426.3,245.1,32.4,4,4.1,425.3,232.9,12.2,27.2,12.1
39007004ACW,39,007,004ACW,229,133,14,2,1,217,136,4,8,6
39007004ACX,39,007,004ACX,169,89,13,2,1,155,78,7,16,8
39007004ACY,39,007,004ACY,236.7,181.9,18.6,2,4.9,236.7,175.1,7.8,10.8,5.9
39007004ADA,39,007,004ADA,280,128,6,4,2,298,109,9,13,6
