GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIDUN,G16USSRPOR,G16USSDSTR,G16USSGDEM,G16USSICON,G16USSIRUP
39089045AAD,39,089,045AAD,509.99,203.67,26.57,4.06,4.31,516.03,186.22,9.36,15.43,15.39
39089045AAE,39,089,045AAE,487.42,226.83,20.72,9.86,4.92,497.35,199.15,17.75,13.82,18.72
39089045AAG,39,089,045AAG,476.79,195.31,26.54,4.74,3.79,509.01,170.66,4.75,12.33,6.64
39089045AAH,39,089,045AAH,613,307,21,10,6,663,223,18,17,13
39089045AAJ,39,089,045AAJ,607.86,334.14,30.36,11.35,11.24,588.57,310.3,20.64,35.82,25.17
39089045AAK,39,089,045AAK,514.06,357.68,29.32,15.64,5.86,512.1,325.43,31.27,27.37,20.52
39089045AAP,39,089,045AAP,361,216,28,5,5,378,192,15,21,12
39089045AAQ,39,089,045AAQ,441.29,333.05,24.46,17.05,7.06,453.89,304.63,17.05,23.19,17.09
39089045AAS,39,089,045AAS,231,157,17,0,3,224,147,9,11,7
39089045AAW,39,089,045AAW,634.76,400.54,38.38,9.84,4.92,692.82,323.77,19.68,16.73,13.78
39089045AAX,39,089,045AAX,694.36,535.92,34.3,4.97,6.27,807.2,427.43,13.04,14.66,19.85
39089045AAY,39,089,045AAY,374.25,259.48,20.62,5.16,4.08,398.19,220.24,15.32,8.27,17.22
39089045ABB,39,089,045ABB,510,368,29,15,8,545,328,20,19,18
39089045ABC,39,089,045ABC,537,334,32,11,8,561,313,13,18,13
39089045ABE,39,089,045ABE,400,252,16,13,5,434,214,13,16,8
39089045ABF,39,089,045ABF,373,229,27,6,2,393,202,11,8,10
39089045ABJ,39,089,045ABJ,522.8,267.85,16.4,11.1,5.03,603.43,206.58,12.14,4.07,9.07
39089045ABK,39,089,045ABK,644.54,292.25,27.05,14.01,1,719.58,241.19,14.03,9.02,15.01
39089045ABM,39,089,045ABM,426,245,14,2,7,439,215,5,15,14
39089045ABN,39,089,045ABN,290.36,213.11,17.26,6.4,6.05,335.35,174.29,6.67,10.46,9.44
39089045ABO,39,089,045ABO,348,234,31,7,1,404,173,6,17,10
39089045ABR,39,089,045ABR,509.84,282.03,23.29,9.09,5.02,574.22,219.69,12.15,11.12,13.11
39089045ABS,39,089,045ABS,465.45,268.15,25.67,8.55,5.65,495.09,245.13,15.19,6.7,10.45
39089045ABT,39,089,045ABT,336,212,20,6,10,377,175,6,20,9
39089045ABU,39,089,045ABU,334.19,204.04,16.84,6.6,1.12,339.34,176.24,11.95,14.7,6.68
39089045ABV,39,089,045ABV,479.96,223.12,13.07,3.72,7.43,528.94,176.83,2.83,13.03,9.34
39089045ABZ,39,089,045ABZ,313,236,31,17,4,347,211,14,11,19
39089045ACA,39,089,045ACA,456.66,291.12,31.43,10.8,8.76,470.88,251.73,22.52,22.47,22.46
39089045ACB,39,089,045ACB,378.01,279.01,33,8,5,392.01,250.01,13,19,20
39089045ACJ,39,089,045ACJ,726,214,30,4,2,749,189,9,19,12
39089045ACK,39,089,045ACK,698.95,185.99,24,7,2,685.95,177.99,14,7,20
39089045ACL,39,089,045ACL,498.94,165.98,12,4,6,478.95,149.98,12,18,19
39089045ACM,39,089,045ACM,790,209,26,11,7,753,213,23,26,14
39089045ACN,39,089,045ACN,415.84,200.7,16.52,5.72,4.44,448.86,154.32,7.64,14.6,8.27
39089045ACP,39,089,045ACP,561.46,240.47,30.7,0.79,6.14,622.85,175.97,13.05,12.31,10.76
39089045ACQ,39,089,045ACQ,975.61,365.62,49.29,5.9,5.39,1008.2,331.53,14.87,18.45,23.24
39089045ACR,39,089,045ACR,811,397,38,13,9,855,338,28,18,16
39089045ACT,39,089,045ACT,844.97,243.7,30.96,4.99,5.99,836.98,224.73,12.98,32.96,17.98
39089045ACV,39,089,045ACV,436.27,335.96,34.76,6.97,1.98,532.73,272.21,11.26,7.97,4.96
39089045ACW,39,089,045ACW,323.04,390,37.78,4.09,1.05,432.56,304.31,16.06,5.11,6.97
39089045ACX,39,089,045ACX,510.81,465.1,38.1,9.86,3.64,627.15,362.02,19.24,5.88,12.47
