GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39061031AUW,39,061,031AUW,300.98,385.41,11.92,5.96
39061031AUZ,39,061,031AUZ,296,421,12,4
39061031AVA,39,061,031AVA,315,503,16,9
39061031AVB,39,061,031AVB,327,411,11,1
39061031AVD,39,061,031AVD,286.08,350.24,10.01,3
39061031AVE,39,061,031AVE,249,365,12,2
39061031AVF,39,061,031AVF,502.31,561.58,14.57,4.19
39061031AVH,39,061,031AVH,290.05,302.25,9,2
39061031AVI,39,061,031AVI,304,424,9,3
39061031AVJ,39,061,031AVJ,400.36,393.38,10.15,0.05
39061031AVV,39,061,031AVV,515.03,415.28,12.18,4.1
39061031AVW,39,061,031AVW,125,211,6,1
39061031AVZ,39,061,031AVZ,380.99,245.41,10.03,2.02
39061031AWA,39,061,031AWA,246,145,4,4
39061031AWD,39,061,031AWD,461.06,318.02,14.86,2.95
39061031AWE,39,061,031AWE,365.56,230.35,13.01,1
39061031AWH,39,061,031AWH,436.6,221.52,11.13,2.04
39061031AWI,39,061,031AWI,623.98,299.11,8.91,0
39061031AWL,39,061,031AWL,288.87,274,4.32,6.13
39061031AWN,39,061,031AWN,256.34,290.07,6.95,2.98
39061031AWP,39,061,031AWP,256.88,315.13,7.05,1.02
39061031AWR,39,061,031AWR,213,302,3,1
39061031AWT,39,061,031AWT,310.42,354.88,9.09,1.03
39061031AWU,39,061,031AWU,262.02,347.48,13.14,2.01
39061031AWW,39,061,031AWW,414.8,430.79,9.76,3.89
39061031AWZ,39,061,031AWZ,590.77,525.09,12.17,3.02
39061031AXA,39,061,031AXA,535.15,407.59,10.96,2.99
39061031AXD,39,061,031AXD,456.55,375.43,20.74,1.97
39061031AXE,39,061,031AXE,509,351,14,3
39061031AXI,39,061,031AXI,256.42,613.97,7.23,6.09
39061031AXJ,39,061,031AXJ,154,871,11,3
39061031AXK,39,061,031AXK,199.32,664.86,10.54,3.74
39061031AXQ,39,061,031AXQ,163,416,5,4
39061031AXR,39,061,031AXR,234.8,511.47,9.24,0.04
39061031AXS,39,061,031AXS,278.62,451.15,5.95,2.97
39061031AXT,39,061,031AXT,314.43,286.74,11.76,1.96
39061031AXU,39,061,031AXU,253.4,352.91,8.05,1.03
39061031AXV,39,061,031AXV,278.72,366.67,12.7,1.19
39061031AXW,39,061,031AXW,135.56,374.15,6.33,0.07
39061031AXX,39,061,031AXX,161.28,473.38,7.21,1.78
39061031AYD,39,061,031AYD,428.93,879.33,14.07,2.05
39061031AYE,39,061,031AYE,362,821,23,1
39061031AYF,39,061,031AYF,303,714,7,1
39061031AYG,39,061,031AYG,290,822,18,6
39061031AYH,39,061,031AYH,401,841,16,2
39061031AYP,39,061,031AYP,258,430,4,0
39061031AYQ,39,061,031AYQ,291,353,1,3
39061031AYR,39,061,031AYR,229,344,2,2
39061031AYS,39,061,031AYS,269,486,10,2
39061031AYU,39,061,031AYU,425.09,392.67,8.34,1.85
39061031AYV,39,061,031AYV,472.16,489.16,16.01,4
39061031AYW,39,061,031AYW,484,353,8,2
39061031AYX,39,061,031AYX,419,346,10,2
39061031AYY,39,061,031AYY,539,609,14,1
39061031AYZ,39,061,031AYZ,137.12,128.15,4.71,0.46
39061031AZA,39,061,031AZA,648.95,460.73,12.74,0
39061031AZB,39,061,031AZB,574.91,503.33,19.66,2.15
39061031AZC,39,061,031AZC,605.92,415.88,12.08,0.99
39061031AZD,39,061,031AZD,338,275,5,1
39061031AZE,39,061,031AZE,540.32,479.96,4.79,2.87
39061031AZF,39,061,031AZF,484,518,10,1
39061031AZG,39,061,031AZG,568.78,447.58,11.45,1.91
39061031AZI,39,061,031AZI,564.16,474.86,23.08,2.01
39061031AZK,39,061,031AZK,609.17,634.58,10.08,2.09
39061031AZM,39,061,031AZM,690.94,526.76,28.02,3.01
39061031AZO,39,061,031AZO,532.48,514.73,21.69,2.96
39061031AZQ,39,061,031AZQ,449.97,406.53,13.1,2
39061031AZS,39,061,031AZS,362,287,11,1
39061031AZU,39,061,031AZU,503,535,26,0
39061031AZW,39,061,031AZW,604.06,486.24,15.98,3.99
39061031AZY,39,061,031AZY,222.03,207.48,7.76,0
39061031BAA,39,061,031BAA,635,557,19,0
39061031BAC,39,061,031BAC,528.39,525.21,17.04,1.12
39061031BAE,39,061,031BAE,311,306,10,0
39061031BAG,39,061,031BAG,321,273,7,1
39061031BAI,39,061,031BAI,544.84,499.75,13.55,0.45
39061031BAK,39,061,031BAK,276,254,7,0
39061031BAM,39,061,031BAM,312,397,4,1
39061031BAO,39,061,031BAO,283.46,268.9,12.62,1.94
39061031BAQ,39,061,031BAQ,295.06,181.66,2.87,0.93
39061031BAS,39,061,031BAS,469.3,425.07,18.11,1
39061031BAT,39,061,031BAT,200.09,184.25,4.7,3.32
39061031BAU,39,061,031BAU,741.86,218.18,10.4,1.94
39061031BAV,39,061,031BAV,734,276,13,1
39061031BAX,39,061,031BAX,412.98,417.62,13.01,3
39061031BAY,39,061,031BAY,937.88,359.96,13.09,3
39061031BBA,39,061,031BBA,433,425,7,2
39061031BBB,39,061,031BBB,289.8,328.5,4.96,0.99
39061031BBD,39,061,031BBD,290,374,4,1
39061031BBE,39,061,031BBE,98,567,3,8
39061031BBG,39,061,031BBG,804,344,13,6
39061031BBH,39,061,031BBH,503.96,407.72,13.72,1.97
39061031BBJ,39,061,031BBJ,585,213.51,7.13,0.1
39061031BBK,39,061,031BBK,178,161,4,1
39061031BBM,39,061,031BBM,710,275,13,2
39061031BBN,39,061,031BBN,413.54,443.51,6.99,2
39061031BBP,39,061,031BBP,760,518,12,3
39061031BBQ,39,061,031BBQ,281,352,5,7
39061031BBS,39,061,031BBS,520.85,161.94,1.89,0
39061031BBT,39,061,031BBT,222,163,4,0
39061031BBV,39,061,031BBV,516,430,16,5
39061031BBW,39,061,031BBW,509,440,12,4
39061031BBY,39,061,031BBY,419.18,277.78,8.32,2.01
39061031BBZ,39,061,031BBZ,295,688,14,4
39061031BCB,39,061,031BCB,724.84,231.23,8.42,0.95
39061031BCC,39,061,031BCC,252,278,5,3
39061031BCE,39,061,031BCE,370,351,11,2
39061031BCG,39,061,031BCG,724,388,13,3
39061031BCI,39,061,031BCI,279,147,2,1
39061031BCK,39,061,031BCK,182,191,4,1
39061031BCM,39,061,031BCM,742,290,9,2
39061031BCO,39,061,031BCO,443,430,5,4
39061031BCQ,39,061,031BCQ,531.11,279.33,11.51,1.08
39061031BCS,39,061,031BCS,340,507,5,6
39061031BCU,39,061,031BCU,391,358,5,1
39061031BCW,39,061,031BCW,458,346,6,1
39061031BCY,39,061,031BCY,160,262,3,2
39061031BDA,39,061,031BDA,340.11,407.5,9,6
39061031BDC,39,061,031BDC,408.17,522.45,10.1,2
39061031BDE,39,061,031BDE,350,556,5,6
39061031BDG,39,061,031BDG,43.84,93.6,1.1,1
39061031BDH,39,061,031BDH,101.25,190.1,11.04,0.03
39061031BDI,39,061,031BDI,77.14,286.3,2,0.01
39061031BDJ,39,061,031BDJ,57.58,381.58,5.19,3.06
39061031BDK,39,061,031BDK,108.35,198.5,3.52,0
39061031BDL,39,061,031BDL,176.24,267.62,4.66,0
39061031BDM,39,061,031BDM,365.38,509.72,13.14,1.36
39061031BDN,39,061,031BDN,0,2,0,0
39061031BDO,39,061,031BDO,7,3,0,0
39061031BDP,39,061,031BDP,0,0,0,0
39061031BDQ,39,061,031BDQ,6,3,0,0
39061031BDR,39,061,031BDR,19.4,36.95,0.95,0.02
39061031BDT,39,061,031BDT,512.05,490.1,14,3
39061031BDW,39,061,031BDW,805.05,229.22,12.99,3.93
39061031BDX,39,061,031BDX,839.9,189.58,10.01,1.01
39061031BDZ,39,061,031BDZ,499.88,308,9.84,3.94
39061031BEB,39,061,031BEB,470.12,311,8.16,1.06
39061031BED,39,061,031BED,644.66,302.32,16.1,1.02
39061031BEF,39,061,031BEF,495,218,7,0
39061031BEH,39,061,031BEH,638.03,182.57,9.71,1.94
39061031BEJ,39,061,031BEJ,730,398,21,3
39061031BEL,39,061,031BEL,694,226,14,2
39061031BEN,39,061,031BEN,643.24,264.81,18.35,1.75
39061031BEP,39,061,031BEP,325,166,11,1
39061031BER,39,061,031BER,704.71,396.1,11.78,5.41
39061031BET,39,061,031BET,440,210,11,4
39061031BEU,39,061,031BEU,469,203,12,2
39061031BEV,39,061,031BEV,547,256,7,0
39061031BEW,39,061,031BEW,243.16,138.83,11.21,2.59
39061031BEX,39,061,031BEX,770.76,351.19,12.65,2.25
39061031BEY,39,061,031BEY,582.75,231.9,8,1
39061031BEZ,39,061,031BEZ,763.68,297.32,7.29,2.06
39061031BFA,39,061,031BFA,449.88,297.9,4.9,0.98
39061031BFB,39,061,031BFB,644,286,6,2
39061031BFJ,39,061,031BFJ,309.14,232.43,8.46,3.76
39061031BFN,39,061,031BFN,494,480,11,0
39061031BFO,39,061,031BFO,497.3,319.09,12.22,2.18
39061031BFP,39,061,031BFP,330.95,479.87,6.71,1
39061031BFR,39,061,031BFR,383.71,424.3,7.73,2.9
39061031BFS,39,061,031BFS,410,508,8,0
39061031BFW,39,061,031BFW,228.39,760.97,4.99,4.99
39061031BFX,39,061,031BFX,100,795,6,4
39061031BGC,39,061,031BGC,178,196,12,3
39061031BGD,39,061,031BGD,427.93,419.69,15.1,5.03
39061031BGE,39,061,031BGE,275.22,270.12,10.19,0.73
39061031BGI,39,061,031BGI,633,304,13,1
39061031BGJ,39,061,031BGJ,597,262,16,2
39061031BGL,39,061,031BGL,537.19,402.71,9.01,3.01
39061031BGM,39,061,031BGM,553.57,310.6,15.96,1.12
39061031BGO,39,061,031BGO,385.36,389.64,14.23,1.23
39061031BGP,39,061,031BGP,583,272,9,0
39061031BGR,39,061,031BGR,554.34,273.59,13.52,2.39
39061031BGS,39,061,031BGS,547.06,240.82,4.42,2.11
39061031BGU,39,061,031BGU,698.29,344.38,16.22,1.91
39061031BGV,39,061,031BGV,489,325,16,2
39061031BGX,39,061,031BGX,655,252,15,1
39061031BGY,39,061,031BGY,490.64,291.32,13.06,2.05
39061031BHA,39,061,031BHA,540.01,200.98,7.41,2.05
39061031BHB,39,061,031BHB,766,288,18,2
39061031BHD,39,061,031BHD,312,311,12,0
39061031BHE,39,061,031BHE,660,329,10,2
39061031BHG,39,061,031BHG,564,293,11,1
39061031BHH,39,061,031BHH,208.73,307.8,5.77,5.77
39061031BHJ,39,061,031BHJ,548,228,7,1
39061031BHK,39,061,031BHK,569.03,364,17.96,1.07
39061031BHM,39,061,031BHM,677.28,298.02,14.05,0.01
39061031BHN,39,061,031BHN,651,234,18,1
39061031BHP,39,061,031BHP,742,332,6,2
39061031BHQ,39,061,031BHQ,738.66,278.41,6.48,3.61
39061031BHS,39,061,031BHS,486,166,11,0
39061031BHT,39,061,031BHT,457,167,7,0
39061031BHV,39,061,031BHV,652,312,18,3
39061031BHW,39,061,031BHW,422,156,12,1
39061031BHY,39,061,031BHY,549,442,7,3
39061031BHZ,39,061,031BHZ,391,105,14,0
39061031BIB,39,061,031BIB,656,231,11,1
39061031BIC,39,061,031BIC,662.16,269.58,20.06,1.01
39061031BIE,39,061,031BIE,933.68,323.95,15.9,0.2
39061031BIF,39,061,031BIF,724.99,228.02,15.59,1.95
39061031BIH,39,061,031BIH,465,137,8,2
39061031BIJ,39,061,031BIJ,633,302,20,1
39061031BIL,39,061,031BIL,261,148,14,1
39061031BIN,39,061,031BIN,370.94,133.18,3.58,0.89
39061031BIP,39,061,031BIP,518,342,7,1
39061031BIR,39,061,031BIR,672.32,210.05,19.1,0.8
39061031BIT,39,061,031BIT,764.1,344.13,17.16,5.07
39061031BIV,39,061,031BIV,524,246,11,2
39061031BIX,39,061,031BIX,859.84,431.42,15.94,2.99
39061031BIZ,39,061,031BIZ,501.19,106.41,5.07,1.01
39061031BJA,39,061,031BJA,864.9,195.24,14.1,3.05
39061031BJB,39,061,031BJB,630.83,197.7,8.84,1.96
39061031BJE,39,061,031BJE,690,207,18,4
39061031BJF,39,061,031BJF,649.96,178.14,8.6,4.27
39061031BJG,39,061,031BJG,768.54,239.62,11.76,2.19
39061031BJH,39,061,031BJH,713.67,239.33,10.72,4.49
39061031BJI,39,061,031BJI,894.67,205.32,12.04,0.94
39061031BJJ,39,061,031BJJ,966.37,352.64,12.73,5.06
39061031BJL,39,061,031BJL,279.33,198.06,4.67,2.8
39061031BJM,39,061,031BJM,296,467,6,3
39061031BJS,39,061,031BJS,374.58,628.92,13.07,2
39061031BJT,39,061,031BJT,416.13,711.42,18.71,0.99
39061031BJX,39,061,031BJX,295.95,99.98,9,0
39061031BJZ,39,061,031BJZ,498.06,112.94,5,2.02
39061031BKA,39,061,031BKA,578.86,245.62,16.14,2.91
39061031BKB,39,061,031BKB,362.06,122.42,5.63,4.6
39061031BKC,39,061,031BKC,885.04,243.01,24,0
39061031BKD,39,061,031BKD,817.05,259.02,17,1
39061031BKE,39,061,031BKE,998.96,249.99,21,1
39061031BKF,39,061,031BKF,763,207,11,3
39061031BKG,39,061,031BKG,998,240,16,2
39061031BKH,39,061,031BKH,569.56,167.52,6.51,0
39061031BKI,39,061,031BKI,339.78,115.71,9.27,1.12
39061031BKJ,39,061,031BKJ,616,193,19,3
39061031BKK,39,061,031BKK,369.76,277.55,14.02,0
39061031BKL,39,061,031BKL,515.88,370.37,12.71,2.93
39061031BKM,39,061,031BKM,39.16,416.44,4.78,0.96
39061031BKN,39,061,031BKN,288,572,9,1
39061031BKO,39,061,031BKO,167.45,333.03,7.53,0.94
39061031BKP,39,061,031BKP,231.37,195.71,3.79,3.03
39061031BKQ,39,061,031BKQ,304.55,718.97,8.47,2.06
39061031BKS,39,061,031BKS,257,427,2,4
39061031BKU,39,061,031BKU,104,306,6,1
39061031BKW,39,061,031BKW,220.01,342.06,5,3
39061031BKY,39,061,031BKY,464,762,19,7
39061031BLA,39,061,031BLA,541.78,557.88,6.81,4.27
39061031BLC,39,061,031BLC,140,197,1,2
39061031BLE,39,061,031BLE,242,488,6,6
39061031BLG,39,061,031BLG,100.89,480.5,4,3
39061031BLI,39,061,031BLI,41,174,0,2
39061031BLK,39,061,031BLK,341.66,521.99,7.05,1.01
39061031BLM,39,061,031BLM,289.15,496.94,18.57,0.88
39061031BLO,39,061,031BLO,69.51,442.05,6.15,0.18
39061031BLQ,39,061,031BLQ,142,503,5,2
39061031BLS,39,061,031BLS,267.06,635.27,9.96,4.98
39061031BLU,39,061,031BLU,241.62,499.74,6.88,0.94
39061031BLW,39,061,031BLW,319.2,605.88,8.65,2.88
39061031BLY,39,061,031BLY,355.93,753.97,11.45,2.09
39061031BMA,39,061,031BMA,443.19,754,16.32,2.16
39061031BMC,39,061,031BMC,504.63,532.29,7.21,5.97
39061031BME,39,061,031BME,343.97,741.46,20.16,7.47
39061031BMG,39,061,031BMG,156.84,392.11,3.92,2.94
39061031BMI,39,061,031BMI,169.99,473.97,4,3
39061031BMJ,39,061,031BMJ,154,355,5,3
39061031BMK,39,061,031BMK,6.64,88.31,2.02,0.01
39061031BMM,39,061,031BMM,543.93,416.65,20.06,4.04
39061031BMO,39,061,031BMO,589.46,477.06,13.05,4.04
39061031BMP,39,061,031BMP,320.67,337.67,2.14,1.02
39061031BMQ,39,061,031BMQ,585.97,550.62,11.3,0.1
39061031BMR,39,061,031BMR,329.52,368.84,6.02,2
39061031BMS,39,061,031BMS,440.18,490.09,8.98,1
39061031BMT,39,061,031BMT,275.21,389.39,14.64,0
39061031BMU,39,061,031BMU,542.27,451.56,5.17,0.07
39061031BMV,39,061,031BMV,263.55,442.73,7.74,3.23
39061031BMW,39,061,031BMW,317.62,511.46,9.6,0.96
39061031BMX,39,061,031BMX,568.39,371.34,9.9,4.95
39061031BMY,39,061,031BMY,295,285,14,1
39061031BMZ,39,061,031BMZ,561.35,493.18,14.39,2.19
39061031BNM,39,061,031BNM,273.41,224.91,4.41,1.47
39061031BNN,39,061,031BNN,432.07,501.93,6.27,2.05
39061031BNO,39,061,031BNO,651.11,587.9,20.92,0.19
39061031BNP,39,061,031BNP,375.81,472.84,7.94,0.99
39061031BNQ,39,061,031BNQ,480.33,417.82,11.12,2
39061031BNR,39,061,031BNR,364.54,461.54,14.2,3.94
39061031BNS,39,061,031BNS,253,301,8,1
39061031BNT,39,061,031BNT,221,178,7,0
39061031BNU,39,061,031BNU,361.86,540.91,12.81,3.06
39061031BNV,39,061,031BNV,556.48,451.05,19.54,3
39061031BNW,39,061,031BNW,207,125,4,1
39061031BNX,39,061,031BNX,316.55,303.23,9.95,2.06
39061031BOE,39,061,031BOE,454.42,554.41,10.01,0
39061031BOF,39,061,031BOF,269,278,11,0
39061031BOH,39,061,031BOH,800.09,198.93,12.1,3.25
39061031BOI,39,061,031BOI,828.31,268.01,11.04,4.01
39061031BOJ,39,061,031BOJ,552.75,137.82,7.23,2.01
39061031BOL,39,061,031BOL,86,703,7,4
39061031BOM,39,061,031BOM,125.22,879.56,17.01,9
39061031BOP,39,061,031BOP,19.85,863.55,0.2,1.6
39061031BOQ,39,061,031BOQ,9.47,396.91,1.77,5.29
39061031BQI,39,061,031BQI,139,666,11,3
39061031BQJ,39,061,031BQJ,119,545,10,5
39061031BQK,39,061,031BQK,72,173,3,1
39061031BQL,39,061,031BQL,276,383,16,3
39061031BQM,39,061,031BQM,212,557,11,2
39061031BQN,39,061,031BQN,77,551,10,2
39061031BQO,39,061,031BQO,388,439,17,1
39063032AAA,39,063,032AAA,260,200,8,2
39063032AAB,39,063,032AAB,351,252,8,4
39063032AAG,39,063,032AAG,283.15,247.23,11.86,3.94
39063032AAH,39,063,032AAH,349.9,221.41,5.93,0.99
39063032AAI,39,063,032AAI,583.6,246.95,13.26,2
39063032AAJ,39,063,032AAJ,562,340,13,3
39063032AAL,39,063,032AAL,371.64,235.47,10.25,4.02
39063032AAM,39,063,032AAM,400.12,186.85,8.8,0.98
39063032AAO,39,063,032AAO,556.07,279.1,11.96,1
39063032AAP,39,063,032AAP,442.37,236.69,9.03,1
39063032AAQ,39,063,032AAQ,471.64,270.74,14.66,2.59
39063032AAR,39,063,032AAR,298,185,10,0
39063032AAU,39,063,032AAU,300,165,8,4
39063032AAV,39,063,032AAV,256.2,164.2,13.01,2
39063032AAW,39,063,032AAW,195.8,193.8,7.99,0
39063032AAX,39,063,032AAX,341,309,18,1
39063032AAZ,39,063,032AAZ,527,306,9,1
39063032ABA,39,063,032ABA,428.06,342.89,15.18,5.04
39063032ABB,39,063,032ABB,405,211,8,1
39063032ABC,39,063,032ABC,465,233,9,0
39063032ABD,39,063,032ABD,551.94,290.71,14.07,1.01
39063032ABE,39,063,032ABE,299.28,139.45,13.19,2.97
39063032ABG,39,063,032ABG,181,118,5,1
39063032ABH,39,063,032ABH,232.3,126.8,8.71,3.87
39063032ABI,39,063,032ABI,279,203,12,2
39063032ABJ,39,063,032ABJ,232.49,158.35,10.23,1.12
39063032ABM,39,063,032ABM,315.18,161.25,4.07,2.01
39063032ABN,39,063,032ABN,367.51,290.79,8.52,2.84
39063032ABO,39,063,032ABO,373.42,269.52,11.06,3.02
39063032ABP,39,063,032ABP,584.51,153.35,6.02,2
39063032ABQ,39,063,032ABQ,644.14,218.04,11,1
39063032ABR,39,063,032ABR,521,90,9,3
39063032ABS,39,063,032ABS,606,165,6,5
39063032ABT,39,063,032ABT,571,111,13,0
39063032ABU,39,063,032ABU,449,132,11,1
39063032ABV,39,063,032ABV,500,166,7,2
39063032ABW,39,063,032ABW,599,117,4,3
39063032ABX,39,063,032ABX,480.96,120.74,4.99,2.99
39063032ABY,39,063,032ABY,431.57,213.87,6.63,0.01
39063032ABZ,39,063,032ABZ,434.15,184.33,13.47,2.86
39063032ACA,39,063,032ACA,682.65,251.92,6.92,1.98
39063032ACB,39,063,032ACB,521.78,262.96,13.6,0.99
39063032ACC,39,063,032ACC,644.82,203.15,8.06,5.02
39063032ACD,39,063,032ACD,458.04,109.26,9.01,0.01
39063032ACE,39,063,032ACE,584,117,12,0
39063032ACH,39,063,032ACH,883.98,392.27,14.27,1.4
39063032ACI,39,063,032ACI,642,144,11,2
39063032ACJ,39,063,032ACJ,368.27,76.15,9.1,1.05
39063032ACK,39,063,032ACK,505.73,157.85,10.9,2.95
39063032ACL,39,063,032ACL,350,86,4,2
39063032ACM,39,063,032ACM,342.69,90.44,3.04,1
39063032ACN,39,063,032ACN,454.31,74.56,5.96,0
39063032ACO,39,063,032ACO,477,99,8,2
39063032ACR,39,063,032ACR,648.07,232.69,9.41,3.14
39063032ACS,39,063,032ACS,672.5,224.89,9.92,0.07
39063032ACU,39,063,032ACU,379.29,222.67,10.38,0
39063032ACV,39,063,032ACV,327,196,13,0
39063032ACW,39,063,032ACW,361.25,219.72,13.86,0.99
39063032ACX,39,063,032ACX,275,177,9,3
39063032ACY,39,063,032ACY,230.62,163.96,6.67,0.15
39065033AAA,39,065,033AAA,517.81,188.26,8,5.99
39065033AAD,39,065,033AAD,702.81,280.89,17.74,1.97
39065033AAG,39,065,033AAG,540.48,214.39,7.98,0
39065033AAJ,39,065,033AAJ,351.35,93.26,8.88,2.96
39065033AAM,39,065,033AAM,577,137,13,3
39065033AAN,39,065,033AAN,367.36,88.14,4.58,1.21
39065033AAO,39,065,033AAO,199,69,5,0
39065033AAP,39,065,033AAP,363.4,87.1,5,0
39065033AAQ,39,065,033AAQ,271,43,2,1
39065033AAS,39,065,033AAS,569.18,154.78,9.09,1.03
39065033AAV,39,065,033AAV,692,220,20,2
39065033AAX,39,065,033AAX,796.01,191.39,14.43,2.89
39065033AAZ,39,065,033AAZ,545.82,264.93,23.37,6.07
39065033ABB,39,065,033ABB,482.17,324.68,12.2,2.04
39065033ABD,39,065,033ABD,224.84,68.95,4,3
39065033ABE,39,065,033ABE,841,218,14,5
39065033ABH,39,065,033ABH,412,63,9,2
39065033ABI,39,065,033ABI,638.94,165.01,5.82,1.87
39065033ABK,39,065,033ABK,280,68,2,0
39065033ABL,39,065,033ABL,246,66,4,0
39065033ABM,39,065,033ABM,335,57,2,2
39067034AAA,39,067,034AAA,152,26,0,0
39067034AAB,39,067,034AAB,190,73,5,2
39067034AAE,39,067,034AAE,589,219,8,6
39067034AAG,39,067,034AAG,578,258,7,2
39067034AAL,39,067,034AAL,261,80,0,3
39067034AAM,39,067,034AAM,310,91,2,2
39067034AAO,39,067,034AAO,325,90,1,0
39067034AAS,39,067,034AAS,722,245,6,2
39067034AAU,39,067,034AAU,407,90,4,1
39067034AAV,39,067,034AAV,194,34,0,1
39067034AAX,39,067,034AAX,508,148,11,3
39067034ABA,39,067,034ABA,151,39,1,0
39067034ABB,39,067,034ABB,520,112,3,3
39067034ABF,39,067,034ABF,463,131,6,6
39067034ABH,39,067,034ABH,216,60,2,3
39067034ABI,39,067,034ABI,206,72,3,2
39069035AAA,39,069,035AAA,276,190,3,4
39069035AAB,39,069,035AAB,313.31,171.88,11.79,1.96
39069035AAC,39,069,035AAC,568.69,316.12,18.21,4.04
39069035AAE,39,069,035AAE,555.19,300.55,10.84,0.99
39069035AAH,39,069,035AAH,510.31,267.11,11,3
39069035AAI,39,069,035AAI,432,212,4,0
39069035AAJ,39,069,035AAJ,308,51,2,0
39069035AAK,39,069,035AAK,634,275,17,1
39069035AAL,39,069,035AAL,573,178,4,3
39069035AAO,39,069,035AAO,471,233,8,1
39069035AAP,39,069,035AAP,441,121,6,2
39069035AAQ,39,069,035AAQ,461,138,7,2
39069035AAS,39,069,035AAS,290,190,10,0
39069035AAT,39,069,035AAT,565.86,200.6,6.99,1
39069035AAV,39,069,035AAV,375,155,16,2
39069035AAW,39,069,035AAW,512,176,2,3
39069035AAY,39,069,035AAY,463,141,5,2
39069035ABA,39,069,035ABA,249.92,91.05,1.31,1.08
39069035ABB,39,069,035ABB,451.72,101.69,5.87,2.93
39069035ABC,39,069,035ABC,431,116,7,3
39069035ABD,39,069,035ABD,306,78,4,0
39069035ABE,39,069,035ABE,520,121,7,4
39069035ABF,39,069,035ABF,771,238,7,2
39071036AAB,39,071,036AAB,492,236,3,1
39071036AAF,39,071,036AAF,442.4,177.37,6,2
39071036AAI,39,071,036AAI,422,172,8,4
39071036AAJ,39,071,036AAJ,559,245,9,5
39071036AAL,39,071,036AAL,375.24,170.03,8.33,2
39071036AAN,39,071,036AAN,320,131,11,2
39071036AAO,39,071,036AAO,277.42,94.43,8.01,1
39071036AAQ,39,071,036AAQ,514,76,2,1
39071036AAS,39,071,036AAS,627,126,4,2
39071036AAT,39,071,036AAT,608,85,1,2
39071036AAU,39,071,036AAU,468,86,3,0
39071036AAV,39,071,036AAV,572,96,8,0
39071036AAX,39,071,036AAX,680.9,117.77,2.97,1.98
39071036AAY,39,071,036AAY,310,57,1,1
39071036AAZ,39,071,036AAZ,394.1,102.23,4.03,0.02
39071036ABB,39,071,036ABB,323,60,6,1
39071036ABC,39,071,036ABC,411,119,2,1
39071036ABD,39,071,036ABD,415,97,5,1
39071036ABE,39,071,036ABE,521,88,4,0
39071036ABF,39,071,036ABF,680.34,120.54,3.65,0
39071036ABG,39,071,036ABG,733.85,193.08,2.04,2.01
39071036ABI,39,071,036ABI,426,93,3,1
39071036ABJ,39,071,036ABJ,878,152,8,1
39071036ABL,39,071,036ABL,406.29,86.75,1.05,3.01
39071036ABM,39,071,036ABM,438,138,8,3
39071036ABN,39,071,036ABN,576,157,3,1
39071036ABO,39,071,036ABO,630,109,4,2
39071036ABP,39,071,036ABP,353,71,4,2
39071036ABQ,39,071,036ABQ,808,127,4,3
39071036ABR,39,071,036ABR,496,95,5,2
39071036ABT,39,071,036ABT,529,124,4,1
39073037AAB,39,073,037AAB,614.17,402.6,13.69,2.32
39073037AAE,39,073,037AAE,518,202,17,2
39073037AAG,39,073,037AAG,628.85,291.05,8.95,1.07
39073037AAJ,39,073,037AAJ,441.66,218.82,14.18,2.01
39073037AAL,39,073,037AAL,264,144,3,2
39073037AAM,39,073,037AAM,529.14,248.41,9.35,1.7
39073037AAN,39,073,037AAN,432.69,132.98,4.96,1.98
39073037AAO,39,073,037AAO,690.35,272.18,9.02,4.92
39073037AAR,39,073,037AAR,574,169,8,3
39073037AAT,39,073,037AAT,544.38,169.08,8.8,0
39073037AAU,39,073,037AAU,417.76,124.86,5.04,1
39073037AAV,39,073,037AAV,428,205,5,0
39073037AAW,39,073,037AAW,687,256,12,2
39073037AAX,39,073,037AAX,323,87,5,3
39073037AAZ,39,073,037AAZ,542,185,12,2
39073037ABA,39,073,037ABA,391,116,6,1
39073037ABB,39,073,037ABB,539,199,6,3
39073037ABD,39,073,037ABD,224.58,108.84,3.46,3.46
39073037ABE,39,073,037ABE,117,77,3,0
39073037ABF,39,073,037ABF,462,155,6,1
39073037ABH,39,073,037ABH,333,99,1,2
39075038AAA,39,075,038AAA,592.27,76.15,2,0
39075038AAB,39,075,038AAB,507,65,5,1
39075038AAC,39,075,038AAC,437.27,35.36,1.38,0
39075038AAD,39,075,038AAD,936.31,192.89,11.49,1.16
39075038AAF,39,075,038AAF,683.65,251.6,13.76,7.84
39075038AAH,39,075,038AAH,344.32,100.25,6.01,1
39075038AAJ,39,075,038AAJ,728,152,11,2
39075038AAL,39,075,038AAL,497.05,88.12,6.93,2.97
39075038AAM,39,075,038AAM,715.6,168.57,8.62,0
39075038AAO,39,075,038AAO,692.15,133.37,12.74,0
39075038AAP,39,075,038AAP,766.64,38.19,4.88,0.01
39075038AAR,39,075,038AAR,729.22,107.04,9,0
39075038AAT,39,075,038AAT,412.14,71.81,8.85,1.97
39075038AAU,39,075,038AAU,702.32,167.84,13.99,2
39075038AAW,39,075,038AAW,516.27,51.32,0.97,0
39075038AAX,39,075,038AAX,862.54,99.64,2.12,2.99
39075038AAY,39,075,038AAY,648.44,191.96,6.08,3.03
