GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW
39007004ABG,39,007,004ABG,307,286,11,6
39007004ABI,39,007,004ABI,308.8,172.33,4.98,1
39007004ABJ,39,007,004ABJ,138,125,4,3
39007004ABK,39,007,004ABK,212,179,1,0
39007004ABL,39,007,004ABL,153,173,3,1
39007004ABM,39,007,004ABM,177,154,8,0
39007004ABN,39,007,004ABN,139.53,100.86,1.04,0.02
39007004ABO,39,007,004ABO,195.47,238.14,4.96,1.98
39007004ABQ,39,007,004ABQ,113,71,4,6
39007004ABR,39,007,004ABR,179,184,5,1
39007004ABS,39,007,004ABS,355,260,11,4
39007004ABT,39,007,004ABT,182,143,5,2
39007004ABV,39,007,004ABV,196,92,5,1
39007004ABW,39,007,004ABW,138,109,6,3
39007004ABX,39,007,004ABX,226.33,153.19,9.01,1
39007004ABY,39,007,004ABY,208.94,196.14,3.05,3.01
39007004ABZ,39,007,004ABZ,338.9,159.58,4.14,3.06
39007004ACA,39,007,004ACA,261.99,97.91,4.02,1.01
39007004ACB,39,007,004ACB,268.01,122.09,2.98,1.99
39007004ACD,39,007,004ACD,214,164,5,1
39007004ACG,39,007,004ACG,362.96,258.13,12.5,2
39007004ACH,39,007,004ACH,147,92,1,3
39007004ACI,39,007,004ACI,279,275,6,1
39007004ACJ,39,007,004ACJ,205.1,163.68,5.92,0.99
39007004ACM,39,007,004ACM,223,133,4,2
39007004ACO,39,007,004ACO,501,219,5,2
39007004ACP,39,007,004ACP,381,231,5,2
39007004ACQ,39,007,004ACQ,305,80,3,0
39007004ACR,39,007,004ACR,307,102,2,2
39007004ACS,39,007,004ACS,264.8,96.55,4.78,0
39007004ACT,39,007,004ACT,268,96,9,4
39007004ACU,39,007,004ACU,491.17,264,16.13,0
39007004ACW,39,007,004ACW,285.03,118.02,3,0
39007004ACX,39,007,004ACX,195,91,5,0
39007004ACY,39,007,004ACY,275.84,179,5.87,0
39007004ADA,39,007,004ADA,322,148,4,1
39007004ADB,39,007,004ADB,421,206,5,4
39007004ADC,39,007,004ADC,295.73,173.67,6.95,1.98
39007004ADD,39,007,004ADD,540,171,7,0
39007004ADF,39,007,004ADF,274,112,2,1
39007004ADG,39,007,004ADG,273.2,85.45,3.22,0
39007004ADH,39,007,004ADH,295.63,127.78,5.45,3.05
39007004ADI,39,007,004ADI,231.37,98.22,7.55,0.95
39007004ADJ,39,007,004ADJ,435,237,16,1
39007004ADL,39,007,004ADL,293,167,5,0
39007004ADM,39,007,004ADM,296.87,156.42,5.81,3.87
39007004ADN,39,007,004ADN,322.01,181.26,8.27,1.17
