GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI
090012455001000,103.5,54.9,2.3,0.7,0.1
090012456004036,0,0,0,0,0
090012456002012,6.8,3.6,0.1,0,0
090010204001008,39.3,29.1,0.6,0.3,0.1
090010214004001,131,41.8,0.9,0.8,0
090010210002010,0.8,0.5,0,0,0
090010217003001,99,33.1,1.3,0.6,0
090010210001011,0,0,0,0,0
090010221003002,0,0,0,0,0
090010206001011,11.8,7.6,0.1,0.1,0
090010223001007,0,0,0,0,0
090010222002015,0,0,0,0,0
090010203001008,0,0,0,0,0
090010203002033,1.1,0.6,0,0,0
090010202002020,0,0,0,0,0
090010202002033,3.2,1.9,0.1,0,0
090010207003010,0,0,0,0,0
090010210002012,0,0,0,0,0
090010212001016,2.4,1.5,0,0,0
090010214003016,0,0,0,0,0
090010218021011,0,0,0,0,0
090010551001050,11.3,3.9,0.2,0.1,0
090010552001010,11.3,3.9,0.2,0.1,0
090010551001046,70.6,24.2,1,0.4,0
090010552001006,5.7,1.9,0.1,0,0
090010552003033,6.8,2.5,0.1,0,0
090010552002011,8.1,3,0.2,0,0
090010552001022,3.5,1.2,0.1,0,0
090010552003032,14.2,5.2,0.3,0.1,0
090010551004021,71.1,25.9,1.4,0.4,0.2
090010551002015,10.8,3.9,0.2,0.1,0
090010551002017,55.5,20.2,1.1,0.3,0.1
090010551004000,180.2,65.6,3.6,0.9,0.4
090010552003028,0,0,0,0,0
090010714004001,21.4,3.5,0.1,0.1,0
090010714004003,23.6,3.8,0.1,0.1,0
090010712003000,19.1,3.1,0,0.1,0
090010711002007,30,5.6,0.1,0.1,0.1
090010712004007,19.9,4.5,0.1,0.1,0
090010729003007,0,0,0,0,0
090012572002003,1.4,0.2,0,0,0
090012572002024,0,0,0,0,0
090012572002010,12.1,2,0,0,0
090010712004008,37.9,8.6,0.1,0.2,0.1
090010709001007,0,0,0,0,0
090010703001022,0,0,0,0,0
090010703001011,0,0,0,0,0
090010714002000,24.2,3.9,0.1,0.1,0
090010714001005,5.7,0.9,0,0,0
090010714003008,0,0,0,0,0
090010714003006,24.2,3.9,0.1,0.1,0
090010714003014,17.5,2.8,0,0.1,0
090012572002027,0,0,0,0,0
090010713002000,0.8,0.1,0,0,0
090010706001051,0,0,0,0,0
090010706001024,0,0,0,0,0
090010706001052,10.9,2.5,0,0,0
