GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
220010002-3,22,001,0002-3,813.41,91.08,5.32,1,4.02,784,17.31,26.95,28.86,9.26,3.35,3.26,0.17,1.67,3,4.02,1.67,3.76,1,1
220010002-5,22,001,0002-5,446,43,5,1,2,453,5,13,10,0,5,0,1,0,1,0,3,1,0,1
220010003-1,22,001,0003-1,428.77,123.03,5.48,0.04,1.9,396.51,9.79,44.67,38.79,6.78,6.39,0.88,2.98,0.45,2.35,0.56,7.89,9.04,0.63,0.21
220010003-2,22,001,0003-2,761,43,4,1,0,744,20,16,13,0,0,0,3,0,0,1,9,0,0,0
220010003-3,22,001,0003-3,961.11,281.24,10.06,1.4,4.62,909.26,20.02,106.64,91.17,14.66,11.36,3.94,8.49,1.09,3.74,3.42,13.54,2.21,1.8,1.02
220010003-4,22,001,0003-4,421.56,562.6,9.13,0,1.68,410.22,21.97,285.83,102.26,14.09,27.11,7.07,2.8,0.56,3.23,0,16.76,16.14,1.55,3.97
220010003-5,22,001,0003-5,572.5,97.2,7.46,0.89,0,542.68,22.08,50.3,25.62,1.84,5.16,2.05,3.66,0,0.01,0,3.96,3.59,0.9,1.81
220010003-7,22,001,0003-7,816.87,132.1,7.36,3.56,2.85,789.82,21.01,53.6,38.44,6.11,9.68,0.76,2.73,1.25,2.67,1.06,3.1,3.91,0.01,1.77
220010004-1,22,001,0004-1,601.36,45.45,3.04,0,0.04,560.83,9.4,25.18,15.14,6.03,3.04,0,1.07,1,1,3,4.07,5.08,0,1
220010004-2,22,001,0004-2,596,81,3,0,4,586,8,36,32,6,2,2,1,1,0,1,3,4,0,0
220010004-4,22,001,0004-4,1025.17,66.93,9.79,0.97,1.06,974.71,29.83,20.79,21.65,3.92,7.82,1.94,4.97,1.01,0.01,0,4.97,4.02,0.97,0.97
220010004-5,22,001,0004-5,646.41,28.14,2.56,0,2.56,613.15,24.73,11.09,8.53,1.71,2.56,0,4.26,0,0,0,4.26,5.12,0,0
220010004-6,22,001,0004-6,596.26,44.67,4.15,1,0.15,581.29,18.46,20.66,7.5,4.1,0.15,2,1.25,1,0,0,4.25,6.3,0,1
220010005-1,22,001,0005-1,273.7,38.96,2.92,0,0.97,253.25,8.77,14.61,17.53,1.95,2.92,0,2.92,0,0,0.97,0.97,2.92,0,0
220010005-2,22,001,0005-2,345,53,4,0,1,333,1,25,20,0,2,2,0,1,3,3,1,3,0,0
220010005-3,22,001,0005-3,574.56,26.24,3.88,0,0.98,555.05,10.77,6.83,14.53,0.01,1.95,1.93,0.99,0,0,0.97,2.92,3.89,0,0
220010005-4,22,001,0005-4,396,33,7,0,3,379,6,18,7,0,2,2,4,0,1,1,4,3,0,0
220010005-5,22,001,0005-5,218.96,23.91,3.28,0.03,1.02,208.43,5.9,11.54,8.61,0.13,0.26,0.06,0.16,2.99,0.99,0,0.16,0.13,0.03,0.03
220010006-1,22,001,0006-1,110.54,266.48,2.11,0.82,0.12,103.45,4.18,107.29,64.54,10.81,8.78,4.6,2.07,0.69,4.31,2.07,5.73,10.6,3.58,0.73
220010006-2,22,001,0006-2,247,60,1,0,1,233,3,18,24,8,3,2,3,0,0,1,1,1,0,2
220010006-3,22,001,0006-3,192.3,197.81,4.29,3.1,0,192.25,6.57,80.77,50.51,5.43,6.15,0.57,3.29,0.1,0.57,4.29,5.77,7.43,1.48,1.1
220010006-4,22,001,0006-4,311,199,8,1,0,300,3,67,65,10,5,2,0,0,1,10,9,11,3,1
220010006-5,22,001,0006-5,199.29,86,0.64,0.21,1,192.93,2.29,38.86,19.07,3.21,2.57,1.29,0.64,0.21,2.29,3.64,1.71,3.21,1.07,1.21
220010006-6,22,001,0006-6,8.88,550.71,0.96,2.88,2.88,18.38,1.96,277.08,121.88,21.54,23.5,12.54,0,0,4.83,0,5.79,6.75,2.88,2.96
220010006-7,22,001,0006-7,483.26,81.21,8.36,0,4.12,461.17,12.73,23.6,35.85,4,5,0,3.36,1,2,0,2.12,4.12,1,2
220010006-8,22,001,0006-8,293.62,59.16,0.91,0.78,0.78,272.8,4.14,18.14,17.33,3.12,3.95,1.72,2.36,0.78,0.03,0.81,2.39,4,0.81,0.81
220010007-2,22,001,0007-2,566.97,85.36,3.01,1,0,544.6,12.13,19.04,27.72,8.07,8.15,4,1.05,0.05,1.03,0.01,4.04,5.05,0,2.01
220010007-3,22,001,0007-3,942.72,42.99,7,1,1,907.73,35.99,16,12,8,0,4,4,3,1,0,5,2,0,0
220010007-4,22,001,0007-4,717,33,7,1,6,674,27,21,5,0,0,0,3,1,1,6,8,4,1,2
22001006-10,22,001,006-10,246.31,28.61,1.09,0,0.02,224.85,6.25,18.16,7.34,2,2.05,0.05,0.02,3,0,1.02,1.07,0.09,0,0
22001006-12,22,001,006-12,333,66,5,1,1,333,3,20,18,6,5,2,1,0,3,4,4,4,1,0
22001006-13,22,001,006-13,203.46,13.77,3.38,1,0,203.62,5.62,3.77,5,0.15,2,0,0.08,0,0,0,0,0.08,0.23,0
22001006-14,22,001,006-14,609.38,42.84,5.09,0.22,0.22,583.2,9.86,12.86,11.67,0.88,3.05,6.28,1.64,0.22,0.97,1.19,2.61,5,1.19,1.19
22001006-15,22,001,006-15,167,9.03,2.67,0,0.89,158.91,5.37,4.46,6.29,0,0.02,0.02,2.65,0,0,0.01,0.91,0.91,0,0
22001006-16,22,001,006-16,271.87,24.29,4.98,0.15,0.44,260.55,8.69,21.81,0.95,2.14,0,0.15,1.14,0.22,0.29,0.29,0.07,1.36,2.91,0
220030001-1,22,003,0001-1,126.27,70.48,0,1.96,1.96,110.61,7.83,16.64,32.3,8.81,1.96,1.96,0,0,0,0,3.92,3.92,0,0
220030001-2,22,003,0001-2,126.73,42.66,2.01,0,0,127.37,0.09,10.24,10.24,7.06,6.03,2.03,0,0,0,2,1,1.09,0,0
220030001-3,22,003,0001-3,147.73,57.52,2,0.04,2.04,131.39,5.17,17.36,24.7,2.19,5.04,3.04,2,4,0,2,3.08,0.08,2,1
220030001-4,22,003,0001-4,14,178,4,2,4,23,2,22,81,9,14,2,0,0,1,0,3,6,0,1
220030001-5,22,003,0001-5,40,41,4,0,0,42,3,15,11,2,2,0,2,0,0,0,1,1,2,0
220030001-6,22,003,0001-6,175,52,3,1,1,154,13,19,14,4,5,0,2,0,0,2,3,1,0,1
220030002-1,22,003,0002-1,220,98,4,0,4,223,7,27,37,7,2,2,0,0,0,2,5,4,0,0
220030002-2,22,003,0002-2,439,47,5,1,3,431,15,10,16,2,5,0,0,2,0,1,4,0,0,0
220030002-3,22,003,0002-3,281.4,12.08,0.85,0,2.13,262.28,13.22,4.96,4.01,1.51,2.93,0,0.71,0,0.71,0,2.13,0.76,1.42,0
220030002-5,22,003,0002-5,8.72,140.36,1.01,1,4,14.73,0.02,30.05,73.15,7.03,9.03,0.01,0,0,1,0.01,1,1.01,3,3
220030002-6,22,003,0002-6,287.25,17.61,1.03,0,0,262.97,12.68,0,13.63,1.96,1.96,1.91,0,0,1.91,0.96,0.96,2.89,0,0
220030003-1,22,003,0003-1,389.31,18.85,2.84,0,0.88,368.09,14.13,2.08,10.41,2.34,2.93,0.09,0.3,0,0.38,0.05,0.94,1.27,0.58,0.01
220030003-2,22,003,0003-2,737.04,70.46,9.28,0,1,675.66,21.97,13.96,30.95,7.19,9.18,0,2.99,0,1,1,7.98,8.08,0,1.99
220030004-2,22,003,0004-2,413.99,14.17,1.12,0.04,0,365.41,15.65,5.32,6.65,0.08,0,0.08,0.04,2.08,0.04,1.04,2.04,3.2,0.04,0.04
220030004-3,22,003,0004-3,357.38,27.92,2.9,0.96,0.01,319.91,15.4,7.68,15.36,1.92,0.04,1.94,0.98,1.92,0.96,0.96,0.97,4.8,0.96,0.96
220030005-2,22,003,0005-2,595.17,30.82,1,0,0.99,502.88,43.66,2,18.88,5.95,6.95,0.01,1,2.97,3.97,0.99,1,8.93,0,0
220030005-3,22,003,0005-3,333.6,27.97,0,0,1,295.64,15.98,6.99,15.98,2,8.99,2,0,2,0,1,1,4,0,0
220030005-5,22,003,0005-5,269.25,4.72,1.12,0,0,253.39,13.36,0.5,3.66,0.18,0.23,0.05,0.03,0.08,0.02,0,1.23,0.08,0.04,0.99
220030005-7,22,003,0005-7,60,407,5,0,7,65,7,93,180,13,23,5,0,2,6,0,7,11,4,4
220030005-9,22,003,0005-9,423,192,3,1,6,399,15,58,86,2,13,5,3,0,2,0,8,9,3,0
22003005-10,22,003,005-10,494.97,29.72,0.96,0,0,476.67,9.66,4.79,13.43,1.92,4.79,0,0,1.92,0,0,4.8,0.96,0.96,0.01
22003005-12,22,003,005-12,31,65,1,1,0,30,2,17,25,5,7,0,1,0,0,0,1,2,0,0
22003005-13,22,003,005-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22003005-8A,22,003,005-8A,28,16,0,0,0,32,2,0,8,4,0,0,0,0,0,0,0,0,0,0
2200302-2-A,22,003,02-2-A,173,65,5,1,0,155,10,17,33,9,5,2,3,0,0,0,1,5,2,0
2200302-4-C,22,003,02-4-C,322,93,4,0,0,292,16,19,37,11,4,0,1,0,5,1,8,3,1,2
2200302-4-O,22,003,02-4-O,325.28,160.64,3.99,0,1,328.27,6.98,21.95,67.85,12.97,12.97,4.99,0,0,0,2.99,0,5.99,1,0
2200305-4-C,22,003,05-4-C,456.61,111.04,1.01,4,0,442.6,12.01,30.02,54.01,7.01,5,0,0,2,4,0,1,4,0,0
2200305-4-O,22,003,05-4-O,303.31,17.66,3.92,0,0,298.28,3.04,11.75,2.97,4.89,0.01,1.96,0.98,0,0.98,0,0.99,0.98,0,0.01
22005000001,22,005,000001,749.96,213.69,29.28,8.01,4.09,781.99,16.5,93.73,69.98,6.19,14.13,7.13,11.21,0,2,1.03,7.03,2,0,0.03
22005000002,22,005,000002,955.36,220.7,16.98,0.77,5.4,956.9,30.1,103.41,58.65,11.58,7.72,7.72,12.35,0,0,1.54,1.54,0,0,1.54
22005000003,22,005,000003,932,249,31,0,4,890,41,104,71,18,14,13,18,2,2,0,7,15,0,1
22005000004,22,005,000004,807,261,21,0,4,800,25,115,80,15,12,4,11,0,0,0,5,8,2,0
22005000005,22,005,000005,864,284,21,3,9,843,35,98,87,38,15,4,11,7,4,0,4,5,5,3
22005000006,22,005,000006,1281.44,484.42,22.55,6.09,5.48,1304.59,35.34,198.64,137.1,20.11,18.89,14.01,9.14,5.48,1.83,1.22,8.53,12.19,1.22,0
22005000007,22,005,000007,470.12,217.92,7.51,1.41,1.88,465.89,6.58,100.97,59.18,15.5,7.98,0,5.17,3.29,2.35,1.41,3.29,7.98,1.88,0
22005000008,22,005,000008,769.15,266.39,20.64,0,3.75,771.96,21.57,120.06,71.29,16.88,11.26,0,5.63,6.57,1.88,0,0,9.38,1.88,0
22005000009,22,005,000009,911,418,19,2,4,908,27,177,124,21,24,17,18,2,5,3,9,7,4,2
22005000010,22,005,000010,1208,289,23,5,6,1146,66,112,94,18,12,3,7,5,5,4,7,13,2,6
22005000011,22,005,000011,1173.12,489.92,26.71,1.07,13.04,1133.42,56.71,226.86,141.28,30.25,20.15,7.15,10.24,7.09,4,1,4.31,13.15,7.04,2
22005000012,22,005,000012,1098,279,31,2,2,1056,47,109,85,21,27,3,14,2,5,0,4,5,2,5
22005000013,22,005,000013,1191,340,41,3,0,1154,58,112,112,44,19,7,34,7,2,2,9,12,0,0
22005000014,22,005,000014,959.41,113.27,10.21,0.05,7.07,932.08,31.38,50.82,28.73,6.29,5.12,7,2.2,0.03,4.02,0,5.08,8.07,0.02,2.08
22005000015,22,005,000015,1136.31,172.9,10.19,0,6,1114.98,16,70.58,41.13,15,17.13,3,9.13,0,4.13,0,9,5.06,0,3
22005000016,22,005,000016,809.13,337.33,11.18,0,6.22,796.26,40.25,155.91,107.11,9.97,15.65,0,2.32,4.37,2.11,2,5,12.54,0.11,0
22005000017,22,005,000017,759,666,13,8,2,770,21,308,179,65,22,7,9,5,7,3,9,10,0,0
22005000018,22,005,000018,1145,291,18,2,7,1112,43,109,87,23,27,10,18,2,4,3,4,7,0,0
22005000020,22,005,000020,725.18,267.79,31.27,2.93,1.95,736.91,32.25,129.01,58.64,11.73,6.84,6.84,10.75,3.91,0,0,13.68,6.84,1.95,0
22005000021,22,005,000021,410.26,98.33,4.03,1.61,0,373.19,12.9,33.85,33.05,23.37,1.61,2.42,1.61,1.61,3.22,0,3.22,10.48,0,0
22005000022,22,005,000022,609.09,118.51,15.54,1.94,0,603.26,28.17,57.31,33.03,5.83,6.8,2.91,4.86,3.89,0,1.94,1.94,0,0,0
22005000023,22,005,000023,400.25,180.63,0,0,5.7,385.04,5.7,79.86,65.6,11.41,4.75,0,0,4.75,0,0,6.65,2.85,0,0
22005000024,22,005,000024,59.52,20.78,0.75,0,0.3,56.97,1.55,9.03,7.42,0.97,0.25,0.38,0.25,0.25,0,0,0.85,0.15,0.25,0.25
22005000025,22,005,000025,440.65,82.77,6.13,1.18,0.79,425.77,20.16,19.25,23.42,9.2,4.35,0.58,3.16,2.37,2.76,0.4,2.36,6.49,0,0.79
22005000026,22,005,000026,1560.69,198.93,19.05,1.03,5.82,1464.87,72.48,99.31,49.31,10.12,14.34,2.75,6.22,2.55,1.63,0.06,6.69,20.9,3.32,0.88
22005000027,22,005,000027,1484.14,216.49,24.46,4.81,5.01,1423.6,66.02,94.01,67.99,7.79,12.43,7.03,12.4,0.56,0.37,0,5.2,21.32,2.6,2.04
22005000028,22,005,000028,313.94,409.62,6.28,0,6,290.98,17.12,189.96,141.26,21,7,7,2,7,4.28,0,5.28,10,4,2
22005000030,22,005,000030,187.01,431.04,5,0,6,183.01,14,196.02,140.01,21,14,10,2,6,2,1,0,5,2,1
22005000031,22,005,000031,406.86,391.14,8.11,0.06,6.08,395.42,17.32,145.4,111.89,38.44,12.29,7.13,9.06,4.13,4,0.02,4.06,8.25,0.06,0.04
22005000032,22,005,000032,448.66,362.7,2.11,3,2.01,422.43,17.15,171.3,94.23,6.05,22.04,10.01,2.05,11.01,7.01,1,5.03,7.05,0.01,5.01
22005000033,22,005,000033,1621.43,256.2,34.73,1.21,3.2,1556.61,60.8,86.6,78.3,17.38,15.99,2.99,16.17,5.01,5.01,0.6,9.38,18.98,1.99,3.2
22005000034,22,005,000034,850.43,297.91,5.98,0.01,5.97,819.64,28.86,164.35,43.94,14.95,16.92,0.01,2.99,1.99,1.99,0,9.95,21.87,1.99,0
22005000035,22,005,000035,1018.57,136.82,11.05,2.93,0.04,954.72,48.43,66.61,31.46,9.21,5.01,3.11,5.14,0.11,2.03,5.74,4.93,8.05,0.02,2.12
22005000036,22,005,000036,348.76,751.48,10.99,10.99,7,357.75,13.99,344.76,219.85,34.98,33.98,3,11.99,5,7,1,5,5,0,2
22005000037,22,005,000037,292.89,1210.55,15.12,2.39,7.16,315.97,11.14,497.43,409.09,62.88,42.98,2.39,6.37,17.51,6.37,3.18,12.73,14.33,0,0.8
22005000039,22,005,000039,196,258,6,0,6,183,8,154,71,6,5,3,0,0,0,0,4,10,2,3
22005000040,22,005,000040,982.33,431.44,8.72,3.84,2.37,992.34,20.78,208.32,124.05,26.15,13.95,6.31,4.25,3.53,2.37,0.26,4.01,4.31,1.01,1.6
22005000041,22,005,000041,778,139,11,2,2,759,21,48,39,15,5,10,11,4,2,3,4,7,0,2
22005000042,22,005,000042,147.78,247.2,5.47,0,6.39,155.07,10.95,99.43,81.19,29.19,13.68,2.74,1.82,0,1.82,0,2.74,2.74,0,0
22005000043,22,005,000043,880.47,114.14,15.17,2.22,2.42,864.76,25.85,83.64,23.71,4.35,5.99,0.4,9.6,0.01,0.07,0,3.32,0.98,2.1,2.09
22005000044,22,005,000044,179,755,5,2,6,188,6,421,183,38,24,0,7,2,3,3,9,15,0,0
22005000045,22,005,000045,36,281,3,0,4,56,0,115,85,18,10,0,0,0,3,0,3,3,0,5
22005000047,22,005,000047,63.44,1111.48,8.05,3.07,15.13,136.94,8.09,340.62,341.52,106.33,44.34,23.03,0.02,0.04,9.08,3.15,17.14,8.09,4.02,3.02
22005000048,22,005,000048,196.34,158.94,4.67,0,0,207.56,3.74,46.75,57.97,16.83,4.67,2.8,0,1.87,0,0,6.54,1.87,0,0
22005000050,22,005,000050,184.81,307.23,3.83,1.83,5.65,188.64,2,105.87,109.4,20.48,21.39,11.87,0,0,2.74,0,4.74,4.57,0,0
22005000051,22,005,000051,74.22,737.58,8.27,7.93,18.87,130.49,10.17,234.63,203.51,44.84,45.98,3.17,1.98,5.09,10.92,16.85,19.32,10.04,4.98,1.98
22005000052,22,005,000052,170,147,6,2,4,181,0,48,64,9,5,0,0,0,2,0,2,3,2,0
22005000053,22,005,000053,286,241,0,0,2,280,6,76,73,15,5,10,2,4,2,0,10,10,0,0
22005000054,22,005,000054,148.83,354.29,2.01,2.01,2.03,154.65,2.11,126.98,137.81,18.12,7.08,10,0,0.01,3.01,0,3.08,3.04,0.02,0
22005000055,22,005,000055,63.15,445.04,3.01,3,5.05,88.21,2,171.65,135.62,23.18,15.07,3.06,0.01,0,2.02,0,9.04,5.04,0,2.03
22005000057,22,005,000057,26.85,357.96,1.99,0,8.95,36.79,0,114.35,109.38,31.82,11.93,9.94,1.99,0,2.98,0,6.96,6.96,0,4.97
22005000058,22,005,000058,777.38,395.44,11.13,2.94,3.92,742.57,25.42,157.7,125.1,25.19,14.71,9.49,4.69,6.87,0,0.98,6.44,12.75,4.69,3.71
22005000061,22,005,000061,265.8,61.41,4.72,0.21,1.5,266.23,8.37,28.77,16.32,3.22,2.15,2.15,3.44,0,0,0.43,0.43,0,0,0.43
22005000062,22,005,000062,572.8,216.54,10.08,2.72,2.45,583.15,15.8,88.79,61.28,8.99,8.44,6.26,4.09,2.45,0.82,0.54,3.81,5.45,0.54,0
22005000063,22,005,000063,248.76,94.04,4.38,1.18,1.06,253.25,6.86,38.56,26.61,3.9,3.67,2.72,1.77,1.06,0.35,0.24,1.66,2.37,0.24,0
22005000064,22,005,000064,539.18,248.86,8.7,1.59,2.16,534.43,7.66,115.28,67.57,17.68,9.13,0.01,5.9,3.78,2.67,1.59,3.71,9.11,2.14,0
22005000065,22,005,000065,75.1,310.41,3.88,0.61,1.84,81.02,2.86,127.55,104.9,16.12,11.02,0.61,1.63,4.49,1.63,0.82,3.27,3.67,0,0.2
22005000066,22,005,000066,879.99,409.79,7.98,3.35,2.31,892.37,18.33,197.66,118.69,25.67,13.27,4.94,3.94,3.34,2.03,0,3.51,3.51,0.95,1.43
22005000071,22,005,000071,1230.44,600.71,33.09,6.07,9.14,1243.98,40.06,269.25,161.38,44,17.7,0.7,24.63,11.28,6.11,1.21,9.32,7.35,2.14,1.21
22005000072,22,005,000072,591,269,16,1,5,586,23,87,94,18,7,7,11,7,2,0,3,11,2,1
22005000073,22,005,000073,246.89,26.54,1.61,0,0,235.63,6.43,11.26,7.24,0,0,0,0,0,1.61,0,1.61,0,0,0
22005000076,22,005,000076,1152.2,277.43,25.88,5.97,8.93,1112.27,46.62,100.45,88.57,34.74,14.94,0.07,24.81,3.97,2.06,0,10.01,7.95,1.98,9.92
22005000077,22,005,000077,633,233,10,1,4,660,14,101,66,6,10,3,14,2,0,0,5,2,0,0
22005000078,22,005,000078,693.73,144.14,13.02,0.93,1.86,671.41,21.39,72.54,38.13,0,9.3,9.3,8.37,3.72,0,2.79,2.79,4.65,1.86,2.79
220070001-1,22,007,0001-1,31.07,282.15,0.04,0.01,2.61,31.74,0.01,103.34,98.98,8.56,10.47,4.59,0.01,0,0,0.65,5.9,4.59,1.32,1.3
220070001-2,22,007,0001-2,335,512.62,12.97,3.09,3.47,341.75,3.18,160.79,218.68,30.33,18.19,9.88,3.09,0.99,0.87,0.99,12.15,9.17,3.96,0.12
220070002-1,22,007,0002-1,335,57,0,2,2,336,3,21,17,2,3,0,0,0,0,0,1,3,0,2
220070002-2,22,007,0002-2,60,10,0,0,0,47,0,4,8,0,0,0,0,0,2,0,1,1,0,0
220070002-3,22,007,0002-3,406,159,5,2,4,392,9,85,47,8,3,0,4,0,2,0,11,3,3,3
220070002-4,22,007,0002-4,190,38,0,0,0,186,0,19,8,2,2,2,0,0,0,0,3,1,2,1
220070002-5,22,007,0002-5,83,26,5,0,2,84,2,17,5,2,0,2,0,0,0,0,3,1,1,0
220070003-1,22,007,0003-1,215,43,2,0,0,200,4,23,9,2,2,2,0,3,2,0,6,2,0,0
220070003-2,22,007,0003-2,796.9,77.13,5.97,0.08,1.99,711.02,30.84,32.42,22.5,2.66,3.32,0,1.99,4.15,4.06,0.99,18.16,13.02,2.98,0
220070004-1,22,007,0004-1,96.99,138.43,0,0,0,87.58,0,38.61,47.08,7.53,9.42,0,0,0,0.94,0,4.71,4.71,0,0
220070004-2,22,007,0004-2,145,433,5,3,3,144,0,205,148,12,14,3,1,0,1,1,18,9,1,3
220070004-3,22,007,0004-3,158.01,131.57,1,0,2,156.43,3,48.39,38.92,6.47,2.58,0,0,0,1.06,0,5.29,3.29,0,1
220070005-1,22,007,0005-1,53,256,1,0,10,54,7,104,71,6,7,9,0,0,4,0,8,8,0,1
220070005-2,22,007,0005-2,333,150,2,0,2,315,13,44,45,6,3,7,1,0,0,0,5,1,1,1
220070005-3,22,007,0005-3,242.88,45.78,2.4,1.07,0.13,231.81,3.86,13.29,18.13,2.93,4.06,0.13,1.07,1.07,0.07,0.07,1.13,0.33,0,1.26
220070005-5,22,007,0005-5,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220070006-1,22,007,0006-1,227.13,283.5,5.72,0.96,1.89,226.24,12.17,76.03,130.73,13.34,15.09,1.96,0.96,0.94,0.93,0.94,1.97,4.75,0.04,3.74
220070006-2,22,007,0006-2,35.97,326.35,0.88,0.88,3.51,50,0.88,120.19,118.43,11.4,16.67,0,0.88,0,6.14,0,8.77,1.75,0,0.88
220070006-3,22,007,0006-3,22,187,4,0,0,24,0,62,68,10,9,0,0,0,0,0,6,4,0,0
220070007-1,22,007,0007-1,456.13,413.32,0.98,0.98,4.35,435.8,12.8,167.39,146.24,18.32,14.45,2.44,0,0.98,0.98,0.35,12,7.37,2.67,0.7
220070007-2,22,007,0007-2,263.48,30.82,3.98,0,0,253.53,3.98,9.94,10.94,0,1.99,1.99,0,0,0.99,0,4.97,2.98,0,0
220070007-3,22,007,0007-3,198.52,14.18,4.02,0,0,182.47,6.02,6.06,5.06,2,3.01,0.01,0,0,0.01,0,1.03,1.02,0,0
220070008-1,22,007,0008-1,1365,111,4,1,2,1258,27,46,37,10,2,3,4,3,2,0,14,12,1,2
220070009-1,22,007,0009-1,1115.83,112.83,1.98,0.93,1.85,1035.57,12.38,48.7,21.38,3.83,8.33,10.31,3.7,0,1.85,0,11.19,10.18,0.93,2.86
220090001-1,22,009,0001-1,673.12,39.19,2.94,0,0,627.07,13.72,9.8,22.54,1.96,0,2.94,2.94,1.96,2.94,0,2.94,3.92,0,0
220090001-2,22,009,0001-2,842.35,47.88,4.32,0.27,2.98,792.15,24.62,17.11,17.93,0.75,2.76,0,3.78,0.74,0.62,0.13,2.36,4.38,0.29,2.98
220090001-3,22,009,0001-3,340.48,17.33,3.48,0,0.1,317.61,5.27,4.17,9.2,0.3,0.23,2.04,1.44,2.16,0.09,1.05,3.34,2.28,0,0
220090002-1,22,009,0002-1,312.62,161.32,4.18,0.84,2.51,285.87,10.03,37.61,56,3.34,4.18,4.18,2.51,5.02,2.51,0,6.69,8.36,2.51,0.84
220090002-2,22,009,0002-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220090002-4,22,009,0002-4,242,254,8,3,4,217,12,84,91,19,13,5,0,3,2,3,12,7,1,2
220090002-5,22,009,0002-5,287.02,75.69,3.86,0.21,0.49,268.1,13.31,11.09,22.92,4.74,3.91,0.87,3.53,0.98,3.48,0.14,2.74,5.67,0.49,0.16
220090002-7,22,009,0002-7,34.23,185.8,3.91,0,2.93,25.43,0.98,69.43,70.41,1.96,9.78,1.96,0,1.96,1.96,0,7.82,1.96,0,0
220090002-8,22,009,0002-8,62.77,225.2,4.09,1,7.07,58.57,6.02,69.57,74.59,8.04,13.22,8.04,1,0.04,2.04,0,6.18,5.04,4,2
220090003-1,22,009,0003-1,195.13,442.02,4.98,3.98,6.97,214.04,8.96,115.48,156.3,32.85,26.88,4.98,1,0,5.97,0,8.96,8.96,2.99,4.98
220090003-3,22,009,0003-3,84.69,101.1,4,1,0,80.67,4.01,44.02,33.03,4,8,2,0,3,1,0,1.01,1,0,0
220090004-1,22,009,0004-1,266.49,67.47,3.19,0,1.05,232.31,24.5,18.33,18.81,10.03,6.09,5.05,4.07,1.02,1.1,0,6.14,1.19,0,0.03
220090004-2,22,009,0004-2,764.51,83.53,10.81,0,2.95,697.69,28.5,18.67,46.19,1.97,4.91,2.95,3.93,0.98,5.9,0,7.86,10.81,0,1.97
220090005-1,22,009,0005-1,507.35,41.01,8.58,0,0.95,472.07,19.07,12.4,12.4,5.72,4.77,0,7.63,2.86,0.95,0.95,5.72,1.91,0,0
220090006-2,22,009,0006-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
