GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREOWES,G20PREOOTH,G20USSRCAS,G20USSRMUR,G20USSDPER,G20USSDEDW,G20USSDPIE,G20USSDKNI,G20USSDWEN,G20USSLSIG,G20USSIMEN,G20USSOPRI,G20USSOJOH,G20USSNBIL,G20USSNBOU,G20USSNMON,G20USSNDAR
22051000068,22,051,000068,608,246,12,1,7,581,23,102,69,13,11,9,4,16,5,1,4,1,0,4
22051000069,22,051,000069,452,242,6,3,2,464,9,129,46,11,10,5,3,4,3,1,4,5,1,1
22051000070,22,051,000070,250.6,302.3,5,0,4,222.8,14.9,93.5,99.4,19.9,20.9,5,1,6,2,0,6,8,3,1
22051000071,22,051,000071,931,246,19,1,3,951,13,102,56,24,10,5,6,9,2,1,1,7,3,5
22051000072,22,051,000072,472,174,15,1,3,460,15,71,40,11,21,7,6,9,0,0,1,3,4,0
22051000073,22,051,000073,722.4,308.7,3,5,4,723.2,10.1,125.5,89.6,20.1,15.1,2,4,3,2,0,4,9,1,4
22051000074,22,051,000074,481,357,6,1,2,473,10,131,109,28,25,5,0,6,0,3,6,11,3,3
22051000075,22,051,000075,418,187,6,3,0,397,15,78,44,13,21,5,8,3,2,1,10,4,0,4
22051000076,22,051,000076,532,405,8,4,3,541,7,127,129,39,21,5,10,6,3,0,8,14,6,1
22051000077,22,051,000077,604,199,10,3,4,609,4,59,51,24,15,0,7,6,1,1,8,7,0,0
22051000078,22,051,000078,451,512,8,5,2,460,12,163,177,58,23,7,7,9,1,1,4,12,0,1
22051000079,22,051,000079,286.8,92.5,5.9,3.3,2,293.3,3.9,45.3,23,2.6,1.3,3.3,2.6,2,3.3,0,2.6,2.6,0,0
22051000080,22,051,000080,383,168,5,3,2,368,6,65,49,18,0,7,7,4,1,1,6,4,0,0
22051000081,22,051,000081,442.2,164.5,13.1,1.7,1,445.7,4.1,70.7,41,10.4,2.7,3.7,7.4,3,4.7,1,1.4,4.4,0,3
22051000082,22,051,000082,451,351,12,6,9,451,2,125,129,46,23,5,7,7,5,0,1,5,3,0
22051000083,22,051,000083,249,86,4,3,2,253,2,33,18,7,6,0,1,4,0,1,1,4,1,1
22051000084,22,051,000084,377,147,1,4,3,381,3,57,44,11,8,2,3,4,0,0,1,1,0,0
22051000085,22,051,000085,358,189,8,1,2,378,9,90,47,9,6,7,6,3,0,1,0,4,1,0
22051000086,22,051,000086,316,130,15,2,2,327,9,59,40,7,2,4,3,3,3,0,5,0,1,0
22051000087,22,051,000087,411,193,10,2,0,442,4,100,29,9,6,2,0,0,0,0,1,1,1,3
22051000088,22,051,000088,340,185,8,5,4,387,2,112,18,7,4,4,0,3,1,0,1,3,0,1
22051000089,22,051,000089,461,208,13,1,0,481,7,106,38,11,10,11,7,2,0,1,4,3,1,0
22051000090,22,051,000090,391,172,4,5,2,397,7,96,27,15,0,2,8,0,0,1,0,0,0,1
22051000091,22,051,000091,362.5,123.7,3.8,0.9,0,384.4,2.9,61.8,23.8,3.8,3.8,3.8,5.7,0,0.9,0,0.9,0.9,0,0
22051000092,22,051,000092,353.7,143.5,9.4,1.1,2,399.6,0.2,62.2,21.6,13.3,4.2,2.3,1.3,0,1,0,0.1,0.1,0,0
22051000093,22,051,000093,431,103,5,2,3,462,4,53,18,4,0,0,1,1,0,0,1,0,0,0
22051000094,22,051,000094,583,242,8,2,6,660,4,120,22,4,6,4,7,3,1,0,0,1,0,0
22051000095,22,051,000095,551,244,17,5,3,584,6,129,29,13,15,9,4,3,3,0,1,5,1,0
22051000096,22,051,000096,295.9,75.3,5.4,1.8,0,326.3,0,45.7,9.9,1.8,0,1.8,0.9,0,0,0,0,0,0,0
22051000097,22,051,000097,297.1,159.9,7.8,2,0,335.1,2.9,99.4,23.4,3.9,0,3.9,0,0,0,0,1,1,1,0
22051000098,22,051,000098,562.7,242.9,15,0,3,591.9,4,123.6,46.1,7,8,4,7,10,5,0,3,3,0,1
22051000099,22,051,000099,263,195,12,4,0,268,3,100,44,28,8,9,3,3,1,0,4,1,0,0
220510001-G,22,051,0001-G,216.1,139.3,8.2,2,0.1,223.1,3.3,64.3,27.3,13.5,10.5,4.2,0,0.1,0,3,1.2,8.2,0,0.1
220510001-H,22,051,0001-H,514,214,12,0,4,503,21,55,64,28,13,13,4,9,0,1,5,4,1,1
220510001-K,22,051,0001-K,692.2,285.2,12.7,2.7,7.6,715.6,12.8,113.8,97.3,12.7,8.2,3.4,3.5,4.6,1.8,3.5,4.9,2,1.5,3.1
220510001-L,22,051,0001-L,1162.4,126.8,4.8,3.8,3.8,1107.6,11.5,52.8,29.8,6.7,1.9,6.7,2.9,3.8,0,1,50,2.9,2.9,1
220510001-W,22,051,0001-W,263.1,233.6,1.6,1,4.3,235.4,3.5,92.2,66.8,15.8,9.8,2.3,1.2,7.3,1.3,0,27.2,4.5,0.1,0
22051000100,22,051,000100,208,80,4,1,2,239,0,39,5,2,10,0,0,0,0,0,1,0,0,0
22051000101,22,051,000101,192,55,9,4,0,207,0,31,9,0,2,2,1,0,0,0,0,0,0,1
22051000102,22,051,000102,294,149,8,1,2,304,2,82,29,9,2,0,6,3,0,1,3,5,0,1
22051000103,22,051,000103,415,105,10,0,0,445,3,51,13,7,0,0,1,1,1,0,3,1,0,0
22051000104,22,051,000104,11,679,0,4,0,20,3,272,191,33,27,4,0,3,5,1,11,9,1,4
22051000105,22,051,000105,164,76,4,0,0,167,2,41,11,7,0,4,3,3,1,1,0,1,1,0
22051000106,22,051,000106,303,113,5,0,0,294,10,41,42,4,0,7,4,1,1,0,2,3,1,0
22051000108,22,051,000108,6,441,3,0,3,10,3,188,144,11,19,2,0,4,1,0,5,3,3,1
22051000115,22,051,000115,50,422,6,1,3,49,3,178,146,15,25,4,1,0,3,6,11,5,1,4
22051000116,22,051,000116,245,216,5,0,3,246,9,67,82,18,11,4,1,0,1,0,5,3,1,1
22051000117,22,051,000117,634,204,10,2,4,628,4,82,49,11,8,4,7,9,5,1,4,7,0,0
22051000118,22,051,000118,564,153,14,6,0,577,10,84,31,13,8,7,8,4,1,1,5,1,1,1
22051000119,22,051,000119,431.5,172.9,6.1,4,0,448.6,10,88.4,25.1,7.1,2,7,3,7.1,6,1,0,4,1,1
22051000120,22,051,000120,308.5,64.1,7.9,0,3,321.4,2,26.6,6.9,6.9,2,0,1,5.9,0,1,1,3,0,0
22051000121,22,051,000121,512,136,4,6,3,544,6,59,31,2,4,7,4,6,0,0,0,4,0,0
22051000122,22,051,000122,623,160,14,4,0,653,6,98,22,4,4,2,8,1,0,0,4,4,0,0
22051000123,22,051,000123,1044.1,271.9,9.2,2,4.1,1067.4,9.1,136.1,44.8,26.1,4,16,6.2,4,1.1,0,6,7.1,0,1
22051000124,22,051,000124,931.5,350.2,18.1,4,7,962.6,15,143.6,82.2,22.1,11,7,11,10.1,1,4,2,7,0,4
22051000126,22,051,000126,526.9,287.1,18,2,0,545,18,133.5,55.3,11.1,11.1,7,10,10,3,0,6,7,0,0
22051000127,22,051,000127,368,302,3,1,0,358,9,159,95,22,8,7,4,1,0,0,4,3,3,0
22051000128,22,051,000128,343,275,3,2,2,340,7,114,78,22,11,7,1,4,6,0,2,5,1,1
22051000129,22,051,000129,344,214,6,1,6,356,9,120,40,18,8,2,6,3,1,0,5,4,0,0
22051000130,22,051,000130,221,147,5,1,2,225,3,71,40,13,10,2,4,1,0,0,0,3,0,0
22051000131,22,051,000131,75.8,417.5,1.6,1.2,7,84.3,2.1,163.3,130.4,20.3,19,11.2,0.1,3,6,3,14,4,0,1
22051000132,22,051,000132,175,210,6,0,0,175,6,94,38,22,13,4,1,1,5,1,4,1,1,1
22051000133,22,051,000133,44,473,1,0,4,42,3,235,140,28,8,9,0,1,3,1,6,7,3,0
22051000134,22,051,000134,262,365,10,1,2,272,6,169,95,31,11,2,7,3,1,0,11,9,1,0
22051000136,22,051,000136,237.4,260.2,4,2,2,235.4,9.9,150,43.7,14.9,4,4,6,4,1,1,5,4,1,1
22051000138,22,051,000138,36,124,0,0,4,33,2,57,24,2,10,4,3,1,1,0,1,4,0,1
22051000150,22,051,000150,619,992.9,15,2,4,581.9,22.1,461.6,334.8,64.1,32.1,28,6,9,8,4,32.1,9.1,4,7
22051000151,22,051,000151,576.6,832.7,8.9,5,6,540.9,15.9,458.5,239.2,19.9,33.7,8.9,7,6,5,3,19.9,17.9,3,4
22051000152,22,051,000152,247.8,351.6,6,1,1,230.9,4,178.3,86.2,6.9,7.9,4,3,3,3,1,10.9,6.9,0,1
22051000153,22,051,000153,21.2,961.7,1,2,10,20.1,3,541.1,201,35.1,32,11.1,0,3,3,3,20.1,7,1,4
22051000154,22,051,000154,29.8,876.3,5,1,3,25.9,0,581.9,185,19.9,8,12.9,3,4,3,4,14.9,5,4,1
22051000155,22,051,000155,178.4,91.6,2.1,1,0,154.5,9.4,35.9,32.2,6.8,5.2,0,0.5,2.1,0,0.5,5.7,1.6,0,0.5
22051000156,22,051,000156,186.9,934,4.1,1,4,154.6,7.1,426.7,271.9,48.1,32.2,2.1,4.1,4,8.1,7,34.2,12.1,3,4
22051000170,22,051,000170,559.6,350.2,11.4,0,6.7,546.2,9.5,163.7,95.2,16.2,16.2,6.7,3.8,6.7,5.7,0.9,23.8,10.5,2.9,0
22051000171,22,051,000171,26,74,1,0,0,20,3,37,18,2,2,2,0,0,0,0,2,1,0,1
22051000172,22,051,000172,338,315.9,10.8,2,4.8,306,10.5,146.6,91.4,17.9,15,4.4,8.2,1,5.2,0.2,12.1,10.1,0.2,0
22051000173,22,051,000173,47,328,4,0,0,49,0,196,76,13,11,2,1,0,5,1,5,4,1,0
22051000174,22,051,000174,102,103,0,0,0,95,2,41,33,7,6,0,0,0,3,0,2,3,1,0
22051000175,22,051,000175,344,166,4,0,0,335,3,51,75,7,10,2,0,3,0,0,5,1,0,0
22051000176,22,051,000176,223,101,3,0,1,202,10,45,36,2,8,0,0,1,0,0,5,3,0,0
22051000177,22,051,000177,386,158,3,1,0,375,13,57,44,11,4,2,3,1,0,1,6,5,1,4
22051000178,22,051,000178,273,128,0,0,3,244,6,51,46,4,11,2,0,0,3,0,5,8,0,0
22051000180,22,051,000180,24,703,1,4,3,25,6,390,175,17,15,7,0,0,8,1,11,4,0,4
22051000181,22,051,000181,91,711,3,0,3,80,7,384,178,33,19,9,1,1,5,1,2,4,0,8
22051000182,22,051,000182,256,134,4,1,1,247,6,59,44,4,4,2,0,3,0,0,6,8,0,1
22051000183,22,051,000183,269,185,5,0,3,234,7,78,24,11,15,0,1,0,5,1,8,13,3,3
22051000184,22,051,000184,1066.6,401,25.3,1.2,6.6,981,45.9,209.9,92.1,28.8,17.8,3.5,8.6,10.6,14.2,1,21.3,23.9,0.6,7.2
22051000187,22,051,000187,34,1181,1,4,1,35,6,724,285,33,42,9,0,0,1,0,15,11,1,5
22051000188,22,051,000188,35.8,537.8,7.7,1.9,2.9,31,2.9,333.7,103.5,19.3,12.6,3.9,2.9,1,0,1,9.7,4.8,2.9,2.9
22051000189,22,051,000189,620,355,12,5,6,574,29,155,109,9,17,13,3,7,5,3,14,16,1,0
22051000190,22,051,000190,715,317,9,1,10,680,18,137,95,15,15,2,3,6,6,0,15,8,0,1
22051000191,22,051,000191,454.4,857.4,8.9,5.9,8.9,407.9,15.9,372.4,297,23.8,24.8,12.9,4,5.9,8.9,1,22.8,20.8,3,4.9
22051000192,22,051,000192,879,458,8,4,1,861,23,176,129,37,21,11,6,7,3,0,19,12,4,1
22051000195,22,051,000195,118,957,3,6,6,121,4,591,241,39,23,7,0,3,5,3,9,8,1,0
