GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
22103000S24,22,103,000S24,9,2,6,1,18,4,106,65,4,10,42
22103000S25,22,103,000S25,16,13,9,12,29,3,131,71,5,21,56
22103ZZZZZZ,22,103,ZZZZZZ,2.07,1.43,2.76,1.8,4.03,0.74,5.62,8.32,0.21,3.61,4.03
22105000001,22,105,000001,31.54,13.38,12.43,29.63,6.69,10.51,80.29,113.74,6.69,67.86,152.93
22105000002,22,105,000002,47.47,19.96,24.25,47.73,23.78,19.96,212.27,258.27,20.31,90.63,411.57
22105000006,22,105,000006,5,6,8,5,2,2,112,76,3,13,203
22105000011,22,105,000011,41,13,15,25,13,8,111,79,6,28,96
22105000015,22,105,000015,53,22,31,20,34,8,66,29,6,81,41
22105000016,22,105,000016,88,20,36.93,40.93,37,15,38.93,39.93,5,83.8,18.93
22105000017,22,105,000017,23.69,8.88,15.79,11.84,8.88,4.93,178.63,98.69,4.93,22.7,118.43
22105000018,22,105,000018,22,19,17,15,5,7,161,86,1,37,120
22105000026,22,105,000026,26,2,9,15,22,7,106,89,7,6,55
22105000027,22,105,000027,32,12,16,13,2,7,28,28,1,14,9
22105000028,22,105,000028,60,29,30,35,20,22,48,30,8,51,26
22105000033,22,105,000033,49.94,23.23,26.44,47.51,31.21,11.1,31.14,20.14,3.06,52.31,12.11
22105000040,22,105,000040,38,18,40,15,20,8,25,29,4,40,13
22105000041,22,105,000041,86,22,99,36,27,12,45,60,12,150,66
22105000042,22,105,000042,30,13,22,17,9,5,67,52,5,28,30
22105000043,22,105,000043,30.26,17.51,28.07,22.81,10.96,9.59,132.3,74.43,5.93,49.3,114.84
22105000044,22,105,000044,125.74,42.49,104.93,90.19,65.04,23.41,47.7,61.57,6.07,171.7,51.16
22105000045,22,105,000045,69.1,26.03,55.11,31.07,24.04,19.03,71.41,74.21,4.02,88.09,57.18
22105000046,22,105,000046,12.21,4.04,4.21,12.11,7.06,10.08,282.53,160.74,9.06,6.29,169.87
22105000047,22,105,000047,28.88,5,29.86,14.96,8.98,10.94,212.53,103.3,8.94,39.79,121.16
22105000048,22,105,000048,11,9,4,12,7,5,72,60,5,17,66
22105000049,22,105,000049,49,29,43,28,9,5,110,90,14,55,85
