GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SOSRARD,G18SOSREDM,G18SOSRSTO,G18SOSRKEN,G18SOSRCRO,G18SOSRCLO,G18SOSDCOL,G18SOSDFRE,G18SOSNMOR,R18SOSRARD,R18SOSDCOL
2201900320W,22,019,00320W,27.37,18.88,18.88,14.16,2.83,4.72,150.08,117.99,7.55,31.15,125.54
2201900332N,22,019,00332N,29,25,18,18,1,20,75,73,4,40,43
2201900332S,22,019,00332S,55,33,28,24,5,20,87,77,2,62,72
2201900371N,22,019,00371N,54,41,38,35,6,18,121,103,7,72,98
2201900371S,22,019,00371S,202,167,100,94,15,77,101,133,13,283,87
2201900460E,22,019,00460E,63.74,56.63,26.31,40.22,5,32.83,10.33,9.33,2.26,59.96,10.26
2201900460W,22,019,00460W,129.14,85.78,61.27,69.75,5.66,46.19,20.74,32.05,0.94,100.86,14.14
2201900466E,22,019,00466E,200.08,160.32,87.32,85.11,25.28,78.97,36.97,44.76,10.78,125.18,6.78
2201900466W,22,019,00466W,278,167,129,108,22,71,36,42,6,175,24
2201900860N,22,019,00860N,198.04,86.83,74.61,74.57,11.45,48.36,41.74,53.52,12.38,99.05,26.48
2201900860S,22,019,00860S,171,96,56,78,16,46,73,79,10,77,63
2201900861E,22,019,00861E,113.48,67.31,53.16,23.94,10.31,22.73,85.8,69.19,8.12,75.93,38.51
2201900861W,22,019,00861W,70,50,27,38,3,16,121,81,5,35,54
220210001-1,22,021,0001-1,22.19,15.44,7.76,10.74,6.67,5.79,28.24,37.72,3.77,28.72,28.28
220210001-2,22,021,0001-2,92.27,30.16,33.16,81.02,18.01,26.18,9.84,18.98,2.67,103.4,6.28
220210002-1,22,021,0002-1,48.14,20.07,10.08,30.07,14.02,17.04,1.09,16.27,0,42.38,0.16
220210002-2,22,021,0002-2,60.1,32.64,23.3,48.52,6.94,19.85,6.63,14.64,6.84,63.68,2.65
220210003-1,22,021,0003-1,21,8,2,6,9,7,0,10,1,22,0
220210003-2,22,021,0003-2,65.07,36.75,11.78,37.78,6.58,23,7.19,36.16,7,86.43,16.39
220210003-3,22,021,0003-3,27,20,5,23,6,12,14,17,3,35,13
220210004-1,22,021,0004-1,18.35,8.73,10.51,9.16,2.16,5.47,11.06,33.08,0.18,46.19,18.89
220210004-2,22,021,0004-2,15,14,5,13,1,7,64,72,4,13,70
220210005-1,22,021,0005-1,46.26,32.18,19.05,32,7.17,12.07,5.03,11.32,1.13,42.56,8
220210005-2,22,021,0005-2,16.93,7.25,3.22,3.22,2.42,0,0.81,4.84,0,22.57,1.61
220210005-3,22,021,0005-3,50.55,13.39,21.19,57.27,16.17,17.14,8.72,14.96,6.1,71.72,9.72
220210006-1,22,021,0006-1,27.23,23.34,10.7,19.45,12.64,3.89,5.84,9.73,0.97,27.23,5.84
220210006-2,22,021,0006-2,68,34,5,45,12,8,3,3,0,76,0
220210006-3,22,021,0006-3,32,10,5,20,14,8,34,41,1,26,48
220210007-1,22,021,0007-1,69.5,33.29,21.89,41.97,3.83,14.33,11.39,19.95,3.82,77.08,11.36
220210007-2,22,021,0007-2,53,19,18,30,14,16,4,11,0,51,7
220210007-3,22,021,0007-3,41.93,18.97,13.98,30.95,2.99,4.99,3.99,3.99,0,32.94,8.98
22021004-1A,22,021,004-1A,12,5,2,8,6,1,6,13,0,12,2
22023000001,22,023,000001,54.5,25.14,13.67,20.55,4.36,5.66,6.26,11.56,2.08,23.75,8.21
22023000002,22,023,000002,5,1,3,8,0,1,2,3,0,9,2
22023000004,22,023,000004,111.97,84.2,49.31,41.49,25.95,48.85,19,41.27,6.07,57.04,14.87
22023000008,22,023,000008,10,0,1,5,0,0,3,5,1,12,6
22023000009,22,023,000009,24.33,11.17,5.08,15.16,8.05,7.07,0.03,1.07,0.01,29.25,0.01
22023000012,22,023,000012,33,9,5,13,0,9,3,19,0,23,2
22023000013,22,023,000013,22.56,11.25,10.78,15.79,2.53,9.21,5.28,10.01,0.22,27.32,8.38
22023000015,22,023,000015,19.58,5.48,5.48,10.18,0.78,3.13,2.35,9.4,0.78,13.32,10.18
22023000017,22,023,000017,54.14,34.23,35.54,37.42,5.11,14.03,12.58,27.85,2,88.59,16.71
2202300005N,22,023,00005N,95,75,38,47,4,13,6,22,4,54,8
2202300005S,22,023,00005S,88.53,59.66,25.02,51.96,7.7,38.49,6.74,21.17,3.85,71.21,1.92
2202300016A,22,023,00016A,92,85,28,39,3,21,6,32,4,115,12
2202300016B,22,023,00016B,88,50,26,32,8,23,9,20,2,68,8
2202300016C,22,023,00016C,16.16,9.11,6.07,8.06,3.02,11.03,2.02,9.06,0,15.1,6.01
220250001-1,22,025,0001-1,60.52,12.63,20.98,30.17,5.02,14.88,13.22,15.92,0.02,47.36,10.09
220250001-2,22,025,0001-2,8.11,8.06,3.02,16.07,0.01,4.03,26.02,21.02,0.01,7.07,19.01
220250001-3,22,025,0001-3,2.52,1.54,0.1,1.91,0.08,0.54,0.12,0.13,0,1.27,0.05
220250001-4,22,025,0001-4,25.41,13.18,0,17.88,0.94,7.53,0.94,0.94,0,16.94,0
220250002-1,22,025,0002-1,32,8,9,28,1,12,46,76,3,12,49
220250002-2,22,025,0002-2,59.54,26.02,16.3,67.13,5.04,6.65,22.01,9.07,1.13,57.82,12.82
220250003-1,22,025,0003-1,42.18,10.24,7.11,28.81,3.94,11.09,3.09,3.96,0.1,40.68,0.02
220250003-2,22,025,0003-2,106.5,31,22,51,9,25,3,2,5,47,6
220250003-3,22,025,0003-3,2.5,0,0,0,0,0,0,0,0,0,0
220250003-4,22,025,0003-4,5,5,1,5,0,1,0,0,0,5,0
220250004-1,22,025,0004-1,40,9,8,22,5,1,14,23,1,11,17
220250004-2,22,025,0004-2,72.66,27.98,16.42,33.12,2.95,21.29,9.64,3.91,5.75,43.88,0.96
220250005-1,22,025,0005-1,165,50,14,80,13,18,5,15,6,67,7
220250006-1,22,025,0006-1,98.06,24.86,14.87,45.22,8.58,9.65,11.06,11.55,3.2,36.61,4.16
220250006-2,22,025,0006-2,19.34,7.25,4.03,9.67,0,0.81,4.03,0.81,2.42,16.12,2.42
220250006-3,22,025,0006-3,21.69,3.17,8.7,9.16,1.42,6.47,5.52,7.56,0.14,4.69,1.19
220250006-5,22,025,0006-5,8,5,6,0,1,0,8,6,0,8,0
220250007-1,22,025,0007-1,7,7,1,12,3,10,169,84,4,7,147
220250007-3,22,025,0007-3,16,4,5,10,1,4,18,18,2,11,16
220250007-5,22,025,0007-5,3,1,0,1,0,0,28,15,0,0,11
220250008-1,22,025,0008-1,40,16,12,17,2,10,88,70,10,14,47
220250009-1,22,025,0009-1,16.36,4.03,0.85,5.11,0.08,0.85,0.23,2.71,0.62,13.15,1.91
220250009-2,22,025,0009-2,57.7,17.81,3.47,21.14,1.15,8.14,14.41,12.35,1.26,50.02,3.22
220250009-3,22,025,0009-3,46.16,11.32,2.6,13.36,3.93,6.12,6.43,11.68,0.87,34.58,1.07
220250009-4,22,025,0009-4,21.02,12.32,12.06,16.37,5.02,2.15,14.26,16.22,0.02,3.89,6.06
22027000001,22,027,000001,101,56,25,66,18,26,68,49,4,96,20
22027000003,22,027,000003,60.88,41.92,17.97,44.91,7.98,6.99,19.96,15.97,2,75.85,5.99
22027000005,22,027,000005,66.08,53.26,12.82,44.39,3.95,14.8,61.15,51.29,1.97,89.76,32.55
22027000007,22,027,000007,114.45,105.57,29.6,67.09,11.84,16.77,44.4,39.47,9.87,137.14,19.73
22027000008,22,027,000008,16.96,22.95,12.97,22.95,2,8.98,69.85,70.84,3.99,32.93,52.88
22027000010,22,027,000010,6.04,8.05,3.03,3.05,0,3.02,35.15,43.16,0.01,2.07,27.12
22027000011,22,027,000011,19,12,5,14,0,9,29,13,0,19,20
22027000021,22,027,000021,14,5,0,9,0,5,0,3,0,13,3
22027000031,22,027,000031,92,57,22,65,12,32,71,86,11,158,59
22027000034,22,027,000034,6,11,0,15,8,9,74,61,3,25,82
22027000035,22,027,000035,11,5,2,1,2,0,6,4,1,19,10
22027000036,22,027,000036,28,20,3,14,8,5,77,53,4,27,48
22027000037,22,027,000037,0,0,0,0,0,0,6,0,0,0,6
22027000041,22,027,000041,34.45,21.33,10.08,7.25,10.02,7.06,7.11,16.11,1.01,30.38,4.07
22027000042,22,027,000042,52.94,27.97,3,32.96,2,13.98,5.99,6.99,1,47.94,3
22027000051,22,027,000051,36.22,21.17,8.04,18.14,8.01,1.05,21.2,10.17,0.01,61.29,14.11
22027000081,22,027,000081,40,24,0,13,2,1,15,16,1,55,10
22027000084,22,027,000084,23,27,5,27,2,7,50,26,4,15,17
22027000085,22,027,000085,6,11,8,13,2,3,33,40,3,9,7
22027000087,22,027,000087,5,8,3,4,2,9,76,50,1,8,49
22027000088,22,027,000088,33,30,13,15,10,13,30,12,6,37,22
22027000091,22,027,000091,3,9,10,17,0,4,3,2,1,11,0
22027000092,22,027,000092,65,38,22,45,21,13,14,12,1,96,4
22027000093,22,027,000093,15,13,5,9,0,8,70,53,1,16,22
22027000096,22,027,000096,8,7,5,0,0,1,9,4,0,9,3
220290001-1,22,029,0001-1,14.28,1.9,0.95,9.52,1.9,6.67,174.25,145.68,0.95,4.76,76.17
220290001-2,22,029,0001-2,5,0,0,5,4,1,100,58,1,3,43
220290001-3,22,029,0001-3,239.99,54.67,45.9,115.76,5.5,21.73,32.97,62.49,7.49,172.42,30.65
220290001-4,22,029,0001-4,27,3,9,15,4,6,92,42,3,10,42
220290002-1,22,029,0002-1,69.73,13.96,9.97,19.94,4.98,16.94,231.62,181.93,2.99,14.01,112.33
220290003-1,22,029,0003-1,118,31,44,53,8,11,12,15,5,97,6
220290003-2,22,029,0003-2,109,32,32,40,11,12,19,23,1,50,6
220290003-3,22,029,0003-3,138.61,51.85,44.87,62.82,10.97,30.91,11.97,26.92,9.97,55.84,9.97
220290003-4,22,029,0003-4,174.67,51.19,35.16,73.24,12.05,48.15,18.42,31.15,10.04,107.15,9.7
220290004-1,22,029,0004-1,27.24,4.39,6.15,26.36,3.52,12.3,21.09,17.58,3.52,23.73,4.39
220290004-2,22,029,0004-2,94.2,25.14,19.25,59.74,5.1,14.52,69.69,90.79,5.06,47.82,24.69
220290004-3,22,029,0004-3,4,5,0,9,2,15,76,77,1,1,61
220290004-4,22,029,0004-4,51.63,22.21,13.32,36.81,4.05,21.16,87.16,143.74,3.02,27.93,51.02
220290005-1,22,029,0005-1,91.37,11.79,17.68,45.19,2.95,8.84,64.84,97.26,0.98,52.07,56.98
220290005-2,22,029,0005-2,20,1,4,9,1,4,3,12,0,0,7
220290005-3,22,029,0005-3,74.62,39.92,12.76,64.26,4.04,11.75,20.8,25.34,1.03,61.28,6.06
220290005-4,22,029,0005-4,75.27,25.05,18.1,47.13,9.02,9.07,57.06,11.07,6,44.21,20.05
220290005-5,22,029,0005-5,134.43,36.12,31.81,63.09,16.87,29.83,8.04,15.96,3.96,92.78,0.03
220290005-6,22,029,0005-6,161.1,48.59,33.16,89.7,19.87,27.2,7.95,22.38,5.35,122.44,5.11
22029005-2B,22,029,005-2B,0,3,0,3,0,1,5,6,1,1,0
22031000001,22,031,000001,9.74,9.67,4.87,5.87,0,4.87,53.62,18.65,2.91,8.72,17.54
22031000004,22,031,000004,9,1,3,4,0,1,54,32,1,4,35
22031000005,22,031,000005,24,17,6,17,1,9,127,53,4,33,53
22031000006,22,031,000006,12,2,3,13,0,5,93,48,0,3,47
22031000009,22,031,000009,10.47,3.23,0.09,18.65,6.05,1.18,70.54,34.72,1.05,10,16.51
22031000010,22,031,000010,142.69,102.17,24.78,112.64,17.31,47.11,134.61,82.43,5.59,163.72,60.58
22031000011,22,031,000011,106,74,21,61,8,23,44,22,1,80,20
22031000016,22,031,000016,280.79,299.92,63.29,166.47,41.88,74.34,55.96,59.83,16.17,274.62,46.23
22031000021,22,031,000021,73.14,82.73,23.11,35.33,1.33,21.64,38.85,29.15,7.1,52.47,13.16
22031000022,22,031,000022,51.81,75.81,10.11,43.59,5.69,18.95,7.58,15.79,3.16,60.65,5.05
22031000023,22,031,000023,255.54,341.04,65.1,140.89,40.81,74.82,68.01,55.38,10.69,152.55,20.4
22031000026,22,031,000026,25.52,12.67,8.29,38.52,4.14,21.19,61.67,28.86,3.14,17.76,26.24
22031000028,22,031,000028,46.73,40.07,7.29,25.82,0.55,4.71,16.81,16.71,4.57,39.72,9.58
22031000030,22,031,000030,155.72,275.2,58.76,97.94,22.53,52.89,64.64,40.15,8.81,153.76,26.44
22031000031,22,031,000031,34.72,29.59,7.99,20.73,9.94,9.45,109.53,33.79,4.58,33.99,46.56
22031000032,22,031,000032,42.14,15.17,0.04,23.1,8.02,5.04,81.16,62.09,3.01,26.2,46.08
22031000033,22,031,000033,103,101,19,75,20,25,141,95,8,76,64
22031000034,22,031,000034,30,48,12,28,6,12,112,73,4,33,44
22031000035,22,031,000035,64,72,12,65,9,31,32,15,4,73,15
22031000037,22,031,000037,58.14,72.24,14.98,43.17,7.05,18.5,64.31,36.12,4.4,82.81,34.36
22031000038,22,031,000038,34,26,6,18,5,8,64,32,3,38,41
22031000042,22,031,000042,2.63,7.9,0,6.14,0,0.88,20.18,3.51,0,7.02,9.65
22031000044,22,031,000044,23.96,5.9,6.05,12.11,0,7.6,107.75,64.27,0.15,12.11,58.92
22031000046,22,031,000046,138.12,73.06,34.92,103.14,11.07,34.02,38.24,35.05,10.98,106.98,14.1
22031000048,22,031,000048,18,19,10,23,1,3,23,16,3,46,14
22031000049,22,031,000049,77.38,47.9,7.38,62.63,12.4,17.7,50.67,24.19,2.02,56.97,21.17
22031000051,22,031,000051,34.07,38.8,6.62,21.77,5.68,9.46,5.68,6.62,2.84,24.61,7.57
22031000053,22,031,000053,27,16,7,18,9,9,25,6,4,26,14
22031000055,22,031,000055,49,24,6,20,8,5,55,19,3,37,29
22031000056,22,031,000056,36.85,22.79,4.34,18.9,4.27,17.24,39.26,33.78,0.19,35.05,29.85
22031000059,22,031,000059,14.74,8.85,4.91,3.93,7.86,3.93,100.25,43.24,3.93,8.85,22.61
22031000060,22,031,000060,11.39,5.45,6.12,12.1,0,3.57,68.17,30.39,0.95,12.2,22.71
22031000063,22,031,000063,20.91,3.98,8.96,16.92,0,8.96,121.46,70.69,3.98,6.97,37.83
220330001-1,22,033,0001-1,73.52,42.24,50.15,13.03,10.03,11.06,162.14,189.34,8.15,76.55,181.16
220330001-2,22,033,0001-2,6,5,3,10,4,6,313,101,2,3,134
220330001-3,22,033,0001-3,12,9,5,0,5,2,145,77,4,19,110
220330001-4,22,033,0001-4,7,2,5,7,1,1,168,55,0,3,95
220330001-5,22,033,0001-5,43.39,13.14,23.24,8.84,8.47,13.2,391.91,202.97,10.57,22.08,269.52
220330001-6,22,033,0001-6,7,1,4,1,1,7,174,64,5,6,111
220330001-7,22,033,0001-7,77,43,96,18,10,11,117,188,11,109,204
220330001-8,22,033,0001-8,83.87,62.2,78.22,16.96,5.65,20.73,64.08,147.96,16.02,154.55,161.15
220330001-9,22,033,0001-9,95,83,83,21,10,17,162,162,11,169,165
220330002-1,22,033,0002-1,59,33,24,17,7,13,570,265,8,40,390
220330002-2,22,033,0002-2,77,39,25,20,3,11,452,236,10,65,354
220330002-3,22,033,0002-3,83.22,56.33,18.66,31.84,12.97,7.11,202.42,82.13,7.87,109.58,162.21
220330002-4,22,033,0002-4,33,20,14,13,6,8,333,150,2,37,204
220330002-5,22,033,0002-5,90.43,54.44,44.95,25.01,10.94,22.34,243.38,108.11,19.24,74.63,151.36
220330002-6,22,033,0002-6,354.25,272.57,119.15,80.28,34.36,32.5,261.75,139.31,25.1,320.6,194.83
220330002-7,22,033,0002-7,240.13,167.55,74.12,47.1,26.25,32.43,101.92,74.12,8.49,274.87,92.65
220330002-8,22,033,0002-8,156.37,143.57,40.9,41.74,13.36,24.76,11.41,23.09,8.07,262.38,22.54
220330002-9,22,033,0002-9,11.44,14.29,13.34,5.72,0.95,8.58,209.65,125.79,2.86,19.06,181.06
220330003-1,22,033,0003-1,528,393,164,112,47,76,56,88,32,717,101
220330003-2,22,033,0003-2,335,281,130,90,41,35,110,70,21,461,78
220330003-3,22,033,0003-3,329,419,176,59,30,62,137,145,31,556,170
220330003-4,22,033,0003-4,207,148,147,50,5,14,161,175,15,301,197
220330003-5,22,033,0003-5,26.27,13.97,15.92,4.49,2.74,4.11,58.25,39.85,4.08,15.95,30.83
220330003-6,22,033,0003-6,331.73,298.85,107.59,93.64,33.87,42.84,13.95,65.75,16.93,459.24,40.84
220330003-7,22,033,0003-7,288,268,147,53,31,32,152,156,22,407,166
220330003-8,22,033,0003-8,86.33,71.96,32.07,20.3,4.19,19.14,696.13,247.72,12.28,84.45,384.38
220330003-9,22,033,0003-9,443.57,445.05,160.79,75.04,42.67,67.99,182.98,143.92,32.23,656.51,190.27
22033001-10,22,033,001-10,18.08,5.06,7.04,6.04,1.01,5.04,263.03,204.65,4.03,6.05,218.64
22033001-11,22,033,001-11,16.21,14.74,18.42,6.63,5.16,10.32,420.07,314.69,13.27,14.74,373.64
22033001-12,22,033,001-12,218.83,125.4,141.01,48.54,16.2,19.46,73.83,132.06,30.36,301,137.01
22033001-13,22,033,001-13,5.04,4.03,9.02,3.02,3,4.02,118.55,49.34,2.02,4.02,87.34
22033001-14,22,033,001-14,28,19,10,5,0,12,467,257,6,13,372
22033001-15,22,033,001-15,35.76,13.96,7.98,13.91,5.94,18.87,453.94,232.68,4.02,9.98,331.54
22033001-16,22,033,001-16,16.12,11.94,6.97,7.03,1.05,8.07,206.48,129.33,5.94,8.95,128.48
22033001-17,22,033,001-17,16.48,7.76,4.85,0.97,0.97,1.94,99.86,42.66,4.85,17.45,68.84
22033001-18,22,033,001-18,9,1,1,8,0,10,81,74,4,6,77
22033001-19,22,033,001-19,16,7,3,1,0,8,139,55,0,11,86
22033001-20,22,033,001-20,32.54,21.93,24.05,16.98,7.78,14.15,503.03,161.31,9.9,34.67,231.35
22033001-21,22,033,001-21,7,6,5,1,3,5,152,71,1,10,86
22033001-22,22,033,001-22,4,5,1,3,1,5,139,75,2,5,74
22033001-23,22,033,001-23,16.99,8,3,5,1,7,232.91,123.95,4,11,131.95
22033001-24,22,033,001-24,28.22,14.21,10.64,13.08,1.59,9.78,341.05,173.13,9.05,13.68,243.05
22033001-25,22,033,001-25,17,9,3,3,0,6,311,163,2,13,201
22033001-26,22,033,001-26,12,8,3,5,1,6,152,96,5,8,111
22033001-27,22,033,001-27,19,13,9,8,4,8,327,152,5,15,212
22033001-28,22,033,001-28,36,9,8,9,3,5,266,144,4,5,209
22033001-29,22,033,001-29,13,15,1,1,1,7,288,135,2,9,222
22033001-30,22,033,001-30,20,7,3,4,8,7,265,112,6,13,170
22033001-31,22,033,001-31,22,14,12,8,4,6,418,190,11,19,282
22033001-32,22,033,001-32,26.88,7.96,5.97,6.97,1,21.9,372.33,176.21,5.97,10.95,262.82
22033001-33,22,033,001-33,95,59,47,14,9,17,128,106,4,110,120
22033001-34,22,033,001-34,251.67,207.43,168.11,37.36,18.68,37.36,53.09,137.63,20.64,461.07,142.55
22033001-35,22,033,001-35,97.12,56.93,92.75,25.17,15.08,21.17,93.24,146.61,14.09,136.06,137.64
22033001-36,22,033,001-36,36,28,26,13,4,8,279,142,4,66,222
22033001-37,22,033,001-37,61,33,46,21,3,13,291,208,26,80,236
22033001-38,22,033,001-38,36,12,34,10,6,6,314,179,16,35,236
22033001-39,22,033,001-39,191.58,100.67,70.37,24.44,8.8,23.46,96.77,99.7,18.57,233.6,132.93
22033001-40,22,033,001-40,100,50,71,17,5,21,109,195,14,116,167
22033001-41,22,033,001-41,218.13,121.8,153.78,16.04,14.35,27.27,97.92,168.04,16.98,310.45,211.85
22033001-42,22,033,001-42,349,161,191,34,24,37,104,230,24,457,242
22033001-43,22,033,001-43,172.29,123.89,105.14,21.88,14.3,12.79,61.06,86.21,5.64,248.02,115.94
22033001-44,22,033,001-44,47.98,22.99,38.98,12.99,6,8,162.92,165.92,7,28.99,114.94
22033001-45,22,033,001-45,8,8,5,1,1,6,221,58,1,5,145
22033001-46,22,033,001-46,19.61,8.86,10.76,3.16,2.53,3.8,110.09,74.03,4.43,13.92,59.48
22033001-47,22,033,001-47,347.23,211.27,259.63,59.57,21.24,53.77,115.11,258.09,35.61,561.99,268.8
22033001-48,22,033,001-48,293,214,200,29,19,35,76,221,15,454,273
22033001-49,22,033,001-49,213,191,135,45,15,40,57,129,14,407,130
22033001-50,22,033,001-50,15,8,12,8,3,7,307,133,7,15,224
22033001-51,22,033,001-51,23,2,1,1,1,4,247,79,2,5,145
22033001-52,22,033,001-52,220,142,82,43,22,24,172,189,26,305,212
22033001-53,22,033,001-53,178,109,65,34,9,28,116,96,11,247,126
22033001-54,22,033,001-54,150,70,55,33,15,16,639,274,20,159,452
22033001-55,22,033,001-55,159,134,97,38,21,40,140,135,14,243,172
22033001-56,22,033,001-56,470,239,216,39,28,30,65,160,25,628,197
22033001-57,22,033,001-57,66.21,45.64,43.14,18.48,8.24,10.48,95.68,100.75,15.26,80.88,95.82
22033001-58,22,033,001-58,20.79,14.8,10.36,8.92,4.41,5.22,270.04,129.92,5.95,24.32,176
22033001-59,22,033,001-59,8.71,1.94,4.84,2.9,0.97,3.87,204.24,61.95,7.74,2.9,115.19
22033001-60,22,033,001-60,217,146,68,40,15,21,210,191,15,287,220
22033001-61,22,033,001-61,24,17,13,8,3,5,343,192,6,16,257
22033001-62,22,033,001-62,16.15,6.15,7.1,8.05,3.03,5.06,348.56,151.7,2.03,11.14,301.11
22033001-63,22,033,001-63,24.12,19.04,12.03,8.03,1,14.1,276.67,144.79,10.03,14.05,213.18
22033001-64,22,033,001-64,77,50,55,5,9,11,63,142,14,111,111
22033001-65,22,033,001-65,101.42,59.33,61.63,9.56,9.2,10.54,120.23,94.3,17.43,114.4,108.07
22033001-66,22,033,001-66,101,67,106,25,8,16,185,192,22,169,219
22033001-67,22,033,001-67,23,7,11,4,1,2,165,56,4,13,91
22033001-68,22,033,001-68,15,4,9,3,3,8,178,56,0,4,127
22033001-69,22,033,001-69,212.92,105.01,151.26,40.47,15.42,34.68,137.84,230.32,26.98,300.57,226.44
22033001-70,22,033,001-70,65,28,46,16,10,9,610,252,13,49,496
22033001-71,22,033,001-71,182,105,79,38,13,38,270,152,13,242,275
22033001-72,22,033,001-72,248.52,132.6,87.4,42.93,10.21,38.62,164.39,162.79,21.41,293.41,159.45
22033001-73,22,033,001-73,179.29,84.06,88.16,22.1,7.03,12.13,349.76,232.05,8.26,208.1,444.81
22033001-74,22,033,001-74,283,205,172,28,27,42,51,120,19,446,113
22033001-75,22,033,001-75,214.73,175.42,139.96,33.55,26.84,16.3,64.23,153.38,13.42,361.39,165.84
22033001-76,22,033,001-76,57.2,31.56,44.71,11.18,8.54,17.09,191.9,168.26,21.03,30.93,104.51
22033001-77,22,033,001-77,24.82,18.86,15.89,8.94,2.98,7.94,492.44,331.6,7.94,21.84,474.57
22033001-78,22,033,001-78,43,29,19,16,3,7,374,146,8,47,213
22033001-79,22,033,001-79,86.83,62.95,51.52,16.89,6.58,8.6,42.1,59.54,5.09,133.22,50.18
22033001-80,22,033,001-80,215.1,191.31,145.62,43.78,15.23,21.89,174.18,186.55,28.55,324.56,163.71
22033001-81,22,033,001-81,61,43,27,16,9,13,226,129,10,67,100
22033001-82,22,033,001-82,55.67,40.04,44.93,12.7,7.81,5.86,548.87,197.28,11.72,60.55,433.62
22033001-83,22,033,001-83,60,60,25,12,7,19,229,132,11,78,130
22033001-84,22,033,001-84,5.97,5.4,6.69,2.43,1.86,3.74,153.49,114.71,4.79,5.42,136.79
22033001-85,22,033,001-85,27.11,20.07,6.01,12.04,5.01,23.08,525.2,272.15,4.03,13.01,330.51
22033001-86,22,033,001-86,42.51,10.43,15.81,1.93,4.65,12.25,317.73,221.35,9.35,6.75,306.2
22033001-87,22,033,001-87,154,98,65,42,14,35,289,205,8,185,260
22033001-88,22,033,001-88,13.46,9.07,9.95,7.02,3.22,5.85,207.97,66.69,4.1,14.33,95.65
22033001-89,22,033,001-89,160,132,70,22,8,33,53,71,11,224,94
22033001-90,22,033,001-90,196.52,201.64,130.71,22.26,18.04,20.69,179.27,172.1,18.43,326.14,173.36
22033001-91,22,033,001-91,38.04,10.79,4.33,3.23,1.4,9.78,296.19,136,4.66,11.58,205.22
22033001-92,22,033,001-92,20,1,7,9,2,11,209,151,1,10,181
22033001-93,22,033,001-93,16,8,5,5,1,1,85,48,4,9,44
22033001-94,22,033,001-94,7.75,4.85,0.97,2.91,0.97,5.82,154.1,80.44,1.94,0.97,105.64
22033001-95,22,033,001-95,39.22,7.14,12.11,5.06,4.03,10.06,357.55,269.23,9.05,18.17,276.32
22033001-97,22,033,001-97,36.68,29.17,18.34,7.5,2.5,1.67,124.2,95.03,5,53.35,93.36
22033001-98,22,033,001-98,282,238,103,41,13,64,282,192,16,342,233
22033001-99,22,033,001-99,292,234,155,68,17,45,230,183,17,406,236
22033002-10,22,033,002-10,186.59,134.53,62.76,46.09,21.45,25.22,375.19,205.64,14.64,251.67,365.03
22033002-11,22,033,002-11,32.45,12.78,7.87,8.85,2.95,1.97,231.08,138.65,0.98,19.67,201.58
22033002-12,22,033,002-12,100.6,59.4,62.28,20.12,9.58,15.33,465.63,293.18,11.5,115.93,423.48
22033002-13,22,033,002-13,66.39,26.48,36.45,19.19,4.03,23.29,219.09,161.26,15.1,89.64,173.13
22033002-14,22,033,002-14,106,44,35,52,7,16,258,156,17,86,181
22033002-15,22,033,002-15,93.17,71.84,25.88,21.09,7.58,15.77,144.85,78.82,6.54,117.01,110.4
22033002-16,22,033,002-16,24,27,9,4,4,10,396,232,8,16,371
22033002-17,22,033,002-17,51.61,43.42,16.17,18.13,9.05,7.11,259.39,141.72,10.05,59.64,137.03
22033002-18,22,033,002-18,426.84,240.05,166.92,131.95,23.05,67.56,430.81,291.71,37.36,384.71,379.14
22033002-19,22,033,002-19,23,13,13,5,4,8,167,86,2,21,107
22033002-20,22,033,002-20,20,8,25,8,0,4,72,60,5,28,48
22033002-21,22,033,002-21,320.22,201.97,119.66,99.08,28.99,56.37,184.29,148.53,19.82,294.34,191.16
22033002-22,22,033,002-22,30,6,4,4,3,11,330,210,8,8,260
22033002-23,22,033,002-23,16,12,10,4,1,3,330,236,2,17,303
22033002-24,22,033,002-24,11.49,4.57,8.91,0.96,2.63,6.22,216.46,120.31,1.78,9,169.9
22033002-25,22,033,002-25,90.4,59.6,24.72,34.88,9.42,11.67,485.37,272.82,8.5,73.07,327.52
22033002-26,22,033,002-26,259.59,116.68,60.95,68.42,16.22,34.53,217.16,111.3,21.26,222.71,162.13
22033002-27,22,033,002-27,51,13,28,12,2,5,454,292,6,25,491
22033002-28,22,033,002-28,166.9,114.19,76.83,56.71,7.07,35.55,356.02,189.83,17.67,154.63,246.29
22033002-29,22,033,002-29,169.49,101.13,80.06,56.19,13.58,26.22,208.82,115.18,19.2,180.73,150.77
22033002-30,22,033,002-30,40,30,13,9,5,8,566,364,7,23,527
22033002-31,22,033,002-31,21,8,9,9,0,8,96,71,2,13,72
22033002-32,22,033,002-32,98.52,52.57,42.06,33.88,7.79,16.74,184.19,87.62,10.12,98.13,128.9
22033002-33,22,033,002-33,374.87,344.18,98.05,100.05,32.02,59.36,27.35,55.36,19.34,629,54.03
22033002-34,22,033,002-34,110.16,61.95,43.08,34.05,5.95,17.44,111.19,75.29,9.64,99.29,97.86
22033002-35,22,033,002-35,102.11,64.25,38.27,31.67,9.22,17.98,61.2,48.18,6.4,93.99,62.32
22033002-36,22,033,002-36,192.51,114.87,90.94,63.81,15.42,29.78,237.18,130.82,21.8,205.27,171.23
