GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
220570004-2,22,057,0004-2,543.37,64.3,6.34,0,0,0,3.62,300.66,98.71,28.98,34.41,16.3,12.68,9.96,0,0,45.28,28.07,3.62,4.53,1.81,0,2.72,0,0.91,0,0.91,4.53,0.91,3.62,1.81,205.57,40.75
220570004-3,22,057,0004-3,441.61,54.4,11.53,7,0,0,0.3,260.24,55.29,29.43,37.89,12.37,11.06,5.84,0,0,18.8,40.36,3.3,3.38,1.15,0,0.23,3,1.08,0,0.08,10.38,1.08,4.3,0.15,280.26,53.42
220570004-4,22,057,0004-4,725.81,102.08,8.02,5,4,0,2,397.47,111.12,43.06,54.05,37.04,11.01,5.01,1,3,55.06,47.04,11.01,13,4,0,0,2,0,0,1,14.01,1,4,0,430.4,83.04
220570004-5,22,057,0004-5,830.02,86.85,20.73,3.95,0,1.97,2.96,475.71,121.39,65.14,51.32,45.4,10.86,5.92,0,0,66.13,44.41,5.92,4.93,0.99,0,0,3.95,0,0,0,11.84,2.96,0.99,0,406.62,36.52
220570004-6,22,057,0004-6,726.86,77.23,11.41,2.93,0,2.1,2.03,402.41,101.42,67.04,43.55,30.13,10.22,8.26,2.93,0,42.16,54.84,1.27,3.08,1.96,0.98,3.98,3.91,0,0,0,8.19,4.89,2.93,0,287.37,28.69
220570005-1,22,057,0005-1,274,62,4,3,3,2,2,147,51,22,16,20,4,3,0,0,26,29,8,5,1,0,0,1,0,0,0,4,1,1,0,109,19
220570005-2,22,057,0005-2,402.48,64.29,6.02,0.87,0.84,0,0,230.79,75.3,29.11,21.58,20.24,4.09,3.37,2.3,0,16.23,33.97,10.9,3.99,3.94,0,0,0.77,0,0,0,4.61,2.3,0,0,221.95,22.94
220570006-1,22,057,0006-1,548.18,66.53,12.33,2.92,0.65,0,1.3,303.14,77.89,49.66,36.03,36.03,11.03,5.52,2.6,0,29.21,33.43,5.84,1.62,0.65,0.32,0.32,3.57,0.32,0.32,0,5.52,1.95,0.32,0.65,199.93,27.26
220570006-2,22,057,0006-2,991.42,129.69,9.73,1.08,4.24,2,3.33,511.52,156.23,72.2,64.38,89.6,16.89,8.49,0.08,0,91.36,58.48,12.03,3.41,1.08,0,0.16,4.08,1.08,1,1,8.41,1,0,0,358.81,48.13
220570006-3,22,057,0006-3,371.56,103.11,0.93,3.72,0,0,0,209,52.95,17.65,23.22,29.72,8.36,8.36,0,0,36.23,67.81,5.57,4.64,0,0,0,0,0,0,0,5.57,0,0.93,0,131.9,45.52
220570006-4,22,057,0006-4,363,88,3,4,0,0,0,156,35,24,18,48,15,3,3,0,39,50,5,3,1,0,0,1,3,0,0,7,6,0,0,95,35
220570006-5,22,057,0006-5,1140.82,138.47,25.67,6.08,1.35,0,2.7,630.86,162.11,103.34,74.97,74.97,22.97,11.48,5.4,0,60.79,69.57,12.16,3.38,1.35,0.68,0.68,7.43,0.68,0.68,0,11.48,4.05,0.68,1.35,416.07,56.74
220570007-1,22,057,0007-1,161.21,21.69,6.14,0.11,0,0,0,92.76,25.24,14.27,7.92,6.26,1.33,1.54,0.44,0,11.1,10.14,0.56,0.33,0,0.98,0,0.11,1.32,0,0,0.22,0.56,1.1,0,88.23,5.52
220570007-2,22,057,0007-2,367.68,46.89,3.97,1.26,0,1.95,0,199.27,55.72,22.8,46.62,13.97,4.54,4.54,2.92,0,21.29,26.64,0.43,0.36,0,0,0,0,0.97,0,0,6.28,0.97,0.07,0,161.2,24.93
220570007-3,22,057,0007-3,159,35,5,3,1,2,0,81,12,16,14,18,5,1,0,0,13,15,2,3,0,0,0,1,1,0,0,7,0,0,0,76,15
220570007-4,22,057,0007-4,245,548,3,2,0,0,0,165,32,27,16,2,9,8,0,1,132,247,29,10,3,6,0,5,1,0,1,15,1,1,1,109,173
220570008-1,22,057,0008-1,501,53,3,2,0,0,2,237,57,48,29,61,10,4,0,0,33,31,5,5,0,0,0,1,4,0,0,2,3,0,0,151,21
220570009-1,22,057,0009-1,443.36,98.11,12.11,4,0,0,2.06,240.18,71.7,36.5,38.59,15.28,11.22,3.17,0,0,42.78,41.48,1.06,0.08,0.03,0,1.05,4,0.02,0,0.02,7.08,6.02,4.06,0.03,197.54,40.7
220570009-2,22,057,0009-2,344.14,38.77,8.59,0.07,0,1.9,0.97,214.59,48.58,20.96,32.45,10.87,5.78,5.74,0.07,0,14.84,27.16,3.73,1.92,0.04,0.02,1.02,0.09,0,0,0,4.81,0.11,0.07,0,166.63,17.31
220570010-1,22,057,0010-1,512.02,101.89,5.88,9.25,3,2,1.88,260.13,83.8,42.27,29.28,26.14,15.13,11.13,1,0,49.52,32.89,6.13,8.25,0.13,1,0.13,2.13,0.13,0.13,0.13,12.75,12,7,1,206.5,41.39
220570010-2,22,057,0010-2,412.84,57.4,6.88,6.76,0.98,1.89,0.94,225.68,54.85,23.3,36.93,19.75,5.36,10.94,3.81,0,28.68,28.48,1.02,5.78,1.02,0.94,2.87,2.05,0,0,0,11.4,3.93,1.02,0,165.07,27.06
220570010-3,22,057,0010-3,634.81,77.21,14.49,1.29,2.98,1.94,3.87,329.09,68.85,51.41,52.3,28.16,16.93,9.52,1.26,0,38.66,52.71,3.49,7.99,4.1,0,1.05,7.17,0,2.9,0,11.58,4.2,5,0.07,283.33,24.83
220570010-4,22,057,0010-4,192,31,7,1,0,3,6,109,47,13,14,5,4,1,3,0,10,13,1,3,1,0,1,1,0,0,0,5,5,0,0,98,10
220570010-5,22,057,0010-5,293,30,3,5,1,2,0,148,43,12,26,7,11,6,0,0,10,32,0,8,0,0,0,1,0,1,0,6,0,1,0,94,10
220570010-6,22,057,0010-6,223.2,47.76,0.01,3.91,0,0,0.98,116,22.4,16.56,15.6,12.67,6.82,2.92,0,0,18.52,26.32,0.98,7.79,0,0,0,0,0,0,0,12.68,0.98,0.98,0,95.48,25.32
220570010-7,22,057,0010-7,158.57,30.87,3.29,6.34,0,0.04,1.4,84.52,10.02,7.68,15.11,7.74,1.84,0.24,0,0,12.51,20.96,2.14,0.53,1.28,0.99,0.12,0.12,0.12,1.03,0.04,15.36,3.17,0.99,0,48.2,7.04
220570010-8,22,057,0010-8,305.1,50.22,7.02,2.05,3,2,1.01,162.6,27.06,23.04,21.11,26.06,7.01,4,1,0,23.09,27.16,4.02,8,2.01,0.01,0,2,0,0.01,0,8.11,4.02,3.01,0,130.32,21.05
220570010-9,22,057,0010-9,418.26,63.32,7.67,5.76,0,0,6.72,215.85,54.68,33.58,27.82,11.51,16.31,5.76,0,0,23.02,31.66,3.84,9.59,2.88,0,2.88,1.92,2.88,0.96,0,14.39,4.8,0,0,144.86,11.51
220570011-1,22,057,0011-1,181.29,33.96,3.47,0.88,0,0,0.88,81.03,13.08,29.61,20.91,3.49,1.75,0.87,0,0,5.25,19.16,3.47,2.61,0.01,0,0,0,0,0,0,33.99,0.87,0,0,82.79,14.8
220570011-2,22,057,0011-2,1521,121,39,6,5,2,4,822,190,161,121,76,51,22,2,3,47,58,11,11,4,0,3,11,1,0,1,29,8,3,1,584,50
220570011-3,22,057,0011-3,632.71,68.61,10.03,4.41,0.4,0.4,2.81,270.42,95.89,60.58,82.65,34.1,16.05,10.83,1.2,1.2,29.69,40.92,8.43,4.41,6.02,0,0.4,4.41,0.8,0,0.4,14.04,1.6,1.6,0,195.79,24.88
220570011-4,22,057,0011-4,334.5,32.66,4.95,0,0.99,0,2.97,161.31,48.49,18.8,45.52,25.73,11.88,7.92,0,0,9.9,21.77,0.99,1.98,0,0,0.99,0,0,0,0,6.93,2.97,0,0,129.64,20.78
220570011-5,22,057,0011-5,717.44,77.79,11.37,5,0.45,0.45,3.18,306.63,108.73,68.7,93.72,38.67,18.2,12.28,1.36,1.36,33.67,46.4,9.55,5,6.82,0,0.45,5,0.91,0,0.45,15.92,1.82,1.82,0,222.01,28.21
22057002-10,22,057,002-10,155,116,5,0,0,0,2,93,27,16,8,11,4,1,0,0,28,32,10,2,2,2,3,1,3,0,0,4,1,4,2,70,29
22057002-11,22,057,002-11,206.54,418.42,8.02,7.03,0.01,0,0,116.4,32.14,26.01,12.09,12.02,4.02,6.02,0,1,137.9,119.06,46.39,24.19,2.03,2.02,0.02,1.02,3,1.01,0,17.13,3,3.01,0,81.29,137.26
22057002-12,22,057,002-12,592.31,76.31,23.62,3.63,2.73,0,0,351.57,141.72,53.6,30.89,9.99,9.08,10.9,0,0,31.8,34.52,5.45,5.45,3.63,0,0,0,0,0,0,0,0,0,0,365.2,52.69
22057002-13,22,057,002-13,603,171,7,0,1,3,6,328,112,34,35,34,17,8,0,0,61,82,14,8,7,0,2,1,1,0,1,6,1,1,2,287,83
22057002-14,22,057,002-14,416.71,106.14,20.86,4.29,7.43,3,0.86,254.86,108.71,45.43,17.57,13.71,6.86,7.43,1,0,37.57,31.14,5.29,9.29,1,0,0.86,5.14,0,0.43,0,4.43,1,2.29,0,278.71,33.14
22057002-1A,22,057,002-1A,76.34,103.4,4.83,0.97,1.93,0,1.93,41.55,10.63,6.76,8.7,6.76,2.9,0,0,0,32.86,40.59,4.83,1.93,0,2.9,1.93,0,1.93,0,0,5.8,2.9,0.97,1.93,46.38,30.92
22057002-3A,22,057,002-3A,39.79,84.85,0.09,1.02,0.03,0,0.01,16.47,5.54,8.24,3.2,4.12,1.06,1.04,0.01,0,33.31,25.43,3.06,5.05,1.02,0.02,0,1.03,0.01,0,0,1.04,0,1.01,0,16.04,23.32
22057005-1A,22,057,005-1A,334,77,15,4,8,0,0,185,97,17,29,9,4,1,0,0,35,34,6,0,1,1,0,1,0,0,0,6,0,1,0,197,37
22057005-1B,22,057,005-1B,155,231,4,1,0,2,2,93,39,15,17,4,7,6,0,0,67,65,15,10,1,0,3,1,0,1,0,10,3,0,0,66,57
22057010-10,22,057,010-10,452.01,75,12,6,0,0,0,219.01,50,28,34,34,14,13,1,0,32,47,6,6,6,1,0,4,0,1,1,11,5,1,0,175,26
22057010-11,22,057,010-11,220.99,34,8,2,0,0,1,112.99,22,20,27,13,11,1,0,0,9,25,0,5,0,0,0,4,1,0,0,7,0,0,0,77,10
22057010-12,22,057,010-12,399,54,5,4,1,0,4,197,62,30,20,24,12,6,0,1,29,33,2,3,0,1,0,5,0,1,3,5,8,3,0,170,21
22057010-13,22,057,010-13,370.85,39.97,17.66,0,0,0,0,188.68,75.29,22.31,35.32,15.8,1.86,8.37,2.79,0,14.87,26.95,5.58,0,0.93,0,0,0.93,0,0,0,10.22,0,0,0.93,203.55,16.73
22057010-14,22,057,010-14,444.98,61.15,6.57,3.55,0.98,0.06,0.13,241.7,66.91,36.69,25.3,20.17,14.57,12.56,0.91,0,30.15,26.21,1.85,2.89,1.89,0,0.91,3.74,0,0.1,0,2.11,3.64,1.92,0,152.57,14.8
22057010-15,22,057,010-15,312.98,20.11,6.12,1.75,0,0,6.12,153.87,54.2,22.73,29.72,14.86,7.87,7.87,0,0,17.48,13.11,0.87,1.75,0.87,0,0.87,0.87,0.87,0.87,0.87,5.25,0,0,0,142.5,16.61
22057010-16,22,057,010-16,306,64,4,2,0,0,1,148,57,19,33,13,5,6,0,0,28,34,5,10,1,0,0,1,0,0,0,2,1,0,0,138,39
220590001-1,22,059,0001-1,241,7,0,0,0,2,0,105,23,50,15,20,7,0,0,0,13,4,3,2,0,0,0,0,0,0,0,1,2,0,0,94,8
220590001-2,22,059,0001-2,102.42,0.03,4,0,0,0,0,52.16,13.05,22.08,0.04,6.04,4.02,0.01,0,0,1.04,1.01,2,0,0,0,0,0,0,0,0,0,1,0,0,41.12,1.01
220590001-3,22,059,0001-3,401.38,24.4,4.13,0.05,3.11,3,0,154.55,43.17,74.31,36.34,35.45,16.19,6.05,0,0,34.4,8.34,0.11,2.06,1,2,0,0.03,0,0,2,1.08,1,0,0,119.81,8.47
220590002-1,22,059,0002-1,664.36,54.76,6.79,2,0.26,2,0.26,281.96,52.5,131.51,45.33,42.81,32.71,4.13,0.39,0,44.71,38.5,8,8,1,0,0,4.13,1.53,0,0,1.39,1,0,2,207.54,15.31
220590003-1,22,059,0003-1,339.64,18.24,5.21,0,1.74,0,1.74,165.04,16.5,69.49,28.67,25.19,11.29,0.87,2.61,0,11.29,16.5,0,0,0,0,0,0.87,3.47,0,0,2.61,0,0,0,142.46,8.69
220590003-2,22,059,0003-2,264,24,1,2,0,1,2,120,24,42,15,20,12,1,3,0,10,18,0,5,0,0,0,0,1,2,0,5,1,0,1,87,16
220590004-2,22,059,0004-2,267,6,1,0,3,0,0,109,34,55,16,25,7,1,0,0,7,4,2,3,0,0,0,1,0,0,2,3,0,0,0,132,7
220590004-3,22,059,0004-3,82,7,0,2,2,0,0,32,6,17,10,12,0,1,0,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,46,3
220590005-1,22,059,0005-1,638,48,11,3,2,3,2,285,57,128,23,52,34,9,7,3,42,18,3,10,0,3,0,5,1,2,0,1,3,0,0,317,14
220590006-1,22,059,0006-1,272,36,1,5,0,0,2,113,21,48,25,28,11,1,6,3,20,14,1,6,0,0,2,1,0,0,0,2,0,2,0,114,16
220590006-2,22,059,0006-2,184,28,0,0,0,0,2,76,19,38,7,10,11,3,0,0,14,10,3,3,2,0,0,2,1,2,0,4,0,1,0,73,19
220590007-1,22,059,0007-1,529,22,0,0,2,0,0,231,56,107,30,52,17,2,0,0,17,10,1,3,0,0,0,4,0,0,0,0,1,1,1,222,8
220590007-2,22,059,0007-2,219,11,3,2,2,0,0,92,15,43,13,25,7,1,0,0,14,4,1,3,0,1,0,0,3,0,0,1,3,1,0,108,4
220590008-2,22,059,0008-2,144.25,3.89,0.97,0.01,0,0,1.89,58.91,12.36,19.66,15.2,13.4,4.83,0.03,0,0,5.74,6.61,0.96,4.69,0,0.01,0,0,0,0.01,0,0.95,0,0.01,0,62.89,1.05
220590008-3,22,059,0008-3,157.37,3.69,1.03,0.96,1.92,0.07,0.05,59.78,30.78,29.02,2.92,16.78,8.98,1.97,0,0,6.25,1.23,0.02,2,0,0,0,0.05,0,0,0,0.98,0.98,0,0,76.9,1.3
220590008-5,22,059,0008-5,77,0,0,0,0,1,0,38,11,8,5,7,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
220590008-6,22,059,0008-6,70,10,3,0,0,0,2,33,3,15,3,6,5,0,0,2,6,4,0,2,0,0,0,0,0,0,0,0,0,1,0,39,3
220590008-7,22,059,0008-7,286,8,4,0,0,1,0,122,26,58,13,32,8,4,0,0,10,10,0,2,0,0,0,0,0,0,0,2,1,0,0,128,5
220590009-1,22,059,0009-1,414.2,5.93,0,0,0,0,1.98,171.01,34.6,108.75,17.8,37.56,7.91,6.92,0,0,2.97,10.88,0.99,0.99,0,0.99,0.99,0.99,0,0,0,0,0,0.99,0.99,174.98,6.92
220590009-2,22,059,0009-2,182,4,0,0,2,0,2,75,11,45,16,12,5,1,3,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,102,3
220590009-3,22,059,0009-3,111,3,0,0,0,0,1,41,11,28,5,12,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,42,3
220590009-4,22,059,0009-4,26.4,0.07,0,0,0,0,0.02,7.88,2.36,11.07,2.17,1.42,0.09,0.08,0,0,0.03,1.11,0.01,0.01,0,0.01,0.01,0.01,0,0,0,0,0,0.01,0.01,12.82,0.08
220590009-5,22,059,0009-5,68.22,0,1,1,0,0,0,22.05,3.03,25.12,11.01,6,0,0,0,0,5.98,0.02,0,0,0,0,0,0,0,0,0,1,0,0,0,22.14,1
220590010-1,22,059,0010-1,97,281,6,1,1,0,3,41,21,20,8,13,4,0,0,0,79,94,14,13,4,0,3,0,4,0,0,7,0,3,1,43,114
220610001-1,22,061,0001-1,11.28,642.91,5.03,5.62,0.14,0.03,1.92,12.4,6.9,3.89,0.15,1.02,2.86,0.95,0.01,0.03,298.1,154.59,43.83,70.89,10.24,4.65,3.75,1.09,0.95,1.89,0,8.43,0.03,0.06,0,5.92,282.46
220610001-2,22,061,0001-2,94.94,278.47,5.21,0.42,2.92,0,0.14,45.56,7.29,34.24,2.92,3.96,1.18,2.99,0,0,110.75,106.8,15.92,16.97,0.77,2.29,0.28,0.07,0.07,0.14,0,2.57,0,0,0,34.38,115.4
220610001-3,22,061,0001-3,26,132,7,3,1,1,2,7,4,8,3,1,6,0,2,2,50,39,15,4,2,3,2,1,1,0,0,2,0,1,0,3,26
220610002-1,22,061,0002-1,53,511,2,4,1,0,3,25,1,9,6,5,7,1,0,0,236,123,31,31,4,8,2,5,0,0,0,11,0,1,0,26,165
220610002-2,22,061,0002-2,75,42,6,3,0,0,0,33,8,22,1,4,1,0,0,0,25,13,0,4,0,2,0,1,3,0,0,1,1,0,1,34,25
220610003-1,22,061,0003-1,210.28,252.52,7.18,3.02,0,0.08,0.02,72.88,14.46,77.94,8.3,7.24,4.26,4.02,0,0,122.37,89.85,10.1,20.04,0.04,1.02,0,3,1,0,0,1.12,1,3,0,76.94,112.19
220610003-2,22,061,0003-2,492.29,85,7.21,4,0,4,0.08,149.07,52.81,212.8,12.51,15.13,14.23,4.06,0,2,56.59,36.64,6,4.13,0,1,0,3.13,1.02,2,0,1.11,1,0,0,225.88,51.45
220610003-3,22,061,0003-3,269.69,98.57,9.14,3,0.08,0,2,81.27,23.19,81.97,24.08,20.11,11.03,3.08,0,0,71.52,29.71,8.36,4.33,0,1.06,0,0,0,0,0,3.06,0,0,0,95.97,39.69
220610003-4,22,061,0003-4,353.72,122.48,8.82,0.98,0,3.92,0.98,140.12,22.54,143.06,14.7,11.76,12.74,0.98,0,0,66.63,41.15,4.9,1.96,1.96,0.98,0,0,0,0,0,5.88,0,0,0,143.06,57.81
220610003-5,22,061,0003-5,206.87,24.89,9.44,0,3.43,0,0,78.11,30.04,88.41,12.02,3.43,4.29,2.58,0,0,13.73,12.88,0,0,0,0,0,0.86,0,0,0,0,0,0,0,119.32,17.17
220610003-6,22,061,0003-6,62,4,1,0,0,0,0,31,8,15,1,1,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3
220610004-1,22,061,0004-1,275,38,2,1,0,0,4,79,21,115,15,22,7,0,0,0,24,10,3,0,0,0,0,3,3,0,0,3,0,0,0,121,12
220610004-2,22,061,0004-2,297,206,10,4,1,0,0,103,31,84,17,19,6,5,0,0,84,55,10,20,2,1,0,7,1,0,2,7,0,1,0,108,71
220610004-3,22,061,0004-3,767.51,23.88,13.76,3.07,0.66,4,1,275.75,84.57,218.9,52.57,43.95,35.91,3.54,2,0,32.79,21.6,3.07,0.05,0.02,0.02,0.05,3.23,0,0,0,1.02,0.07,0,0,282.07,13.17
220610004-4,22,061,0004-4,382.71,46,9.79,0,0,0,3.92,141.93,37.19,129.2,23.49,5.87,10.77,2.94,0,0,27.41,29.36,0,5.87,0,0,0,5.87,0.98,0,0,4.89,0,0,0,179.12,20.55
220610004-5,22,061,0004-5,283,60,6,1,0,0,1,104,15,81,24,20,6,1,0,0,49,25,4,2,0,0,0,4,0,0,1,2,0,0,0,127,29
220610004-6,22,061,0004-6,131,20,4,1,3,0,0,55,8,52,8,3,2,0,0,0,7,13,3,0,0,0,0,3,0,0,0,1,0,0,0,59,8
220610005-1,22,061,0005-1,477.44,92.97,5.81,0.97,0,0.97,0.97,179.16,36.8,156.89,33.9,32.93,6.78,3.87,1.94,0,51.33,30.02,0,0,0,0,0,4.84,0,0,0,5.81,0,0,0,157.86,36.8
220610005-2,22,061,0005-2,667.34,45.06,8.05,4.94,4,1.02,0.03,285.07,49.09,187.82,55.51,24.09,17.89,2.03,3.02,0,48.9,22.07,3.02,0.06,0,0,2.96,0.99,2.97,0.02,0,4.96,0.01,0,0,281.2,12.13
220610005-3,22,061,0005-3,549.47,54.39,7.91,1.03,4.98,1.95,1.07,217.86,60.49,177.34,23.36,21.28,9.84,3.87,4.77,0.02,47.7,27.74,4.73,3.81,0,0.02,0,0.09,0,1.9,0,0.11,0.94,0,0,215.72,21.88
220610005-4,22,061,0005-4,509.44,59.07,10.49,0.07,8.19,2.11,1.07,202.13,65.49,150.85,31.96,21.89,11.59,1.27,0.25,0,38.49,38.01,1.19,2.15,0,0,0,3.16,1,0.07,0,3.19,0.04,0,0,206.33,31.01
220610006-1,22,061,0006-1,756.24,314.4,63.19,12.95,15.05,2.99,1,319.54,77.95,283.03,45.38,23.58,31.87,11.95,0,1,165.66,99.95,18.92,13.94,5.98,3.1,1.99,21.91,5.09,1,1,5.09,0,2.99,0,346.91,134.26
220610006-2,22,061,0006-2,88.68,13.3,3.55,0,0.89,0,0,30.15,17.74,32.81,4.43,5.32,0,0,0,0,2.66,10.64,0,0,0,0.89,0,0,0.89,0,0,0.89,0,0,0,41.68,14.19
220610006-3,22,061,0006-3,324.2,77.43,9.92,1,5.14,0.38,0.08,112.81,44.83,148.94,10.67,3.99,2.29,4.82,1.94,0.7,39.25,28.13,2.39,5.23,0.85,0.23,0,2.01,0.38,0,0,2.16,0.08,0.08,0.7,176.29,37.95
220610007-1,22,061,0007-1,75.54,16.54,1.5,0.38,1.5,0,0,28.19,13.91,31.57,1.88,1.13,0.38,0.75,0,0.38,7.89,6.01,0.38,0,0,0,0,0.38,0,0,0,0.75,0,0,0.38,47.35,10.9
220610007-2,22,061,0007-2,997.26,304.03,53.58,4.62,32.36,4.62,0.92,379.01,126.26,398.49,64.45,25.88,20.34,6.43,5.06,0.92,142.86,128.86,12.24,26.77,1.15,2.77,0,7.62,4.62,0,0,11.09,0.92,0.92,0.92,533.36,131.15
220610008-1,22,061,0008-1,299.76,170.14,22.88,6.17,8.39,1.4,0.41,111.34,41.13,97.78,22.09,12.29,6.74,2.34,1.23,0.07,75.67,71.43,10.92,20.21,1.18,0.27,0,8.12,3.93,0.09,0,3.48,0.99,1.96,0,101.57,52.43
220610008-2,22,061,0008-2,796.97,113.1,16.55,3.68,11.9,2.74,5.48,300.69,91.43,258.66,73.09,24.68,18.28,4.57,2.74,0.91,67.89,59.67,0.97,1.93,0.01,0.91,0,3.69,0.02,0.91,0,4.58,0.01,0.01,0,329.84,50.45
220610008-3,22,061,0008-3,44.08,85.29,8.26,1.05,1.06,0.01,1,17.31,7.31,12.15,0.19,4.09,2.13,0.05,0,0,50.68,18.41,1.08,14.06,0.02,0.01,0.01,3.09,0.02,0,0,1.02,0,0.01,0,13.41,37.55
220610008-4,22,061,0008-4,26,23,1,1,1,0,0,9,4,9,0,0,1,0,0,0,9,9,3,2,0,0,0,1,0,0,0,1,0,2,0,5,9
220610009-1,22,061,0009-1,97,798,16,14,7,2,6,46,21,25,9,6,11,6,0,0,389,218,40,43,12,7,6,10,6,0,0,12,4,0,0,26,254
220610009-2,22,061,0009-2,31,15,2,1,0,0,0,10,4,12,0,1,0,1,0,0,4,6,0,2,0,3,0,3,0,0,0,0,1,0,0,1,5
220610009-3,22,061,0009-3,25,13,11,0,3,1,0,10,3,15,1,1,2,0,0,0,9,4,0,4,0,0,0,3,0,0,0,0,0,0,0,4,3
220610009-4,22,061,0009-4,60.07,85.55,3.64,2.73,2.73,0,0,22.75,6.37,30.94,0.91,3.64,0,0,0.91,0,40.04,22.75,4.55,10.92,0,0.91,0,0.91,0.91,0,0,0,0,0,2.73,16.38,40.04
220610009-5,22,061,0009-5,33.93,9.45,4.36,3.27,0.27,0,0,14.25,3.63,8.06,1.09,4.36,2,1,3.09,0,3.96,4.25,0.45,1.08,1,0.09,0,1.09,0.09,0,0,0,0,0,0.27,9.62,3.96
220610010-1,22,061,0010-1,30.02,376.05,0,1.32,0,0,0.44,25.33,0.99,10.19,0,1.43,0.44,0.44,0,0,202.23,70.24,17.67,25.45,0.44,0.99,3.63,0.44,0,0.44,0.44,4.95,0,1.76,0,10.19,143.81
220610010-2,22,061,0010-2,75,11,0,0,0,0,0,26,10,30,0,1,0,1,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2
220610010-3,22,061,0010-3,109.79,38.73,0.28,0.08,2.49,0.81,0,35.38,13.98,26.49,11.37,9.69,1.66,0.03,0.01,0,26.4,12.81,0.14,1.85,0.81,0.8,0,0.1,0.05,0,0,0.84,0.01,0.03,0,23.28,10.19
220610010-4,22,061,0010-4,21.94,449.8,5.98,0,0,1,2.99,20.94,7.98,2.99,0,1,0,0,0,0,265.29,82.78,21.94,21.94,0,1,1,1,3.99,0,0,9.97,0,3.99,1,6.98,170.55
220610010-5,22,061,0010-5,5.98,216.95,0,1.68,0,0,0.56,8.67,0.01,1.81,0,0.57,0.56,0.56,0,0,114.77,44.76,11.33,12.55,0.56,0.01,3.37,0.56,0,0.56,0.56,5.05,0,2.24,0,1.81,70.19
220610011-1,22,061,0011-1,113.06,455.2,11.02,8,3,1,3.01,46.06,20.02,35.01,1,13,5,2,0,0,240.71,108.22,18.06,28.06,2,3,1,9,2.01,0,1,7.03,3,4.01,1,24.02,211.45
220610011-2,22,061,0011-2,119,25,6,1,0,0,0,41,12,44,10,8,2,0,0,0,22,9,0,0,0,0,0,0,1,1,0,1,0,0,0,71,6
220610011-3,22,061,0011-3,15,86,0,3,0,0,0,6,3,2,3,1,1,1,0,1,37,21,4,2,4,0,0,0,0,0,1,4,0,0,0,3,25
220610011-4,22,061,0011-4,56,180,4,4,4,0,0,18,8,21,3,1,4,1,0,0,83,61,8,12,0,0,0,4,1,0,0,4,0,1,0,30,68
220610012-1,22,061,0012-1,330.97,343.88,45.18,3.88,15.52,2.91,8.29,141.25,43.65,127.2,16.49,9.7,7.76,2.44,0.97,3.88,166.77,127.67,13.11,21.34,0.97,0,2.91,17.96,1.94,2.91,0,6.79,2.91,6.79,0,144.13,182.67
220610012-2,22,061,0012-2,9,6,0,0,0,0,0,2,0,2,0,0,2,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
220610012-3,22,061,0012-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220610012-4,22,061,0012-4,3,6,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220610012-5,22,061,0012-5,10,12,1,0,0,0,0,2,0,6,0,0,0,0,0,0,1,10,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1
220610012-6,22,061,0012-6,13.12,23.18,3.44,0.09,0.34,0.06,1.65,6.52,0.96,6.7,0.36,0.21,0.17,0.54,0.02,0.09,16.86,6.22,0.78,0.47,0.02,0,0.06,0.88,0.04,0.06,0,0.15,0.06,0.15,0,5.6,13.78
22063000001,22,063,000001,1249.69,104.38,28.47,2.85,2.85,1.9,5.69,648.1,175.55,172.7,83.5,82.55,29.42,15.18,1.9,2.85,50.29,68.32,3.8,4.74,0.95,1.9,2.85,11.39,1.9,0,1.9,2.85,3.8,1.9,5.69,463.06,45.55
22063000002,22,063,000002,806,107,26,4,3,3,6,384,124,116,46,52,23,10,2,3,50,57,12,7,5,0,0,14,3,2,0,5,7,3,0,262,39
22063000003,22,063,000003,1209,81,17,12,3,6,5,644,165,113,78,88,34,6,2,2,46,62,7,7,3,2,0,11,0,0,0,10,2,5,2,450,28
