GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
22051000044,22,051,000044,544.72,236.23,27.5,20.12,5.22,5.03,7.09,313.8,119.79,52.05,23.87,28.43,9.06,21.84,4,0,72.3,119.01,8.25,11.4,0,0,4.06,10.19,1,0,0,8.06,0,1.12,4,284.43,106.82
22051000045,22,051,000045,366.28,225.77,15.5,3.88,6.78,0.97,2.91,181.2,87.21,63.95,27.13,13.57,1.94,26.16,0,0,71.7,93.99,7.75,12.6,0,0,1.94,5.81,0,0,0,1.94,0,3.88,0,169.57,88.18
22051000046,22,051,000046,197.62,100.94,9.24,1.42,4.27,0.71,0,95.26,41.94,19.19,8.53,11.37,2.84,10.66,0,2.13,35.54,38.39,5.69,7.11,0,0.71,1.42,5.69,0,0,0,4.98,0.71,0,0,83.88,37.68
22051000051,22,051,000051,760.79,203.74,27.06,7.1,5.14,3.55,2.1,420.19,128.8,96.92,46.37,49.85,21.65,18.93,0.55,0.14,55.9,72.37,13.34,16.3,3,3.41,4.55,10.1,0.14,0,0.28,9.2,0,6.14,0.41,311.75,65.45
22051000052,22,051,000052,791,219,27,4,8,1,8,416,138,73,60,56,4,29,1,0,96,94,8,14,5,0,0,8,3,0,0,5,4,3,0,340,85
22051000053,22,051,000053,527,145,20,6,5,1,3,249,110,61,41,41,7,20,0,0,43,70,6,11,1,0,2,6,1,0,0,3,0,4,0,226,51
22051000054,22,051,000054,399,133,12,2,0,1,3,201,59,46,32,36,4,16,0,0,49,50,6,10,0,1,4,2,4,0,0,3,4,3,0,184,45
22051000055,22,051,000055,494,155,22,2,1,0,1,240,72,56,39,33,8,16,0,0,58,66,11,11,3,1,3,7,3,1,1,6,0,1,0,203,55
22051000056,22,051,000056,474,188,37,8,1,3,3,262,84,44,29,31,6,12,1,0,73,78,14,10,0,0,4,10,3,0,0,6,3,4,2,197,74
22051000057,22,051,000057,346,254,24,9,0,1,4,165,59,38,33,37,9,21,1,0,73,101,14,21,0,3,0,7,1,1,0,7,0,1,0,159,58
22051000058,22,051,000058,195.77,267.7,6.05,1.34,1.07,0,4.11,87.17,55.44,22.92,22.13,10.97,4.26,2.86,0,1.04,88.17,82.25,19.52,19.22,7.04,1,7,5.26,1,0,0,8.22,0,1.11,2,79.93,47.84
22051000059,22,051,000059,522.79,203.13,27.53,8.84,2.04,0.04,3.15,269.68,91.1,76.39,55.82,25.26,6.88,22.72,0.04,0.96,57.43,85.84,13.91,5.96,1,0.08,0.08,6.92,0.15,0,0,6.11,0.04,2.88,0,236.86,75.04
22051000060,22,051,000060,970.46,309.04,44.37,16.12,5.06,4.02,1.15,532.83,170.57,118.87,80.63,53.18,11.09,34.36,3.02,1,114.99,124.31,8.27,14.11,5.02,3.04,0.04,16.11,4.08,0,0,9.19,0.02,1,0,492.19,113.18
22051000061,22,051,000061,455,156,28,8,2,6,1,218,105,52,43,38,6,20,1,1,53,63,10,3,1,0,4,6,1,0,0,5,0,5,0,244,65
