GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
110010111001019,51.9,1.7,0.2,0.2,0.1,0.1,0.3,48.3,0.7,0.6,0.7,0.9,0.4,0.7,0.4,0.2,25.9,1.5,0.4,1.3,10.2,19.9,6.2,6.9,2.3,1.5,3.1,1,0.4,0.6,0.8,0.8,1.5,0.2,0.7,0.5,0.4,0.3,0.2,0.4,0.4,44.2,2.1,4.4,0.4,41.4,4.1,2.9,0.5
110010111001024,51.9,1.7,0.2,0.2,0.1,0.1,0.3,48.3,0.7,0.6,0.7,0.9,0.4,0.7,0.4,0.2,25.9,1.5,0.4,1.3,10.2,19.9,6.2,6.9,2.3,1.5,3.1,1,0.4,0.6,0.8,0.8,1.5,0.2,0.7,0.5,0.4,0.3,0.2,0.4,0.4,44.2,2.1,4.4,0.4,41.4,4.1,2.9,0.5
110010090001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010074081007,26,0.7,0.2,0.1,0.2,0.2,0.1,24.7,0.1,0.1,0.2,0.5,0.2,0.4,0.3,0.1,13.5,0.4,0.1,0.6,2.8,10.5,0.7,2.7,1.6,0.3,0.5,0.5,0.1,0.3,1,0.2,0.3,0.1,0.3,0.4,0.4,0.1,0.2,0.2,0.2,22.2,0.9,1.9,0.2,21.5,2.3,1,0.2
110010073011069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010021026006,63,2.5,0.3,0.4,0.1,0.1,0.4,56.5,0.9,1.1,1.5,1.7,0.6,0.7,0.7,0.5,31.9,1.7,0.4,1.6,13,16.5,10.7,9.2,3.9,3.1,2.6,2.5,0.4,0.8,1,0.9,0.7,0.5,0.9,0.5,0.4,0.7,0.4,0.3,0.5,51.7,2.5,6.7,0.6,51.4,5.6,3.2,0.6
110010016004038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010020021003,11.7,0.5,0,0,0,0,0,10.3,0.1,0.2,0.3,0.3,0.1,0.2,0.1,0.1,5.7,0.4,0.1,0.3,2.4,2.7,2.5,2.1,0.8,0.6,0.4,0.4,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0,0.1,0.1,0.1,0,0,9.2,0.5,1.4,0.1,8.8,1.2,0.7,0.1
110010078043006,1.3,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0.6,0,0,0,0.2,0.5,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0.1,0,1,0.1,0.1,0
110010064001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010062021149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010062021175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010087022002,41.2,1.6,0.3,0.2,0.1,0,0.5,36.3,1,0.7,1.3,1,0.6,0.5,0.3,0.2,17.9,1.6,0.8,1.2,10.7,8.7,9.1,6.9,3,1.7,1.4,1.2,0.4,0.9,0.9,0.6,0.8,0.6,0.5,0.4,0.3,0.3,0.2,0.3,0.2,33.7,2.4,4.9,0.5,32.7,3.8,2.7,0.4
110010074081004,71.9,2,0.4,0.2,0.5,0.5,0.4,68.3,0.2,0.3,0.7,1.5,0.4,1.1,0.9,0.2,37.4,1,0.3,1.5,7.8,29.2,1.8,7.4,4.4,0.8,1.4,1.3,0.1,0.9,2.7,0.5,0.9,0.2,0.9,1.2,1,0.1,0.6,0.6,0.4,61.4,2.6,5.2,0.4,59.4,6.3,2.9,0.6
110010074081003,70,2,0.4,0.2,0.5,0.5,0.4,66.5,0.2,0.3,0.7,1.4,0.4,1.1,0.9,0.2,36.4,1,0.3,1.5,7.6,28.4,1.8,7.2,4.3,0.8,1.3,1.3,0.1,0.9,2.6,0.5,0.9,0.2,0.9,1.1,1,0.1,0.6,0.6,0.4,59.8,2.5,5,0.4,57.8,6.1,2.8,0.6
110010075022006,36,1,0.2,0.1,0.2,0.2,0.2,34.1,0.1,0.2,0.3,0.7,0.2,0.5,0.4,0.1,18.7,0.5,0.1,0.8,3.9,14.6,0.9,3.7,2.2,0.4,0.7,0.7,0.1,0.5,1.4,0.3,0.4,0.1,0.4,0.6,0.5,0.1,0.3,0.3,0.2,30.7,1.3,2.6,0.2,29.7,3.1,1.4,0.3
110010074092000,187,5.1,1,1.4,1,1.2,1.8,174.8,1,1.5,2.9,4.1,0.9,2,2,0.5,87.1,2.6,0.5,3.8,22.9,74.7,5.1,25.8,13.5,1.6,4.6,3.5,0.4,1.9,5.8,1.3,2.6,0.9,2.7,3.6,4.2,0.7,2,1,1,157.3,7.3,16.6,0.9,152.9,19.9,6.3,1.2
110010074091001,82.7,2.3,0.4,0.6,0.4,0.5,0.8,77.3,0.4,0.7,1.3,1.8,0.4,0.9,0.9,0.2,38.5,1.2,0.2,1.7,10.1,33,2.3,11.4,6,0.7,2.1,1.5,0.2,0.9,2.6,0.6,1.2,0.4,1.2,1.6,1.8,0.3,0.9,0.4,0.4,69.6,3.2,7.4,0.4,67.7,8.8,2.8,0.5
110010075022008,12.3,0.3,0.1,0,0.1,0.1,0.1,11.7,0,0.1,0.1,0.3,0.1,0.2,0.2,0,6.4,0.2,0.1,0.3,1.3,5,0.3,1.3,0.8,0.1,0.2,0.2,0,0.2,0.5,0.1,0.2,0,0.2,0.2,0.2,0,0.1,0.1,0.1,10.5,0.4,0.9,0.1,10.2,1.1,0.5,0.1
110010074092002,73.1,2,0.4,0.5,0.4,0.5,0.7,68.3,0.4,0.6,1.1,1.6,0.3,0.8,0.8,0.2,34,1,0.2,1.5,8.9,29.2,2,10.1,5.3,0.6,1.8,1.4,0.2,0.8,2.3,0.5,1,0.3,1.1,1.4,1.6,0.3,0.8,0.4,0.4,61.5,2.8,6.5,0.3,59.8,7.8,2.5,0.5
110010076034000,15.1,0.5,0.1,0.1,0,0,0.1,13.8,0.2,0.2,0.2,0.3,0.1,0.1,0.2,0.1,7,0.4,0.1,0.3,2.6,5.4,1,2.7,1.2,0.1,0.4,0.4,0.1,0.2,0.4,0.1,0.3,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.1,12.6,0.4,1.4,0.1,12.1,1.5,0.5,0.1
110010076015010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010030002002,140.3,6.9,0.8,1.2,0.5,0.2,0.8,124.7,3,2.7,4.5,2.8,1.9,2.7,1.4,0.7,61,5.6,2,5.6,36.4,20.2,36.9,21.5,10,10.1,6.3,3.4,2.2,3.5,1.8,2.8,1,1.7,0.7,1.4,1,2,0.7,0.9,0.5,113.8,7.9,18.4,1,111.9,12.7,9.7,0.9
110010036002000,173.2,8.5,0.9,1.4,0.6,0.3,1,153.9,3.7,3.3,5.5,3.5,2.4,3.4,1.8,0.8,75.3,6.9,2.4,6.9,44.9,24.9,45.5,26.5,12.3,12.5,7.7,4.2,2.7,4.4,2.2,3.5,1.3,2.1,0.9,1.7,1.2,2.4,0.8,1.1,0.7,140.5,9.8,22.7,1.3,138.1,15.6,11.9,1.1
110010036002002,210.8,10.4,1.2,1.7,0.7,0.3,1.2,187.2,4.6,4,6.7,4.3,2.9,4.1,2.1,1,91.7,8.4,2.9,8.4,54.6,30.3,55.4,32.3,15,15.2,9.4,5.1,3.2,5.3,2.7,4.3,1.6,2.5,1.1,2.1,1.4,2.9,1,1.4,0.8,171,11.9,27.6,1.6,168,19,14.5,1.4
110010038001002,323.3,16,2,1.7,1.1,0.2,2.6,278.7,12.1,7.8,8.7,8.1,4.9,4.6,2.2,1.6,137,18.5,7.5,13.3,104.4,21.7,102.1,55.8,19.8,23.2,9.5,9,4.2,5.4,2.2,8.7,3.6,3.6,1.4,1.8,1.8,8.9,1,1.2,2.2,251.2,24.5,36.1,3.1,245.7,23.3,26.4,3.9
110010038003005,76.2,2.9,0.3,0.6,0.2,0,0.5,65.8,1.5,1.8,2.6,1.5,1,1.7,0.5,0.3,30.1,2.6,1,3.6,23.3,6,28.7,12.2,5.4,5.4,3.1,2,1,1.6,0.7,1.9,0.9,0.9,0.2,0.8,0.3,1.3,0.3,0.3,0.6,58.5,4.2,10.7,0.7,57.5,6.8,5.6,0.7
110010043001004,57.4,3.1,0.4,0.1,0.1,0.1,0.6,49.7,2.4,1.1,1,1.1,1.3,1.1,0.3,0.4,24.1,4,1.6,1.8,19.7,4.3,15.4,12.4,3.1,3.6,1.4,1.2,1.1,1.2,0.6,1,0.5,1.1,0.1,0.4,0.2,0.6,0.2,0.2,0.3,45.9,5.1,5,0.4,43.6,3.7,4.9,0.7
110010042011003,61.1,3.4,0.5,0.3,0.1,0.1,0.6,52.6,2.6,1,1.2,1.3,1.5,0.6,0.4,0.3,23.8,4.1,1.4,1.9,21.3,3.9,16.6,15,3.7,3.1,1.4,1.1,0.8,1.4,0.2,1.3,0.7,1.2,0.4,0.4,0.2,0.6,0.3,0.3,0.5,47,5.8,5.9,0.7,46.2,4,5.8,0.8
