GEOID,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
110010023021004,2.6,0.1,0,0.1,0.1,0,2.3,0.1,0.2,0.2,0.1,2.6,0.2,0,2.5,0.2,0.1,2.3,0.2,0.3,0.7,0.6,0.2,0,2.5,0.1,2.4,0.3,0
110010062021213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010041001004,55.9,6.1,1.8,2.9,1.4,0.7,52.1,3.3,5.6,3.6,2.1,60.9,5.5,0.5,59,6.2,1.5,38.9,7,7.7,12.2,36.3,2.5,1.3,54.6,2.8,48,10.7,2
110010062021088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010009022004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010009011012,26.8,3.6,0.8,1.4,1.3,0.4,28,1.6,2.2,1.6,0.7,29,3.7,0.3,29.2,3.6,0.6,17.3,4,3,8.2,16.6,1.2,0.2,26,1.3,23.6,5.4,0.9
110010015005001,16.2,1.6,0.4,0.9,0.6,0.4,15.9,0.7,1.8,0.8,0.6,18.1,1.5,0.1,17.5,1.7,0.4,10.6,1.9,2,3.9,12.6,0.6,0.3,15.8,0.7,14.2,3.2,0.6
110010014012000,13,1.1,0.3,0.8,0.5,0.2,12.3,0.6,1.3,0.7,0.5,14.1,1.2,0.1,13.8,1.2,0.3,8.8,1.3,2,3.4,8.5,0.5,0.2,12.6,0.5,11,2.7,0.4
110010008021006,155.3,21.4,5.3,5.7,3.9,0.2,151.8,12.2,14,8.5,2.2,162.8,23.2,1.1,163,22.5,2.2,107.6,24.5,21.9,45.7,78.3,7.4,1.7,151.9,9.4,135.5,31.1,6.4
110010007021005,73.9,6.3,2.3,4.6,2.6,0.7,68.4,4.2,8.4,5.4,2.2,79.4,8,0.5,78,8.3,1.8,52.3,7.7,11.3,15,42.8,3.3,0.7,75.6,2.7,65.1,17,1.7
110010008013030,7.1,0.9,0.2,0.4,0.3,0.1,7.1,0.4,0.6,0.6,0.1,7.7,0.9,0,7.6,0.9,0.1,4.8,1.1,0.9,1.8,4.2,0.3,0.1,6.8,0.3,6.2,1.4,0.2
110010008013015,10.3,1.3,0.3,0.6,0.4,0.1,10.2,0.6,0.8,0.8,0.2,11.2,1.3,0.1,11.1,1.4,0.2,7,1.6,1.3,2.6,6.1,0.4,0.1,9.9,0.4,9,2,0.3
110010008013007,2.7,0.3,0.1,0.1,0.1,0,2.7,0.1,0.2,0.2,0,2.9,0.3,0,2.9,0.4,0,1.8,0.4,0.3,0.7,1.6,0.1,0,2.6,0.1,2.4,0.5,0.1
110010003002002,23.1,2,0.7,1.4,0.8,0.2,21.3,1.3,2.6,1.7,0.7,24.8,2.5,0.2,24.3,2.6,0.5,16.3,2.4,3.5,4.7,13.4,1,0.2,23.6,0.9,20.3,5.3,0.5
110010007012000,148.3,14.5,3.4,8,5,1.1,135.5,8.7,16.7,10.8,4.4,158,16.5,0.9,154.3,18.7,3.6,99.5,16.9,21.8,34.2,89.5,6.7,1.8,142.6,5.8,125.8,33,3.2
110010017021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010103003012,22.1,0.5,0.3,1.3,0.5,0.2,18.4,0.5,2.9,1.5,1.2,23.2,1.1,0.1,21.5,1.7,1,17,0.7,3.6,5.6,11.8,0.9,0.4,21.9,0.6,18.7,4.8,0.2
110010103001014,24.7,0.6,0.4,1.5,0.5,0.2,20.6,0.5,3.2,1.7,1.4,25.9,1.3,0.1,24.1,1.9,1.1,19,0.8,4,6.3,13.2,1,0.4,24.5,0.6,21,5.4,0.2
110010017021015,20.5,0.5,0.3,1.2,0.4,0.2,17.1,0.4,2.7,1.4,1.1,21.5,1.1,0.1,20,1.6,0.9,15.8,0.7,3.3,5.2,11,0.8,0.4,20.3,0.5,17.4,4.4,0.2
110010017021017,14.2,0.3,0.2,0.9,0.3,0.1,11.8,0.3,1.8,1,0.8,14.9,0.7,0,13.8,1.1,0.6,10.9,0.5,2.3,3.6,7.6,0.6,0.2,14.1,0.4,12,3.1,0.1
110010019014003,19.1,0.3,0.2,0.8,0.5,0.1,16,0.5,2.1,1.5,0.8,19.7,0.9,0.1,18.7,1.4,0.5,15.5,0.4,2.8,5.8,7.4,1,0.2,19.2,0.4,17,3.1,0.3
110010019012011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010019012010,13.5,0.3,0.3,0.6,0.3,0.1,11.3,0.4,1.5,1,0.6,14,0.6,0,13.5,0.9,0.2,11.7,0.4,2,3.9,4.5,0.7,0.2,13.6,0.3,12.3,1.9,0.2
110010019013001,38.6,0.7,0.5,1.7,1.1,0.3,32.5,0.9,4.2,3.1,1.5,39.9,1.8,0.1,37.9,2.9,1.1,31.3,0.8,5.8,11.8,14.9,2,0.4,39,0.8,34.4,6.3,0.5
110010019011002,12.2,0.2,0.2,0.5,0.3,0.1,10.2,0.4,1.3,0.9,0.6,12.7,0.6,0,12.2,0.8,0.2,10.6,0.3,1.8,3.5,4.1,0.7,0.1,12.3,0.3,11.2,1.7,0.1
110010019014000,20.1,0.4,0.2,0.9,0.6,0.1,16.9,0.5,2.2,1.6,0.8,20.8,0.9,0.1,19.7,1.5,0.6,16.3,0.4,3,6.1,7.8,1,0.2,20.3,0.4,17.9,3.3,0.3
110010019022003,25.1,0.5,0.3,1.1,0.7,0.2,21.1,0.6,2.7,2,1,25.9,1.2,0.1,24.6,1.9,0.7,20.3,0.5,3.7,7.6,9.7,1.3,0.3,25.3,0.5,22.4,4.1,0.3
110010084101002,54.7,2.7,1.7,2.7,1.6,0.7,47,2.5,6.1,5,3.1,57.2,5.6,0.1,54,6.8,1.8,42.2,3.6,8.9,13.4,29.1,2.8,1.1,56,2,49,10.2,1.5
110010088021002,24.3,0.5,0.4,1,0.7,0.2,20.7,0.8,2.4,1.7,1,24.8,1.7,0.1,23.9,2.1,0.4,19.4,1,3.9,5.7,8.7,0.9,0.2,24.3,0.7,22.3,3.8,0.2
110010088022005,26.6,0.6,0.4,1.1,0.7,0.2,22.7,0.9,2.7,1.9,1.1,27.2,1.9,0.1,26.1,2.3,0.5,21.2,1.1,4.2,6.2,9.5,1,0.2,26.6,0.7,24.4,4.1,0.2
110010088022010,12.8,0.3,0.2,0.5,0.3,0.1,11,0.4,1.3,0.9,0.5,13.1,0.9,0,12.6,1.1,0.2,10.3,0.5,2,3,4.6,0.5,0.1,12.9,0.4,11.8,2,0.1
110010095041009,9.4,0.4,0.2,0.5,0.3,0.1,7.5,0.3,1.4,0.8,0.9,10.1,0.7,0.1,9.3,1,0.5,7.6,0.6,1.7,2.5,5.2,0.6,0.2,9.5,0.4,8,2.2,0.2
110010081001003,43.5,6.2,1.1,2.6,1.3,0.8,38.5,3.1,6,3.7,2.8,48.5,5.7,0.6,45.5,6.4,1.9,29.8,6.1,6.4,9.1,33.1,1.5,1.1,43.3,2.7,37.8,9.9,2.2
110010081001001,22,3.1,0.6,1.3,0.7,0.4,19.4,1.6,3,1.9,1.4,24.5,2.9,0.3,23,3.3,1,15,3.1,3.2,4.6,16.7,0.8,0.6,21.9,1.4,19.1,5,1.1
110010081001004,86.6,12.3,2.2,5.2,2.7,1.7,76.5,6.2,12,7.5,5.5,96.5,11.3,1.1,90.5,12.8,3.9,59.2,12.2,12.7,18.1,65.9,3.1,2.2,86.1,5.4,75.1,19.6,4.4
110010078081013,45.8,0.3,0.5,0.7,0.9,0.2,37.8,1.1,3.7,3.3,1.5,44.6,2.1,0.2,43.1,3,0.5,39.5,0.8,4.2,12.8,4.6,1.7,0.5,44.2,0.5,43.5,3,0.2
110010078043015,2.1,0,0,0,0,0,1.7,0.1,0.2,0.2,0.1,2,0.1,0,2,0.1,0,1.8,0,0.3,0.6,0.3,0.1,0,2.1,0,2,0.2,0
110010078043021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010078043008,19.4,0.1,0.3,0.4,0.4,0.1,15.5,0.5,1.9,1.6,0.9,19.1,0.9,0.1,18.5,1.3,0.3,17.2,0.4,2.4,5.5,3,1,0.3,19.4,0.2,18.6,1.9,0
110010078043019,15.9,0.1,0.2,0.3,0.3,0.1,12.8,0.4,1.6,1.3,0.7,15.7,0.7,0.1,15.2,1.1,0.2,14.2,0.4,2,4.6,2.4,0.8,0.2,15.9,0.2,15.2,1.5,0
110010099051000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010099051007,14.8,0.1,0.1,0.3,0.4,0,12.4,0.3,1,1.5,0.7,15,0.4,0,14.8,0.8,0.1,12.8,0.3,1.1,5,2.4,0.6,0.2,15.1,0.2,14.5,1,0.1
110010099071004,24.7,0.2,0.2,0.4,0.8,0.1,19.9,0.7,1.9,2.5,1.1,24.6,1,0.1,24.6,1.2,0.2,21.6,0.3,1.7,7,2.6,0.7,0.2,24.1,0.4,24,1.7,0.1
110010111003020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010078041012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010096011004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010077082002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010011001008,41.8,3.3,0.8,2.2,1.1,0.6,37.8,1.7,5,2.3,1.9,45.2,3.3,0.4,43.6,3.8,1.1,25.5,3.7,5.1,9.9,31.6,1.3,0.6,39.4,1.4,35.9,7.5,1
