GEOID,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOWRI,G16DELDNOR,G16DELLMOU,G16DELGSTR,G16DELOWRI,G16COUDWHI,G16COURCEL,G16COULKLO,G16COUGAIK,G16COUIGRO,G16COUICHE,G16COUOWRI,G16HALDGAR,G16HALOWRI
110010025011011,50.4,1.5,0.6,1.1,0.7,47,2.1,2.7,0.3,41.8,2.9,1.6,5.5,21.7,4.2,0.8,43.6,1.2
110010024002005,25.7,0.6,0.3,0.5,0.5,24.6,0.8,1.3,0.1,21.5,1.3,0.9,2.5,10.3,2.1,0.4,23.3,0.5
110010022012003,53.7,1.3,0.5,0.9,0.9,51.6,1.6,2.2,0.4,45.9,2.9,2.2,5.2,17.8,4.8,1,48,1
110010025021004,134.6,3.5,0.8,2.8,1.1,124.9,5.5,8.1,1.1,110.6,6.5,5.3,16.9,55.2,8.7,1.7,120.6,2.3
110010024003007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010001004002,32.8,4.1,1.4,0.5,1.8,29.9,5.5,2.1,0.5,22.6,10.4,2.6,3.3,12.5,1.7,0.4,27.7,1.1
110010001004024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010001003008,19.9,2.5,0.8,0.3,1.1,18.1,3.4,1.3,0.3,13.7,6.3,1.6,2,7.6,1,0.2,16.8,0.7
110010001004005,38.8,4.9,1.6,0.5,2.2,35.3,6.5,2.5,0.6,26.7,12.3,3.1,3.9,14.8,2,0.4,32.7,1.4
110010062021244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010001002000,291.8,36.7,12.4,4.1,16.2,265.9,49.2,19,4.6,200.7,92.3,23.2,29.6,111.1,15.1,3.1,246.1,10.2
110010055002002,66.7,7.2,1.7,1,2.3,60.2,9.2,3.7,0.9,48.9,15.7,5.7,6.9,23.9,5.3,0.8,60.2,2
110010041003024,1.8,0.1,0.1,0,0,1.6,0.2,0.1,0,1.4,0.3,0.1,0.2,0.8,0.1,0,1.6,0.1
110010110004000,181.4,9.5,4.5,2.9,4.2,170,14.4,11.2,1.5,151.9,17.7,11.4,24.7,71.4,21,2.1,167.3,5.1
110010094002023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010111002018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010091021003,22.8,0.5,0.2,0.3,0.4,21.9,0.7,0.8,0.2,19.2,1,0.9,2.1,7.4,2.7,0.4,20.8,0.4
110010091021007,39.4,0.9,0.4,0.5,0.6,37.7,1.2,1.4,0.4,33.1,1.8,1.5,3.6,12.8,4.7,0.7,35.8,0.7
110010111003007,251.7,5.5,2.7,3.1,4,241.1,7.6,9,2.3,211.5,11.5,9.8,22.9,81.7,29.9,4.2,228.8,4.7
110010073011108,0.9,0,0,0,0,0.8,0,0,0,0.8,0,0,0.1,0.1,0.1,0,0.8,0
110010088031003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010088042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010088042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010094004009,20.3,0.5,0.1,0.3,0.2,19.6,0.5,0.8,0.1,18.1,0.7,0.6,2.2,8.1,2.4,0.3,18.4,0.4
110010094003001,30.7,0.8,0.2,0.5,0.3,29.7,0.8,1.2,0.2,27.5,1.1,0.8,3.3,12.3,3.7,0.4,28,0.6
110010094003000,90.8,2.4,0.5,1.5,1,87.8,2.3,3.4,0.6,81.3,3.3,2.5,9.7,36.2,11,1.3,82.7,1.6
110010094002007,33.9,0.6,0.4,0.7,0.7,32,1.7,1.7,0.3,29.2,1.9,1.6,3.8,14.8,4.2,0.6,31.3,1.1
110010094002008,2.1,0,0,0,0,2,0.1,0.1,0,1.8,0.1,0.1,0.2,0.9,0.3,0,1.9,0.1
110010094002009,27.7,0.5,0.3,0.6,0.6,26.1,1.4,1.4,0.3,23.8,1.5,1.3,3.1,12,3.5,0.5,25.6,0.9
110010094003022,19.1,0.5,0.3,0.3,0.2,18.8,0.7,0.6,0.1,17.1,0.9,0.8,1.9,7.1,2.3,0.3,17.8,0.4
110010111002020,33.1,0.7,0.3,0.4,0.5,31.7,1,1.2,0.3,27.8,1.5,1.3,3,10.7,3.9,0.6,30.1,0.6
110010111002028,25.1,0.5,0.3,0.3,0.4,24.1,0.8,0.9,0.2,21.1,1.1,1,2.3,8.2,3,0.4,22.8,0.5
110010111002007,46.3,1.3,0.7,0.6,0.5,45.6,1.8,1.4,0.2,41.4,2.3,1.8,4.5,17.3,5.6,0.7,43.3,1
110010111002023,104.1,3,1.5,1.4,1.2,102.7,4,3.1,0.4,93.2,5.1,4.1,10.2,38.9,12.5,1.5,97.4,2.2
110010111003044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010096041006,77,1.1,0.1,0.7,0.5,74.9,1.3,1.5,0.3,67.5,1.7,2.6,7.7,17.7,9.5,1,67.5,0.9
110010096042006,54.7,0.8,0.1,0.5,0.4,53.2,0.9,1.1,0.2,48,1.2,1.9,5.5,12.6,6.8,0.7,47.9,0.7
110010076042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010099012002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010099012012,15.6,0.3,0.1,0.2,0.3,15.3,0.3,0.5,0.2,14.3,0.8,0.3,1.6,5,2.1,0.2,14.4,0.4
110010099012021,16.7,0.5,0.1,0.5,0.3,16.4,0.5,0.8,0.2,15.9,0.8,0.7,1.5,5.8,2.7,0.3,16,0.4
110010076042005,19,0.5,0.2,0.6,0.3,18.7,0.6,0.9,0.2,18,0.9,0.8,1.7,6.6,3,0.3,18.2,0.4
110010076032003,1.9,0,0,0,0,1.9,0,0.1,0,1.7,0.1,0.1,0.2,0.5,0.2,0,1.7,0
110010076042000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010099012017,21.3,0.6,0.2,0.7,0.3,20.9,0.7,1,0.2,20.2,1,0.9,1.9,7.4,3.4,0.4,20.4,0.5
110010099012026,63.9,1.8,0.5,2,1,62.7,2.1,3,0.7,60.5,3.1,2.6,5.8,22.1,10.1,1.1,61.1,1.5
110010076042030,45.3,0.9,0.2,0.5,0.6,45,0.9,0.9,0.2,40.9,1.6,1.1,3.6,10.1,5.1,0.4,40.9,0.8
110010094003011,49.6,1.3,0.3,0.8,0.5,48,1.3,1.9,0.3,44.4,1.8,1.4,5.3,19.8,6,0.7,45.2,0.9
110010094003019,36.1,1,0.5,0.5,0.4,35.6,1.4,1.1,0.1,32.3,1.8,1.4,3.5,13.5,4.3,0.5,33.8,0.8
110010094003025,28.6,0.8,0.4,0.4,0.3,28.2,1.1,0.9,0.1,25.6,1.4,1.1,2.8,10.7,3.4,0.4,26.7,0.6
110010094003008,11.2,0.3,0.1,0.2,0.1,10.8,0.3,0.4,0.1,10,0.4,0.3,1.2,4.5,1.3,0.2,10.2,0.2
110010111002011,25.2,0.7,0.4,0.3,0.3,24.8,1,0.8,0.1,22.5,1.2,1,2.5,9.4,3,0.4,23.6,0.5
110010111001035,45.6,1.3,0.7,0.6,0.5,45,1.7,1.4,0.2,40.8,2.2,1.8,4.5,17,5.5,0.7,42.7,1
110010111003013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010111003009,1.7,0,0,0,0,1.6,0.1,0.1,0,1.4,0.1,0.1,0.2,0.6,0.2,0,1.6,0
110010111001031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010111003043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010111002002,20.4,0.6,0.3,0.3,0.2,20.1,0.8,0.6,0.1,18.3,1,0.8,2,7.6,2.5,0.3,19.1,0.4
110010090002000,36.3,1.1,0.3,0.5,0.4,36.2,1,0.8,0.1,33,1.5,1.2,3.3,13.2,4.6,0.5,33.5,0.5
110010111001023,20.4,0.6,0.3,0.3,0.2,20.1,0.8,0.6,0.1,18.3,1,0.8,2,7.6,2.5,0.3,19.1,0.4
110010111003026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010096011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010106002008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010062021049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010041002009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010004002012,12.4,0.7,0.3,0.1,0.3,11.3,1.1,0.6,0.1,9.6,1.9,0.8,1.2,6.3,0.6,0.1,10.6,0.3
110010073011048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010011001015,3.9,0.3,0.1,0,0.1,3.6,0.3,0.2,0.1,3.1,0.6,0.2,0.3,2.1,0.2,0.1,3.3,0.1
110010104002041,33.5,1.8,0.4,0.5,0.4,32.4,1.8,1.3,0.2,29.5,2.4,1.6,3.1,6.7,4.6,0.6,31.5,0.6
110010104001010,12.8,0.7,0.2,0.2,0.1,12.4,0.7,0.5,0.1,11.3,0.9,0.6,1.2,2.6,1.7,0.2,12,0.2
110010104001008,15.9,0.9,0.2,0.2,0.2,15.4,0.8,0.6,0.1,14,1.2,0.8,1.5,3.2,2.2,0.3,14.9,0.3
110010098041005,37.1,0.5,0.2,0.7,0.3,36.2,1.1,0.7,0.1,33.5,1,1.1,3.1,7.7,4.5,0.4,33.4,0.3
110010097001003,124.9,1.4,0.6,1.8,1.1,120.5,2.2,3.2,0.4,110.6,3.7,3.5,9.1,16.6,11.7,0.9,107.9,0.8
110010074093001,67,0.9,0.3,0.4,0.9,63.5,1.6,1.5,0.1,57.6,2.6,2.4,4.8,10.4,7,0.9,58.7,0.6
110010074093005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010098021001,162,1.8,0.8,2.3,1.5,156.2,2.9,4.1,0.5,143.4,4.8,4.5,11.9,21.5,15.1,1.2,139.9,1.1
110010095042006,116,3.8,1,1.6,1.4,113,3.1,4.2,1.2,104.5,5.9,3.2,12.5,51.5,15.4,2,107.5,2
110010074092003,38.5,0.5,0.2,0.2,0.5,36.5,0.9,0.9,0.1,33.1,1.5,1.4,2.8,6,4.1,0.5,33.7,0.4
110010096011039,23.1,0.3,0.1,0.2,0.2,22.7,0.3,0.5,0.1,20.4,0.7,0.7,1.6,4.9,2.3,0.2,20.8,0.3
110010106002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010088031027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010088031019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010088031030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010092032003,50.1,1.8,0.8,0.9,1.3,47.3,3.1,2.7,0.5,42.2,4.1,2.6,5.6,18.3,5.1,0.9,46.8,1.2
110010083021000,111.6,5,3.1,1.4,4.2,102.2,10.7,7,1.6,90.8,16.8,7.5,11.7,49.7,9.8,1.6,105.6,3.8
110010084022001,195.3,7.7,5.1,3.4,7.9,181.5,16.3,13.8,3.1,162.5,23.8,13.1,24.6,92.8,15.9,2.9,182.7,7.5
110010084101017,35.8,1.4,0.9,0.6,1.4,33.2,3,2.5,0.6,29.8,4.4,2.4,4.5,17,2.9,0.5,33.5,1.4
110010083021003,94.2,6.3,2.7,1.3,5.7,86.1,11.9,6,2.4,75.8,18.2,6.7,10.5,52.9,6.9,1.4,84.1,5.5
110010084101005,29.3,1.2,0.8,0.5,1.2,27.3,2.4,2.1,0.5,24.4,3.6,2,3.7,13.9,2.4,0.4,27.4,1.1
110010084021004,63.7,2.5,1.7,1.1,2.6,59.2,5.3,4.5,1,53,7.8,4.3,8,30.2,5.2,0.9,59.6,2.4
110010083012005,94.8,6.4,2.7,1.3,5.8,86.7,11.9,6,2.4,76.3,18.3,6.7,10.6,53.2,6.9,1.4,84.6,5.6
110010083021014,87.3,6.8,3.2,1.1,5.5,79.6,12.2,5.9,2.6,67.1,18,6.2,9.8,51.6,5.3,1.6,77.9,5.2
110010083021012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010083021016,72.4,5.6,2.6,0.9,4.5,66.1,10.1,4.9,2.1,55.7,14.9,5.2,8.2,42.8,4.4,1.4,64.6,4.3
110010066001012,3.3,0.4,0.1,0,0.2,3,0.5,0.2,0.1,2.6,0.9,0.3,0.3,2,0.2,0,2.9,0.2
110010066001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010082001005,49.5,3.8,1.8,0.6,3.1,45.2,6.9,3.3,1.4,38.1,10.2,3.5,5.6,29.3,3,0.9,44.2,3
110010066001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110010084022006,180.3,7.1,4.7,3.2,7.2,167.6,15,12.7,2.9,150,22,12.1,22.7,85.6,14.7,2.6,168.7,6.9
110010083021015,77.4,6,2.8,1,4.8,70.6,10.8,5.2,2.3,59.5,16,5.5,8.7,45.7,4.7,1.5,69,4.6
110010091023001,142.1,3.1,1.5,1.8,2.3,136.1,4.3,5.1,1.3,119.4,6.5,5.5,12.9,46.1,16.9,2.4,129.2,2.6
110010091022007,97.6,2.1,1,1.2,1.6,93.5,3,3.5,0.9,82,4.4,3.8,8.9,31.7,11.6,1.6,88.7,1.8
