GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREILAR,G20PREIPIE,G20PREOWRI,G20DELDNOR,G20DELLHYN,G20DELGSTR,G20DELSMUS,G20DELIFRA,G20DELIKRU,G20DELILOW,G20DELICHE,G20DELOWRI,G20COUDWHI,G20COURPIC,G20COULBIS,G20COUGWIL,G20COUIHEN,G20COUIORA,G20COUILAZ,G20COUIGOO,G20COUIBAT,G20COUIPAL,G20COUIGAR,G20COUILEW,G20COUIJAY,G20COUIBAR,G20COUIHOW,G20COUIMER,G20COUIHE2,G20COUIPAD,G20COUIGUR,G20COUISCR,G20COUISIL,G20COUICRI,G20COUIMUR,G20COUIROG,G20COUOWRI,G20USSDSTR,G20USSRWEI,G20USSGORY,G20USSOWRI,G20HALDOWO,G20HALGROB,G20HALISYE,G20HALOWRI
1100102-049,11,001,02-049,802.71,30.53,5.08,7.1,6.11,1.01,5.1,697.04,11.3,20.24,42.59,18.26,7.18,13.2,7.1,0.06,345.23,28.46,11.14,24.5,189.92,129.33,256.69,102.65,58.32,51.92,30.61,40.62,9.19,8.38,14.26,20.38,6.23,20.14,7.13,8.16,3.12,10.11,2.08,2.11,5.08,628.54,31.6,130.06,7.13,620.04,87.55,49.92,8.18
1100102-050,11,001,02-050,2233.04,192.15,17.02,11.01,3,6,25.02,1918.78,93.08,43.05,35.03,53.04,51.05,45.03,22.01,24.02,877.73,216.17,29.03,83.07,735.71,211.15,642.65,681.66,102.09,128.15,64.05,56.03,42.05,36.03,10.01,43.06,30.03,21.02,6.01,16.01,12.01,10.01,10.01,13.01,15.02,1660.55,266.2,210.17,34.03,1545.36,170.15,194.17,43.04
1100102-051,11,001,02-051,3524.19,298.83,26.05,11.11,0.02,4.01,49.12,3062.37,164.35,63.31,45.25,88.48,65.18,55.27,35.15,53.22,1319.01,313.54,68.16,87.42,1192.5,293.47,978.36,1302.53,141.79,147.85,68.39,79.39,43.13,32.2,14.19,65.13,73.27,31.12,23.29,30.14,15.08,23.08,18.06,19.04,27.2,2602.72,426.91,234.48,51.22,2350.64,235.73,300.89,71.23
1100102-052,11,001,02-052,1370,88,8,3,0,0,9,1200,41,34,15,31,33,20,11,12,495,98,21,29,515,155,369,510,41,67,31,26,20,17,4,23,18,7,1,4,7,5,2,6,18,1019,114,86,21,907,78,103,31
1100102-053,11,001,02-053,1111.81,72.16,4.95,8.03,6.06,0.15,11.07,1004.5,21.1,19.01,11.61,35,16.11,16.56,13.04,10.95,580.02,60.45,14.11,27.73,207.32,261.34,211.35,229.57,53.24,60.75,46.85,35.01,10.03,24.29,16.38,8.15,14.32,12.11,9.14,5.4,9.19,12.08,3.07,7.1,8.12,901.43,74.9,100.06,9.13,833.52,121.33,70.99,17.04
1100102-054,11,001,02-054,1920,82,1,8,2,4,4,1686,23,40,51,49,22,37,19,9,938,60,20,55,397,437,406,347,129,98,62,59,13,35,35,34,24,25,29,7,12,19,9,4,8,1502,78,232,17,1441,193,110,20
1100102-055,11,001,02-055,1977,73,6,13,6,6,11,1775,32,32,51,44,13,25,22,13,930,58,25,46,477,525,357,262,83,126,59,81,12,32,44,20,14,15,34,17,11,16,13,13,11,1608,90,212,18,1573,175,97,24
1100102-056,11,001,02-056,2693,103,11,9,14,6,15,2436,32,28,74,55,22,38,22,11,1369,66,21,78,574,650,446,428,163,119,106,96,17,55,49,28,25,26,39,21,17,36,18,11,18,2231,96,259,23,2191,192,142,26
1100102-057,11,001,02-057,2059,83,11,12,3,2,14,1846,31,35,49,57,19,24,23,15,1041,54,13,51,425,538,351,301,127,100,86,83,12,27,32,28,22,17,29,17,12,23,12,11,16,1688,82,220,20,1678,182,103,18
1100102-058,11,001,02-058,1815,73,8,13,3,3,18,1647,21,27,39,32,31,30,12,11,993,55,19,46,269,512,318,258,111,70,62,73,9,28,36,27,23,25,24,15,17,9,15,5,20,1484,73,185,16,1423,199,85,18
1100102-059,11,001,02-059,2114,72,8,14,7,0,10,1949,23,25,36,38,10,23,25,13,1128,37,9,60,456,550,386,267,141,147,71,81,10,31,39,25,27,17,72,16,10,10,5,14,14,1725,59,221,14,1663,202,91,18
1100102-060,11,001,02-060,1822,108,8,11,10,6,10,1618,27,31,48,38,16,52,21,3,966,78,15,34,285,521,198,254,83,77,92,72,14,36,45,19,27,12,40,10,16,24,13,17,9,1497,101,156,12,1443,169,103,8
1100102-061,11,001,02-061,1342.28,72.74,0.97,4.85,4.85,4.85,7.76,1247.23,13.58,9.7,25.22,17.46,11.64,26.19,7.76,3.88,671.14,44.61,10.67,36.85,240.52,426.74,180.39,227.92,65.95,54.31,50.43,49.46,5.82,21.34,20.37,8.73,17.46,9.7,40.73,15.52,10.67,8.73,3.88,6.79,7.76,1129.88,65.95,115.41,8.73,1098.85,102.8,66.92,9.7
1100102-062,11,001,02-062,2854.81,117.17,6.95,14.89,2.98,1.99,16.88,2596.63,49.65,43.69,35.75,68.52,24.82,37.73,20.85,30.78,1556.99,76.46,22.84,59.58,635.5,773.53,474.64,923.47,111.21,120.15,55.61,55.61,17.87,27.8,26.81,17.87,38.73,16.88,41.71,19.86,11.92,11.92,7.94,5.96,28.8,2363.28,128.09,209.52,31.78,2211.36,244.27,126.11,32.77
1100102-063,11,001,02-063,3234,132,12,19,9,4,21,2929,38,67,69,74,24,46,20,12,1616,72,27,125,689,671,812,485,229,222,106,144,19,44,61,41,31,30,43,24,15,23,12,15,14,2560,124,408,19,2523,318,174,23
1100102-064,11,001,02-064,2012,69,8,16,6,4,7,1818,26,34,40,51,9,27,14,8,1084,44,15,64,397,586,289,308,110,78,77,62,7,29,37,11,14,8,43,14,21,11,9,15,21,1664,65,187,18,1559,216,80,19
1100102-065,11,001,02-065,2305,88,10,10,7,4,22,2121,31,33,42,53,10,33,20,6,1205,61,17,50,351,802,263,369,155,79,96,81,6,39,32,21,33,15,50,17,10,17,6,12,14,1942,90,192,13,1870,191,105,16
1100102-066,11,001,02-066,4009,124,19,25,10,3,24,3664,54,46,90,86,32,50,42,16,2026,82,30,82,790,1373,522,638,332,134,147,111,30,53,66,53,86,28,47,34,29,21,13,29,17,3394,146,376,27,3215,331,204,30
1100102-067,11,001,02-067,2405,100,9,12,6,3,14,2223,29,29,33,58,16,38,18,16,1228,72,11,49,473,873,392,440,130,81,70,59,14,19,44,20,40,14,15,12,19,7,7,18,14,2046,99,215,19,1871,218,125,19
1100102-068,11,001,02-068,1688.79,109.75,11.87,27.69,5.93,3.96,18.79,1517.74,42.52,38.56,44.49,36.58,18.79,36.58,22.74,15.82,707.95,85.03,18.79,49.44,461.75,433.08,557.66,272.9,109.75,76.13,70.2,30.65,16.81,33.62,21.75,41.53,28.67,17.8,18.79,7.91,13.84,15.82,5.93,15.82,14.83,1343.72,121.62,230.38,27.69,1229.02,205.66,160.18,26.7
1100102-069,11,001,02-069,1873,67,5,4,2,5,11,1725,19,21,30,34,22,31,14,12,901,45,6,37,439,629,338,282,106,60,106,53,11,16,28,23,41,13,27,11,13,11,11,7,14,1571,69,175,11,1428,162,100,12
1100102-070,11,001,02-070,1282,45,0,7,6,2,14,1181,18,34,24,19,10,21,10,8,630,35,17,34,306,367,274,191,84,66,55,22,13,15,22,24,46,9,11,2,9,12,1,5,3,1052,55,138,24,999,130,66,13
1100102-071,11,001,02-071,2025,65,6,6,5,5,10,1882,29,22,26,36,17,26,14,6,1008,59,17,51,396,776,240,269,88,58,121,40,16,24,30,31,58,8,27,21,16,12,6,15,14,1722,80,172,16,1615,158,112,18
1100102-072,11,001,02-072,3179,117,8,16,7,7,20,2918,36,42,63,71,20,43,23,13,1449,86,22,73,586,1168,377,460,185,109,114,83,12,53,74,66,100,17,47,27,31,14,22,14,27,2689,147,312,18,2530,344,121,22
1100102-073,11,001,02-073,1674.21,87.25,8.13,6.31,4.07,3.04,15.21,1525.26,30.48,24.44,32.51,35.42,20.21,25.42,8.26,15.18,701.05,63.97,12.21,49.56,464.25,405.92,613.34,253.1,82.25,86.87,55.8,26.35,21.19,27.38,19.25,18.47,32.33,15.2,11.21,8.09,8.16,5.18,6.07,7.18,11.17,1322.28,91.38,211.62,18.31,1243.98,185.34,111.82,25.3
1100102-074,11,001,02-074,3954,180,26,28,11,11,28,3528,84,66,102,97,61,73,43,20,1691,165,54,109,903,1048,920,652,238,182,121,101,49,82,94,65,57,23,31,20,47,22,26,23,33,3230,241,454,31,3112,336,255,47
1100102-075,11,001,02-075,3353,132,21,15,7,3,38,2957,79,60,109,81,52,38,25,20,1457,130,69,96,875,708,744,564,247,137,113,98,31,70,70,45,62,51,38,30,26,25,18,22,16,2743,198,400,37,2667,312,218,33
1100102-076,11,001,02-076,1357.35,63.88,9.98,9.98,2.99,2,10.98,1184.68,27.95,33.93,40.92,45.91,12.97,32.94,4.99,3.99,640.75,60.88,20.96,49.9,313.39,260.49,214.58,229.55,115.77,66.87,44.91,42.92,16.97,29.94,38.92,7.98,30.94,14.97,14.97,11.98,11.98,9.98,7.98,7.98,4.99,1139.77,79.84,153.7,13.97,1145.76,116.77,83.84,6.99
1100102-077,11,001,02-077,2390,88,13,17,12,6,21,2127,47,31,58,66,32,44,19,12,1023,77,33,71,609,640,411,329,176,103,61,63,38,38,51,37,98,20,29,23,28,5,12,10,9,1941,122,303,28,1858,220,163,36
1100102-078,11,001,02-078,2135.4,66.21,14.03,10.04,6.02,6.02,9.05,1941.88,34.09,33.08,57.12,32.15,15.04,37.1,11.05,10.02,871.62,51.19,23.06,72.13,425.98,696.57,215.55,272.81,118.34,77.17,72.16,53.13,25.04,57.08,50.22,30.03,210.11,15.04,22.1,19.03,16.05,18.03,24.04,8.04,14.03,1790.58,82.25,222.51,16.05,1691.52,193.49,110.25,15.03
1100102-079,11,001,02-079,1523.23,70.97,4.09,14.2,9.09,8.16,15.2,1404.12,29.26,24.38,47.57,36.53,6.09,27.37,14.27,6.07,687.63,52.51,22.16,29.7,298.64,490.02,120.17,190.09,93.67,30.53,30.82,39.7,11.13,33.44,55.34,11.29,130.95,12.24,27.44,14.29,22.57,9.18,18.26,3.29,10.22,1281.86,76.79,172.95,14.11,1240.32,146.97,80.06,17.11
