GEOID20,STATEFP,COUNTYFP,DISTRICT,G18DELDNOR,G18DELRRIM,G18DELLMAJ,G18DELGSTR,G18DELICHE,G18DELOWRI,G18MAYDBOW,G18MAYLMOU,G18MAYGWIL,G18MAYICAN,G18MAYOWRI,G18ATGDRAC,G18ATGLHEN,G18ATGOWRI,G18CHADMEN,G18CHALBIS,G18CHAOWRI,G18COUDBON,G18COURCHI,G18COUGSCH,G18COUIREE,G18COUISIL,G18COUILEW,G18COUOWRI,G18HALDGAR,G18HALOWRI,G18USSDBRO,G18USSGORY,G18USSOWRI
1100102-131,11,001,02-131,2204.77,344.64,63.49,75.28,67.11,36.28,2035.17,185.02,183.2,245.78,96.14,2322.67,354.61,39,2280.05,352.8,71.65,1719.56,411.75,225.83,477.96,1027.56,129.69,37.18,2284.58,162.34,2070.54,383.64,124.25
1100102-132,11,001,02-132,858.02,7.05,7.03,12.08,16.1,0.02,716.23,17.13,56.26,72.41,24.19,839.96,34.19,3.02,830.89,38.25,6.07,759.42,20.14,79.35,205.12,95.69,26.19,13.03,838.94,11.08,827.83,55.32,2.02
1100102-133,11,001,02-133,634,11,5,19,11,3,519,18,66,47,23,620,34,4,627,36,11,560,24,66,170,117,25,6,626,8,588,71,6
1100102-134,11,001,02-134,876,12,9,16,22,7,707,24,67,87,35,863,35,2,865,44,10,773,16,64,223,101,29,17,864,9,853,57,4
1100102-135,11,001,02-135,1691,53,38,102,44,14,1394,67,236,130,85,1777,115,14,1640,166,74,1293,74,235,383,847,75,20,1668,66,1489,326,29
1100102-136,11,001,02-136,1615.78,87.01,37.05,104.55,27.98,14.46,1375.83,60.65,223.15,113.08,72.26,1715.15,119.66,7.97,1603.86,158.98,57.76,1088.24,110.45,282.66,352.08,1057.52,72.72,20.68,1609.12,47.33,1350.5,374.14,25.75
1100102-137,11,001,02-137,686,40,10,37,9,3,613,23,56,49,30,715,58,3,666,73,29,494,51,96,176,337,33,11,685,21,599,128,9
1100102-138,11,001,02-138,1478.64,117.42,39.17,86.58,44.31,19.14,1352.74,72.25,174.1,81.59,51.37,1600.2,130.62,14.08,1528.5,155.89,48.44,975.4,141.51,211.55,348.22,991.25,52.37,17.16,1444.42,70.36,1288.62,274.85,43.12
1100102-139,11,001,02-139,1400,24,16,23,34,11,1254,36,81,84,40,1411,62,1,1370,81,17,1297,38,139,460,277,73,10,1366,17,1341,118,10
1100102-140,11,001,02-140,730.97,8.91,7.92,14.86,18.82,1.98,618.05,19.81,48.53,65.37,21.79,727.99,32.69,4.95,721.06,44.57,7.92,653.71,16.84,75.28,202.06,134.7,23.77,2.97,727,9.9,701.25,67.35,6.93
1100102-141,11,001,02-141,1552,99,62,81,36,10,1383,79,187,98,70,1641,148,8,1540,178,71,1130,126,224,269,965,66,31,1580,65,1360,320,36
1100102-142,11,001,02-142,1261.31,105.41,38.17,62.23,39.15,6.07,1136.17,60.26,121.33,130.26,33.22,1343.54,133.59,12.01,1279.35,164.65,24.19,1030.07,132.55,178.85,285.88,590.54,72.18,25.1,1311.57,45.18,1152.99,232.91,32.09
1100102-143,11,001,02-143,972,135,26,49,26,15,908,74,97,84,37,1023,151,14,997,162,24,794,178,162,166,448,50,15,1031,69,916,186,43
