GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREIWES,G20PREIPIE,G20PREIBLA,G20PREIFUE,G20USSRRIS,G20USSDJOR,G20USSIFLE,G20USSCWRI
16027271382,16,027,271382,1139,469,32,9,2,2,2,1080,473,58,30
16027279001,16,027,279001,1218.99,324.55,21.49,5.06,3.17,1.04,6.01,1157.4,342.08,46.97,18.58
16027279002,16,027,279002,666.94,122.77,6.77,1.93,0.97,0.96,0,635.05,127.61,19.33,9.66
16027279003,16,027,279003,1354.14,269.44,29.24,5.07,4.03,3.03,2,1309.98,278.62,46.7,22.35
16029293201,16,029,293201,553.74,65.94,5.89,1.97,0.01,2.95,0.98,528.17,69.85,19.7,10.84
16029293202,16,029,293202,444.78,89.75,6.98,0,1,2.99,1,418.85,91.75,20.94,9.97
16029293203,16,029,293203,269.22,49.82,5.75,1.92,3.83,0,0.96,252.93,52.69,12.45,3.83
16029293204,16,029,293204,306.58,44.18,7.11,0.04,0.08,1,1.02,289.2,48.25,9.27,6.1
16029293205,16,029,293205,368.95,22.58,6.71,2.86,1.01,1.89,0.96,206.37,10.36,4.94,6.67
16029293206,16,029,293206,62.73,3.98,0,0,0,0,0,61.74,3.98,0,1
16029293207,16,029,293207,513,101,8,2,4,2,0,488,108,22,9
16029293208,16,029,293208,315.16,49.91,0.11,1.01,1.95,0.06,0.02,301.04,52.91,7.19,5.07
16029293209,16,029,293209,42,1,0,0,0,0,0,37,2,0,1
16031312701,16,031,312701,243.99,125.46,4.62,1.54,2.31,3.85,3.85,231.67,125.46,13.85,8.47
16031312702,16,031,312702,273.67,82.6,4.98,2.99,0,0,0,255.76,73.64,17.91,8.96
16031312703,16,031,312703,487.33,141.4,8.02,6.01,4,11,6,475.24,146.36,31.09,12.04
16031312704,16,031,312704,634,134,20,4,1,6,2,603,138,28,22
16031312705,16,031,312705,465,123,12,6,2,1,0,448,122,36,8
16031312706,16,031,312706,501.74,166.37,9.3,4.05,3.02,3.05,4,474.39,173.27,23.67,17.3
16031312707,16,031,312707,335.7,44.09,1.06,0.19,0.2,0.02,0.03,319.43,45.35,8.19,5.38
16031312708,16,031,312708,99.67,21.05,0,0,1,0,0,99.61,19.05,3,2.07
16031312709,16,031,312709,47.65,3.89,0,0,0,0,0,43.76,3.89,0,4.86
