state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_bla,uss_18_dem_bre,uss_20_rep_hag,uss_20_dem_bra,gov_18_rep_lee,gov_18_dem_dea,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
47,003,0225,1142,1084,17,25,4,7,0,0,5,892,857,10,16,4,3,0,0,2,372.3,73.1,464.8,90.6,289.1,88.7,451.3,74.3,304.3,75.3,73.1,81,81.4,372.3,296,457.2,79.1,376.2
47,005,0232,2939,2768,53,57,16,13,0,0,32,2320,2210,36,33,11,7,0,0,23,899.4,231.1,1014.6,238.6,638.6,269.2,981.1,214.1,678.2,247.9,231.1,257.4,225.7,899.4,657.1,998.5,238.1,845
47,005,0252,2867,2784,3,33,13,4,0,0,30,2356,2300,2,20,10,4,0,0,20,847.2,259.3,1077.3,269.9,696.5,312.3,1048.2,235.6,719.5,300.8,259.3,305.7,252,847.2,707.4,1063.1,273.8,877.2
47,005,0296,2768,2646,38,28,5,23,0,2,26,2165,2081,30,14,5,20,0,1,14,783.5,263.8,970.7,253.3,583.5,301.7,922.9,226.5,621.3,277,263.8,289.3,239.4,783.5,604,948.5,263.6,776.8
47,005,0304,2641,2465,89,38,5,8,0,1,35,2110,1988,66,24,5,7,0,1,19,754.2,237.9,956,247.8,576.9,274.1,929.4,211,596.1,268.1,237.9,270.9,229.1,754.2,587.7,942.3,248,761.9
47,005,0308,2572,2440,56,35,18,1,0,1,21,2037,1949,43,20,12,1,0,1,11,673.4,210.9,784.9,238.6,512.2,272.9,758.6,198.9,544.8,245.1,210.9,257.7,218.3,673.4,527.9,772.3,233.5,654.7
47,005,0312,2702,2460,82,100,11,13,0,7,29,2120,1964,65,61,8,10,0,0,12,760.5,270.2,861.8,277.8,487.2,292.5,825.3,251.9,534.8,261.7,270.2,276.6,265.1,760.5,510.2,843.8,270.8,693.9
47,007,0316,636,619,0,10,2,0,0,0,5,490,480,0,5,2,0,0,0,3,149.7,56.1,215.1,47.2,113,49.6,191.2,40.3,123.5,46.300000000000004,56.1,47.9,43,149.7,117.7,203.20000000000002,48.199999999999996,158.5
47,007,0320,426,401,3,14,0,0,0,0,8,314,301,3,7,0,0,0,0,3,84,41.9,122,40.1,76.9,44.1,112.9,38.8,87.2,37.9,41.9,41,39.5,84,81.9,117.6,40.7,96.6
47,007,0324,1883,1479,366,18,1,3,0,3,13,1604,1245,328,14,1,2,0,2,12,285,55.9,385.9,64.1,248.29999999999998,77.5,362.3,64.9,254,74.9,55.9,76.4,64.5,285,250.89999999999998,373.8,67.3,307.2
47,007,0328,1417,1375,8,14,3,3,0,0,14,1109,1086,4,8,3,0,0,0,8,444.4,53.3,579.7,89.1,386.2,93,556.4,79.5,399.7,76.7,53.3,85,84.4,444.4,392.8,568.2,78.2,472.8
47,007,0332,494,486,0,4,2,0,0,0,2,388,380,0,4,2,0,0,0,2,211.8,34.7,268.6,34.7,180.1,44.5,254.8,33.5,190.3,31.3,34.7,37.4,33.8,211.8,184.4,262.3,35.4,220.6
47,007,0336,1043,992,5,11,21,0,0,0,14,800,768,3,4,15,0,0,0,10,381.2,99.3,478.8,103.8,293.1,132,449.9,94.5,333.3,103.6,99.3,117.5,99.6,381.2,313.8,464,105.7,387.6
47,007,0340,922,886,4,6,7,0,0,0,19,714,689,3,4,5,0,0,0,13,219.3,28.6,293.7,34.2,180,29.2,274.4,33.4,181.4,31.1,28.6,30.1,33.9,219.3,180.5,284.3,31.2,229
47,007,0344,1340,1268,7,27,9,5,0,1,23,1039,997,4,16,6,1,0,1,14,493.2,66.2,654.2,69.3,398.5,88.3,632.5,66.6,416.7,68.9,66.2,78.2,67.7,493.2,407.3,643.3,71.4,518.6
47,007,0348,932,913,1,15,1,1,0,0,1,727,714,0,11,1,1,0,0,0,344.6,40.3,439.8,51.7,297.3,49.1,417.8,45,308.6,38.3,40.3,43.2,48,344.6,302.7,428.5,44.9,361.3
47,007,0352,747,719,6,17,1,1,0,0,3,586,568,5,10,1,1,0,0,1,164.4,78.2,196.9,75.4,111.2,89.1,176.1,69.5,129.2,68.8,78.2,78.8,72.5,164.4,120,186.1,76.3,155.8
47,007,0354,1044,924,61,43,1,0,2,0,13,794,691,54,39,1,0,2,0,7,222.1,106.1,266.8,102.2,150.9,120.7,239,94.4,175.4,93.9,106.1,107,98.3,222.1,162.5,252.1,103.5,211
47,007,0356,279,270,2,0,2,0,0,0,5,222,217,0,0,2,0,0,0,3,92.1,31.099999999999998,119.9,34.7,67.9,35.5,115,31.7,71.4,32.4,31.099999999999998,34.1,33.3,92.1,69.6,117.8,32.5,93.5
47,007,0358,1115,1037,4,59,0,3,0,1,11,854,806,2,39,0,2,0,0,5,353.8,119.3,461.6,132.6,262.3,137.2,441.7,122,275.1,124.4,119.3,130.8,127,353.8,268.1,451.40000000000003,126.5,359.6
47,007,0359,127,123,0,0,1,0,0,0,3,99,97,0,0,1,0,0,0,1,41,13.799999999999999,53.4,15.4,30.5,15.9,51.2,14.1,31.9,14.5,13.799999999999999,15.3,14.799999999999999,41,31.200000000000003,52.300000000000004,14.7,41.6
47,007,0360,471,444,2,17,1,1,1,0,5,368,349,2,11,1,1,1,0,3,134.4,72.2,188.6,78.3,111.5,89.8,185.1,69,124.5,79.1,72.2,84.4,73.1,134.4,117.7,186.9,78.1,148.9
47,009,0376,4279,3841,177,153,8,18,0,11,71,3382,3109,121,100,6,15,0,2,29,1487.3,593.6,1849.6,972.4,1240.8,851.1,1893.5,871.8,1415.6,690.7,593.6,770.2,923.4,1487.3,1329.1,1871.5,796.1,1578.3
47,009,0378,241,200,9,25,2,0,0,0,5,173,153,6,10,2,0,0,0,2,49,20.5,66.7,31.700000000000003,37.300000000000004,26.900000000000002,66.3,28.7,42,21.8,20.5,24.3,30.2,49,39.7,66.4,25.9,52.2
47,009,0380,2642,1399,929,190,1,17,1,8,97,2013,1137,709,122,1,13,1,2,28,345.8,507.3,394.3,642.1,221.8,505.7,391.4,584.7,246.2,475.5,507.3,490.59999999999997,613.8,345.8,233.3,393,543.2,319.6
47,009,0384,2149,2069,13,20,7,15,0,4,21,1659,1606,9,15,6,12,0,0,11,698.9,112.5,906.8,192,541.5,166.6,888.4,165.9,567.8,142.3,112.5,153.6,179,698.9,554.2,897.9,156.5,721.2
47,009,0388,7315,7027,72,100,6,21,0,9,80,5629,5443,42,66,6,19,0,5,48,2489.5,530,3105.6,827.1999999999999,1934.2,746,3082.4,742.4,2104.4,591.1,530,668,784.3,2489.5,2019.4,3093.8,686.7,2543.3
47,009,0392,3883,3533,92,165,14,23,0,5,51,2992,2772,61,106,8,20,0,1,24,1056.8,288.4,1396,463.9,893.3,372.3,1387.9,423.3,964.8,308.2,288.4,340.4,444,1056.8,929,1392.5,370.8,1139.8
47,009,0394,81,75,2,0,0,0,0,0,4,68,64,2,0,0,0,0,0,2,24.1,6.7,31.7,10.6,20.3,8.4,31.6,9.7,21.9,6.9,6.7,7.5,10.2,24.1,21,31.6,8.4,25.8
47,009,0395,69,59,0,1,0,8,0,0,1,53,46,0,1,0,6,0,0,0,18.8,5.1,24.7,8.200000000000001,15.8,6.6,24.6,7.5,17.1,5.4,5.1,5.9,7.8,18.8,16.4,24.7,6.5,20.2
47,009,0396,4026,3408,289,218,22,19,2,2,66,3211,2781,230,128,14,15,2,0,41,820.9,423.2,1131.3,556.1,599.1,515.3,1140,512.1,668.3,453.6,423.2,484.7,534.6,820.9,634,1135.5,492.2,872.2
47,009,0398,758,518,28,199,2,3,0,4,4,604,445,22,124,2,3,0,4,4,154.4,79.4,213.1,104.4,112.7,97.10000000000001,214.4,96.6,125.5,85.3,79.4,91.2,100.60000000000001,154.4,118.9,213.5,92.7,164
47,009,0400,3233,3110,11,61,20,7,2,0,22,2540,2473,4,28,16,5,2,0,12,983.9,289.8,1240.4,361,791.6,353,1211,325.1,874.9,300.4,289.8,326.6,343,983.9,833,1225.7,325.5,1020.3
47,009,0404,1578,1459,4,85,7,5,0,1,17,1237,1166,2,52,6,2,0,0,9,444.5,139.20000000000002,562.7,204.1,335.09999999999997,187.3,563.9,177.4,369.6,158.3,139.20000000000002,173,190.6,444.5,352.7,563.2,173.3,455
47,009,0406,1772,1666,19,53,4,10,0,0,20,1410,1347,14,31,3,5,0,0,10,506.2,160,640.6,235,381.6,215.4,642.5,203.9,421.4,182,160,198.8,219.4,506.2,401.7,641.7,199,518.4
47,009,0408,4201,3718,132,265,10,11,0,1,64,3259,2976,88,159,8,9,0,1,18,1166,367.2,1476.5,538.5,878.1,492.6,1480.8,467.8,968.4,417.3,367.2,455.4,503,1166,923.8,1478.4,456.8,1193.9
47,009,0410,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1.1,0.3,1.4,0.5,0.8,0.5,1.4,0.4,0.9,0.4,0.3,0.4,0.4,1.1,0.9,1.4,0.4,1.1
47,009,0412,3685,3285,137,183,3,21,1,3,52,2772,2531,90,101,3,15,1,1,30,643.2,307.2,834.7,507.3,475.7,388,831,468.8,510.1,361.2,307.2,374.3,488.2,643.2,493.2,832.7,406.4,658.9
47,009,0416,200,193,0,1,0,3,0,0,3,128,123,0,1,0,3,0,0,1,61.5,17,70.3,24.6,47.7,23.3,70.7,20.6,52.4,19.3,17,21.3,22.6,61.5,50.2,70.5,21,60.5
47,009,0417,2816,2699,21,30,6,21,3,1,35,2223,2145,20,19,6,13,1,0,19,1065.9,293.6,1219.3,427,829.7,403.9,1228.3,360.1,910.2,335.3,293.6,369.7,393,1065.9,869.9,1224.1,363.9,1050.8
47,009,0424,1544,1494,2,17,6,7,0,1,17,1255,1219,0,12,6,6,0,0,12,543.5,112.2,691.5,161.4,436.8,149.8,694.3,136.8,466.9,125.5,112.2,137.6,148.5,543.5,451.2,692.9,136.8,566.8
47,009,0425,894,854,9,16,1,3,1,0,10,721,697,3,11,1,2,1,0,6,312.4,64.6,397.9,93.1,250.5,86.1,399.3,78.7,267.7,72.1,64.6,79,85.1,312.4,258.6,398.6,78.7,326
47,009,0428,225,218,0,4,1,0,0,0,2,193,188,0,2,1,0,0,0,2,58.9,13.6,119.2,27.1,52.6,20.8,115.6,25.2,55.1,20.8,13.6,20.8,26.3,58.9,54.3,117.60000000000001,21.099999999999998,80.4
47,009,0432,3710,3578,9,58,19,16,0,0,30,2878,2798,8,35,14,11,0,0,12,1386.8,291.8,1769.5,402.3,1149.6,391.1,1712.1,368.3,1217.3,336.8,291.8,363.3,385.6,1386.8,1183.5,1741.4,358.3,1446.9
47,009,0436,2828,2732,17,28,9,9,0,1,32,2279,2215,11,19,8,8,0,0,18,1183.9,260.8,1352.1000000000001,385.8,951.1,375,1355.1,344.9,1029,305.2,260.8,339.8,365.4,1183.9,990.3,1353.7,334.6,1174
47,009,0440,4294,3868,137,100,21,100,5,3,60,3176,2928,88,58,16,60,2,0,24,1332.9,521.1,1605.9,791.5,1086.7,718.7,1646.3,692.7,1214.2,610.5,521.1,664.6,741.6,1332.9,1150.7,1625.7,667.4,1377.2
47,009,0444,4747,4591,10,87,11,7,1,5,35,3654,3549,7,58,9,4,1,2,24,1446.2,290.1,1916,426,1160.2,414.9,1899.6,383.7,1235.1,350.3,290.1,383,404.9,1446.2,1195.7,1907.5,374.1,1531.7
47,009,0446,2280,2160,44,35,2,8,1,2,28,1856,1767,37,26,2,7,1,2,14,818.9,280.4,1108.1,404.90000000000003,716.5,367.2,1115.7,359.1,779.5,311.3,280.4,339.2,381.1,818.9,747.1,1112.2,345.40000000000003,908.4
47,009,0447,230,209,11,6,1,3,0,0,0,182,168,7,5,1,1,0,0,0,77.7,27.3,104.7,38.6,67.5,35.199999999999996,105.3,34.6,73.3,30,27.3,32.8,36.4,77.7,70.3,105,33.300000000000004,85.7
47,009,0448,2996,2668,130,107,14,27,0,1,49,2567,2298,124,80,7,25,0,1,32,572.7,351.6,639.3,474.6,440.2,394.8,658.9,428,496.6,341.9,351.6,368.8,451.4,572.7,468,648.8,398,561.8
47,009,0452,3869,3595,54,105,10,51,2,3,49,2746,2580,37,67,6,32,1,2,21,1341.7,616.6,1722.3,935.8,1101.5,847.6,1799.2,802.3,1291.2,671.6,616.6,760.1,868.5,1341.7,1196.6,1760.2,774.5,1451
47,009,0456,3911,3666,74,56,6,34,0,0,75,3047,2906,55,31,5,24,0,0,26,1230,636.7,1397,909.6,1032.5,814.1,1474,775,1212.2,649.2,636.7,731.3,843.3000000000001,1230,1123.3,1435.4,756.7,1269.1
47,009,0460,2948,2452,229,168,7,16,1,13,62,2157,1838,147,115,7,14,1,5,30,630.3,271.3,838.7,455.6,460.5,358.8,824,419.5,511.9,306.7,271.3,332.6,436.9,630.3,486,831.7,362.40000000000003,652.4
47,009,0461,1206,1100,32,45,4,7,0,0,18,917,840,27,30,2,7,0,0,11,267.9,115.3,356.3,193.6,195.6,152.8,350.2,178.2,217.5,130.3,115.3,141.5,185.6,267.9,206.7,353.5,153.7,276.9
47,009,0464,1670,1529,55,36,16,3,0,2,29,1338,1237,46,23,11,3,0,0,18,473.1,183.6,606.6,239.70000000000002,388.6,218,603.9,223.5,414.5,193.7,183.6,205.7,231.3,473.1,400.7,605.1,212.1,497.1
47,009,0466,199,187,3,4,0,0,0,0,5,149,141,2,4,0,0,0,0,2,46.2,19.4,56.9,23.6,36.2,21.8,56.1,22.9,37.8,19.900000000000002,19.4,21,23.2,46.2,37,56.6,21.6,46.4
47,009,0468,1047,953,37,25,2,15,0,3,12,816,755,27,15,2,10,0,1,6,332.3,80.3,287.8,140.9,295.5,114.39999999999999,290.3,130,321.8,80.3,80.3,96.9,135.20000000000002,332.3,308.9,289,109.1,305.4
47,009,0472,7960,7618,62,109,22,58,0,6,85,6145,5922,42,68,19,43,0,2,49,2594.7,659.8,3176.1,1053.6,2073,896.8,3151.9,934.4,2259.6,746.2,659.8,821.9,993.5,2594.7,2166.6,3164.7,858.3,2650.3
47,009,0476,2362,2264,19,27,14,8,0,1,29,1887,1818,16,19,11,6,0,0,17,881.4,290.5,1125.8,410.9,727.8,372.6,1135,364.7,792.9,316.4,290.5,344.7,387.6,881.4,760,1130.4,351.1,933
47,009,0480,4557,4364,19,77,20,12,0,1,64,3481,3368,8,48,17,11,0,1,28,1460.9,319.5,1937.6,431.1,1147.5,426.7,1890.2,392.3,1274.1,336.7,319.5,381.6,411.4,1460.9,1210.5,1914.3,381.6,1542.1
47,009,0488,3300,3120,36,90,8,13,0,2,31,2531,2417,32,49,7,5,0,0,21,1160.8,256.3,1417.6000000000001,377.6,924.2,377.6,1421.4,319.9,1008.6999999999999,308.4,256.3,342.5,348.7,1160.8,967.6,1419.7,328.6,1186.6
47,009,0492,2579,2258,172,90,9,9,0,3,38,2057,1820,140,59,8,7,0,0,23,573.5,244,783.4,371.1,434.8,317.3,778.8,337.1,488.9,257.4,244,286.9,353.8,573.5,461,781.2,305.5,612.4
47,009,0494,376,347,6,15,0,1,0,0,7,305,286,4,10,0,1,0,0,4,85.3,36.1,116.6,54.9,64.6,47.3,115.7,50.1,72.9,38,36.1,42.6,52.6,85.3,68.3,115.9,45.4,91.4
47,009,0496,757,727,3,8,1,3,0,0,15,596,576,2,6,1,2,0,0,9,167.3,70.3,228.20000000000002,107.8,126.9,91.8,226.5,97.6,142.7,74.2,70.3,82.9,103,167.3,134.6,227.4,88.6,178.5
47,009,0498,184,158,14,12,0,0,0,0,0,146,128,12,6,0,0,0,0,0,40.7,17.2,55.8,26.099999999999998,31,22.6,55.300000000000004,24.1,34.7,18.2,17.2,20.2,24.9,40.7,32.6,55.6,22,43.7
