state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_isa,uss_16_dem_bar,uss_20_rep_per,uss_20_dem_oss,gov_18_rep_kem,gov_18_dem_abr,atg_18_rep_car,atg_18_dem_bai,sos_18_rep_raf,sos_18_dem_bar,sos_r18_rep_raf,sos_r18_dem_bar,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20,ndv,nrv
13,067,MC02,1177,577,353,157,3,59,0,7,21,883,480,250,93,3,40,0,3,14,165.7,405.9,204.6,531.1999999999999,183.7,359.59999999999997,204.1,513.6999999999999,156.5,436.40000000000003,163.1,425.1,152.4,421.40000000000003,74.9,162.6,382.7,427.6,522.4,174.7,157.3,204.39999999999998,407.1,163
13,067,MD01,2590,2208,113,121,4,114,3,2,25,1919,1675,85,65,3,78,3,1,9,906.2,583.5,966.6999999999999,897.2,1054.4,430,1024.6,821.4,825.9,601.9,841.5,588,819.5,569.8,446.3,277.8,506.6,587,859.3,980.6,829,995.4,596.4,860.6
13,067,ME01,3457,1919,1163,258,4,57,0,5,51,2597,1570,795,157,4,43,0,2,26,1002.8,1105,1008.6,1567.8,1004.8,974.4,995.6,1535.4,855.7,1222.5,853.1,1213.5,833,1198.4,412.1,480,1039.6,1211.5,1551.8,1003.7,847.4,1001.8,1162.3,870.5
13,067,MK01,2133,1815,126,80,1,70,0,5,36,1635,1415,93,55,1,48,0,4,19,753,441.9,810.1,608.8,816.1999999999999,356,832.1,568,719,470.8,716,476.8,701.1,462.1,335,200.9,398.7,470.1,588.5,784.6,712.2,821.1,448.3,710.4
13,067,ML01,1813,1487,188,69,2,29,0,0,38,1316,1100,125,49,2,19,0,0,21,748,326,762.4,474.3,782,261.09999999999997,779.6,440.3,655.5,335.4,666.5,330.2,646,320.7,273.7,132.1,293.5,328.7,457.4,765.1,656,771,327.40000000000003,664.2
13,067,MR1A,6330,2055,2451,1232,22,208,3,182,177,5096,1850,1964,812,16,191,3,150,110,368.4,1126.2,487,1466.4,412.8,1013.1,482.3,1409.8,316.3,1182.8,340.2,1159.1,321.5,1128.5,116.1,291,1069.2,1156.6,1437.6,390.2,325.9,484.1,1097.5,355.4
13,067,MR2A,3407,2180,896,181,7,34,2,9,98,2598,1808,589,115,4,29,1,5,47,1062.7,815.6,1181.8999999999999,1094.1,1213.4,643,1222.6,1022.8,1006.6,853.5,1032,841.3000000000001,993,811,477.59999999999997,353.5,729.3000000000001,835.2,1058.6,1138.1,1010.4,1202.5,804,1023.9
13,067,MR2B,3663,740,1997,716,8,106,5,32,59,2541,679,1303,429,7,76,5,14,28,602.9,847,528.8,1156,693.1,715.1,538,1111.2,562.6,875,589.1,849.1,555.9,840.1,274.8,303.1,780.9,854.6,1133.9,648,569.1,533.2,837.1999999999999,543.2
13,067,MR2C,3147,1798,924,257,3,75,4,4,82,2343,1422,649,160,3,56,4,1,48,575.5,803.3,615.8,1032.4,658.7,685.3,636.1,985.6,546.5,821.1,571.1,797.8,538.8,790,273,284,744.2,802.9,1009.1,616.8,552.1,626,774.8,552.1
13,067,MR3A,6782,2990,1649,1932,3,86,4,12,106,5289,2586,1224,1325,3,79,2,8,62,1086.4,1609.3999999999999,1259.6000000000001,2177.1,1260.8,1337.1,1286.7,2070.6,986.9,1703.1,1039.6,1650.7,984.1,1623.6,456.4,579.5,1473.2,1658.8,2123.5,1172.8,1003.6,1273.4,1592.9,1045.3
13,067,MR4B,4687,2904,892,341,14,417,0,19,100,3617,2323,686,226,8,302,0,11,61,1101.3,942.1,1195,1317.6000000000001,1195.5,779.7,1247,1244.6000000000001,1049.4,963.9,1090.4,937.2,1042.5,921.7,464.9,360.2,860.6999999999999,941,1281.2,1148.3,1060.7,1221,933.6,1048.1
13,067,MR4C,1976,1565,266,66,7,38,1,12,21,1591,1312,174,47,6,31,1,7,13,753.2,431.59999999999997,818.6,612,828.4,335.9,863.9,558.1,736.2,453.2,754.1,441.8,725.2,434.8,349.8,202.3,383.7,443.2,584.7,790.9,738.4,841.2,433.7,728.8
13,067,MR4E,3217,2904,174,65,10,28,0,5,31,2705,2453,148,50,10,22,0,4,18,1161.7,650.1,1261.9,927.4,1310.5,471.1,1358.2,825,1175.6000000000001,677,1205.9,648.7,1142.5,650.9,549.2,329.7,560.1,658.8000000000001,876.5,1235.7,1174.5,1309.9,647.2,1145.9
13,067,MR5A,2659,761,1226,614,1,21,1,2,33,1968,677,875,375,1,20,1,1,18,224.7,719.5,333.9,864.2,273.7,608.8,336.7,827.1,223.8,659.6,238.5,638.8,221.3,634.8,91.7,194.9,664.4,644,845.3000000000001,248.6,227.9,335,643.8,242.7
13,067,MR5B,4330,1064,1532,1536,15,81,6,11,85,3221,930,1171,982,10,72,6,6,44,379.1,947.7,482.40000000000003,1227.2,439.5,820.2,481.2,1191.3,336.6,918.6,360.8,896.1,335.6,879.7,123.1,260.1,884.1,898.5,1209.3,408.7,344.3,481.8,893,367.1
13,067,MR6A,3521,271,1610,1505,4,45,5,8,73,2512,254,1165,1002,4,35,5,5,42,117,512.2,157.1,634.1999999999999,120.89999999999999,464.8,149.3,613.4,99.2,511.9,102.4,506.7,98.3,488.8,35.7,117.3,488.3,502.4,624,119,99.9,153,481.2,110
13,067,MR6B,3048,2001,489,185,0,284,14,14,61,2384,1640,346,131,0,215,8,8,36,779,806,819.4,1095.6,904.5,646.9,857.4,1028.6000000000001,698.9,889.4,736.4,855,712.2,841.5,347.4,367.9,726.4,862,1062.3,841.8,715.7,838.2,816.3,731.8
13,067,MR6C,2370,1107,373,720,4,104,0,22,40,1810,950,279,462,4,83,0,13,19,249,489,281.2,641.1,285.7,431.5,285.1,611.1,213,515.3,226.7,502.8,217.2,492.9,92.8,151.5,460.09999999999997,503.5,626,267,218.9,283.3,479.3,231.1
13,067,MR7A,7442,1902,2884,2283,11,125,1,71,165,5639,1694,2106,1553,9,113,1,58,105,472.8,1434.8,719.4,1815.7,551.3,1240,728.3000000000001,1738.3,456,1432.3,488.3,1393.9,458.8,1366.5,183.5,393,1337.7,1397.9,1776.8999999999999,511.7,467.7,723.7,1351.8,507.3
13,067,MS01,4095,3421,279,242,5,76,0,6,66,2980,2545,177,164,4,56,0,5,29,1684.2,508.3,1830.6,685.8,1650.4,447.4,1822.9,644.6,1560,540.2,1560.3,549.9,1530.9,535.8,628.6,198.7,477.6,541.4,665.3000000000001,1667.5,1550.5,1826.9,513.7,1533.5
13,067,MS02,3843,2494,554,556,7,140,5,11,76,2777,1921,359,347,5,105,3,6,31,1065.7,676.9,1173.8,1001,1096.6,573.6,1172.1,953.4,940.8000000000001,706.4,959.1,706.1,916.5,696.4,376.8,252.4,625.1,703.1999999999999,977.2,1081.4,938.6,1172.9,696,962.7
13,067,MT01,5029,4334,155,154,2,296,0,12,76,3625,3166,96,96,2,212,0,8,45,1657.3,1167.4,1745.6,1612.5,2051.2,748.2,1919.4,1431,1566,1119.6,1642.2,1064,1562.8,1064,786,502.1,957.6,1082.6,1522.2,1853.9,1590.3,1832.4,1088.4,1616.1
13,067,MT02,1458,1137,76,75,0,147,0,4,19,1046,848,49,42,0,97,0,3,7,500.59999999999997,358.7,527,500.6,587.4,258.1,561.8,454.6,471,360.4,481,354,461.2,351.1,224.8,160.29999999999998,308.40000000000003,355.1,477.70000000000005,543.9,471.1,544.3000000000001,349.7,477
13,067,MT03,3588,2872,150,100,4,385,0,9,68,2724,2251,107,67,4,257,0,4,34,1181.9,958.8,1299.1000000000001,1343.9,1456,641.1,1392.8999999999999,1222.8,1166,952.6999999999999,1232,896,1169.8,914.1,547,390.7,799.9,921,1283.5,1319.2,1189.1,1345.7,915.1999999999999,1180.9
13,067,MT04,3554,3041,134,90,5,219,0,7,58,2629,2281,99,56,5,151,0,4,33,1238,809,1305,1093.9,1499.9,558,1394,997,1211,863.2,1268.3,804,1197.8,834.9,607.3000000000001,428.2,683.4,834,1045.2,1368.9,1225.5,1349.5,798.4,1215
13,067,NC01,3094,1898,601,299,16,174,0,20,86,2230,1435,406,190,9,126,0,15,49,568.5,431.3,601.1,684.4,597.4,376.1,585.5,667.6999999999999,493.3,465.9,496.8,461.8,479.9,450,223.9,170.5,404.1,459.3,676.1,582.6999999999999,490.4,593.1,462.90000000000003,505.3
13,067,NJ01,4243,1952,1774,261,8,151,1,12,84,3502,1738,1365,201,8,124,1,11,54,742.5,1714.2,790.8,2276.7,976.6,1429.8,841.3,2164.1,639.9,1846.9,710.2,1770.7,648.2,1761.5,194.9,558,1571.8999999999999,1793.1,2220.4,859.8,666,816.1,1690.5,693.1
13,067,NP01,2267,1339,461,347,4,60,0,1,55,1755,1167,301,216,1,44,0,1,25,351,466.7,369.8,638.7,370.1,411.3,375.1,613.7,312,504.1,318,497.3,306.2,483.1,149.6,163.6,438.7,494.8,626.5,360.8,312.3,372.6,472.1,318.8
13,067,NP02,5983,2142,1424,2108,14,135,5,29,126,4271,1850,981,1251,9,104,2,16,58,871.9,1179.8,907,1622.2,919,1040.1000000000001,915.3,1564,773,1271.9,786.8,1254.6,758.7,1219.1,368,424.6,1109.9,1248.7,1593.2,895.6,773.2,911.6,1197.2,787.5
13,067,NS01,3222,2448,335,287,8,76,0,13,55,2445,1954,218,172,5,56,0,8,32,977.5,570.8,968.9,843,996,501.3,970.8,801.3,837.9,639.2,850.9,630.1,831.1,605.3,394.1,246.7,536,624.9,822.4,986.9,839.6999999999999,969.7,605,853.5
