state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,pre_20_dem_bid,pre_20_rep_tru,uss_18_dem_kai,uss_18_rep_ste,uss_20_dem_war,uss_20_rep_gad,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
51,003,605,951,895,13,26,0,6,0,4,7,716,676,13,14,0,5,0,2,6,303.3,223,603.5,332.9,298.4,194.1,602.8,312.4,303.3,298.4,603.2,223,194.1,322.2
51,005,101,1718,1705,2,3,2,0,1,0,5,1362,1355,2,0,2,0,1,0,2,150.8,556.4,153.4,717.6,145,346.4,230,633,150.8,145,190.9,556.4,346.4,675.3000000000001
51,005,103,628,616,3,3,0,0,0,0,6,506,498,1,2,0,0,0,0,5,56.3,211.4,61.2,283.9,54,133.4,104.3,240.4,56.3,54,83,211.4,133.4,261.6
51,005,201,1049,968,61,15,0,2,0,0,3,834,789,36,7,0,1,0,0,1,92.5,252,83.3,308.9,79.4,190.4,112.9,278.9,92.5,79.4,97.5,252,190.4,294
51,005,202,1300,1166,81,23,0,6,0,6,18,1011,923,59,16,0,4,0,2,7,160.6,452.9,159.8,502.40000000000003,145.3,329.1,216,440.5,160.6,145.3,187.9,452.9,329.1,471.40000000000003
51,005,301,849,833,1,3,1,0,0,0,11,651,640,1,2,1,0,0,0,7,82.2,349.2,63.300000000000004,461.79999999999995,59.2,233.2,108,414.1,82.2,59.2,85.6,349.2,233.2,438.3
51,005,302,1640,1578,17,22,3,6,0,0,14,1313,1266,16,15,3,4,0,0,9,233.9,590.8,257.1,709,206.1,452,326.6,628,233.9,206.1,291,590.8,452,668.7
51,005,401,1298,1213,48,11,2,8,1,0,15,1024,961,34,9,2,6,0,0,12,195.7,409.90000000000003,163.2,456.6,174.5,284.7,202.5,407.8,195.7,174.5,182.4,409.90000000000003,284.7,431.8
51,005,402,1087,1034,33,13,1,0,0,0,6,837,803,22,6,1,0,0,0,5,119.5,379.5,109.1,348.2,117.9,260.4,151.8,296.7,119.5,117.9,130.5,379.5,260.4,322.5
51,005,501,589,545,31,4,0,0,0,0,9,456,430,24,2,0,0,0,0,0,115.39999999999999,166,139.6,218.1,103.7,130.9,162.2,191.7,115.39999999999999,103.7,150.2,166,130.9,204.3
51,005,502,1623,1577,17,5,6,1,2,0,15,1290,1260,14,5,3,1,2,0,5,206.7,591.5,280,774.6,174.5,449,345.6,679.6,206.7,174.5,312,591.5,449,726.7
51,005,601,2291,2013,164,41,3,10,5,0,55,1825,1636,126,28,3,8,4,0,20,419.4,541.3,425.2,656.1,386.2,383.7,474.9,584.7,419.4,386.2,450.4,541.3,383.7,620.2
51,005,701,2178,1792,293,33,7,4,2,0,47,1691,1403,244,18,5,2,2,0,17,333.3,373.6,348.2,423,304.6,237.5,385.9,365.1,333.3,304.6,366.8,373.6,237.5,393.1
