state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_blu,uss_16_dem_kan,uss_18_rep_haw,uss_18_dem_mcc,gov_16_rep_gre,gov_16_dem_kos,gov_20_rep_par,gov_20_dem_gal,atg_16_rep_haw,atg_16_dem_hen,atg_20_rep_sch,atg_20_dem_fin,sos_16_rep_ash,sos_16_dem_smi,sos_20_rep_ash,sos_20_dem_fal,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
29,003,10,530,515,0,11,0,0,0,0,4,429,418,0,7,0,0,0,0,4,258.3,62,280.6,85.7,228.8,84.7,190.1,76.1,226.4,102.5,274.2,86.5,254.4,76.1,275,71.1,257.4,62,296.1,57.7,77.5,76.1,74.2,245.6,190.1,281.2
29,003,11,1184,1143,2,16,7,1,0,0,15,905,885,0,10,4,0,0,0,6,435.2,98.3,546.4,125.7,334.6,181,325.5,139.3,354.3,190.9,542.3,126.8,381.7,155.9,542.3,99.5,389.4,122.10000000000001,562.1,88.7,149.6,139.3,108.6,378.1,325.5,546.6
29,003,12,703,687,0,5,1,1,0,0,9,573,561,0,4,1,1,0,0,6,313.7,74,353.9,101,263.5,122.3,255.4,88.4,277.6,125.7,358.9,90.7,285.4,109,357.4,80.3,296.8,88.4,370.3,68.8,103.9,88.4,85.5,286.8,255.4,359.3
29,003,13,1803,1744,11,21,3,11,0,0,13,1340,1309,4,12,3,7,0,0,5,599.2,197.7,654.1,239.6,499.4,311.8,419.1,241.3,527.3,303.4,640.4,246.5,547.7,272.1,629.3,211.7,563.9,232.3,687.1,172.6,264.6,241.3,217.7,547.7,419.1,652.8
29,003,14,1708,1643,5,31,4,3,0,0,22,1257,1227,2,16,4,2,0,0,6,548.6,201.8,556.6,197,443.2,317,398.6,222.6,469.90000000000003,308.9,551.6,197,501.9,277.2,556.3,161.3,535,226.2,580.5,132.7,266,222.6,171.8,500.4,398.6,560.6
29,003,15,289,262,2,7,0,17,0,0,1,212,201,0,3,0,7,0,0,1,120.3,33.9,154.5,39.6,106.7,46.1,110.4,32.9,98.3,61.5,156.8,41.9,123.39999999999999,38.7,152.7,33.9,114.60000000000001,41,159.8,32.5,43.7,32.9,36.4,112.7,110.4,156.5
29,003,16,620,609,0,5,1,0,0,0,5,448,440,0,3,1,0,0,0,4,243.1,54.4,303.9,54.4,218.4,81.1,209.9,62.3,195.4,114,297.6,59.8,233.70000000000002,72,294.8,44.2,228.1,65,309.6,38.4,76.9,62.3,48.5,224,209.9,301.8
29,003,17,593,584,0,2,4,2,0,0,1,430,424,0,1,3,1,0,0,1,223.20000000000002,49.2,255.7,60.5,187.4,89.3,148.3,58.2,181.4,95.10000000000001,257.2,60.5,205.2,73.3,255.1,52.3,217.89999999999998,51.8,260.5,46.5,71.9,58.2,54.4,203.2,148.3,257.7
29,003,18,141,141,0,0,0,0,0,0,0,112,112,0,0,0,0,0,0,0,63.3,18.1,82,21.3,56.2,24.5,58.2,17.8,52,32.8,82.7,22.3,65.1,20.3,80.6,18.1,60.300000000000004,22.2,84.89999999999999,17.6,22.9,17.8,19.8,59.6,58.2,82.60000000000001
29,003,19,368,357,0,3,0,3,0,0,5,287,283,0,2,0,1,0,0,1,148.70000000000002,32.5,171,40.6,125.2,59.300000000000004,99,39,120.7,63.1,171.8,40.6,137.5,48.7,170.5,34.5,145.2,34,173.4,30.8,48,39,35.8,135.3,99,171.9
29,003,2,37,31,0,1,5,0,0,0,0,30,26,0,1,3,0,0,0,0,16.6,5.8,16.9,6.7,14.1,8,12,6.5,14.9,7.7,16.8,6.7,15.3,7.3,16.9,5.7,15.7,6.3,17.8,4.9,7,6.5,6,15.3,12,17.1
29,003,20,427,419,0,5,0,1,0,0,2,329,323,0,4,0,1,0,0,1,170.6,37.5,196,46,143.5,68.6,113.5,44.7,138.5,72.7,197.2,46,157.5,55.9,195.6,39.8,166.29999999999998,39.4,198.8,35.7,55,44.7,41.6,154.9,113.5,197.3
29,003,21,259,248,1,1,2,1,0,0,6,183,175,0,1,1,0,0,0,6,99.5,21.2,125.2,21.2,89.5,33.9,85.1,26,80.10000000000001,46.6,121.2,25,94.4,28.9,120.1,18.3,92.7,26.599999999999998,126.89999999999999,16.3,30.7,26,19.5,91.5,85.1,124.5
29,003,3,1796,1669,30,66,5,3,0,0,23,1390,1306,21,44,4,3,0,0,12,768.4,266.9,784.4,311.3,652.3000000000001,372,554.6,302.7,691.6,356.5,776.3,311.3,707.8,336.4,781.9,263.5,726.4,290,826,226.9,324.6,302.7,278,709.3,554.6,792.3000000000001
29,003,4,366,355,1,4,0,2,0,0,4,281,276,1,1,0,1,0,0,2,159,40.9,191.4,44,152.2,69,127.7,55.7,138.3,82.3,194.5,36.2,170.8,50.1,193.3,36.2,171.5,37.8,197.5,33,56.2,55.7,37.2,158.8,127.7,194.5
29,003,5,427,423,1,1,0,0,0,0,2,321,317,1,1,0,0,0,0,2,225.6,50.4,244.1,68.4,200,76,180,55.7,198.4,78.7,245,67.3,215.7,60.4,247.1,51.9,220.7,53.3,256.2,54,63.8,55.7,60.9,212.1,180,247.7
29,003,6,1478,1392,7,41,3,11,0,0,24,1147,1102,4,24,3,4,0,0,10,634,220.8,647.6,256.6,538,306.90000000000003,457.9,249.70000000000002,571,294.2,640.6,256.6,583.7,277.9,645.4,217.79999999999998,599.1,238.9,682,187.1,267.7,249.70000000000002,229.5,584.8,457.9,653.8
29,003,7,1335,1291,3,21,4,3,0,1,12,1024,994,3,14,4,3,0,1,5,566.3,197.1,577.9,228.9,480.3,274,408.7,222.8,509.9,262.6,572.2,228.9,521.1,247.5,576.1,194.1,534.7,213.2,608.5,166.8,239.2,222.8,204.8,522.3,408.7,583.5
29,003,8,1934,1886,1,29,6,3,0,0,9,1472,1446,0,14,5,3,0,0,4,642.5,236.7,652.1,230.2,518.9,371,466.8,260.9,550.4,361.2,645.5,230.2,587.4,324.8,651.7,188.8,626.2,265.3,680.1,154.9,311.5,260.9,201.3,585.3,466.8,657.1
29,003,9,1293,1242,6,20,1,13,0,3,8,957,928,4,13,1,6,0,2,3,428,141.1,467.2,171,356.2,222.4,299,172.3,376.3,216.7,457.3,175.8,391.1,194,449.3,151.2,402.6,165.8,490.6,123.4,188.1,172.3,154.9,391,299,466.4
29,005,2,1093,1075,4,4,0,3,0,0,7,873,862,2,3,0,3,0,0,3,404.7,122.2,447.7,127,359.9,165.7,350,125.3,331.2,204,461.8,106.3,381,157.6,448.9,102.5,385.8,135.6,483.9,72.1,158,125.3,102,373.6,350,458.4
29,005,3,103,102,0,0,0,0,0,0,1,80,79,0,0,0,0,0,0,1,37,11,39.1,11.4,35,12.9,28.6,11,32,15.9,37,11,35.1,12.6,36.9,8.1,37,8.9,40,7.6000000000000005,12.5,11,8.5,35.1,28.6,37.4
29,005,4,2056,2008,0,29,4,0,0,0,15,1610,1587,0,12,2,0,0,0,9,755.2,214.7,771.7,229.1,691.9,256.3,574.6,205,641.1,314,757.5,214.9,707.7,250.7,748.5,172.1,750.3,193.7,805.2,144.6,247.1,205,188.2,709,574.6,768.5
29,005,5,1817,1770,13,16,5,6,0,0,7,1436,1409,10,8,4,3,0,0,2,639.5,143.3,715.8,143.8,574.7,210.4,492.1,149.3,574.7,223.7,691,150.4,588.9,205.7,679.1999999999999,127.10000000000001,624.6,151.7,714,111,186.4,149.3,133.1,599.5,492.1,701.4
29,005,6,238,235,0,0,0,0,0,0,3,199,197,0,0,0,0,0,0,2,59.800000000000004,18.6,68.5,11.8,50.6,18.6,52.9,17.4,42.4,25.7,61.4,15.7,47.1,23.6,53.5,15.7,50.6,16.2,59.800000000000004,11.2,20,17.4,13.7,50.6,52.9,60.9
29,005,7,378,366,0,6,0,0,3,0,3,305,301,0,1,0,0,1,0,2,162.20000000000002,33.1,157.3,40.2,149.9,41.4,120.3,33.1,125.3,61,158,30.5,152.5,35,151.2,30.5,151.2,30.5,157.3,19.6,41.4,33.1,30.5,149.8,120.3,156.7
29,007,502,1544,1488,21,16,8,2,0,0,9,801,775,9,6,7,0,0,0,4,292.8,66.1,349.7,76.3,255.3,96.9,235.4,78.6,255.9,107.5,352.7,66.1,282.7,81.2,349.7,53.3,277.1,73.6,357.5,58,83.3,78.6,65.2,273.3,235.4,352.8
29,007,506,1270,1250,6,4,7,1,0,0,2,955,940,5,2,6,1,0,0,1,528.3,114.5,621.6,126.9,445.1,193.3,425.4,132.2,437.6,215.3,609.4,133.5,504.40000000000003,154.1,607.3,111.3,486.7,137.9,627.4,107.4,161.7,132.2,118.2,479.59999999999997,425.4,615.9
29,007,508,1952,1877,9,38,3,2,0,0,23,1543,1508,8,15,1,2,0,0,9,774.8,210.8,817.2,176.5,666.4,320.9,669.5,231.5,627.9,369.7,834.5,169.5,732.7,293.5,821,151.3,764.6999999999999,228.8,838.4,136.5,285,231.5,158.8,711.8,669.5,827.7
29,007,510,690,680,2,2,4,1,0,0,1,524,516,2,1,4,0,0,0,1,250.29999999999998,59.6,314.4,73.5,179.9,119.6,194.8,73.1,194.8,119.9,311.7,75.3,209.6,114.4,304.8,67.5,228.1,81.3,324.9,52.4,99.8,73.1,67.5,211.2,194.8,314.4
29,007,512,453,421,9,2,2,0,0,0,19,361,339,8,2,2,0,0,0,10,160.8,64.7,181.1,50.5,95.3,113.5,116,64.7,128,102.3,175.3,52.6,146.7,82.5,175.3,42.3,144.5,72.3,174.5,43.6,86.9,64.7,46.7,134.6,116,175.9
29,007,513,4673,3888,614,72,10,14,1,5,69,3896,3226,571,50,10,11,1,1,26,920.9,372.59999999999997,1109.1,420.9,745.8,500.6,743.6,352.9,790.4,497.90000000000003,1069,433.7,827.7,468,1084,379.5,847.3000000000001,393.2,1126.1,350,449.7,352.9,393.4,826.7,743.6,1096.9
29,007,545,1067,1053,2,3,0,6,0,0,3,857,847,2,2,0,4,0,0,2,489.6,133.6,571.5,130.4,427,200.4,423.8,147.6,401.6,237.8,569.9,125.3,493.5,160.4,572.7,103.3,489.5,125.8,591.2,96.1,170.9,147.6,113.3,462.1,423.8,575.2
29,007,616,1417,1113,83,118,10,47,0,3,43,915,795,53,33,4,15,0,0,15,223.4,120.6,240.5,144.4,177.2,161.6,178.7,129.6,189.2,160.7,233.7,138.7,210.1,150.6,242.9,121,218.5,124.8,251.1,114.5,143.9,129.6,129.6,203.70000000000002,178.7,242.20000000000002
29,007,623,2014,1800,79,79,6,9,1,5,35,1534,1413,56,44,6,4,1,0,10,600.9,267,613.5,265.9,497.7,379.9,460.2,288.8,506.2,389,618.8,256.8,595.9,325,620.2,229.20000000000002,616.8,260.8,650.7,214.8,324.4,288.8,241.4,563.4,460.2,625.8
29,007,632,2011,1748,118,93,10,2,1,1,38,1482,1310,95,59,4,1,1,0,12,354.4,195.1,379.3,234,279.8,260.5,282,208.5,299.7,257.4,368.4,225.6,331.8,243.2,383.8,197.1,346.1,202.1,395.7,186.8,231.7,208.5,211.2,322.1,282,382.8
29,007,633,2178,1508,478,102,8,7,0,1,74,1564,1148,324,53,7,7,0,1,24,374.5,205.9,401.1,247,295.7,275.7,298.2,221,315.7,271.6,388.3,237.9,349.4,256.7,404.90000000000003,208.3,365.6,213.2,417.6,196.7,244.8,221,222,340.4,298.2,404
29,007,641,1744,1551,87,46,8,6,0,1,45,1304,1198,54,30,5,6,0,0,11,424,202.8,453.9,215.8,322.2,287,332.3,214,366.1,264.8,436.2,226.1,387.2,254.1,452.2,186.9,420.9,194.5,481.1,170.1,240.70000000000002,214,199.9,384.2,332.3,455.6
29,007,642,2100,1914,114,36,1,14,0,0,21,1595,1484,75,20,1,10,0,0,5,664.9,354.7,691,349.3,569.9,447.4,564.1,349.3,598.9,432,695.5,333.4,681.2,370.5,728.3,284.4,688.8,319,760.7,250.2,384.4,349.3,304.4,640.2,564.1,718.5
29,007,657,774,756,7,4,0,1,1,0,5,603,594,3,2,0,0,1,0,3,328.1,79.3,343.8,79.5,283.5,108.1,259,84.8,248.9,153.5,354.8,66.1,306.9,100.2,335.4,63.4,305.8,87.8,354.5,60.9,107.6,84.8,66.5,295.8,259,346.1
29,007,658,664,649,3,8,0,0,0,0,4,506,501,1,3,0,0,0,0,1,254.6,50.6,267.3,31.2,210.6,91.1,199.1,53.9,204.8,102.10000000000001,253,40.5,244.79999999999998,69.9,270.2,19.3,246.9,53.9,270.8,22,72.8,53.9,26.7,233,199.1,266.7
29,007,667,978,917,5,42,4,3,0,0,7,720,680,4,25,4,3,0,0,4,333,75.1,377.90000000000003,82,272.8,126.6,271.9,96.9,257.7,155.5,370.8,79.4,303.7,117,374.2,71.4,310.4,98.8,390.2,54.4,114.7,96.9,72.6,294.7,271.9,377.4
29,009,10,805,741,1,31,16,6,0,1,9,642,605,1,16,8,4,0,1,7,322,62.1,376.59999999999997,66.7,286,99.89999999999999,276.5,73,274.6,109.5,376.59999999999997,63.2,300.3,91,382.2,46.7,307.7,73,381.5,58.6,88,73,59,298.09999999999997,276.5,378.9
29,009,11,974,867,1,69,7,23,0,0,7,735,672,1,38,6,15,0,0,3,442.6,58.4,467.9,83.2,387.6,108,343,78.8,381.4,121.6,460.9,85.1,418.5,90.3,462.7,73.8,424.7,72.5,467.7,69.1,90,78.8,77.4,410.9,343,464.8
29,009,12,255,242,2,1,2,5,0,0,3,189,181,0,1,2,2,0,0,3,75.2,16.5,86.4,21.5,64.1,25,58.6,18.2,59.9,31.8,87,18.8,71.8,22.7,84.4,17.7,72.6,18.9,86.8,15.700000000000001,22.7,18.2,18.8,68.5,58.6,86.5
29,009,13,214,200,0,8,3,0,0,0,3,173,163,0,4,3,0,0,0,3,80.3,15.5,85.6,16.6,72.3,20.4,63.5,13.9,69.9,23.3,84.3,15.3,75.7,20,84.60000000000001,14.200000000000001,76.7,17.3,85.3,14.200000000000001,19.5,13.9,14.9,75.3,63.5,84.9
29,009,14,680,657,1,8,2,1,0,0,11,550,530,1,7,2,1,0,0,9,252,42.7,215.3,32.1,217.9,72.8,209.4,53.9,211.5,85,212,33.8,232.9,62.9,215.1,23.8,239.6,50.3,215.2,25.7,62.9,53.9,28.9,230.7,209.4,214.6
29,009,15,6457,4913,30,1298,48,74,2,7,85,4660,3702,21,796,36,59,2,5,39,1593.8,596.4,1734.6,710.6,1465,695.8,1210,532.5,1463.6,729.5,1756.9,672.1,1598.9,663.8,1810.2,575.4,1651.5,543.8,1804.5,572.8,646.4,532.5,633,1554.3,1210,1775.5
29,009,16,995,956,0,15,4,2,0,0,18,761,734,0,6,4,2,0,0,15,381.7,60.2,480.3,70.5,316.9,125.6,298.1,76.5,326.8,121,479.4,67.5,353.5,101.3,474.1,60.2,359.1,81.8,470.6,67.5,98.1,76.5,66.9,347.8,298.1,475.2
29,009,17,519,500,1,9,7,1,0,0,1,372,363,0,5,3,0,0,0,1,225.5,29,238.8,42.1,197.5,54.6,175,39.9,194.3,61.5,234.8,42.9,213.3,45.6,235.8,37.2,216.2,36.8,238.5,34.9,45.5,39.9,39.2,208.9,175,236.8
29,009,18,2660,2022,0,522,15,65,0,0,36,1881,1528,0,285,11,35,0,0,22,872.6,168.1,926.1,179.6,791.5,225.4,693.2,144.2,759.8,252.3,912,163.6,824.6,221.6,918.3,147.7,835.4,187.7,923.6,147.4,212.6,144.2,159.8,818.2,693.2,920.6
29,009,19,1333,1269,1,23,10,3,0,0,27,1142,1101,1,13,9,3,0,0,15,451.5,154.6,573.7,205.9,403.6,195.3,362.3,168.7,403,197.9,578.6999999999999,191.1,447,175.4,571.5,179.2,435.6,163.9,582.6,182.9,177.7,168.7,188.6,428.5,362.3,576.1999999999999
29,009,2,843,800,0,10,3,5,0,0,25,629,599,0,6,3,4,0,0,17,271.4,58.8,310.40000000000003,54.4,232,92.2,205.8,58.8,228.3,98.6,306.5,53.7,243.1,90.4,305.9,45.2,250.6,71.4,310.40000000000003,44.6,82.8,58.8,49.6,245.5,205.8,308.7
29,009,20,1956,1817,5,55,26,11,0,0,42,1424,1336,2,25,21,8,0,0,32,455.7,111.4,603.2,137.7,387.9,145.8,351.5,125.8,370.4,184.8,581.9,140.9,421.4,156.8,576.9,123.8,421.4,130.1,586.2,117.6,145.2,125.8,129.7,411.9,351.5,586.3
29,009,21,2453,2380,2,29,19,3,0,0,20,2183,2139,1,21,10,2,0,0,10,917.9,294.4,1014.1,314.7,826,369,787,312.6,826,393.7,1025.1,306,901.3,332.5,1060.2,250.6,912.7,290.5,1067.8,252.4,335.7,312.6,278.4,874.4,787,1036.9
29,009,22,1268,1180,15,24,5,21,1,0,22,970,908,11,14,5,18,1,0,13,418.5,90.3,478.3,83.9,357.8,142,317.2,90.3,352.3,152.5,472.8,83,374.9,140,471.5,69.6,386.8,110.2,478.3,68.9,128,90.3,76.8,378,317.2,475.6
29,009,23,1954,1692,1,98,14,107,0,0,42,1398,1251,1,51,12,57,0,0,26,598.4,132.5,658.4,100.9,544.8,167.3,451.1,100.8,531.6,191.8,633.5,102.9,570.9,171.2,634.8,95.9,578.5,133.3,643.6,88.5,159,100.8,96.3,564,451.1,642.6
29,009,3,1255,982,5,205,9,32,0,0,22,845,705,3,99,9,14,0,0,15,335.1,72.3,386.5,97.4,286.5,111.5,263.2,80.3,268.9,142.4,389.1,84.4,319.9,102.6,377.40000000000003,79.5,323.1,84.5,388.6,69.5,102.6,80.3,83.8,306.5,263.2,386.9
29,009,4,655,610,0,14,5,23,0,0,3,469,443,0,6,4,13,0,0,3,243.3,50.2,266.2,50.2,221,73.2,195.8,53.7,226.5,73.8,266.2,50.7,243.3,58.4,267.5,39.4,246.6,50.6,272.1,39.4,60.5,53.7,44.3,235.5,195.8,267.3
29,009,5,2892,2663,9,142,33,10,0,0,35,2225,2091,5,72,25,8,0,0,24,913.3,200.9,831.3,174.2,795.6,321.5,682,226.2,822.7,307.6,829.2,168.8,879.2,263,825.6,140.8,904.6,217.2,842.6,133.9,261.6,226.2,154.4,863.4,682,831.5
29,009,6,3105,2955,8,52,33,18,2,0,37,2340,2237,4,30,25,15,2,0,27,1055.2,186.8,908.9,145.6,911.8,313.7,862.9,229.70000000000002,894.3,355.3,896.7,149.5,980.9,268.2,906.4,108.6,1007.4,216.3,910.1,113.8,267.5,229.70000000000002,129.4,969.4,862.9,906.4
29,009,7,938,892,0,24,3,7,0,0,12,717,686,0,15,3,3,0,0,10,359.5,56.2,452.2,66.5,299.5,118.3,281,72.2,307.8,113.5,451.8,63.7,333.4,95.3,447.4,56.2,338.59999999999997,77,444,63.7,92,72.2,63.1,327.6,281,448.3
29,009,8,2084,1918,4,90,10,39,0,0,23,1510,1411,3,49,10,19,0,0,18,735.8,118.4,771.5,133.7,631.9,184.4,560.1,109.3,604.6,216.2,763.6,123.1,669,180.2,748.9,103.1,671,149.6,762.8,96,170.4,109.3,113.5,662.9,560.1,762.1
29,009,9,1302,1249,1,18,15,3,1,0,15,1142,1104,0,12,11,3,0,0,12,422.1,146.2,559.4,163.6,364.1,191.6,367.2,160.9,364.5,196,560,160,394.7,177.5,561.8,136.1,416.7,137.6,562.5,145.9,171.1,160.9,152.6,393.5,367.2,560.8
29,011,10,250,242,0,0,6,0,0,0,2,174,169,0,0,3,0,0,0,2,98.8,14.700000000000001,111.7,17.400000000000002,87.89999999999999,22.8,75.9,15.5,90.5,22.5,108.1,17.3,96.4,17.400000000000002,104.39999999999999,14.1,98.1,12.3,107.6,12,17.400000000000002,15.5,15,94.8,75.9,107.7
29,011,11,561,523,0,17,6,0,0,0,15,397,375,0,8,5,0,0,0,9,264.3,26.4,304.2,37.1,255.9,39.7,238.9,34.7,246.1,47.6,300.9,33.3,265.5,32.9,299.3,31.9,263.3,27.8,300.9,27.6,36.6,34.7,32.8,259.7,238.9,300.9
29,011,12,2865,2702,9,52,19,13,0,2,68,2106,2016,3,24,12,10,0,1,40,1062,181.4,998,201.7,943.7,287.5,856.6,168.6,998.6,248,990.3,201,1044.5,214.7,982.6,160.1,1037,184.3,1016.3000000000001,133.4,222.3,168.6,174.4,1017.7,856.6,997.1999999999999
29,011,13,1628,1504,22,33,5,2,1,0,61,1222,1157,7,19,5,2,1,0,31,588.1,121.7,545.5,121.5,530.8,172,437.6,113.4,538.1,170.6,546.3,116.9,584.3,135.5,545.6,102.2,567.2,133.3,565.8,86.7,146.3,113.4,106.7,561.6,437.6,549.7
29,011,14,231,212,0,4,7,0,0,0,8,161,153,0,2,3,0,0,0,3,85.4,10.5,91.9,11.4,79,16.1,77.2,9.7,77.2,17.3,91.39999999999999,10.8,83.4,13.2,91,10.7,82,11.4,93.3,9.1,13.5,9.7,10.7,81,77.2,91.39999999999999
29,011,15,1097,1042,1,22,13,3,1,0,15,835,794,1,16,11,2,1,0,10,415.5,75.1,449.1,91.9,344.5,135.4,337.5,79,364.4,121.5,446.3,83.5,391.5,106.8,434.3,83.2,400,83.5,452.6,64.2,105.5,79,81.6,384.3,337.5,446.90000000000003
29,011,16,1527,1457,2,30,12,7,0,0,19,1179,1137,1,15,8,7,0,0,11,710.8,92.4,741.2,79.3,655.4,145.7,591.5,82.6,651.1,158.9,739.4,74.8,696.6,113.9,746.2,61.8,689.8,102.6,751.1,56,121.4,82.6,67.5,681.3,591.5,744.7
29,011,17,223,214,0,0,3,0,0,0,6,173,165,0,0,3,0,0,0,5,97.8,15.200000000000001,111.1,17.3,87,23.3,75.7,15.5,89.5,22.6,106.8,17.1,96.10000000000001,17.3,103.8,14.5,97.3,12,106.5,11.3,17.5,15.5,15,94.3,75.7,106.7
29,011,2,272,258,0,6,5,0,0,0,3,217,208,0,3,3,0,0,0,3,115.10000000000001,13.6,123.6,15.1,106.7,21.7,104,12.9,104,23,123.1,14.3,112.60000000000001,17.6,122.1,13.8,110.3,15.1,125.89999999999999,12.1,18.2,12.9,13.8,109.1,104,123.1
29,011,3,390,369,1,14,3,0,0,0,3,285,275,1,5,2,0,0,0,2,189.9,18.9,218.4,26.8,183.7,28.5,171.3,24.8,176.6,34.1,216.1,23.900000000000002,190.70000000000002,23.1,214.9,22.9,189.5,20.1,216.1,19.7,26.2,24.8,23,186.4,171.3,216.1
29,011,4,337,321,3,7,1,1,0,1,3,251,239,2,6,1,0,0,0,3,133,15.8,143.2,17.7,123.1,25.4,120,15.200000000000001,120.1,26.9,142.5,16.6,130.1,20.3,141.3,16,127.9,17.7,145.7,13.9,21.2,15.200000000000001,16,126.39999999999999,120,142.8
29,011,5,265,257,0,5,0,0,0,0,3,196,191,0,3,0,0,0,0,2,130.5,13.1,150,18,126.2,19.6,117.5,16.7,121.9,24.1,148.6,16.3,131.3,16,147.5,15.4,130,14,148.6,13.9,17.9,16.7,15.9,128,117.5,148.6
29,011,6,1078,1019,4,17,15,1,0,1,21,761,731,0,6,12,1,0,0,11,430.7,64.2,490.1,75.4,384.7,101,332.3,65.9,396.6,96.4,473.2,74.2,420.7,75.8,456.59999999999997,61.9,428.7,55.800000000000004,470.2,51.4,77.4,65.9,65.5,412.9,332.3,472.1
29,011,7,529,510,0,7,7,0,0,0,5,410,397,0,5,5,0,0,0,3,246.4,32.6,258.4,27.1,227.8,49.8,205.1,28.4,227.20000000000002,55.2,257.9,25.9,242.8,40.5,259.9,22.2,240.7,36.1,261.1,18.8,41.6,28.4,22.900000000000002,237.79999999999998,205.1,259.3
29,011,8,642,585,0,7,24,1,0,0,25,478,440,0,4,16,1,0,0,17,208.6,79.3,238.8,65.1,175.1,104.10000000000001,157.2,81,187.6,91.2,224.9,69.1,212.1,78.3,223.6,63.9,198,85.1,233.2,56.1,89.3,81,63.800000000000004,196.6,157.2,228.5
29,011,9,507,489,0,10,3,1,0,0,4,343,331,0,4,3,1,0,0,4,181.5,21.6,195.9,24.400000000000002,167.9,34.7,163.6,20.5,163.9,37.1,195,22.9,178,27.6,193.1,22.2,175.1,24.400000000000002,198.5,18.7,29.1,20.5,22.2,172.5,163.6,195.29999999999998
