state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_16_rep_lee,uss_16_dem_sno,uss_18_rep_rom,uss_18_dem_wil,gov_16_rep_her,gov_16_dem_wei,gov_20_rep_cox,gov_20_dem_pet,atg_16_rep_rey,atg_16_dem_har,atg_20_rep_rey,atg_20_dem_sko,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
49,003,ELW01M,1067,978,1,49,1,17,2,0,19,675,626,0,28,0,13,2,0,6,318.8,23.900000000000002,517.5,57.8,375.1,33.2,338.2,38.7,404.7,30.4,496.8,41.9,377.9,33.8,509.2,62.1,30.2,38.7,54.1,369.3,338.2,508
49,003,ELW01U,264,252,0,10,1,0,0,0,1,178,168,0,8,1,0,0,0,1,85.3,5.7,138.5,14.7,99.8,8.4,90.6,10.4,108.1,7.5,132.4,10.700000000000001,101.3,8.4,136,16,7.5,10.4,13.9,98.8,90.6,135.7
49,003,ELW02F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,ELW03F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,ELW04F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,ELW05F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,ELW06F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,ELW07F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,ELW08F,16,16,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,4.8,0.30000000000000004,7.7,0.8,5.6,0.4,5,0.6000000000000001,6,0.4,7.4,0.6000000000000001,5.7,0.4,7.6,0.8999999999999999,0.4,0.6000000000000001,0.7,5.5,5,7.6
49,003,FIE01,453,409,0,34,5,1,0,1,3,310,295,0,12,1,1,0,1,0,153.2,16,260.2,31.5,187,16.8,153.2,16.4,185.4,19.6,236.9,24.2,172.1,19.4,254.29999999999998,30,17.6,16.4,28.5,174.4,153.2,250.5
49,003,FIE02,584,544,3,28,0,7,0,0,2,368,343,0,19,0,5,0,0,1,138.8,17.7,251.1,34.5,165,17.7,138.8,20.9,168.9,14,220.8,20.9,158.3,11.8,234.1,35,15.1,20.9,30.5,158,138.8,235
49,003,GAR01M,1244,1048,1,130,10,33,0,0,22,784,671,1,73,6,24,0,0,9,254.8,24.900000000000002,469.4,57,290.3,26,285.3,30.8,277.5,28.9,419.5,52.7,264.6,32.8,444.2,66.5,28.1,30.8,58.800000000000004,271.8,285.3,444.2
49,003,GAR01U,292,275,0,15,0,0,0,0,2,189,183,0,6,0,0,0,0,0,61.2,5.9,112.8,13.9,69.7,6.2,68.7,7.4,66.6,6.9,100.9,12.700000000000001,63.6,7.9,106.89999999999999,16,6.8,7.4,14.3,65.2,68.7,106.89999999999999
49,003,GAR02M,1151,1032,2,105,1,2,1,0,8,709,637,2,62,1,2,0,0,5,229,28.2,406.2,53.9,300.1,31.6,283.9,36.7,292.8,32.699999999999996,354.5,43.4,263.3,27.599999999999998,378.7,61.7,29.9,36.7,53.6,271.3,283.9,379.8
49,003,GAR02U,135,134,0,0,0,0,0,0,1,92,91,0,0,0,0,0,0,1,29.6,3.7,52.699999999999996,6.9,38.9,4.2,36.8,4.9,38,4.3,46,5.6,34.1,3.6,49,8,3.9,4.9,6.9,35.2,36.8,49.2
49,003,GAR03U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,GAR04U,12,11,0,0,0,0,0,0,1,7,6,0,0,0,0,0,0,1,2.2,0.30000000000000004,4.2,0.5,2.5,0.30000000000000004,2.5,0.30000000000000004,2.5,0.30000000000000004,3.8000000000000003,0.4,2.4,0.30000000000000004,3.9,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.5,2.4,2.5,3.9
49,003,GAR05U,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.6,0.1,1.2,0.1,0.7,0.1,0.7,0.1,0.7,0.1,1.1,0.1,0.7,0.1,1.1,0.2,0.1,0.1,0.1,0.7,0.7,1.1
49,003,GCR01,86,83,0,2,0,1,0,0,0,66,63,0,2,0,1,0,0,0,25.3,0,32.3,0,33,0,25.3,2.2,30.3,0,29.1,0,26.8,2.2,30.799999999999997,0.7000000000000001,0.2,2.2,0.2,28.8,25.3,30.799999999999997
49,003,GEA01,543,531,0,9,1,0,0,0,2,398,392,0,4,1,0,0,0,1,162,16.3,317.2,38,228.1,10.9,209.1,10.9,233.1,17.2,303.1,20.3,222.9,15.1,300.9,32.9,15,10.9,30.5,211.4,209.1,307.09999999999997
49,003,HON01F,1313,1190,7,63,0,24,10,0,19,843,774,0,33,0,23,2,0,11,401.2,47.7,727.9,99.1,490.2,57.6,468.5,61.9,472.3,69.4,668.9,87.9,447.5,65.8,686.5,113,59.8,61.9,100,452.6,468.5,694
49,003,HON01M,128,124,0,1,0,0,2,0,1,79,77,0,1,0,0,0,0,1,37.8,4.4,68.4,9.3,46,5.3,44.1,5.8,44.300000000000004,6.5,62.9,8.3,41.9,6.4,64.6,10.7,5.7,5.8,9.4,42.5,44.1,65.3
49,003,HOW01M,245,234,0,11,0,0,0,0,0,163,156,0,7,0,0,0,0,0,84.7,4.8,128.8,8.6,98,3.6,69.7,5.7,89.4,11.4,104.9,9.5,83.9,13.3,115.3,9.5,8.1,5.7,9.5,89.1,69.7,116.3
49,003,HOW01U,9,9,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,4.2,0.2,6.4,0.5,4.8,0.2,3.4,0.2,4.300000000000001,0.6,5.1,0.5,4.1,0.6,5.6,0.5,0.4,0.2,0.5,4.300000000000001,3.4,5.7
49,003,LAK01A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,003,MAN01M,687,636,1,17,4,14,0,1,14,498,478,0,7,3,5,0,1,4,253.29999999999998,39.5,517.8,100.5,347.6,42.3,329.7,50.6,343.6,49.1,508.5,82,327.6,49.8,511,98.1,45,50.6,93.5,318.3,329.7,512.7
49,003,MAN01U,14,14,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,5.5,0.9,11.5,2.2,7.699999999999999,0.9,7.2,1.1,7.6,1.1,11.2,1.8,7.2,1.1,11.299999999999999,2.2,0.9,1.1,2.1,7,7.2,11.299999999999999
49,003,PER01,1036,959,0,42,11,11,1,0,12,690,641,0,30,7,7,0,0,5,351,55,627.9,107.1,465,46,486,50.1,473.1,56.2,630,75.9,453,45,629,91,50.7,50.1,91.2,435.4,486,629
49,003,PER02,848,804,2,33,4,0,0,0,5,567,545,2,17,2,0,0,0,1,266.9,27,375.7,81,346.8,31.8,315.9,33.1,340.2,37.9,377.2,62.2,312.3,35.9,381.8,70.1,33.4,33.1,71,316.7,315.9,378.2
49,003,PER03,1319,1222,0,56,0,11,4,5,21,818,765,0,35,0,8,4,1,5,372.2,74.1,590.9,135.1,517.1,67.1,457,70,531,67.1,609,104.89999999999999,500.6,67.1,605.1,126,68.9,70,122.2,480.1,457,601.9
49,003,PER04,1309,1180,3,75,12,8,7,1,23,809,747,1,42,4,6,2,0,7,354.1,73,644.1,129,515,62.9,478.9,78.1,501,80.9,653.1,96.89999999999999,478,74,635.2,111.9,72.7,78.1,112.5,462.09999999999997,478.9,644.1
49,003,PLY01M,401,387,0,11,1,0,0,0,2,263,253,0,7,1,0,0,0,2,108.89999999999999,9.9,183,17.2,127.6,10.9,99.7,15.5,119.8,17.7,166.5,15.5,110.3,19.5,175.2,19.5,14.6,15.5,17.3,116.6,99.7,175
49,003,PLY01U,114,111,0,2,0,0,0,0,1,75,72,0,2,0,0,0,0,1,31,2.8,52.199999999999996,4.8,36.5,3.1,28.6,4.5,34.1,4.9,47.7,4.5,31.3,5.3,49.8,5.3,4.1,4.5,4.8,33.3,28.6,49.8
49,003,POR01M,245,236,1,7,0,0,0,0,1,170,166,0,4,0,0,0,0,0,63.4,11.2,113.2,13.9,80.4,13.9,72.6,12.200000000000001,71.39999999999999,13.9,96.7,12.200000000000001,67.8,15.7,97.4,19.6,13.8,12.200000000000001,15.200000000000001,70.6,72.6,102.2
49,003,POR01U,80,78,0,1,1,0,0,0,0,39,37,0,1,1,0,0,0,0,14.299999999999999,2.4,25.8,3.3000000000000003,18.2,3.3000000000000003,16.9,2.6,16.2,3.3000000000000003,21.9,2.6,15.6,3.9,22.1,4.3,3.3000000000000003,2.6,3.7,16,16.9,23.4
