state,county,vtd,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,pre_20_rep_tru,pre_20_dem_bid,uss_18_rep_ros,uss_18_dem_tes,uss_20_rep_dai,uss_20_dem_bul,gov_16_rep_gia,gov_16_dem_bul,gov_20_rep_gia,gov_20_dem_coo,atg_16_rep_fox,atg_16_dem_jen,atg_20_rep_knu,atg_20_dem_gra,sos_16_rep_sta,sos_16_dem_lin,sos_20_rep_jac,sos_20_dem_ben,adv_16,adv_18,adv_20,arv_16,arv_18,arv_20
30,021,NA,8966,8477,25,178,141,26,3,3,113,7097,6778,20,102,105,24,3,2,63,3318.7,787.8,3758.9,959.2,2699.9,1234.2,3636.6,1188.8,3147.7,1077,3523.2,1124,3446,820.7,3715.3,1047.9,2912.2,1298.6,3717.7,1010.8,996.3,1234.2,1063.5,3205.9,2699.9,3670.4
30,023,1,716,681,4,12,6,0,0,0,13,595,574,1,6,6,0,0,0,8,203.9,219.3,241.5,262.4,154,303.7,227.6,288.9,159,305.5,218.3,283.1,250.5,208.4,241.3,272.2,203.5,255.2,247.5,261.6,246.4,303.7,273.3,204,154,236.20000000000002
30,023,10,76,76,0,0,0,0,0,0,0,61,61,0,0,0,0,0,0,0,21.099999999999998,9.5,27.8,13.3,18.4,14.6,26.5,16.2,15.600000000000001,18.9,27.1,15,24.3,11.9,28.2,13.3,24.2,11.9,29.9,12.3,12.9,14.6,13.6,21.2,18.4,27.8
30,023,1A,430,373,2,35,13,0,1,1,5,341,296,2,24,12,0,1,1,5,98.2,97.39999999999999,113.2,127.4,63.699999999999996,146.1,101.6,143.7,68.7,147.8,102,136.3,119.8,94.6,105,137.6,88.4,123.4,111.7,128.7,115.5,146.1,134.79999999999998,93.9,63.699999999999996,106.8
30,023,2,600,583,2,9,2,2,0,0,2,489,480,2,5,1,1,0,0,0,148.8,220.4,170,263,91.6,293.6,145.5,300.5,103.7,294.4,148.2,279.9,184,195.9,163.4,273.1,136.6,251,163.1,269.9,240.2,293.6,277.40000000000003,143,91.6,158.2
30,023,2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,023,3,1077,1030,0,14,13,2,0,0,18,882,855,0,9,9,2,0,0,7,207.8,335.2,263.3,416.6,124.7,464.9,229.79999999999998,470.5,131.9,473.8,217.6,441.5,272.5,327.2,239.29999999999998,446.1,187.5,410.8,252.4,429.9,386.3,464.9,441.5,198.8,124.7,241.1
30,023,3A,43,40,0,1,1,0,0,0,1,35,33,0,1,1,0,0,0,0,11.6,12.4,14.7,14.7,10.5,16.1,12.7,17.7,8.5,17.3,12.4,16.9,13.3,11.3,15,15.600000000000001,11,14.1,14.7,15.8,13.8,16.1,16.2,11.1,10.5,13.9
30,023,4,902,818,12,28,16,2,0,0,26,719,664,6,19,11,2,0,0,17,145.2,223.7,178.8,258.6,85.8,279.8,150.3,297,85.4,325.1,143.9,273.3,181.4,232.1,167.3,280.1,128.3,276.3,168.8,274.3,264.5,279.8,276.3,135.3,85.8,161.7
30,023,4A,79,71,2,0,0,0,0,0,6,62,57,2,0,0,0,0,0,3,8.3,11.6,11,16.2,4.6,17.2,7.8999999999999995,21.6,3.7,16.6,7.6000000000000005,19.6,9.6,12.5,12.5,16.6,6.7,14.899999999999999,11.6,17.6,13.9,17.2,18.4,7.1,4.6,10.1
30,023,5,839,744,1,35,24,6,0,0,29,700,639,1,21,14,6,0,0,19,103.7,159,122.1,200,57.8,202.7,106.9,227.9,65.8,205.8,110.1,204.6,127.4,154.1,127.8,202.7,95.2,182,124.8,202.4,175.4,202.7,208.1,97.6,57.8,118.7
30,023,5A,187,167,0,8,4,0,0,0,8,113,103,0,3,3,0,0,0,4,15,21.2,19.9,29.5,8.4,31.400000000000002,14.7,39.300000000000004,6.6,30.3,13.9,35.6,17.6,22.900000000000002,22.900000000000002,30.3,12.1,27.3,21.2,32,25.3,31.400000000000002,33.4,12.9,8.4,18.3
30,023,6,1366,1238,3,47,24,8,0,0,46,1033,949,2,30,18,4,0,0,30,196.1,240,259.1,300.6,114.3,362.2,214.6,365.1,104.4,377.5,201.7,332.2,202.8,291.7,240.8,338.2,161.9,304.7,252.5,317.6,304,362.2,330.8,165.6,114.3,233.8
30,023,6A,41,39,1,0,1,0,0,0,0,37,35,1,0,1,0,0,0,0,8,10.1,10.600000000000001,12.6,5.7,14.4,8.4,15.1,5.1,14.5,9,13.299999999999999,8.9,10.7,9.3,14,6.5,12.9,9.7,13.6,12.1,14.4,13.700000000000001,7.1,5.7,9.4
30,023,7,187,173,2,8,2,1,0,0,1,157,144,2,7,2,1,0,0,1,29.3,34,36.7,45.5,17.2,50.3,31.5,52.1,17.7,53.1,30.3,48.1,31.400000000000002,40.5,35.1,49.8,25.400000000000002,44.2,36.2,47.1,43.2,50.3,48.300000000000004,25.5,17.2,33.9
30,023,7A,255,244,0,3,1,2,0,0,5,216,205,0,3,1,2,0,0,5,52.2,70.9,71.9,83.6,41.9,98.1,53.8,102.4,34.8,94.2,61.800000000000004,87.9,60,68.5,60.2,95.1,40.9,88.7,62.6,92.5,80.7,98.1,92.2,47,41.9,62
30,023,8,1332,1250,1,36,16,3,1,0,25,1095,1036,1,25,13,2,1,0,17,318.1,258.4,375,349.4,236.1,392.2,339.7,403.1,199.3,443,335.2,377,353.7,284.3,358.8,376.7,285.5,343.3,371.6,356.8,331.6,392.2,372.4,288.9,236.1,356.2
30,023,9,1050,874,6,34,119,2,0,1,14,898,746,6,28,102,2,0,1,13,161.9,103,233.5,126.2,151.2,154.7,215.1,151.2,110.89999999999999,166.1,208.7,137.8,171.9,112.2,232.8,132.3,149.7,128.1,232.8,131.7,126.6,154.7,135.7,148.6,151.2,225.3
30,023,n01A,118,117,0,1,0,0,0,0,0,107,106,0,1,0,0,0,0,0,32.4,32.7,37.5,41.6,21.9,48.1,34.4,46.8,23.1,48.4,33.8,44.9,39.5,31.9,35.1,44.5,29.9,40.6,37.4,42.3,38,48.1,44.2,31.5,21.9,35.4
30,025,1,879,838,0,17,4,11,0,0,9,676,650,0,9,4,8,0,0,5,336.3,45.2,420.5,52.7,291.1,86.1,408.5,70.5,260.5,109.10000000000001,393.7,67.6,319.5,54.3,410,52.3,276.7,86.1,405.7,49.1,72.7,86.1,57.3,297.2,291.1,407.1
30,025,2,862,844,1,5,2,1,0,0,9,658,647,1,5,2,1,0,0,2,337.3,52.6,409.2,51.3,283.3,83.9,398.3,69.3,281.3,116.9,383.7,65.7,347.1,52.6,399.6,51,307.1,77,395,47.9,74,83.9,56.3,317.9,283.3,396.9
30,025,3,583,565,0,6,3,2,0,0,7,448,437,0,4,2,2,0,0,3,314.4,31.9,278.3,35.3,192.9,57.7,271.1,47.1,265.4,76.1,261,44.6,295.6,35,271.7,34.9,265.7,57.300000000000004,269,32.3,49.2,57.7,38.3,285.8,192.9,270.3
30,025,4,380,364,1,4,0,3,2,0,6,286,273,1,3,0,3,2,0,4,191.20000000000002,12.8,177.2,23,123.7,37.6,172.3,29.3,171.6,41.4,166.7,28.6,200.7,12.6,172.6,22.7,184.4,26.8,171.6,19.6,22.9,37.6,24.1,186.8,123.7,172
30,025,7,112,111,0,1,0,0,0,0,0,88,87,0,1,0,0,0,0,0,60.9,5.5,54.5,7.1000000000000005,38.1,11.3,52.9,8.9,52.8,14.2,51.1,8.8,59.6,6.1000000000000005,52.9,7.1000000000000005,53.9,10.4,52.8,6.3,8.4,11.3,7.2,56.9,38.1,52.8
30,025,8,74,71,0,1,0,0,0,0,2,55,53,0,1,0,0,0,0,1,38.9,4,34.1,4.4,23.8,7,33.3,5.8,33,9.3,32.1,5.5,36.6,4.4,33.3,4.4,33,7,33,4,6,7,4.7,35.5,23.8,33.2
30,027,NA,11586,11085,18,171,135,27,0,0,150,9246,8899,5,104,118,21,0,0,99,4269.8,1203.4,4866.6,1496.7,3643.5,1963,4748.6,1786.2,3659.5,2175.8,4736.6,1566.9,4826.9,1016.8,4873.4,1552.6,4230.7,1536.1,4834.9,1549.6,1485.2,1963,1587.2,4244.3,3643.5,4809.9
30,029,1,1371,1264,1,48,17,9,0,3,29,1086,1022,0,34,12,4,0,1,13,398,197.5,414.5,294.8,281.2,313.7,399.2,331,328.4,290.6,393.5,294.9,453.7,174.5,432.4,284.8,388.3,225.6,424.2,288.1,222.2,313.7,299.1,391.7,281.2,412.9
